symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ACGL,2016-01-04 05:00:00+00:00,68.82,69.66,67.85,68.85,465370.0,5016.0,68.720388
ACGL,2016-01-05 05:00:00+00:00,68.68,69.37,68.275,69.1,544517.0,3570.0,69.057544
ACGL,2016-01-06 05:00:00+00:00,68.43,69.36,68.23,69.21,716332.0,5012.0,68.942096
ACGL,2016-01-07 05:00:00+00:00,68.05,69.67,68.05,69.14,511345.0,5165.0,69.217763
ACGL,2016-01-08 05:00:00+00:00,69.22,69.46,68.31,68.42,480701.0,4639.0,68.709522
ACGL,2016-01-11 05:00:00+00:00,68.66,68.94,67.85,68.28,372996.0,3884.0,68.232778
ACGL,2016-01-12 05:00:00+00:00,68.55,68.83,67.52,67.63,609705.0,5583.0,67.779782
ACGL,2016-01-13 05:00:00+00:00,67.94,67.94,66.71,66.9,583132.0,5993.0,67.136147
ACGL,2016-01-14 05:00:00+00:00,66.84,67.46,66.37,66.9,545148.0,5541.0,67.047478
ACGL,2016-01-15 05:00:00+00:00,66.02,66.81,65.81,66.48,623457.0,5837.0,66.319992
ACGL,2016-01-19 05:00:00+00:00,65.15,66.96,62.07,66.75,636104.0,6312.0,66.442374
ACGL,2016-01-20 05:00:00+00:00,66.42,66.69,64.37,64.89,874306.0,8455.0,65.180468
ACGL,2016-01-21 05:00:00+00:00,64.73,66.09,59.83,64.99,870777.0,8555.0,64.983061
ACGL,2016-01-22 05:00:00+00:00,65.53,65.66,64.79,65.31,521477.0,5205.0,65.204741
ACGL,2016-01-25 05:00:00+00:00,65.59,66.82,65.04,66.04,960778.0,7898.0,66.013583
ACGL,2016-01-26 05:00:00+00:00,66.28,67.97,65.27,66.25,635231.0,5724.0,66.230271
ACGL,2016-01-27 05:00:00+00:00,66.09,67.73,65.89,65.89,684590.0,6143.0,66.231632
ACGL,2016-01-28 05:00:00+00:00,65.99,67.03,65.85,66.6,406987.0,3474.0,66.543036
ACGL,2016-01-29 05:00:00+00:00,66.75,67.6,66.4,67.55,818719.0,4372.0,67.421895
ACGL,2016-02-01 05:00:00+00:00,67.13,68.13,66.65,68.0,477595.0,3953.0,67.777025
ACGL,2016-02-02 05:00:00+00:00,67.75,67.8,66.34,66.59,519190.0,5469.0,66.858238
ACGL,2016-02-03 05:00:00+00:00,66.73,67.81,63.26,66.59,621335.0,6875.0,66.593562
ACGL,2016-02-04 05:00:00+00:00,66.25,66.8,65.46,65.96,582824.0,5903.0,66.039317
ACGL,2016-02-05 05:00:00+00:00,66.19,66.63,65.835,65.94,505860.0,5809.0,66.044221
ACGL,2016-02-08 05:00:00+00:00,65.45,67.85,62.58,67.64,617655.0,5828.0,67.059387
ACGL,2016-02-09 05:00:00+00:00,67.39,68.02,67.33,67.87,481307.0,5796.0,67.785237
ACGL,2016-02-10 05:00:00+00:00,71.13,71.385,68.74,68.88,715256.0,7077.0,69.418619
ACGL,2016-02-11 05:00:00+00:00,67.73,68.52,65.0201,66.72,560869.0,5690.0,66.860117
ACGL,2016-02-12 05:00:00+00:00,67.58,68.49,66.92,68.4,359315.0,3962.0,68.158628
ACGL,2016-02-16 05:00:00+00:00,69.05,69.33,68.35,68.61,469747.0,4251.0,68.674677
ACGL,2016-02-17 05:00:00+00:00,68.6,68.975,67.83,68.19,626896.0,5001.0,68.21509
ACGL,2016-02-18 05:00:00+00:00,68.49,68.55,67.71,68.38,451708.0,4694.0,68.353962
ACGL,2016-02-19 05:00:00+00:00,67.81,69.0,67.81,68.63,549005.0,5418.0,68.635253
ACGL,2016-02-22 05:00:00+00:00,69.06,69.6,68.39,68.72,283414.0,2779.0,68.678574
ACGL,2016-02-23 05:00:00+00:00,68.12,68.59,66.39,68.16,299776.0,3212.0,68.162802
ACGL,2016-02-24 05:00:00+00:00,67.69,68.95,67.3,68.79,379270.0,2604.0,68.695075
ACGL,2016-02-25 05:00:00+00:00,69.21,69.48,68.71,69.08,514336.0,4976.0,69.023315
ACGL,2016-02-26 05:00:00+00:00,69.23,69.23,67.96,68.2,432355.0,3838.0,68.353407
ACGL,2016-02-29 05:00:00+00:00,67.99,68.27,67.295,67.94,578710.0,4059.0,67.954411
ACGL,2016-03-01 05:00:00+00:00,68.29,68.87,67.97,68.68,404868.0,3335.0,68.632262
ACGL,2016-03-02 05:00:00+00:00,68.64,69.16,68.18,69.15,329468.0,3446.0,68.89062
ACGL,2016-03-03 05:00:00+00:00,69.08,69.62,65.15,69.44,423382.0,3203.0,69.316354
ACGL,2016-03-04 05:00:00+00:00,69.21,69.65,67.295,69.39,443073.0,3705.0,69.242442
ACGL,2016-03-07 05:00:00+00:00,69.01,69.4,68.435,68.76,356861.0,2748.0,68.70667
ACGL,2016-03-08 05:00:00+00:00,68.54,69.19,67.95,68.88,343017.0,2949.0,68.849323
ACGL,2016-03-09 05:00:00+00:00,69.08,69.35,68.52,68.8,212250.0,3111.0,68.852954
ACGL,2016-03-10 05:00:00+00:00,69.0,69.12,67.97,68.87,245763.0,3058.0,68.613811
ACGL,2016-03-11 05:00:00+00:00,69.37,70.14,69.1,70.13,241127.0,3017.0,69.922379
ACGL,2016-03-14 04:00:00+00:00,69.57,70.42,68.96,69.94,285094.0,3396.0,69.714137
ACGL,2016-03-15 04:00:00+00:00,69.64,70.39,68.63,69.91,373123.0,3860.0,69.941605
ACGL,2016-03-16 04:00:00+00:00,69.93,70.22,68.9,69.6,255792.0,3603.0,69.594641
ACGL,2016-03-17 04:00:00+00:00,69.81,70.26,69.5501,70.08,331463.0,3734.0,70.052145
ACGL,2016-03-18 04:00:00+00:00,70.16,70.59,69.64,70.17,385233.0,2326.0,70.161236
ACGL,2016-03-21 04:00:00+00:00,69.93,70.7,68.41,70.46,189399.0,2043.0,70.436469
ACGL,2016-03-22 04:00:00+00:00,70.07,71.12,69.7063,70.5,407920.0,3773.0,70.76334
ACGL,2016-03-23 04:00:00+00:00,70.43,71.0,69.96,70.51,204520.0,2152.0,70.595696
ACGL,2016-03-24 04:00:00+00:00,70.38,70.88,69.05,69.32,289873.0,3305.0,69.459046
ACGL,2016-03-28 04:00:00+00:00,69.59,70.36,69.55,70.2,203835.0,2461.0,70.029933
ACGL,2016-03-29 04:00:00+00:00,70.2,70.95,69.94,70.6,371838.0,3152.0,70.521621
ACGL,2016-03-30 04:00:00+00:00,70.94,71.67,70.61,71.47,241190.0,3208.0,71.304738
ACGL,2016-03-31 04:00:00+00:00,71.49,71.55,70.84,71.1,505745.0,2854.0,71.143857
ACGL,2016-04-01 04:00:00+00:00,71.1,72.28,71.07,72.15,329715.0,3074.0,71.959674
ACGL,2016-04-04 04:00:00+00:00,72.22,72.82,71.55,72.0,416911.0,3767.0,72.004097
