symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ALB,2016-01-04 05:00:00+00:00,54.97,55.69,54.27,55.55,1374709.0,11392.0,55.09703
ALB,2016-01-05 05:00:00+00:00,55.86,56.1,53.88,54.7,1327515.0,11910.0,54.577957
ALB,2016-01-06 05:00:00+00:00,54.25,54.25,51.84,52.31,1316659.0,11573.0,52.579225
ALB,2016-01-07 05:00:00+00:00,51.26,51.7,49.48,49.95,1615029.0,13973.0,50.317116
ALB,2016-01-08 05:00:00+00:00,50.45,51.08,48.97,49.01,1227507.0,10418.0,49.492539
ALB,2016-01-11 05:00:00+00:00,49.24,49.53,47.38,48.04,1363047.0,12734.0,48.047398
ALB,2016-01-12 05:00:00+00:00,48.79,49.18,48.05,48.95,1346796.0,12471.0,48.621256
ALB,2016-01-13 05:00:00+00:00,49.62,51.27,47.305,47.71,1500243.0,14542.0,49.053671
ALB,2016-01-14 05:00:00+00:00,48.03,49.65,46.84,48.9,1358866.0,13332.0,48.867262
ALB,2016-01-15 05:00:00+00:00,47.64,48.02,45.78,47.91,1539770.0,13508.0,47.34063
ALB,2016-01-19 05:00:00+00:00,48.48,49.5,47.57,48.42,1737931.0,16712.0,48.666488
ALB,2016-01-20 05:00:00+00:00,47.63,48.79,46.16,48.01,1407779.0,13653.0,47.320372
ALB,2016-01-21 05:00:00+00:00,47.99,50.74,47.42,49.43,1901180.0,16263.0,49.515951
ALB,2016-01-22 05:00:00+00:00,50.66,52.27,50.65,51.29,1596179.0,12623.0,51.26485
ALB,2016-01-25 05:00:00+00:00,51.09,51.25,49.7,49.98,1693108.0,14280.0,50.171663
ALB,2016-01-26 05:00:00+00:00,50.37,52.47,50.08,51.88,1569056.0,14118.0,51.746575
ALB,2016-01-27 05:00:00+00:00,51.55,52.26,50.44,50.93,1507991.0,11615.0,51.197421
ALB,2016-01-28 05:00:00+00:00,51.65,52.52,51.28,51.76,1211103.0,11246.0,51.792125
ALB,2016-01-29 05:00:00+00:00,51.79,52.66,51.15,52.64,3867150.0,15331.0,52.289808
ALB,2016-02-01 05:00:00+00:00,51.87,52.95,50.97,52.82,1516249.0,13672.0,52.062884
ALB,2016-02-02 05:00:00+00:00,52.17,53.02,51.35,51.86,1334562.0,9429.0,51.970769
ALB,2016-02-03 05:00:00+00:00,52.66,53.62,51.16,53.52,1559001.0,12044.0,52.764385
ALB,2016-02-04 05:00:00+00:00,53.64,54.255,51.23,51.95,2280989.0,21360.0,52.487842
ALB,2016-02-05 05:00:00+00:00,51.71,52.7,50.72,51.54,1437664.0,14338.0,51.634187
ALB,2016-02-08 05:00:00+00:00,50.91,50.91,47.49,48.79,2024719.0,14698.0,48.980823
ALB,2016-02-09 05:00:00+00:00,48.22,50.025,48.08,49.89,1765922.0,12271.0,49.291815
ALB,2016-02-10 05:00:00+00:00,50.6,51.05,49.41,50.09,1156777.0,10808.0,50.292859
ALB,2016-02-11 05:00:00+00:00,48.78,50.83,48.42,50.09,1226133.0,12000.0,49.619359
ALB,2016-02-12 05:00:00+00:00,50.68,52.02,50.04,51.38,1240832.0,10686.0,51.437297
ALB,2016-02-16 05:00:00+00:00,52.19,52.62,51.05,52.32,1700697.0,14872.0,52.068325
ALB,2016-02-17 05:00:00+00:00,52.94,54.25,52.51,52.77,1848125.0,15854.0,53.395861
ALB,2016-02-18 05:00:00+00:00,51.74,55.595,50.95,54.53,3144197.0,25305.0,54.522633
