symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ALL,2016-01-04 05:00:00+00:00,60.88,60.98,59.92,60.67,3671881.0,26924.0,60.432052
ALL,2016-01-05 05:00:00+00:00,60.73,60.97,60.39,60.53,2940056.0,22379.0,60.60194
ALL,2016-01-06 05:00:00+00:00,59.83,60.2,59.6,59.85,3058228.0,21210.0,59.890169
ALL,2016-01-07 05:00:00+00:00,58.81,59.66,58.31,58.44,4258186.0,31244.0,58.75726
ALL,2016-01-08 05:00:00+00:00,58.8,58.941,58.14,58.23,3083745.0,24846.0,58.516885
ALL,2016-01-11 05:00:00+00:00,58.44,58.63,57.59,58.02,3203270.0,26840.0,57.985441
ALL,2016-01-12 05:00:00+00:00,58.42,58.7399,57.81,58.65,3145134.0,24543.0,58.319278
ALL,2016-01-13 05:00:00+00:00,58.73,59.35,57.82,57.91,4361912.0,34589.0,58.585371
ALL,2016-01-14 05:00:00+00:00,58.0,59.18,57.97,58.42,3391962.0,26679.0,58.673272
ALL,2016-01-15 05:00:00+00:00,56.03,58.56,56.03,58.13,5398449.0,37965.0,57.856875
ALL,2016-01-19 05:00:00+00:00,59.02,59.35,58.06,58.44,3220652.0,27265.0,58.62028
ALL,2016-01-20 05:00:00+00:00,57.8,58.48,57.14,57.99,4855024.0,38026.0,57.71867
ALL,2016-01-21 05:00:00+00:00,58.21,58.66,57.82,58.15,3987321.0,31200.0,58.234129
ALL,2016-01-22 05:00:00+00:00,58.91,59.0,58.2,58.53,2804169.0,23724.0,58.492106
ALL,2016-01-25 05:00:00+00:00,58.31,58.46,57.62,57.7,4205905.0,27009.0,57.859762
ALL,2016-01-26 05:00:00+00:00,58.09,58.68,57.88,58.18,2474268.0,17116.0,58.237933
ALL,2016-01-27 05:00:00+00:00,58.23,59.375,58.03,58.41,3007788.0,25882.0,58.689423
ALL,2016-01-28 05:00:00+00:00,58.97,59.4979,58.42,59.22,3281278.0,25125.0,59.102624
ALL,2016-01-29 05:00:00+00:00,59.68,60.61,59.43,60.6,4481360.0,25150.0,60.372819
ALL,2016-02-01 05:00:00+00:00,60.14,60.83,59.82,60.53,2864085.0,20338.0,60.454369
ALL,2016-02-02 05:00:00+00:00,60.01,60.5,59.76,59.97,2611993.0,18914.0,60.097605
ALL,2016-02-03 05:00:00+00:00,60.29,60.29,58.29,59.64,4980196.0,39742.0,59.190121
ALL,2016-02-04 05:00:00+00:00,60.475,62.2,60.475,62.05,5710992.0,42746.0,61.569931
ALL,2016-02-05 05:00:00+00:00,62.09,63.52,62.09,63.37,4806718.0,37946.0,63.129726
ALL,2016-02-08 05:00:00+00:00,62.87,63.54,62.355,63.33,3155173.0,27103.0,62.94746
ALL,2016-02-09 05:00:00+00:00,62.81,63.26,62.45,63.01,3907145.0,27763.0,62.903217
ALL,2016-02-10 05:00:00+00:00,63.27,63.94,62.89,62.98,3089840.0,25425.0,63.291872
ALL,2016-02-11 05:00:00+00:00,61.95,62.655,61.7,62.32,3152139.0,25382.0,62.245819
ALL,2016-02-12 05:00:00+00:00,63.02,64.31,62.86,63.91,3818198.0,25969.0,63.922045
ALL,2016-02-16 05:00:00+00:00,64.47,64.72,63.845,64.57,3761119.0,26728.0,64.341232
ALL,2016-02-17 05:00:00+00:00,64.69,65.2899,64.69,65.02,3528491.0,25327.0,65.024245
ALL,2016-02-18 05:00:00+00:00,64.91,65.0,64.07,64.3,4345796.0,31452.0,64.422295
ALL,2016-02-19 05:00:00+00:00,63.89,64.44,63.8,64.0,5490883.0,24358.0,64.054066
ALL,2016-02-22 05:00:00+00:00,64.5,64.6,64.2,64.44,2642679.0,19336.0,64.369996
ALL,2016-02-23 05:00:00+00:00,64.31,64.31,63.56,63.73,2075150.0,17772.0,63.81485
ALL,2016-02-24 05:00:00+00:00,63.35,64.125,62.78,63.95,2443129.0,20139.0,63.520756
ALL,2016-02-25 05:00:00+00:00,63.92,64.44,63.67,64.41,2038754.0,17652.0,64.228813
ALL,2016-02-26 05:00:00+00:00,64.53,64.71,64.21,64.32,2699148.0,19197.0,64.391938
ALL,2016-02-29 05:00:00+00:00,64.12,64.305,63.45,63.46,2650034.0,15867.0,63.725384
ALL,2016-03-01 05:00:00+00:00,63.85,64.81,63.59,64.81,2382510.0,19449.0,64.53226
ALL,2016-03-02 05:00:00+00:00,64.73,65.42,64.64,65.41,2345773.0,17692.0,65.097688
ALL,2016-03-03 05:00:00+00:00,65.36,65.47,65.0,65.31,2079781.0,15054.0,65.30131
ALL,2016-03-04 05:00:00+00:00,65.3,65.59,64.85,65.38,1776281.0,13762.0,65.309224
ALL,2016-03-07 05:00:00+00:00,64.81,65.32,64.75,65.03,1756383.0,13106.0,65.042565
ALL,2016-03-08 05:00:00+00:00,64.76,65.035,64.53,64.58,1982700.0,15725.0,64.736103
ALL,2016-03-09 05:00:00+00:00,64.79,64.92,64.33,64.53,1596223.0,13425.0,64.541277
ALL,2016-03-10 05:00:00+00:00,64.59,65.02,63.73,64.26,3161560.0,23364.0,64.269073
ALL,2016-03-11 05:00:00+00:00,64.94,65.71,64.71,65.52,2410424.0,17208.0,65.376327
ALL,2016-03-14 04:00:00+00:00,65.19,65.41,64.53,64.95,1863634.0,15199.0,64.864528
ALL,2016-03-15 04:00:00+00:00,64.56,66.055,64.38,65.92,2509114.0,20835.0,65.606349
ALL,2016-03-16 04:00:00+00:00,65.72,66.53,65.47,66.28,2274777.0,20311.0,66.227079
ALL,2016-03-17 04:00:00+00:00,66.33,67.45,66.07,67.2,2474692.0,18087.0,67.098344
ALL,2016-03-18 04:00:00+00:00,67.4,67.76,66.66,67.23,5066896.0,17748.0,67.239821
ALL,2016-03-21 04:00:00+00:00,66.93,67.16,66.59,66.84,1338377.0,11819.0,66.826459
ALL,2016-03-22 04:00:00+00:00,66.9,67.24,66.67,66.92,1738883.0,11703.0,66.982383
ALL,2016-03-23 04:00:00+00:00,66.91,67.01,66.52,66.66,2329339.0,14436.0,66.760712
ALL,2016-03-24 04:00:00+00:00,66.47,66.485,65.94,66.19,1523579.0,11362.0,66.136516
ALL,2016-03-28 04:00:00+00:00,66.34,66.99,66.21,66.82,1954120.0,11696.0,66.778921
ALL,2016-03-29 04:00:00+00:00,66.82,67.25,66.53,67.16,2811373.0,11712.0,67.05655
ALL,2016-03-30 04:00:00+00:00,67.26,67.9,67.145,67.72,1903179.0,13999.0,67.641685
ALL,2016-03-31 04:00:00+00:00,67.75,67.92,67.25,67.37,1923244.0,13005.0,67.523717
ALL,2016-04-01 04:00:00+00:00,67.24,68.33,67.015,68.23,1634534.0,12492.0,67.983814
ALL,2016-04-04 04:00:00+00:00,68.15,68.24,67.52,67.64,1421023.0,11680.0,67.745473
ALL,2016-04-05 04:00:00+00:00,67.32,67.41,66.64,66.7,1878617.0,15515.0,66.921109
ALL,2016-04-06 04:00:00+00:00,66.66,67.17,66.5,67.03,1746110.0,12951.0,66.949471
ALL,2016-04-07 04:00:00+00:00,66.49,66.81,66.03,66.28,1728949.0,14136.0,66.332281
ALL,2016-04-08 04:00:00+00:00,66.82,67.45,66.68,66.84,1794627.0,14811.0,67.021156
ALL,2016-04-11 04:00:00+00:00,66.83,67.48,66.78,66.79,1992227.0,13372.0,66.950501
ALL,2016-04-12 04:00:00+00:00,66.79,67.4,66.62,67.21,1665351.0,13158.0,67.10639
ALL,2016-04-13 04:00:00+00:00,67.54,67.89,66.82,67.53,1779467.0,15611.0,67.30317
ALL,2016-04-14 04:00:00+00:00,67.38,67.47,66.58,66.67,2571811.0,20284.0,66.81705
ALL,2016-04-15 04:00:00+00:00,66.64,67.1,66.25,66.6,3311316.0,19915.0,66.676853
ALL,2016-04-18 04:00:00+00:00,66.49,67.33,66.3,67.3,2094016.0,17770.0,66.960623
ALL,2016-04-19 04:00:00+00:00,67.57,67.907,67.37,67.53,1600028.0,12625.0,67.559786
ALL,2016-04-20 04:00:00+00:00,67.51,67.69,66.62,66.92,1535560.0,13799.0,66.926032
ALL,2016-04-21 04:00:00+00:00,65.4,66.57,65.24,65.45,3430048.0,27035.0,65.762609
ALL,2016-04-22 04:00:00+00:00,65.44,66.07,65.355,65.74,1863723.0,13082.0,65.685019
ALL,2016-04-25 04:00:00+00:00,65.74,65.74,64.98,65.61,1768179.0,11619.0,65.422558
ALL,2016-04-26 04:00:00+00:00,65.79,66.01,65.39,65.87,1943468.0,15682.0,65.790426
ALL,2016-04-27 04:00:00+00:00,65.86,65.95,65.28,65.51,1626605.0,14472.0,65.498912
ALL,2016-04-28 04:00:00+00:00,65.02,65.55,64.795,64.95,1599116.0,13764.0,65.173124
ALL,2016-04-29 04:00:00+00:00,64.8,65.23,64.36,65.05,2630976.0,15036.0,64.920522
ALL,2016-05-02 04:00:00+00:00,65.58,65.58,65.01,65.36,2142096.0,15422.0,65.280874
ALL,2016-05-03 04:00:00+00:00,64.8,65.59,64.67,65.41,1994559.0,17180.0,65.241423
ALL,2016-05-04 04:00:00+00:00,64.82,65.55,64.59,65.28,3084501.0,21242.0,65.32951
ALL,2016-05-05 04:00:00+00:00,68.09,69.24,67.05,67.87,4916547.0,31472.0,67.925055
ALL,2016-05-06 04:00:00+00:00,67.5,67.55,66.58,67.1,2346072.0,19015.0,66.986765
ALL,2016-05-09 04:00:00+00:00,67.1,67.65,66.87,67.21,2003859.0,13446.0,67.253373
ALL,2016-05-10 04:00:00+00:00,67.49,68.0,67.35,67.98,2350088.0,17010.0,67.725005
ALL,2016-05-11 04:00:00+00:00,67.68,67.975,67.32,67.35,2246878.0,15292.0,67.579466
ALL,2016-05-12 04:00:00+00:00,67.39,67.77,67.08,67.54,2629516.0,13344.0,67.442474
ALL,2016-05-13 04:00:00+00:00,67.65,67.78,67.28,67.38,1840077.0,13975.0,67.482323
ALL,2016-05-16 04:00:00+00:00,67.19,67.79,67.125,67.55,2131466.0,15320.0,67.550622
ALL,2016-05-17 04:00:00+00:00,67.51,67.71,66.89,67.1,2168698.0,16262.0,67.270365
ALL,2016-05-18 04:00:00+00:00,67.03,67.59,66.76,67.36,2966099.0,18195.0,67.235583
ALL,2016-05-19 04:00:00+00:00,66.69,67.25,66.5875,66.84,2232508.0,18155.0,66.894873
ALL,2016-05-20 04:00:00+00:00,67.2,67.71,66.96,67.15,2020791.0,14035.0,67.29523
ALL,2016-05-23 04:00:00+00:00,67.09,67.21,66.68,66.88,1565155.0,10835.0,66.900993
ALL,2016-05-24 04:00:00+00:00,67.0,67.75,66.99,67.44,1964070.0,14892.0,67.452393
