symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ANET,2016-01-04 05:00:00+00:00,78.0,78.0,75.76,77.4,1058912.0,8163.0,77.148156
ANET,2016-01-05 05:00:00+00:00,78.24,79.225,77.35,78.28,830124.0,7279.0,78.16563
ANET,2016-01-06 05:00:00+00:00,77.53,78.175,72.2201,73.53,1541272.0,10967.0,74.141924
ANET,2016-01-07 05:00:00+00:00,72.19,72.46,67.76,68.75,1034782.0,10654.0,69.816221
ANET,2016-01-08 05:00:00+00:00,69.84,70.86,68.19,68.87,757690.0,6794.0,69.290005
ANET,2016-01-11 05:00:00+00:00,69.49,69.49,66.3742,68.01,603430.0,6939.0,67.623787
ANET,2016-01-12 05:00:00+00:00,68.82,69.67,65.065,66.48,592495.0,6392.0,66.704096
ANET,2016-01-13 05:00:00+00:00,66.94,67.92,63.81,64.71,639527.0,5925.0,65.248345
ANET,2016-01-14 05:00:00+00:00,65.63,66.33,63.76,65.39,655203.0,6688.0,65.26471
ANET,2016-01-15 05:00:00+00:00,63.65,65.12,62.2,64.85,692011.0,7529.0,64.099693
ANET,2016-01-19 05:00:00+00:00,65.5,65.61,61.87,62.6,813831.0,8084.0,63.683689
ANET,2016-01-20 05:00:00+00:00,61.88,63.43,59.45,63.36,1036292.0,10222.0,61.584401
ANET,2016-01-21 05:00:00+00:00,63.15,64.31,62.035,62.54,589802.0,5687.0,62.897934
ANET,2016-01-22 05:00:00+00:00,63.53,65.34,63.2417,64.33,531079.0,4505.0,64.422898
ANET,2016-01-25 05:00:00+00:00,64.33,64.35,59.83,59.9,1136484.0,7849.0,61.042599
ANET,2016-01-26 05:00:00+00:00,60.04,61.38,58.54,60.01,1070749.0,8804.0,59.95825
ANET,2016-01-27 05:00:00+00:00,61.5,62.3625,60.74,60.85,688453.0,6525.0,61.529794
ANET,2016-01-28 05:00:00+00:00,61.35,61.63,58.35,59.45,806430.0,6376.0,59.28683
ANET,2016-01-29 05:00:00+00:00,60.0,60.18,59.1,60.03,820175.0,7370.0,59.880587
ANET,2016-02-01 05:00:00+00:00,59.56,59.56,57.01,59.26,1031057.0,9838.0,58.355158
ANET,2016-02-02 05:00:00+00:00,59.0,60.75,53.52,57.64,1689843.0,14451.0,57.56026
ANET,2016-02-03 05:00:00+00:00,58.78,62.48,58.5001,61.95,1447614.0,12876.0,60.803468
ANET,2016-02-04 05:00:00+00:00,61.87,63.2795,61.59,62.37,719561.0,9906.0,62.435857
ANET,2016-02-05 05:00:00+00:00,62.05,62.05,59.03,59.22,721315.0,7462.0,60.375688
ANET,2016-02-08 05:00:00+00:00,58.28,58.47,52.67,53.96,1324605.0,10783.0,54.246785
ANET,2016-02-09 05:00:00+00:00,53.55,54.995,52.505,53.0,992710.0,9505.0,53.451332
ANET,2016-02-10 05:00:00+00:00,53.53,55.18,52.8474,53.57,735872.0,7041.0,54.185466
ANET,2016-02-11 05:00:00+00:00,53.13,54.9,52.77,54.37,844038.0,7520.0,54.009212
ANET,2016-02-12 05:00:00+00:00,55.0,56.7,54.67,56.24,485614.0,5764.0,55.682908
ANET,2016-02-16 05:00:00+00:00,57.1,59.33,57.1,59.15,976385.0,7796.0,58.661063
ANET,2016-02-17 05:00:00+00:00,59.5,61.12,58.87,59.86,783141.0,7685.0,60.005125
ANET,2016-02-18 05:00:00+00:00,60.14,60.38,57.73,58.15,1689165.0,14378.0,58.608179
ANET,2016-02-19 05:00:00+00:00,61.99,67.25,61.57,65.0,4373543.0,37933.0,64.717177
ANET,2016-02-22 05:00:00+00:00,66.0,66.67,65.05,65.4,899561.0,8181.0,65.547914
ANET,2016-02-23 05:00:00+00:00,65.9,67.06,65.05,65.96,726464.0,7689.0,66.242144
ANET,2016-02-24 05:00:00+00:00,65.07,67.53,65.07,67.43,817058.0,7876.0,66.473052
ANET,2016-02-25 05:00:00+00:00,67.72,68.87,66.53,67.66,614457.0,6685.0,67.658457
ANET,2016-02-26 05:00:00+00:00,67.5,69.37,67.23,69.02,740076.0,6676.0,68.728298
ANET,2016-02-29 05:00:00+00:00,69.01,69.99,68.5,68.54,655582.0,6025.0,69.148663
ANET,2016-03-01 05:00:00+00:00,68.77,69.27,66.7504,69.24,585054.0,5736.0,68.525589
ANET,2016-03-02 05:00:00+00:00,68.09,68.19,66.25,66.7,969972.0,8582.0,67.043098
ANET,2016-03-03 05:00:00+00:00,66.24,67.592,65.155,67.1,1028120.0,7882.0,66.133072
ANET,2016-03-04 05:00:00+00:00,67.14,67.7,64.23,64.25,1021995.0,8737.0,65.390125
ANET,2016-03-07 05:00:00+00:00,64.16,65.63,63.06,64.4,2095579.0,13473.0,64.370167
ANET,2016-03-08 05:00:00+00:00,64.19,64.46,61.76,61.88,865562.0,8671.0,62.450213
ANET,2016-03-09 05:00:00+00:00,62.53,64.09,61.94,63.74,756623.0,6779.0,63.176048
ANET,2016-03-10 05:00:00+00:00,63.61,65.1,60.36,61.11,1064586.0,8722.0,61.835692
ANET,2016-03-11 05:00:00+00:00,61.42,63.03,61.2,62.81,675900.0,5975.0,62.642214
ANET,2016-03-14 04:00:00+00:00,61.82,61.82,55.65,56.53,3285194.0,24334.0,56.774962
ANET,2016-03-15 04:00:00+00:00,56.56,57.32,56.02,56.1,1192869.0,10844.0,56.625749
ANET,2016-03-16 04:00:00+00:00,55.52,58.33,55.0011,57.76,1215242.0,11668.0,57.245886
ANET,2016-03-17 04:00:00+00:00,57.54,59.03,56.25,58.51,838935.0,7176.0,57.965734
