symbol,timestamp,open,high,low,close,volume,trade_count,vwap
APD,2016-01-04 05:00:00+00:00,128.21,129.28,127.065,129.19,1537999.0,11928.0,128.596329
APD,2016-01-05 05:00:00+00:00,128.31,129.27,125.905,126.88,1404230.0,13955.0,126.887442
APD,2016-01-06 05:00:00+00:00,124.86,125.08,122.85,123.79,1556850.0,15387.0,123.972376
APD,2016-01-07 05:00:00+00:00,121.27,122.73,119.18,119.64,4010561.0,20174.0,120.232391
APD,2016-01-08 05:00:00+00:00,120.3,120.89,118.83,119.02,2669060.0,17592.0,119.672331
APD,2016-01-11 05:00:00+00:00,121.13,121.25,118.64,119.49,2558407.0,20728.0,119.702508
APD,2016-01-12 05:00:00+00:00,120.69,121.27,119.46,121.21,2130912.0,13317.0,120.380487
APD,2016-01-13 05:00:00+00:00,121.93,122.35,118.385,118.55,1540143.0,12232.0,119.393423
APD,2016-01-14 05:00:00+00:00,119.24,119.59,115.64,118.38,3302952.0,23469.0,117.656232
APD,2016-01-15 05:00:00+00:00,115.55,118.14,114.86,117.82,2462561.0,20534.0,117.004966
APD,2016-01-19 05:00:00+00:00,119.05,120.14,117.33,119.59,1928419.0,17900.0,119.154881
APD,2016-01-20 05:00:00+00:00,117.6,118.61,114.64,117.56,2076432.0,16377.0,117.039415
APD,2016-01-21 05:00:00+00:00,118.18,118.92,116.38,117.17,1253942.0,12774.0,117.517134
APD,2016-01-22 05:00:00+00:00,119.1,120.6925,117.93,118.97,1118722.0,11659.0,119.176781
APD,2016-01-25 05:00:00+00:00,118.91,119.2,116.15,116.31,1226309.0,10894.0,117.135704
APD,2016-01-26 05:00:00+00:00,117.29,119.58,116.45,118.41,1264282.0,11175.0,118.410629
APD,2016-01-27 05:00:00+00:00,118.12,120.4895,117.52,118.07,1846600.0,13487.0,118.593878
APD,2016-01-28 05:00:00+00:00,118.73,120.44,118.07,119.01,1942719.0,17405.0,119.176371
APD,2016-01-29 05:00:00+00:00,122.29,126.78,121.31,126.71,3557747.0,26883.0,125.288113
APD,2016-02-01 05:00:00+00:00,125.44,131.68,125.015,131.26,3413676.0,32773.0,129.717719
APD,2016-02-02 05:00:00+00:00,131.06,132.26,129.04,130.81,3793713.0,31417.0,130.69955
APD,2016-02-03 05:00:00+00:00,133.15,133.89,130.83,133.38,3092893.0,28790.0,132.479856
APD,2016-02-04 05:00:00+00:00,133.29,137.0,132.96,136.16,3545389.0,27462.0,135.574351
APD,2016-02-05 05:00:00+00:00,136.16,136.91,134.96,135.6,2116449.0,21827.0,135.78102
APD,2016-02-08 05:00:00+00:00,134.01,134.17,128.79,130.75,2836573.0,21357.0,130.71042
APD,2016-02-09 05:00:00+00:00,129.28,133.46,128.82,132.46,1704882.0,17895.0,132.061871
APD,2016-02-10 05:00:00+00:00,132.85,134.5,130.12,130.45,1446101.0,14269.0,131.94032
APD,2016-02-11 05:00:00+00:00,128.56,130.0,126.1059,127.21,2310099.0,20342.0,127.395208
APD,2016-02-12 05:00:00+00:00,128.81,130.96,127.27,130.35,1225566.0,11765.0,129.727856
APD,2016-02-16 05:00:00+00:00,131.11,131.985,129.69,131.35,1015280.0,10516.0,131.068359
APD,2016-02-17 05:00:00+00:00,132.69,133.16,131.27,132.51,1269036.0,11651.0,132.360538
APD,2016-02-18 05:00:00+00:00,132.39,132.955,130.58,131.17,1138790.0,11789.0,131.339894
APD,2016-02-19 05:00:00+00:00,130.7,131.9,128.88,131.53,1235308.0,11393.0,130.931797
APD,2016-02-22 05:00:00+00:00,132.87,133.91,132.28,132.92,969590.0,8511.0,133.003499
APD,2016-02-23 05:00:00+00:00,132.05,132.61,130.5701,131.21,1162075.0,9838.0,131.223252
APD,2016-02-24 05:00:00+00:00,128.5,131.73,126.38,131.55,792201.0,8602.0,130.628485
APD,2016-02-25 05:00:00+00:00,132.1,133.0,130.45,132.99,688978.0,10064.0,132.296009
APD,2016-02-26 05:00:00+00:00,133.66,134.47,133.01,133.64,886501.0,9146.0,133.800679
APD,2016-02-29 05:00:00+00:00,133.43,134.76,132.41,132.47,2001441.0,12330.0,133.260821
APD,2016-03-01 05:00:00+00:00,133.78,135.23,131.91,134.39,1382542.0,13556.0,133.959276
APD,2016-03-02 05:00:00+00:00,133.41,134.98,132.6499,134.22,1013496.0,10492.0,133.891037
APD,2016-03-03 05:00:00+00:00,134.51,135.95,134.005,134.88,1239002.0,10515.0,135.0922
APD,2016-03-04 05:00:00+00:00,135.67,136.24,133.58,134.79,1317522.0,13764.0,135.092983
APD,2016-03-07 05:00:00+00:00,134.69,136.0,133.78,135.0,951315.0,9714.0,134.704337
APD,2016-03-08 05:00:00+00:00,133.92,135.085,131.94,134.22,13993665.0,10639.0,134.024704
APD,2016-03-09 05:00:00+00:00,135.11,135.5,133.69,134.68,9952417.0,14180.0,134.646375
APD,2016-03-10 05:00:00+00:00,135.47,136.09,133.02,134.6,4261200.0,14893.0,134.253867
APD,2016-03-11 05:00:00+00:00,135.98,137.78,135.0,136.47,1367898.0,12777.0,136.658179
APD,2016-03-14 04:00:00+00:00,135.98,136.67,135.26,136.25,2673280.0,9824.0,136.147263
APD,2016-03-15 04:00:00+00:00,135.0,135.48,133.63,134.05,1752252.0,17184.0,134.229199
APD,2016-03-16 04:00:00+00:00,133.29,136.45,133.16,136.06,1597371.0,16667.0,134.833389
APD,2016-03-17 04:00:00+00:00,137.08,141.4,136.2,140.96,2377514.0,20039.0,140.328533
APD,2016-03-18 04:00:00+00:00,141.1,142.74,140.31,141.59,3259874.0,23109.0,141.569214
APD,2016-03-21 04:00:00+00:00,141.07,141.86,139.73,140.69,2013135.0,11674.0,140.679094
APD,2016-03-22 04:00:00+00:00,140.0,143.89,139.74,143.07,3344445.0,17758.0,142.80901
APD,2016-03-23 04:00:00+00:00,142.46,143.93,141.53,143.93,3016263.0,12976.0,143.085865
APD,2016-03-24 04:00:00+00:00,144.04,144.36,141.32,141.76,1300689.0,11608.0,142.236486
APD,2016-03-28 04:00:00+00:00,142.36,143.64,141.9581,143.13,1821209.0,13448.0,142.936793
APD,2016-03-29 04:00:00+00:00,142.25,145.97,141.53,145.03,2083542.0,16906.0,144.484788
APD,2016-03-30 04:00:00+00:00,145.0,147.16,144.37,145.25,1472485.0,13111.0,145.625071
APD,2016-03-31 04:00:00+00:00,145.13,145.68,143.32,144.05,1414030.0,11913.0,144.213063
APD,2016-04-01 04:00:00+00:00,143.5,145.54,141.9,145.31,1770935.0,11328.0,144.824253
APD,2016-04-04 04:00:00+00:00,143.73,144.08,142.0,142.7,1717783.0,13506.0,142.847125
APD,2016-04-05 04:00:00+00:00,142.0,143.39,141.52,142.7,1002558.0,10300.0,142.660509
APD,2016-04-06 04:00:00+00:00,142.38,143.72,141.6501,143.69,776621.0,8029.0,143.021388
APD,2016-04-07 04:00:00+00:00,143.1,143.2,141.56,141.85,788468.0,6553.0,142.117007
APD,2016-04-08 04:00:00+00:00,143.4,143.94,142.08,142.52,560626.0,5539.0,142.743626
APD,2016-04-11 04:00:00+00:00,143.47,144.36,143.13,143.36,1126402.0,9046.0,143.583892
APD,2016-04-12 04:00:00+00:00,143.78,144.84,142.84,144.23,652379.0,7305.0,144.107435
APD,2016-04-13 04:00:00+00:00,144.97,145.21,143.65,144.4,995512.0,7308.0,144.247716
APD,2016-04-14 04:00:00+00:00,144.93,145.18,144.19,145.08,1143947.0,8570.0,144.83721
APD,2016-04-15 04:00:00+00:00,145.13,145.21,144.245,145.03,721582.0,6724.0,144.847491
APD,2016-04-18 04:00:00+00:00,144.66,146.52,144.13,146.47,717121.0,8059.0,146.065284
APD,2016-04-19 04:00:00+00:00,147.44,149.2,146.64,149.2,1179377.0,10210.0,148.681983
APD,2016-04-20 04:00:00+00:00,149.33,149.33,148.2,148.83,1292745.0,7117.0,148.792138
APD,2016-04-21 04:00:00+00:00,148.77,149.43,147.92,148.32,711982.0,8193.0,148.453678
APD,2016-04-22 04:00:00+00:00,149.05,149.5,147.56,148.12,780923.0,8226.0,148.093461
APD,2016-04-25 04:00:00+00:00,147.3,148.03,146.67,147.96,890132.0,10034.0,147.322867
APD,2016-04-26 04:00:00+00:00,148.2,148.73,146.99,147.49,1080419.0,9576.0,147.619902
APD,2016-04-27 04:00:00+00:00,147.59,148.785,146.02,148.31,1423824.0,16018.0,147.751955
APD,2016-04-28 04:00:00+00:00,147.81,152.16,146.87,148.54,2119998.0,18685.0,149.315262
APD,2016-04-29 04:00:00+00:00,147.59,148.65,145.44,145.89,1840472.0,16038.0,146.177582
APD,2016-05-02 04:00:00+00:00,144.82,147.08,144.82,145.87,1412417.0,14611.0,145.792554
APD,2016-05-03 04:00:00+00:00,145.01,145.01,141.99,143.14,3781429.0,32818.0,143.064413
APD,2016-05-04 04:00:00+00:00,142.38,143.24,142.03,142.85,1967133.0,17820.0,142.87388
APD,2016-05-05 04:00:00+00:00,143.54,144.38,142.72,143.25,1355569.0,12133.0,143.564318
APD,2016-05-06 04:00:00+00:00,143.67,145.64,143.0,144.57,1586550.0,14503.0,144.61458
APD,2016-05-09 04:00:00+00:00,144.42,144.99,142.31,142.61,926194.0,10062.0,143.019084
APD,2016-05-10 04:00:00+00:00,143.16,144.38,142.33,144.32,975112.0,9950.0,143.697901
APD,2016-05-11 04:00:00+00:00,144.27,144.71,142.34,142.42,757406.0,7811.0,143.011105
APD,2016-05-12 04:00:00+00:00,144.2,144.45,142.65,143.34,1287868.0,7025.0,143.364825
APD,2016-05-13 04:00:00+00:00,143.0,143.65,141.21,141.83,816419.0,7119.0,141.98468
APD,2016-05-16 04:00:00+00:00,141.99,143.93,141.88,143.55,889528.0,8976.0,143.420825
APD,2016-05-17 04:00:00+00:00,143.5,144.28,142.22,142.88,1693463.0,12478.0,143.119923
APD,2016-05-18 04:00:00+00:00,142.0,143.59,141.12,141.7,721983.0,7628.0,142.155004
APD,2016-05-19 04:00:00+00:00,142.63,142.63,140.4901,141.7,688270.0,6825.0,141.417885
APD,2016-05-20 04:00:00+00:00,142.54,142.86,141.09,141.44,697371.0,6462.0,141.691213
APD,2016-05-23 04:00:00+00:00,141.74,142.44,141.56,141.67,1209153.0,6013.0,141.752431
APD,2016-05-24 04:00:00+00:00,141.92,143.58,141.57,143.3,650298.0,6358.0,143.025597
APD,2016-05-25 04:00:00+00:00,143.84,144.78,143.49,143.68,701081.0,7387.0,144.054036
APD,2016-05-26 04:00:00+00:00,144.0,144.2399,143.015,143.07,467561.0,5645.0,143.242432
APD,2016-05-27 04:00:00+00:00,143.23,143.53,142.85,143.06,478550.0,4980.0,143.111128
APD,2016-05-31 04:00:00+00:00,143.68,143.68,142.27,142.64,815516.0,6575.0,142.701825
APD,2016-06-01 04:00:00+00:00,142.16,144.155,141.25,144.0,877360.0,9511.0,143.186569
APD,2016-06-02 04:00:00+00:00,143.44,143.5,142.28,143.5,735907.0,7984.0,143.012209
APD,2016-06-03 04:00:00+00:00,143.39,143.5,142.27,143.25,556187.0,5961.0,143.035265
APD,2016-06-06 04:00:00+00:00,143.87,145.88,143.87,145.56,805151.0,8113.0,145.388587
APD,2016-06-07 04:00:00+00:00,145.4,145.94,145.02,145.25,959724.0,8703.0,145.439467
APD,2016-06-08 04:00:00+00:00,145.75,147.2,145.01,146.89,862779.0,7878.0,146.451646
APD,2016-06-09 04:00:00+00:00,145.87,146.85,145.1,146.6,625959.0,6693.0,146.50669
APD,2016-06-10 04:00:00+00:00,145.8,146.59,145.06,146.39,751633.0,6904.0,146.183969
APD,2016-06-13 04:00:00+00:00,145.95,146.36,143.9,144.03,865136.0,9508.0,144.849819
