symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ARE,2016-01-04 05:00:00+00:00,89.67,89.71,88.46,89.11,575856.0,6100.0,88.942741
ARE,2016-01-05 05:00:00+00:00,89.22,90.725,89.125,90.34,224370.0,3134.0,90.192918
ARE,2016-01-06 05:00:00+00:00,89.71,90.53,89.29,89.73,214856.0,2810.0,89.818481
ARE,2016-01-07 05:00:00+00:00,88.09,88.82,86.76,86.76,381564.0,3801.0,87.542412
ARE,2016-01-08 05:00:00+00:00,87.13,87.625,85.51,85.57,374544.0,3979.0,86.322371
ARE,2016-01-11 05:00:00+00:00,85.75,86.144,84.43,84.5,805093.0,6592.0,85.147278
ARE,2016-01-12 05:00:00+00:00,84.99,85.0,83.05,83.54,635982.0,5519.0,83.699083
ARE,2016-01-13 05:00:00+00:00,83.71,84.08,81.16,81.28,509321.0,5660.0,82.313744
ARE,2016-01-14 05:00:00+00:00,81.45,81.87,80.23,81.01,704160.0,5834.0,81.021022
ARE,2016-01-15 05:00:00+00:00,80.0,80.63,79.35,80.16,788847.0,6257.0,80.085191
ARE,2016-01-19 05:00:00+00:00,82.75,82.75,80.0,80.37,768138.0,7281.0,80.516007
ARE,2016-01-20 05:00:00+00:00,79.41,79.49,74.96,76.45,918028.0,8800.0,76.609603
ARE,2016-01-21 05:00:00+00:00,76.94,77.64,76.3,76.42,786784.0,6707.0,76.838577
ARE,2016-01-22 05:00:00+00:00,77.28,78.505,77.15,78.3,476076.0,5015.0,78.126109
ARE,2016-01-25 05:00:00+00:00,78.26,79.4,77.3503,77.47,438392.0,3821.0,77.927183
ARE,2016-01-26 05:00:00+00:00,77.72,79.02,77.72,78.67,680459.0,5443.0,78.472349
ARE,2016-01-27 05:00:00+00:00,78.31,78.78,77.49,77.82,416125.0,4096.0,78.214507
ARE,2016-01-28 05:00:00+00:00,78.37,79.02,77.12,77.66,747146.0,4466.0,78.085495
ARE,2016-01-29 05:00:00+00:00,78.55,79.61,77.66,79.18,960561.0,8505.0,79.044714
ARE,2016-02-01 05:00:00+00:00,78.27,79.59,78.055,78.15,767052.0,8251.0,78.746617
ARE,2016-02-02 05:00:00+00:00,78.9,79.87,76.21,76.26,642237.0,6196.0,76.796788
ARE,2016-02-03 05:00:00+00:00,76.58,76.89,75.22,76.2,515146.0,4295.0,76.073674
ARE,2016-02-04 05:00:00+00:00,76.06,78.09,75.885,76.91,467925.0,4248.0,77.12399
ARE,2016-02-05 05:00:00+00:00,76.57,77.22,76.19,76.55,645982.0,6331.0,76.65905
ARE,2016-02-08 05:00:00+00:00,76.21,76.23,73.71,74.61,448641.0,4352.0,74.573463
ARE,2016-02-09 05:00:00+00:00,73.86,74.17,72.07,72.1,508918.0,5091.0,72.592864
ARE,2016-02-10 05:00:00+00:00,72.48,73.34,71.93,72.85,494941.0,5124.0,72.90269
ARE,2016-02-11 05:00:00+00:00,72.25,72.51,71.33,71.65,787082.0,6768.0,71.936263
ARE,2016-02-12 05:00:00+00:00,72.68,72.85,70.69,71.85,463324.0,4894.0,71.563847
ARE,2016-02-16 05:00:00+00:00,72.33,74.39,71.964,74.0,569552.0,5445.0,73.475735
ARE,2016-02-17 05:00:00+00:00,74.1,75.53,74.01,74.34,349604.0,4229.0,74.800335
ARE,2016-02-18 05:00:00+00:00,74.44,75.68,73.64,74.76,606752.0,5510.0,74.805659
ARE,2016-02-19 05:00:00+00:00,74.32,75.64,74.08,74.97,302128.0,3666.0,74.962018
ARE,2016-02-22 05:00:00+00:00,75.73,76.53,75.65,76.3,310213.0,4050.0,76.129902
ARE,2016-02-23 05:00:00+00:00,75.92,77.01,74.52,76.3,399723.0,3127.0,76.369125
ARE,2016-02-24 05:00:00+00:00,75.72,76.49,75.24,76.3,238882.0,2880.0,76.092089
ARE,2016-02-25 05:00:00+00:00,76.7,78.66,76.7,78.5,525661.0,4613.0,78.122994
ARE,2016-02-26 05:00:00+00:00,78.34,79.33,77.85,78.74,483221.0,4719.0,78.841873
ARE,2016-02-29 05:00:00+00:00,78.75,79.35,78.281,79.16,707259.0,5992.0,79.021461
ARE,2016-03-01 05:00:00+00:00,79.64,81.32,79.2,81.29,472242.0,5365.0,80.591677
ARE,2016-03-02 05:00:00+00:00,80.96,81.3,80.28,81.14,391853.0,4415.0,80.931542
ARE,2016-03-03 05:00:00+00:00,81.05,82.74,80.666,82.73,378316.0,3006.0,82.070738
ARE,2016-03-04 05:00:00+00:00,82.5,83.69,82.04,83.67,408580.0,3839.0,83.367109
ARE,2016-03-07 05:00:00+00:00,83.56,83.65,81.03,83.37,339259.0,3715.0,83.167724
ARE,2016-03-08 05:00:00+00:00,83.35,83.74,82.41,83.08,497860.0,5347.0,82.983139
ARE,2016-03-09 05:00:00+00:00,83.22,84.0,82.69,83.65,296320.0,2992.0,83.507476
ARE,2016-03-10 05:00:00+00:00,84.27,84.54,83.1,83.96,351282.0,3948.0,83.642181
ARE,2016-03-11 05:00:00+00:00,84.19,85.51,83.91,85.4,542245.0,3611.0,84.919827
ARE,2016-03-14 04:00:00+00:00,85.32,85.8,83.91,85.76,277282.0,3142.0,85.344904
ARE,2016-03-15 04:00:00+00:00,85.09,87.35,85.09,86.98,483535.0,5041.0,86.656601
ARE,2016-03-16 04:00:00+00:00,86.54,87.63,85.83,87.57,278162.0,3640.0,87.132565
ARE,2016-03-17 04:00:00+00:00,87.75,89.51,87.44,89.34,344866.0,4186.0,89.149591
ARE,2016-03-18 04:00:00+00:00,89.09,90.04,88.21,88.32,1165912.0,5969.0,88.702915
ARE,2016-03-21 04:00:00+00:00,88.0,88.71,87.1,88.0,662138.0,5267.0,87.695725
ARE,2016-03-22 04:00:00+00:00,87.44,88.58,87.25,88.58,593554.0,5858.0,88.105619
ARE,2016-03-23 04:00:00+00:00,88.21,88.705,87.61,88.5,907995.0,4511.0,88.216448
ARE,2016-03-24 04:00:00+00:00,88.11,88.52,87.45,88.52,502607.0,4403.0,88.085998
ARE,2016-03-28 04:00:00+00:00,88.68,90.16,88.22,90.07,608565.0,4977.0,89.735565
ARE,2016-03-29 04:00:00+00:00,89.3,90.93,88.79,90.88,621440.0,5484.0,90.288257
