symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AXP,2016-01-04 05:00:00+00:00,68.09,68.18,66.77,67.59,10069871.0,58943.0,67.382471
AXP,2016-01-05 05:00:00+00:00,67.37,67.71,65.67,66.55,11341027.0,65339.0,66.342385
AXP,2016-01-06 05:00:00+00:00,65.24,65.55,64.24,64.42,10285609.0,54966.0,64.752005
AXP,2016-01-07 05:00:00+00:00,63.31,64.2516,63.084,63.84,11977573.0,65873.0,63.826781
AXP,2016-01-08 05:00:00+00:00,64.18,64.4085,63.57,63.63,10469982.0,54194.0,63.880356
AXP,2016-01-11 05:00:00+00:00,63.74,64.21,63.1,64.05,8440918.0,57875.0,63.781907
AXP,2016-01-12 05:00:00+00:00,64.8,64.9,63.6,64.4,7937494.0,51961.0,64.158396
AXP,2016-01-13 05:00:00+00:00,63.65,64.37,62.23,62.85,11854294.0,69464.0,63.093163
AXP,2016-01-14 05:00:00+00:00,62.85,63.75,62.37,63.29,7239535.0,44412.0,63.229073
AXP,2016-01-15 05:00:00+00:00,62.0,63.05,61.5,62.91,9212071.0,59532.0,62.37199
AXP,2016-01-19 05:00:00+00:00,63.41,63.79,62.24,62.64,8650519.0,47855.0,62.839176
AXP,2016-01-20 05:00:00+00:00,61.54,63.54,61.29,63.03,9604672.0,68383.0,62.239153
AXP,2016-01-21 05:00:00+00:00,63.0,64.32,62.51,62.64,9291552.0,60375.0,63.162111
AXP,2016-01-22 05:00:00+00:00,58.13,58.89,54.14,55.06,45187715.0,221688.0,55.737337
AXP,2016-01-25 05:00:00+00:00,54.46,55.77,54.14,55.02,19008702.0,104384.0,55.259883
AXP,2016-01-26 05:00:00+00:00,55.18,55.74,54.96,55.09,13269110.0,71814.0,55.27831
AXP,2016-01-27 05:00:00+00:00,55.43,55.82,54.42,54.52,11448909.0,67140.0,55.085746
AXP,2016-01-28 05:00:00+00:00,54.68,54.76,52.15,52.88,18606549.0,104589.0,52.871051
AXP,2016-01-29 05:00:00+00:00,53.18,53.705,53.05,53.5,15106815.0,73221.0,53.447159
AXP,2016-02-01 05:00:00+00:00,53.41,54.99,53.0,54.7,10247250.0,58369.0,54.099422
AXP,2016-02-02 05:00:00+00:00,54.39,54.39,53.49,53.66,12623946.0,57780.0,53.820774
AXP,2016-02-03 05:00:00+00:00,54.0,54.29,52.83,54.11,10201906.0,62195.0,53.665909
AXP,2016-02-04 05:00:00+00:00,54.08,54.46,53.81,54.38,7102314.0,48836.0,54.226663
AXP,2016-02-05 05:00:00+00:00,54.72,54.845,53.81,53.98,9708106.0,55240.0,54.141692
AXP,2016-02-08 05:00:00+00:00,53.24,53.45,52.23,52.4,12828053.0,65068.0,52.556998
AXP,2016-02-09 05:00:00+00:00,52.26,53.0199,51.91,52.63,8829071.0,57512.0,52.694945
AXP,2016-02-10 05:00:00+00:00,53.0,53.43,52.28,52.29,7765864.0,47457.0,52.658102
AXP,2016-02-11 05:00:00+00:00,51.22,51.59,50.27,51.11,9671716.0,62577.0,51.065621
AXP,2016-02-12 05:00:00+00:00,51.88,52.73,51.64,52.66,6563425.0,42031.0,52.334566
AXP,2016-02-16 05:00:00+00:00,53.01,53.48,52.73,53.18,7633183.0,44108.0,53.073904
AXP,2016-02-17 05:00:00+00:00,53.5,54.0,53.3,53.61,9090576.0,50499.0,53.62984
AXP,2016-02-18 05:00:00+00:00,53.5,54.345,53.45,54.15,8758754.0,53542.0,53.956685
AXP,2016-02-19 05:00:00+00:00,54.25,55.0299,54.03,54.71,7439817.0,41370.0,54.611634
AXP,2016-02-22 05:00:00+00:00,55.2,55.63,54.96,55.63,6933911.0,39207.0,55.418639
AXP,2016-02-23 05:00:00+00:00,55.52,55.6,54.96,55.11,6173212.0,36615.0,55.285637
AXP,2016-02-24 05:00:00+00:00,54.45,54.87,53.5599,54.64,5790018.0,41317.0,54.304319
AXP,2016-02-25 05:00:00+00:00,54.78,55.39,54.3,55.39,4592091.0,31758.0,54.956441
AXP,2016-02-26 05:00:00+00:00,55.71,55.9,55.15,55.38,6137514.0,40766.0,55.546788
AXP,2016-02-29 05:00:00+00:00,55.3,56.15,54.81,55.58,11817727.0,58692.0,55.682172
AXP,2016-03-01 05:00:00+00:00,56.03,56.84,55.62,56.8,9495006.0,56233.0,56.357798
AXP,2016-03-02 05:00:00+00:00,56.88,57.23,56.57,57.12,7569255.0,46581.0,56.92486
AXP,2016-03-03 05:00:00+00:00,57.16,58.18,57.16,58.09,7645670.0,41057.0,57.92343
AXP,2016-03-04 05:00:00+00:00,58.44,58.65,57.81,58.29,5703410.0,33838.0,58.283044
AXP,2016-03-07 05:00:00+00:00,58.0,59.48,57.63,59.0,9789827.0,54928.0,58.747078
AXP,2016-03-08 05:00:00+00:00,58.84,60.0,58.71,59.43,11165866.0,68808.0,59.495138
AXP,2016-03-09 05:00:00+00:00,59.7,59.79,58.52,59.05,6746743.0,45100.0,59.091488
