symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AZO,2016-01-04 05:00:00+00:00,733.01,742.23,728.52,735.48,315308.0,5514.0,735.081534
AZO,2016-01-05 05:00:00+00:00,732.53,742.56,731.09,738.86,244937.0,4210.0,737.760022
AZO,2016-01-06 05:00:00+00:00,735.0,738.35,727.11,729.2,276677.0,4497.0,731.868121
AZO,2016-01-07 05:00:00+00:00,721.35,740.48,711.07,735.96,329693.0,5772.0,733.560133
AZO,2016-01-08 05:00:00+00:00,736.25,738.87,708.9,712.06,280547.0,4721.0,719.993225
AZO,2016-01-11 05:00:00+00:00,712.56,726.1,709.97,718.69,359242.0,5291.0,717.843491
AZO,2016-01-12 05:00:00+00:00,723.69,730.49,712.84,728.99,258998.0,4224.0,722.558587
AZO,2016-01-13 05:00:00+00:00,732.83,732.83,702.57,704.2,280483.0,5083.0,712.714724
AZO,2016-01-14 05:00:00+00:00,702.81,718.2,699.37,712.61,276067.0,4706.0,709.654845
AZO,2016-01-15 05:00:00+00:00,693.965,710.31,693.01,704.74,388605.0,6011.0,702.79827
AZO,2016-01-19 05:00:00+00:00,712.97,718.13,704.01,715.71,360542.0,5607.0,710.910276
AZO,2016-01-20 05:00:00+00:00,708.0,718.61,698.9,713.66,396381.0,6847.0,709.4568
AZO,2016-01-21 05:00:00+00:00,713.1,724.816,710.1,717.73,289651.0,5553.0,718.463623
AZO,2016-01-22 05:00:00+00:00,722.71,733.3,721.44,728.32,291572.0,5753.0,729.20615
AZO,2016-01-25 05:00:00+00:00,728.81,738.95,727.73,728.52,227299.0,5301.0,731.480964
AZO,2016-01-26 05:00:00+00:00,731.11,745.57,731.11,743.59,261132.0,4278.0,741.866071
AZO,2016-01-27 05:00:00+00:00,740.3,754.99,736.51,744.29,321235.0,6215.0,746.795706
AZO,2016-01-28 05:00:00+00:00,751.73,753.8,741.16,747.55,342936.0,5694.0,747.961906
AZO,2016-01-29 05:00:00+00:00,745.58,771.59,743.0,767.39,526593.0,7306.0,763.532066
AZO,2016-02-01 05:00:00+00:00,765.0,774.8,762.01,768.55,414424.0,6343.0,770.898749
AZO,2016-02-02 05:00:00+00:00,768.18,769.04,756.08,763.6,347041.0,5655.0,760.133951
AZO,2016-02-03 05:00:00+00:00,768.59,768.59,745.3,751.9,490414.0,7182.0,751.383449
AZO,2016-02-04 05:00:00+00:00,748.04,750.32,734.3,747.87,518050.0,6929.0,742.719216
AZO,2016-02-05 05:00:00+00:00,748.61,749.61,722.58,727.35,645658.0,8557.0,731.522027
AZO,2016-02-08 05:00:00+00:00,716.55,722.9,681.01,695.46,675599.0,9148.0,694.226764
AZO,2016-02-09 05:00:00+00:00,692.0,704.06,686.22,697.58,572793.0,8027.0,697.469763
AZO,2016-02-10 05:00:00+00:00,702.57,709.89,695.0603,697.17,384090.0,5308.0,700.158024
AZO,2016-02-11 05:00:00+00:00,698.99,720.84,692.7565,712.75,585804.0,8473.0,709.609904
AZO,2016-02-12 05:00:00+00:00,717.14,732.37,714.02,729.62,336381.0,5416.0,726.994166
AZO,2016-02-16 05:00:00+00:00,741.01,767.2,741.01,757.69,660999.0,8500.0,756.854378
AZO,2016-02-17 05:00:00+00:00,762.0,772.45,745.7,754.18,391041.0,6182.0,756.020226
AZO,2016-02-18 05:00:00+00:00,750.0,756.08,746.54,748.51,393525.0,5771.0,750.517429
