symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BG,2016-01-04 05:00:00+00:00,67.48,67.51,66.4,66.82,1085834.0,10254.0,66.813266
BG,2016-01-05 05:00:00+00:00,66.6,67.025,66.0,66.58,1328468.0,11685.0,66.507356
BG,2016-01-06 05:00:00+00:00,66.0,67.21,65.85,66.75,1223378.0,10716.0,66.56315
BG,2016-01-07 05:00:00+00:00,66.03,67.19,65.53,66.54,1588862.0,11459.0,66.658853
BG,2016-01-08 05:00:00+00:00,66.57,67.02,65.95,66.12,1048307.0,8981.0,66.460082
BG,2016-01-11 05:00:00+00:00,66.5,66.6899,65.88,66.45,1064748.0,10097.0,66.306057
BG,2016-01-12 05:00:00+00:00,66.76,67.14,64.42,65.17,1428344.0,11840.0,65.352292
BG,2016-01-13 05:00:00+00:00,65.61,67.08,64.692,64.87,1828898.0,15781.0,65.46887
BG,2016-01-14 05:00:00+00:00,64.72,64.85,63.2,63.95,1878190.0,14641.0,63.898333
BG,2016-01-15 05:00:00+00:00,63.02,63.17,61.06,61.8,1564070.0,13472.0,61.759024
BG,2016-01-19 05:00:00+00:00,62.27,62.49,60.81,60.85,1906009.0,13742.0,61.4448
BG,2016-01-20 05:00:00+00:00,60.36,60.59,58.32,59.64,1879005.0,16376.0,59.45313
BG,2016-01-21 05:00:00+00:00,59.26,60.03,58.86,59.42,1015189.0,10226.0,59.464295
BG,2016-01-22 05:00:00+00:00,60.04,60.87,59.56,59.93,1005393.0,9732.0,60.027585
BG,2016-01-25 05:00:00+00:00,59.79,60.13,58.82,59.03,2098171.0,13147.0,59.088411
BG,2016-01-26 05:00:00+00:00,59.41,59.63,58.73,59.32,1617841.0,12464.0,59.325786
BG,2016-01-27 05:00:00+00:00,58.83,59.13,57.91,58.61,1865135.0,13139.0,58.586502
BG,2016-01-28 05:00:00+00:00,59.49,60.1866,58.98,60.08,1132383.0,9608.0,59.683222
BG,2016-01-29 05:00:00+00:00,59.98,62.01,59.98,62.01,1705596.0,10695.0,61.558367
BG,2016-02-01 05:00:00+00:00,61.89,62.07,60.88,61.24,936899.0,7721.0,61.192119
