symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BKR,2017-07-05 04:00:00+00:00,40.82,40.82,37.25,37.25,6439620.0,29272.0,38.052949
BKR,2017-07-06 04:00:00+00:00,38.09,38.09,36.52,37.01,5441984.0,32584.0,37.146609
BKR,2017-07-07 04:00:00+00:00,38.14,38.59,36.12,37.91,6277978.0,37601.0,37.147263
BKR,2017-07-10 04:00:00+00:00,37.63,38.17,36.8,37.23,5198664.0,27078.0,37.29207
BKR,2017-07-11 04:00:00+00:00,37.31,37.78,36.89,37.35,3179890.0,17321.0,37.422989
BKR,2017-07-12 04:00:00+00:00,37.77,37.99,37.25,37.37,3890909.0,15700.0,37.454215
BKR,2017-07-13 04:00:00+00:00,37.45,37.65,36.69,36.84,4631497.0,19372.0,36.916784
BKR,2017-07-14 04:00:00+00:00,37.0,37.495,36.91,37.35,2985375.0,16001.0,37.171456
BKR,2017-07-17 04:00:00+00:00,37.71,38.37,37.64,37.64,4930986.0,18968.0,37.822041
BKR,2017-07-18 04:00:00+00:00,37.52,37.78,36.73,36.75,3549683.0,15295.0,37.069876
BKR,2017-07-19 04:00:00+00:00,36.59,37.09,36.36,36.54,4687759.0,24057.0,36.710821
BKR,2017-07-20 04:00:00+00:00,36.59,36.9,34.86,34.97,7182357.0,31604.0,35.515892
BKR,2017-07-21 04:00:00+00:00,34.64,34.88,33.44,34.12,8110730.0,41320.0,33.889235
BKR,2017-07-24 04:00:00+00:00,34.46,34.46,33.88,34.36,3185926.0,15689.0,34.25554
BKR,2017-07-25 04:00:00+00:00,34.81,35.28,34.77,35.25,3324479.0,14468.0,35.13486
BKR,2017-07-26 04:00:00+00:00,35.58,36.18,35.22,36.05,4167018.0,20155.0,35.865742
BKR,2017-07-27 04:00:00+00:00,35.97,37.04,35.7,36.16,4908624.0,27449.0,36.379811
BKR,2017-07-28 04:00:00+00:00,34.85,37.5,34.2257,37.1,4718240.0,29147.0,36.952703
BKR,2017-07-31 04:00:00+00:00,37.1,37.17,36.43,36.89,3727731.0,18649.0,36.923473
BKR,2017-08-01 04:00:00+00:00,36.82,36.83,35.41,35.7,3131213.0,18755.0,35.884972
BKR,2017-08-02 04:00:00+00:00,35.36,35.55,35.035,35.35,3851151.0,18852.0,35.333429
BKR,2017-08-03 04:00:00+00:00,35.26,35.51,35.07,35.31,3732623.0,16537.0,35.29802
BKR,2017-08-04 04:00:00+00:00,35.42,35.54,35.06,35.23,3354420.0,13066.0,35.266438
BKR,2017-08-07 04:00:00+00:00,35.1,35.27,34.4,34.56,2259394.0,13311.0,34.653908
BKR,2017-08-08 04:00:00+00:00,34.75,35.47,34.6442,34.94,2321752.0,13878.0,34.986399
BKR,2017-08-09 04:00:00+00:00,34.79,35.29,34.76,35.02,2485490.0,13482.0,35.047193
BKR,2017-08-10 04:00:00+00:00,35.01,35.29,34.57,34.7,2157643.0,13780.0,34.896997
BKR,2017-08-11 04:00:00+00:00,34.51,34.89,34.28,34.29,1327644.0,9264.0,34.468953
BKR,2017-08-14 04:00:00+00:00,34.45,34.54,34.135,34.26,2281070.0,11163.0,34.264262
BKR,2017-08-15 04:00:00+00:00,34.03,34.42,34.03,34.31,2380376.0,11759.0,34.296496
BKR,2017-08-16 04:00:00+00:00,34.37,34.51,33.76,33.83,1517889.0,10022.0,33.956891
BKR,2017-08-17 04:00:00+00:00,33.75,34.09,32.75,32.8,2455970.0,13760.0,33.197406
BKR,2017-08-18 04:00:00+00:00,32.74,33.13,32.4301,32.77,3549208.0,17718.0,32.770583
BKR,2017-08-21 04:00:00+00:00,32.77,32.99,32.46,32.54,2741172.0,13173.0,32.594319
BKR,2017-08-22 04:00:00+00:00,32.62,32.945,32.43,32.69,2086783.0,13987.0,32.756718
BKR,2017-08-23 04:00:00+00:00,32.51,33.24,32.51,33.04,1701085.0,11340.0,33.069498
BKR,2017-08-24 04:00:00+00:00,33.06,33.09,32.54,32.82,1977195.0,12765.0,32.78362
BKR,2017-08-25 04:00:00+00:00,32.88,33.41,32.8701,33.26,2368800.0,11206.0,33.197331
BKR,2017-08-28 04:00:00+00:00,33.27,33.4,32.82,33.25,2838439.0,12530.0,33.143016
BKR,2017-08-29 04:00:00+00:00,33.1,33.81,33.1,33.75,2486618.0,13455.0,33.61008
BKR,2017-08-30 04:00:00+00:00,33.6,33.73,33.2376,33.51,1870972.0,10252.0,33.500692
BKR,2017-08-31 04:00:00+00:00,33.99,34.35,33.46,33.9,4045481.0,22450.0,34.005129
BKR,2017-09-01 04:00:00+00:00,33.97,34.44,33.73,34.3,1815524.0,12617.0,34.175259
BKR,2017-09-05 04:00:00+00:00,34.83,35.45,34.49,34.97,4563925.0,33216.0,34.996673
BKR,2017-09-06 04:00:00+00:00,35.39,35.74,34.72,34.74,3631210.0,21910.0,35.131065
BKR,2017-09-07 04:00:00+00:00,34.77,35.25,34.29,34.75,2313084.0,17014.0,34.69646
BKR,2017-09-08 04:00:00+00:00,34.77,34.98,34.06,34.42,3280842.0,17536.0,34.457055
BKR,2017-09-11 04:00:00+00:00,34.39,35.6,34.37,35.48,3299726.0,15487.0,35.382271
BKR,2017-09-12 04:00:00+00:00,35.38,36.4,35.24,35.96,3976478.0,22536.0,35.991442
BKR,2017-09-13 04:00:00+00:00,35.94,36.73,35.9,36.09,5579259.0,21884.0,36.113957
BKR,2017-09-14 04:00:00+00:00,36.35,37.14,36.2,36.38,6332166.0,23751.0,36.500795
BKR,2017-09-15 04:00:00+00:00,36.37,36.91,36.37,36.9,12500253.0,23148.0,36.834798
BKR,2017-09-18 04:00:00+00:00,36.9,37.49,36.78,37.36,4560335.0,13952.0,37.294929
BKR,2017-09-19 04:00:00+00:00,37.31,37.45,37.06,37.39,3974004.0,16553.0,37.351206
BKR,2017-09-20 04:00:00+00:00,37.55,37.68,37.24,37.5,2451626.0,17412.0,37.455825
BKR,2017-09-21 04:00:00+00:00,37.17,37.26,36.365,36.58,2852774.0,18724.0,36.689185
BKR,2017-09-22 04:00:00+00:00,36.53,36.74,36.28,36.67,3971223.0,21520.0,36.508143
BKR,2017-09-25 04:00:00+00:00,36.81,38.1,36.63,37.52,5222696.0,28427.0,37.456691
BKR,2017-09-26 04:00:00+00:00,37.34,37.34,36.6597,37.04,2825209.0,17695.0,36.988132
BKR,2017-09-27 04:00:00+00:00,37.09,37.2,36.69,36.93,2334415.0,16501.0,36.907684
BKR,2017-09-28 04:00:00+00:00,37.12,37.24,36.56,37.03,2444977.0,15042.0,36.985715
BKR,2017-09-29 04:00:00+00:00,36.8,37.05,36.32,36.62,3538720.0,15490.0,36.568862
BKR,2017-10-02 04:00:00+00:00,35.96,36.91,35.92,36.86,2099544.0,14423.0,36.657322
BKR,2017-10-03 04:00:00+00:00,36.84,37.1,36.39,36.67,2686921.0,16294.0,36.805435
BKR,2017-10-04 04:00:00+00:00,36.75,37.09,36.53,36.71,2088681.0,14132.0,36.749976
BKR,2017-10-05 04:00:00+00:00,36.84,36.92,36.46,36.48,2111276.0,13778.0,36.606269
BKR,2017-10-06 04:00:00+00:00,36.16,36.71,36.04,36.53,2000683.0,14281.0,36.43722
BKR,2017-10-09 04:00:00+00:00,36.6,36.67,35.8,35.84,3623301.0,10598.0,35.954887
BKR,2017-10-10 04:00:00+00:00,36.06,36.23,34.92,34.97,4526464.0,25354.0,35.398872
BKR,2017-10-11 04:00:00+00:00,34.85,34.9,34.23,34.39,5140111.0,23362.0,34.482353
BKR,2017-10-12 04:00:00+00:00,34.14,34.3,33.78,33.92,5817440.0,20960.0,33.953043
BKR,2017-10-13 04:00:00+00:00,34.26,34.6,33.71,33.73,3061861.0,17074.0,34.030411
BKR,2017-10-16 04:00:00+00:00,34.04,34.225,33.641,33.7,3451261.0,17155.0,33.851564
BKR,2017-10-17 04:00:00+00:00,33.64,34.07,33.3,33.79,5048242.0,21767.0,33.685469
BKR,2017-10-18 04:00:00+00:00,33.76,34.26,33.75,33.8,2830832.0,17760.0,33.944155
BKR,2017-10-19 04:00:00+00:00,33.55,33.89,33.05,33.15,5339585.0,28185.0,33.305445
BKR,2017-10-20 04:00:00+00:00,32.01,33.43,31.44,33.26,7479711.0,38602.0,32.656259
BKR,2017-10-23 04:00:00+00:00,33.22,33.26,31.4,31.47,5940592.0,37166.0,31.870713
