symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BLDR,2016-01-04 05:00:00+00:00,10.83,11.14,10.51,11.09,1957296.0,15845.0,10.876478
BLDR,2016-01-05 05:00:00+00:00,11.16,11.26,10.78,11.18,1421758.0,10870.0,11.085004
BLDR,2016-01-06 05:00:00+00:00,11.01,11.145,10.145,10.42,2323853.0,15228.0,10.470711
BLDR,2016-01-07 05:00:00+00:00,10.03,10.25,9.59,9.65,2455964.0,14352.0,9.866952
BLDR,2016-01-08 05:00:00+00:00,9.71,9.81,9.41,9.47,1702405.0,11446.0,9.522746
BLDR,2016-01-11 05:00:00+00:00,9.49,9.51,8.945,9.16,1991483.0,10929.0,9.138973
BLDR,2016-01-12 05:00:00+00:00,9.29,9.36,8.73,9.03,2419329.0,16226.0,8.964699
BLDR,2016-01-13 05:00:00+00:00,9.04,9.13,8.49,8.52,1607802.0,10488.0,8.725102
BLDR,2016-01-14 05:00:00+00:00,8.55,8.735,8.225,8.6,1596617.0,8849.0,8.572325
BLDR,2016-01-15 05:00:00+00:00,8.33,8.3767,7.8985,8.17,1513626.0,9490.0,8.129175
BLDR,2016-01-19 05:00:00+00:00,8.3,8.32,7.57,7.63,2207766.0,14304.0,7.712058
BLDR,2016-01-20 05:00:00+00:00,7.44,7.79,7.02,7.63,3113823.0,17934.0,7.371396
BLDR,2016-01-21 05:00:00+00:00,7.66,8.31,7.65,7.82,1896302.0,13458.0,7.962223
BLDR,2016-01-22 05:00:00+00:00,8.02,8.51,8.02,8.28,1685140.0,11878.0,8.346017
BLDR,2016-01-25 05:00:00+00:00,8.15,8.17,7.74,7.8,1484702.0,10101.0,7.883111
BLDR,2016-01-26 05:00:00+00:00,7.8,8.07,7.47,8.04,1323664.0,9068.0,7.910896
BLDR,2016-01-27 05:00:00+00:00,8.01,8.06,7.495,7.58,1277071.0,8745.0,7.728263
BLDR,2016-01-28 05:00:00+00:00,7.78,7.84,7.321,7.6,1386342.0,9761.0,7.61744
BLDR,2016-01-29 05:00:00+00:00,7.7,8.045,7.7,8.03,1294335.0,7705.0,7.957246
BLDR,2016-02-01 05:00:00+00:00,7.97,8.21,7.86,8.15,1224889.0,8572.0,8.075871
BLDR,2016-02-02 05:00:00+00:00,7.99,8.04,7.63,7.75,1410281.0,9704.0,7.759099
BLDR,2016-02-03 05:00:00+00:00,8.03,8.13,7.56,7.8,1945324.0,11205.0,7.843489
BLDR,2016-02-04 05:00:00+00:00,7.8,8.32,7.72,8.22,1212002.0,8361.0,8.17855
BLDR,2016-02-05 05:00:00+00:00,8.13,8.38,7.595,7.63,1965354.0,10416.0,7.717505
BLDR,2016-02-08 05:00:00+00:00,7.48,7.57,7.04,7.25,2560755.0,11674.0,7.198898
BLDR,2016-02-09 05:00:00+00:00,7.17,7.24,6.665,6.76,2496295.0,13335.0,6.819158
BLDR,2016-02-10 05:00:00+00:00,6.98,7.24,6.75,6.94,1679721.0,10786.0,7.009894
BLDR,2016-02-11 05:00:00+00:00,6.81,7.13,6.5,6.59,1629132.0,9699.0,6.632139
BLDR,2016-02-12 05:00:00+00:00,6.69,6.92,6.535,6.64,1162514.0,8097.0,6.635824
BLDR,2016-02-16 05:00:00+00:00,6.78,7.0,6.64,6.98,1409620.0,8690.0,6.892843
BLDR,2016-02-17 05:00:00+00:00,7.0,7.25,7.0,7.03,1940607.0,10186.0,7.087873
BLDR,2016-02-18 05:00:00+00:00,7.05,7.31,6.78,6.905,1337788.0,7951.0,6.894763
BLDR,2016-02-19 05:00:00+00:00,6.86,6.93,6.72,6.76,1482351.0,8545.0,6.773205
BLDR,2016-02-22 05:00:00+00:00,6.89,7.55,6.89,7.39,1567284.0,9685.0,7.374439
BLDR,2016-02-23 05:00:00+00:00,7.36,7.4,7.09,7.2,1146900.0,6427.0,7.198851
BLDR,2016-02-24 05:00:00+00:00,7.04,7.355,7.01,7.35,937667.0,5957.0,7.204997
BLDR,2016-02-25 05:00:00+00:00,7.37,7.4899,7.2,7.37,747633.0,5498.0,7.346309
BLDR,2016-02-26 05:00:00+00:00,7.45,7.92,7.405,7.9,1216621.0,8834.0,7.769953
BLDR,2016-02-29 05:00:00+00:00,8.0,8.38,7.9,7.93,2118641.0,11489.0,8.077017
BLDR,2016-03-01 05:00:00+00:00,7.97,8.51,7.97,8.49,3009363.0,12842.0,8.334704
BLDR,2016-03-02 05:00:00+00:00,8.55,8.68,8.3,8.63,1887175.0,9091.0,8.461954
BLDR,2016-03-03 05:00:00+00:00,8.64,8.7,8.29,8.65,1542214.0,9205.0,8.56588
BLDR,2016-03-04 05:00:00+00:00,9.02,10.2,8.84,9.79,4937058.0,24960.0,9.740347
BLDR,2016-03-07 05:00:00+00:00,9.65,10.04,9.65,10.0,2344297.0,14182.0,9.897945
BLDR,2016-03-08 05:00:00+00:00,9.91,10.0385,9.63,9.74,1642162.0,10463.0,9.820822
BLDR,2016-03-09 05:00:00+00:00,9.78,9.91,9.27,9.43,1097111.0,7001.0,9.473037
BLDR,2016-03-10 05:00:00+00:00,9.51,9.59,9.07,9.26,812503.0,5171.0,9.269089
BLDR,2016-03-11 05:00:00+00:00,9.38,9.705,9.05,9.69,726549.0,4647.0,9.626062
BLDR,2016-03-14 04:00:00+00:00,9.66,10.01,9.59,9.99,1199269.0,8289.0,9.877839
BLDR,2016-03-15 04:00:00+00:00,9.9,10.01,9.29,9.35,817501.0,5963.0,9.456532
BLDR,2016-03-16 04:00:00+00:00,9.31,9.75,9.26,9.71,1413477.0,10666.0,9.54598
BLDR,2016-03-17 04:00:00+00:00,9.62,10.06,9.59,10.01,669891.0,4360.0,9.895487
BLDR,2016-03-18 04:00:00+00:00,10.08,10.3755,9.99,10.11,2410308.0,9336.0,10.175259
BLDR,2016-03-21 04:00:00+00:00,10.08,10.26,9.86,9.9,702502.0,4960.0,9.975923
BLDR,2016-03-22 04:00:00+00:00,9.84,10.19,9.76,10.11,710094.0,4458.0,10.080681
BLDR,2016-03-23 04:00:00+00:00,10.09,10.4499,10.09,10.22,2092547.0,11142.0,10.267215
BLDR,2016-03-24 04:00:00+00:00,10.12,10.24,9.96,10.14,599395.0,4770.0,10.114697
BLDR,2016-03-28 04:00:00+00:00,10.16,10.37,9.92,10.29,779430.0,4732.0,10.212033
BLDR,2016-03-29 04:00:00+00:00,10.24,10.87,10.18,10.67,1625194.0,8014.0,10.606908
BLDR,2016-03-30 04:00:00+00:00,10.79,10.85,10.5,10.64,1152137.0,7198.0,10.657463
BLDR,2016-03-31 04:00:00+00:00,10.65,11.335,10.61,11.27,1861191.0,7678.0,11.180599
BLDR,2016-04-01 04:00:00+00:00,11.07,11.5,10.96,11.41,1183643.0,7068.0,11.336559
BLDR,2016-04-04 04:00:00+00:00,11.41,11.51,11.03,11.08,988073.0,7397.0,11.162003
BLDR,2016-04-05 04:00:00+00:00,10.92,11.33,10.762,11.28,891722.0,5935.0,11.211126
BLDR,2016-04-06 04:00:00+00:00,11.33,11.8,11.23,11.73,1113277.0,7708.0,11.623405
BLDR,2016-04-07 04:00:00+00:00,11.58,11.84,11.36,11.55,1282886.0,6685.0,11.548104
BLDR,2016-04-08 04:00:00+00:00,11.72,11.89,11.34,11.66,757907.0,5213.0,11.597842
BLDR,2016-04-11 04:00:00+00:00,11.76,12.1936,11.66,11.86,1114831.0,6340.0,11.940046
BLDR,2016-04-12 04:00:00+00:00,11.89,12.0383,11.63,11.71,890309.0,6048.0,11.714706
BLDR,2016-04-13 04:00:00+00:00,11.84,12.07,11.71,11.98,892191.0,6027.0,11.968487
BLDR,2016-04-14 04:00:00+00:00,11.97,12.01,11.76,11.89,895583.0,6605.0,11.881318
BLDR,2016-04-15 04:00:00+00:00,11.9,12.19,11.8,12.03,993030.0,6425.0,12.014683
BLDR,2016-04-18 04:00:00+00:00,11.99,12.32,11.85,12.1,560043.0,4279.0,12.133017
BLDR,2016-04-19 04:00:00+00:00,12.12,12.1708,11.91,12.02,660864.0,7435.0,12.044662
BLDR,2016-04-20 04:00:00+00:00,11.94,12.5,11.94,12.2,886001.0,5952.0,12.233981
BLDR,2016-04-21 04:00:00+00:00,12.3,12.77,12.28,12.3,927576.0,5653.0,12.397422
BLDR,2016-04-22 04:00:00+00:00,12.35,12.57,12.3364,12.4,1097560.0,6218.0,12.442326
BLDR,2016-04-25 04:00:00+00:00,12.38,12.59,12.09,12.21,518163.0,5166.0,12.226506
BLDR,2016-04-26 04:00:00+00:00,12.23,12.2805,11.94,12.14,953893.0,6683.0,12.073259
BLDR,2016-04-27 04:00:00+00:00,12.09,12.17,11.97,12.03,919181.0,6343.0,12.049899
BLDR,2016-04-28 04:00:00+00:00,11.92,12.02,11.335,11.4,978470.0,7342.0,11.65994
BLDR,2016-04-29 04:00:00+00:00,11.38,11.39,10.82,11.09,1604948.0,10164.0,11.01081
BLDR,2016-05-02 04:00:00+00:00,11.15,11.46,10.94,11.44,1018619.0,8001.0,11.246017
BLDR,2016-05-03 04:00:00+00:00,11.32,11.364,10.905,10.98,1674386.0,11152.0,11.100566
BLDR,2016-05-04 04:00:00+00:00,10.9,11.33,10.83,11.13,1156514.0,9207.0,11.06125
