symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BXP,2016-01-04 05:00:00+00:00,125.32,125.93,122.9,124.2,919937.0,8937.0,124.052113
BXP,2016-01-05 05:00:00+00:00,123.81,127.71,123.81,127.26,737070.0,8211.0,126.651921
BXP,2016-01-06 05:00:00+00:00,126.66,127.33,126.29,127.24,856926.0,8980.0,126.870413
BXP,2016-01-07 05:00:00+00:00,125.51,127.21,124.95,124.98,996217.0,9416.0,125.682712
BXP,2016-01-08 05:00:00+00:00,125.0,125.77,121.27,121.48,893863.0,9122.0,122.666781
BXP,2016-01-11 05:00:00+00:00,122.09,123.23,121.625,122.68,852467.0,8151.0,122.589162
BXP,2016-01-12 05:00:00+00:00,123.4,124.07,120.47,121.01,1012921.0,8863.0,121.227559
BXP,2016-01-13 05:00:00+00:00,121.15,122.28,118.57,118.73,777077.0,8250.0,120.004256
BXP,2016-01-14 05:00:00+00:00,119.35,121.015,119.0825,119.87,1052623.0,10491.0,120.043455
BXP,2016-01-15 05:00:00+00:00,118.34,118.78,116.72,118.45,959346.0,8788.0,118.107439
BXP,2016-01-19 05:00:00+00:00,119.82,120.41,118.21,119.33,688439.0,7891.0,119.210778
BXP,2016-01-20 05:00:00+00:00,118.17,118.4,113.84,115.85,1352828.0,12118.0,115.850404
BXP,2016-01-21 05:00:00+00:00,116.37,117.71,115.46,116.04,667784.0,7799.0,116.398265
BXP,2016-01-22 05:00:00+00:00,117.46,119.74,117.45,119.2,718865.0,7020.0,119.009533
BXP,2016-01-25 05:00:00+00:00,119.21,120.38,117.6,117.81,772814.0,7470.0,118.212001
BXP,2016-01-26 05:00:00+00:00,118.44,120.69,118.44,120.35,851706.0,7352.0,120.042204
BXP,2016-01-27 05:00:00+00:00,119.36,120.73,118.51,119.14,639701.0,6535.0,119.408298
BXP,2016-01-28 05:00:00+00:00,118.47,121.16,114.27,115.44,1947079.0,15580.0,117.329694
BXP,2016-01-29 05:00:00+00:00,117.31,117.955,114.2,116.21,2121867.0,20486.0,115.812136
BXP,2016-02-01 05:00:00+00:00,115.22,118.36,114.83,116.31,1168474.0,13398.0,116.968868
BXP,2016-02-02 05:00:00+00:00,115.93,117.29,114.23,114.82,1328697.0,12912.0,115.063682
BXP,2016-02-03 05:00:00+00:00,115.81,116.11,114.04,114.7,1162772.0,11402.0,114.961065
BXP,2016-02-04 05:00:00+00:00,114.65,118.64,114.37,117.25,1145092.0,11712.0,117.221129
BXP,2016-02-05 05:00:00+00:00,116.03,117.25,115.0,115.09,924716.0,9889.0,115.821099
BXP,2016-02-08 05:00:00+00:00,114.99,115.13,110.05,111.14,1187494.0,12870.0,111.336042
BXP,2016-02-09 05:00:00+00:00,110.32,110.91,107.99,108.97,1228496.0,12919.0,109.178639
BXP,2016-02-10 05:00:00+00:00,109.81,112.47,109.17,111.19,733546.0,9898.0,111.533378
BXP,2016-02-11 05:00:00+00:00,109.58,109.91,107.81,108.18,999209.0,7806.0,108.402209
BXP,2016-02-12 05:00:00+00:00,109.07,109.75,107.28,108.61,777592.0,8098.0,108.405433
BXP,2016-02-16 05:00:00+00:00,110.3,110.54,108.865,110.29,1158793.0,7114.0,109.978742
BXP,2016-02-17 05:00:00+00:00,111.51,113.3,111.41,111.97,788664.0,8170.0,112.295116
BXP,2016-02-18 05:00:00+00:00,111.78,112.42,110.52,111.62,1016877.0,10899.0,111.695925
BXP,2016-02-19 05:00:00+00:00,111.04,113.17,109.96,112.4,912357.0,9683.0,112.087558
BXP,2016-02-22 05:00:00+00:00,113.86,115.12,113.15,114.76,1040198.0,10242.0,114.553773
BXP,2016-02-23 05:00:00+00:00,114.18,116.31,113.47,114.35,1713792.0,9629.0,114.747145
BXP,2016-02-24 05:00:00+00:00,113.72,114.39,112.38,113.72,739312.0,7350.0,113.250065
BXP,2016-02-25 05:00:00+00:00,114.56,116.18,113.84,115.18,739146.0,6228.0,115.11974
BXP,2016-02-26 05:00:00+00:00,114.91,115.09,113.76,113.9,791373.0,6388.0,114.199263
BXP,2016-02-29 05:00:00+00:00,114.09,116.095,113.66,114.14,1498382.0,10936.0,114.460368
BXP,2016-03-01 05:00:00+00:00,115.0,118.1,114.29,118.06,905705.0,8595.0,117.306228
BXP,2016-03-02 05:00:00+00:00,117.52,118.1,116.78,118.03,646910.0,6265.0,117.762401
BXP,2016-03-03 05:00:00+00:00,117.67,118.66,117.32,118.4,828526.0,6305.0,118.281914
BXP,2016-03-04 05:00:00+00:00,118.33,118.735,117.75,118.58,828849.0,8378.0,118.41933
BXP,2016-03-07 05:00:00+00:00,117.41,119.29,117.41,118.65,519908.0,5855.0,118.58397
BXP,2016-03-08 05:00:00+00:00,117.93,118.91,116.9,117.1,654606.0,6943.0,117.408289
BXP,2016-03-09 05:00:00+00:00,117.43,118.28,117.02,117.34,738487.0,7005.0,117.413126
BXP,2016-03-10 05:00:00+00:00,118.07,118.56,115.69,117.12,393772.0,5250.0,116.917361
BXP,2016-03-11 05:00:00+00:00,117.9,122.86,117.02,122.7,1290215.0,10471.0,121.472184
BXP,2016-03-14 04:00:00+00:00,122.32,122.96,121.48,122.72,786403.0,7400.0,122.370904
BXP,2016-03-15 04:00:00+00:00,122.12,123.74,121.54,123.37,866404.0,10670.0,123.121313
BXP,2016-03-16 04:00:00+00:00,122.54,125.83,122.39,125.37,897364.0,11396.0,124.788196
BXP,2016-03-17 04:00:00+00:00,125.61,127.64,124.7,127.0,964178.0,9393.0,126.738291
BXP,2016-03-18 04:00:00+00:00,127.12,127.5199,126.25,126.66,1491136.0,11436.0,126.78378
BXP,2016-03-21 04:00:00+00:00,126.1,127.0,125.36,125.95,1669575.0,9169.0,125.979918
BXP,2016-03-22 04:00:00+00:00,125.72,126.51,124.44,125.32,1007350.0,9935.0,125.294859
BXP,2016-03-23 04:00:00+00:00,125.25,125.73,124.18,124.25,1061706.0,6985.0,124.524525
BXP,2016-03-24 04:00:00+00:00,123.78,124.25,122.35,123.87,755581.0,6943.0,123.410232
BXP,2016-03-28 04:00:00+00:00,124.01,125.46,123.7,124.93,555740.0,7347.0,124.860537
BXP,2016-03-29 04:00:00+00:00,124.17,126.955,123.9,126.77,641686.0,7751.0,126.017403
BXP,2016-03-30 04:00:00+00:00,126.56,127.77,126.48,126.72,642056.0,7380.0,127.160482
BXP,2016-03-31 04:00:00+00:00,126.69,127.23,126.04,127.08,836570.0,7484.0,126.924135
BXP,2016-04-01 04:00:00+00:00,126.72,127.94,126.17,127.29,691452.0,7875.0,127.273275
BXP,2016-04-04 04:00:00+00:00,127.26,127.82,126.82,127.5,600439.0,6783.0,127.384944
BXP,2016-04-05 04:00:00+00:00,127.1,128.06,126.66,127.03,574465.0,7417.0,127.128409
BXP,2016-04-06 04:00:00+00:00,126.85,127.99,125.51,127.9,529100.0,6559.0,127.44158
BXP,2016-04-07 04:00:00+00:00,127.34,127.79,125.71,126.21,659712.0,7044.0,126.412926
BXP,2016-04-08 04:00:00+00:00,126.85,128.65,126.061,127.12,612993.0,6871.0,127.527306
BXP,2016-04-11 04:00:00+00:00,127.52,127.99,126.6205,126.9,519096.0,5837.0,127.183324
BXP,2016-04-12 04:00:00+00:00,127.5,129.73,127.37,129.2,891719.0,10355.0,128.899934
BXP,2016-04-13 04:00:00+00:00,129.84,129.88,127.8,128.35,799817.0,9176.0,128.416339
BXP,2016-04-14 04:00:00+00:00,128.38,128.84,127.885,128.32,511721.0,5204.0,128.284599
BXP,2016-04-15 04:00:00+00:00,128.42,129.8,127.7201,129.58,599487.0,6280.0,129.229878
BXP,2016-04-18 04:00:00+00:00,128.88,130.165,128.35,130.01,846619.0,7151.0,129.760967
BXP,2016-04-19 04:00:00+00:00,130.3,131.16,129.69,131.14,481699.0,6402.0,130.791811
BXP,2016-04-20 04:00:00+00:00,131.23,131.33,128.49,128.68,465852.0,6148.0,129.288032
BXP,2016-04-21 04:00:00+00:00,127.86,129.74,127.44,127.9,714035.0,9046.0,128.542663
BXP,2016-04-22 04:00:00+00:00,128.49,129.46,127.91,129.4,469956.0,4719.0,129.123075
BXP,2016-04-25 04:00:00+00:00,128.6,130.155,128.12,130.0,621595.0,6254.0,129.786925
BXP,2016-04-26 04:00:00+00:00,130.79,131.2447,129.68,130.55,657092.0,6910.0,130.379821
BXP,2016-04-27 04:00:00+00:00,130.3,131.58,128.92,130.6,658971.0,7459.0,130.419682
BXP,2016-04-28 04:00:00+00:00,130.26,131.15,129.1701,129.65,510231.0,6169.0,129.84927
BXP,2016-04-29 04:00:00+00:00,128.99,129.68,128.04,128.86,943111.0,9912.0,128.805423
BXP,2016-05-02 04:00:00+00:00,129.56,131.45,128.74,131.11,491627.0,6674.0,130.899764
BXP,2016-05-03 04:00:00+00:00,130.29,131.06,129.11,129.94,522650.0,7311.0,129.821723
BXP,2016-05-04 04:00:00+00:00,128.96,131.02,128.37,130.58,871376.0,9542.0,130.414869
BXP,2016-05-05 04:00:00+00:00,130.5,131.14,129.895,130.86,631560.0,7064.0,130.761495
BXP,2016-05-06 04:00:00+00:00,130.78,131.2923,129.5301,130.9,985166.0,10636.0,130.372783
BXP,2016-05-09 04:00:00+00:00,131.215,132.32,130.85,132.27,819754.0,8340.0,131.81995
BXP,2016-05-10 04:00:00+00:00,132.95,133.59,132.36,133.13,893350.0,10914.0,133.04388
BXP,2016-05-11 04:00:00+00:00,133.0,133.0,130.38,130.9,1047249.0,9921.0,130.984726
BXP,2016-05-12 04:00:00+00:00,131.12,131.6,130.11,131.38,665338.0,7414.0,131.050182
BXP,2016-05-13 04:00:00+00:00,130.97,130.97,129.42,130.06,680173.0,7057.0,129.918038
BXP,2016-05-16 04:00:00+00:00,130.14,131.02,129.495,130.81,497277.0,5701.0,130.5693
BXP,2016-05-17 04:00:00+00:00,130.37,131.09,129.54,130.39,1018045.0,10514.0,130.348879
BXP,2016-05-18 04:00:00+00:00,129.9,130.72,125.76,127.25,1602121.0,14662.0,127.485882
BXP,2016-05-19 04:00:00+00:00,126.17,126.17,123.45,123.71,1244044.0,12813.0,123.944583
BXP,2016-05-20 04:00:00+00:00,124.71,125.18,123.69,124.39,1179586.0,11438.0,124.304517
BXP,2016-05-23 04:00:00+00:00,124.7,125.0,123.75,124.44,748729.0,6481.0,124.406432
BXP,2016-05-24 04:00:00+00:00,125.43,127.075,124.775,125.86,832034.0,9021.0,125.875497
BXP,2016-05-25 04:00:00+00:00,126.13,126.13,124.255,125.26,909541.0,10141.0,125.027928
BXP,2016-05-26 04:00:00+00:00,125.26,125.3725,124.47,124.8,684162.0,7132.0,124.809789
BXP,2016-05-27 04:00:00+00:00,125.13,126.27,124.66,125.41,608766.0,6393.0,125.2525
BXP,2016-05-31 04:00:00+00:00,125.9,126.655,125.0801,125.63,1117344.0,10465.0,125.731636
BXP,2016-06-01 04:00:00+00:00,125.2,127.19,124.905,127.11,787240.0,10512.0,126.675318
BXP,2016-06-02 04:00:00+00:00,126.76,127.41,125.84,127.26,669720.0,7856.0,126.807156
BXP,2016-06-03 04:00:00+00:00,127.93,128.66,126.88,127.78,781400.0,9285.0,127.616514
BXP,2016-06-06 04:00:00+00:00,127.29,128.0,126.18,127.06,800955.0,10083.0,127.11938
