symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CHRW,2016-01-04 05:00:00+00:00,61.09,62.02,60.31,61.79,3216193.0,27097.0,61.354162
CHRW,2016-01-05 05:00:00+00:00,61.69,63.92,61.1101,63.47,4264642.0,31711.0,63.116325
CHRW,2016-01-06 05:00:00+00:00,62.33,63.43,62.05,63.16,3148228.0,23360.0,63.021914
CHRW,2016-01-07 05:00:00+00:00,64.0,64.08,62.67,63.09,3278620.0,28135.0,63.231971
CHRW,2016-01-08 05:00:00+00:00,63.24,63.88,62.85,63.12,2789638.0,19655.0,63.146135
CHRW,2016-01-11 05:00:00+00:00,63.07,63.26,61.11,61.75,1981140.0,17696.0,61.764837
CHRW,2016-01-12 05:00:00+00:00,61.99,63.2,61.95,62.98,1541568.0,13834.0,62.712326
CHRW,2016-01-13 05:00:00+00:00,63.06,63.59,62.49,62.69,2197819.0,18166.0,63.042233
CHRW,2016-01-14 05:00:00+00:00,62.84,63.53,62.05,63.13,1782468.0,16213.0,62.999018
CHRW,2016-01-15 05:00:00+00:00,61.93,63.93,61.845,63.56,2554668.0,22450.0,63.1918
CHRW,2016-01-19 05:00:00+00:00,64.48,64.49,62.945,63.66,1567499.0,13885.0,63.723778
CHRW,2016-01-20 05:00:00+00:00,62.77,64.32,62.18,63.73,1569493.0,15470.0,63.229749
CHRW,2016-01-21 05:00:00+00:00,64.3,65.23,63.72,64.51,2095709.0,20621.0,64.672063
CHRW,2016-01-22 05:00:00+00:00,65.09,65.5,64.03,64.23,1926459.0,17914.0,64.435871
CHRW,2016-01-25 05:00:00+00:00,62.75,64.0,62.61,62.72,2793637.0,23908.0,63.074766
CHRW,2016-01-26 05:00:00+00:00,63.1,64.35,62.73,64.07,2486641.0,23619.0,63.870242
CHRW,2016-01-27 05:00:00+00:00,64.0,65.11,63.05,63.18,2100696.0,20470.0,63.693244
CHRW,2016-01-28 05:00:00+00:00,63.55,64.17,62.72,63.05,2036178.0,20274.0,63.210978
CHRW,2016-01-29 05:00:00+00:00,63.26,64.78,63.05,64.77,2013862.0,16346.0,64.404485
CHRW,2016-02-01 05:00:00+00:00,64.05,65.63,63.94,65.21,1922616.0,18490.0,65.141112
CHRW,2016-02-02 05:00:00+00:00,64.38,65.21,62.92,63.48,2769269.0,25200.0,63.566591
CHRW,2016-02-03 05:00:00+00:00,65.21,66.61,64.268,64.91,3577317.0,30234.0,65.371425
CHRW,2016-02-04 05:00:00+00:00,65.68,67.47,65.12,67.45,2412986.0,20594.0,66.873742
CHRW,2016-02-05 05:00:00+00:00,66.96,68.88,66.51,68.08,3190244.0,24622.0,68.007757
CHRW,2016-02-08 05:00:00+00:00,67.68,69.61,67.66,69.52,2692738.0,23882.0,68.901144
CHRW,2016-02-09 05:00:00+00:00,68.78,70.4,68.4175,69.69,1929975.0,17968.0,69.755
CHRW,2016-02-10 05:00:00+00:00,69.79,70.66,68.58,68.63,2164334.0,17349.0,69.435563
CHRW,2016-02-11 05:00:00+00:00,68.0,69.15,67.7,68.83,1769391.0,14341.0,68.533862
CHRW,2016-02-12 05:00:00+00:00,69.12,70.37,69.12,70.16,1636019.0,15209.0,69.964633
CHRW,2016-02-16 05:00:00+00:00,70.16,71.62,69.925,71.21,1816581.0,17174.0,71.042547
CHRW,2016-02-17 05:00:00+00:00,71.24,71.8825,70.38,70.84,1730083.0,16513.0,70.873971
CHRW,2016-02-18 05:00:00+00:00,70.69,71.11,70.1,70.96,1314754.0,14120.0,70.78093
CHRW,2016-02-19 05:00:00+00:00,70.69,70.69,69.24,70.48,2138290.0,17747.0,70.187768
CHRW,2016-02-22 05:00:00+00:00,71.42,71.87,69.7,70.07,2358247.0,15534.0,70.149962
CHRW,2016-02-23 05:00:00+00:00,69.37,70.06,68.988,69.53,1447138.0,12120.0,69.447183
CHRW,2016-02-24 05:00:00+00:00,69.2,70.36,68.965,70.23,1589137.0,16517.0,69.708895
CHRW,2016-02-25 05:00:00+00:00,70.26,70.31,69.11,70.16,1417611.0,13371.0,69.858077
CHRW,2016-02-26 05:00:00+00:00,70.36,70.67,69.97,70.35,1221558.0,12234.0,70.409829
CHRW,2016-02-29 05:00:00+00:00,70.11,70.74,69.74,69.83,1773726.0,14016.0,70.034461
CHRW,2016-03-01 05:00:00+00:00,70.79,70.9399,69.99,70.74,2192344.0,18146.0,70.460602
CHRW,2016-03-02 05:00:00+00:00,70.54,71.69,70.18,71.41,2622577.0,21241.0,71.101359
CHRW,2016-03-03 05:00:00+00:00,71.14,71.96,70.98,71.51,1564448.0,14511.0,71.445501
CHRW,2016-03-04 05:00:00+00:00,71.21,73.5,71.21,72.68,2378972.0,18334.0,72.86338
CHRW,2016-03-07 05:00:00+00:00,71.48,72.14,70.42,71.6,1746160.0,15546.0,71.457685
CHRW,2016-03-08 05:00:00+00:00,71.44,72.33,71.12,71.63,1302423.0,10581.0,71.794909
CHRW,2016-03-09 05:00:00+00:00,71.26,72.23,70.55,71.42,955756.0,8947.0,71.582588
CHRW,2016-03-10 05:00:00+00:00,71.86,72.07,70.57,71.51,1731643.0,12296.0,71.181485
CHRW,2016-03-11 05:00:00+00:00,72.02,72.7,71.86,72.63,1044825.0,9891.0,72.484183
CHRW,2016-03-14 04:00:00+00:00,72.55,72.98,72.09,72.46,937459.0,9047.0,72.552813
CHRW,2016-03-15 04:00:00+00:00,72.17,73.47,71.88,73.07,1502724.0,11153.0,72.860479
CHRW,2016-03-16 04:00:00+00:00,72.57,73.405,72.33,73.11,1164516.0,10031.0,72.86408
CHRW,2016-03-17 04:00:00+00:00,73.37,74.66,72.81,73.83,1231447.0,11369.0,74.052742
CHRW,2016-03-18 04:00:00+00:00,74.12,75.11,73.73,74.34,2342029.0,13385.0,74.438572
CHRW,2016-03-21 04:00:00+00:00,73.99,74.34,73.12,73.65,1052719.0,9773.0,73.526738
