symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CME,2016-01-04 05:00:00+00:00,88.8,89.15,87.73,88.67,2755253.0,19628.0,88.405002
CME,2016-01-05 05:00:00+00:00,89.41,89.72,88.51,89.37,1675897.0,14044.0,89.162399
CME,2016-01-06 05:00:00+00:00,88.37,89.85,88.1,88.93,1655623.0,12607.0,89.153947
CME,2016-01-07 05:00:00+00:00,87.36,89.7557,87.21,87.53,2139522.0,19284.0,88.050319
CME,2016-01-08 05:00:00+00:00,88.36,88.36,86.12,86.23,1699847.0,15586.0,86.874053
CME,2016-01-11 05:00:00+00:00,86.45,87.42,85.43,86.95,2072823.0,18348.0,86.459983
CME,2016-01-12 05:00:00+00:00,87.69,87.76,86.4277,87.25,1910752.0,14842.0,87.179671
CME,2016-01-13 05:00:00+00:00,88.86,88.86,83.754,84.17,2748402.0,25482.0,85.276147
CME,2016-01-14 05:00:00+00:00,84.62,85.34,83.9,84.7,2332743.0,19155.0,84.791194
CME,2016-01-15 05:00:00+00:00,82.33,85.31,82.33,84.71,2892193.0,22658.0,84.113704
CME,2016-01-19 05:00:00+00:00,85.96,86.77,85.16,86.11,2749997.0,23411.0,86.125212
CME,2016-01-20 05:00:00+00:00,85.3,85.75,83.12,84.2,3069898.0,33252.0,84.406323
CME,2016-01-21 05:00:00+00:00,84.49,85.235,81.87,81.99,4124388.0,27035.0,83.310647
CME,2016-01-22 05:00:00+00:00,83.57,84.9,83.0,84.77,2241460.0,19416.0,84.160824
CME,2016-01-25 05:00:00+00:00,84.59,85.88,84.5,84.64,1910987.0,19431.0,85.140798
CME,2016-01-26 05:00:00+00:00,85.25,86.71,84.45,86.37,1505697.0,14530.0,86.167801
CME,2016-01-27 05:00:00+00:00,86.12,88.05,85.94,86.72,2022738.0,20581.0,86.880217
CME,2016-01-28 05:00:00+00:00,87.17,87.9,86.06,87.09,2209056.0,17985.0,86.999493
CME,2016-01-29 05:00:00+00:00,87.61,89.9425,87.035,89.85,2844912.0,18284.0,89.214657
CME,2016-02-01 05:00:00+00:00,89.78,90.2,88.93,89.44,1489222.0,13310.0,89.582367
CME,2016-02-02 05:00:00+00:00,88.4,89.79,88.08,89.11,1694064.0,16076.0,89.160337
CME,2016-02-03 05:00:00+00:00,89.43,90.0,87.13,89.4,2175292.0,22079.0,88.712125
CME,2016-02-04 05:00:00+00:00,89.28,89.62,85.47,86.33,3925738.0,36908.0,86.612199
CME,2016-02-05 05:00:00+00:00,87.76,88.89,86.96,88.55,3145983.0,25900.0,88.213082
CME,2016-02-08 05:00:00+00:00,88.41,90.67,87.0,90.19,2910240.0,27193.0,89.494182
CME,2016-02-09 05:00:00+00:00,89.05,93.81,89.05,93.31,3343650.0,32979.0,92.533469
CME,2016-02-10 05:00:00+00:00,93.03,93.485,90.44,90.53,2239470.0,23872.0,91.825333
CME,2016-02-11 05:00:00+00:00,88.36,90.55,88.3201,89.32,2119242.0,19948.0,89.252958
CME,2016-02-12 05:00:00+00:00,90.92,91.29,89.5075,91.15,1847644.0,17645.0,90.620562
CME,2016-02-16 05:00:00+00:00,92.25,92.37,90.09,90.71,2560970.0,22942.0,90.772901
CME,2016-02-17 05:00:00+00:00,91.68,92.19,90.207,92.15,2517768.0,22277.0,91.440962
CME,2016-02-18 05:00:00+00:00,91.97,92.13,90.72,91.3,1477458.0,16790.0,91.439353
CME,2016-02-19 05:00:00+00:00,91.43,93.866,90.81,93.32,1832050.0,16484.0,93.039808
CME,2016-02-22 05:00:00+00:00,94.0,94.45,91.55,91.97,1490800.0,13748.0,92.228405
CME,2016-02-23 05:00:00+00:00,92.04,93.385,91.21,91.9,1547483.0,15969.0,91.939913
CME,2016-02-24 05:00:00+00:00,91.48,92.59,90.37,92.3,1006730.0,11163.0,91.84921
CME,2016-02-25 05:00:00+00:00,92.97,93.59,92.22,93.19,1095451.0,11191.0,92.852338
CME,2016-02-26 05:00:00+00:00,93.64,93.9999,92.91,93.17,1334974.0,12323.0,93.328171
CME,2016-02-29 05:00:00+00:00,92.45,93.49,91.33,91.44,1684075.0,14052.0,91.731102
CME,2016-03-01 05:00:00+00:00,91.79,92.57,89.87,92.56,3584631.0,31639.0,91.396243
CME,2016-03-02 05:00:00+00:00,92.99,93.88,92.56,93.3,2025945.0,16485.0,93.141369
CME,2016-03-03 05:00:00+00:00,93.58,94.44,92.93,94.34,1411089.0,13965.0,93.881583
CME,2016-03-04 05:00:00+00:00,94.77,95.02,92.93,94.8,1626031.0,15680.0,94.218064
CME,2016-03-07 05:00:00+00:00,93.95,94.31,92.57,93.58,1369386.0,14706.0,93.494776
CME,2016-03-08 05:00:00+00:00,92.12,94.23,92.07,93.29,1583098.0,16257.0,93.371377
CME,2016-03-09 05:00:00+00:00,93.45,94.5,93.03,93.9,1425482.0,15502.0,93.736783
CME,2016-03-10 05:00:00+00:00,94.44,94.44,92.52,93.73,1306965.0,12737.0,93.527647
CME,2016-03-11 05:00:00+00:00,93.93,95.08,93.53,94.59,1579489.0,14024.0,94.470383
CME,2016-03-14 04:00:00+00:00,94.67,96.81,94.215,96.39,2357121.0,24274.0,96.244606
CME,2016-03-15 04:00:00+00:00,95.4,97.74,95.4,96.71,1930216.0,18079.0,96.795152
