symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COP,2016-01-04 05:00:00+00:00,46.41,47.77,46.08,46.88,9671036.0,63463.0,46.736477
COP,2016-01-05 05:00:00+00:00,46.68,47.52,45.99,47.4,7486068.0,51495.0,46.928075
COP,2016-01-06 05:00:00+00:00,46.1,46.32,45.04,45.35,11642913.0,78298.0,45.633715
COP,2016-01-07 05:00:00+00:00,44.74,45.62,43.92,44.06,11535170.0,79688.0,44.576421
COP,2016-01-08 05:00:00+00:00,44.18,44.59,42.865,43.29,9771419.0,64227.0,43.442772
COP,2016-01-11 05:00:00+00:00,43.32,43.62,40.6,41.12,17997630.0,102677.0,41.478765
COP,2016-01-12 05:00:00+00:00,41.86,42.04,39.13,40.25,17541187.0,107562.0,40.302408
COP,2016-01-13 05:00:00+00:00,40.75,41.79,38.87,39.0,19655572.0,126764.0,39.991234
COP,2016-01-14 05:00:00+00:00,39.21,41.83,38.66,41.25,19274050.0,124224.0,40.534393
COP,2016-01-15 05:00:00+00:00,39.35,40.45,38.36,39.36,20983260.0,119632.0,39.213602
COP,2016-01-19 05:00:00+00:00,39.73,39.89,35.6,36.4,21785699.0,120805.0,37.093993
COP,2016-01-20 05:00:00+00:00,35.54,35.61,32.71,34.75,32149472.0,194145.0,33.9916
COP,2016-01-21 05:00:00+00:00,34.87,37.34,34.64,36.91,20391042.0,118810.0,36.206948
COP,2016-01-22 05:00:00+00:00,38.21,39.5695,36.745,37.67,19769084.0,126901.0,37.795326
COP,2016-01-25 05:00:00+00:00,36.8,37.4776,34.19,34.2,20711545.0,121991.0,35.33552
COP,2016-01-26 05:00:00+00:00,35.07,35.91,33.44,35.35,29251660.0,166456.0,34.58977
COP,2016-01-27 05:00:00+00:00,34.92,37.73,34.18,36.21,22620839.0,152506.0,36.090426
COP,2016-01-28 05:00:00+00:00,37.92,39.43,37.08,38.02,17659162.0,116321.0,38.003293
COP,2016-01-29 05:00:00+00:00,38.08,39.27,37.52,39.08,20903558.0,111574.0,38.62462
COP,2016-02-01 05:00:00+00:00,38.24,38.98,37.61,38.6,13391036.0,90089.0,38.314898
COP,2016-02-02 05:00:00+00:00,37.61,38.18,36.44,36.59,16182121.0,100134.0,37.116306
COP,2016-02-03 05:00:00+00:00,37.59,38.73,35.59,38.63,20485901.0,135362.0,37.4306
COP,2016-02-04 05:00:00+00:00,38.5,39.0,35.02,35.32,50203007.0,265486.0,36.428996
COP,2016-02-05 05:00:00+00:00,34.02,34.41,31.59,32.9,47254040.0,223820.0,32.97965
COP,2016-02-08 05:00:00+00:00,31.95,34.5,31.68,34.43,22655319.0,121473.0,33.347209
COP,2016-02-09 05:00:00+00:00,33.22,34.16,32.7,33.58,21213231.0,128523.0,33.377913
COP,2016-02-10 05:00:00+00:00,33.29,34.38,32.055,32.34,17441869.0,107554.0,33.045619
COP,2016-02-11 05:00:00+00:00,31.23,32.38,31.05,31.88,21604986.0,117723.0,31.616453
COP,2016-02-12 05:00:00+00:00,32.29,33.35,31.9,32.9,15721663.0,86475.0,32.709521
COP,2016-02-16 05:00:00+00:00,33.49,33.6999,32.55,32.76,13677450.0,79827.0,32.890723
COP,2016-02-17 05:00:00+00:00,33.3,34.39,33.0265,33.91,19082530.0,97630.0,33.901784
COP,2016-02-18 05:00:00+00:00,34.48,34.51,33.44,33.7,17495212.0,98570.0,34.005168
COP,2016-02-19 05:00:00+00:00,33.15,33.28,32.09,32.87,15764851.0,82959.0,32.635265
COP,2016-02-22 05:00:00+00:00,33.69,34.7,33.51,34.45,12475562.0,67788.0,34.330226
COP,2016-02-23 05:00:00+00:00,33.92,34.61,32.91,32.92,10412180.0,59373.0,33.347042
COP,2016-02-24 05:00:00+00:00,32.1,33.04,31.82,32.96,11542032.0,58414.0,32.537357
COP,2016-02-25 05:00:00+00:00,33.07,33.35,31.97,33.06,10666804.0,62937.0,32.619865
COP,2016-02-26 05:00:00+00:00,33.86,34.81,33.82,34.12,11702466.0,67842.0,34.307715
COP,2016-02-29 05:00:00+00:00,34.5,34.59,33.58,33.83,11968519.0,55062.0,33.975983
COP,2016-03-01 05:00:00+00:00,34.07,34.75,33.3376,34.46,12698469.0,66751.0,34.270387
COP,2016-03-02 05:00:00+00:00,34.28,36.51,34.1,36.49,17565027.0,96762.0,35.658111
COP,2016-03-03 05:00:00+00:00,36.5,38.81,36.32,38.56,20928905.0,112998.0,37.818897
COP,2016-03-04 05:00:00+00:00,38.92,41.68,38.8,41.12,25340010.0,138025.0,40.676851
COP,2016-03-07 05:00:00+00:00,41.2,42.445,40.9,41.4,18117871.0,99368.0,41.659242
COP,2016-03-08 05:00:00+00:00,41.21,41.25,38.56,38.62,14910125.0,87181.0,39.340913
COP,2016-03-09 05:00:00+00:00,39.35,39.715,38.38,39.05,13843649.0,83281.0,39.132283
COP,2016-03-10 05:00:00+00:00,38.87,39.14,38.36,39.03,11286716.0,81098.0,38.790625
