symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CPB,2016-01-04 05:00:00+00:00,51.93,52.0,51.17,51.66,2444225.0,19123.0,51.564786
CPB,2016-01-05 05:00:00+00:00,51.96,52.18,51.34,51.85,3302423.0,19064.0,51.834942
CPB,2016-01-06 05:00:00+00:00,51.31,52.0,51.16,51.76,3085174.0,16412.0,51.711956
CPB,2016-01-07 05:00:00+00:00,50.88,51.3,50.54,50.82,3101282.0,19892.0,50.887639
CPB,2016-01-08 05:00:00+00:00,51.19,51.54,50.91,51.11,2840442.0,18896.0,51.162308
CPB,2016-01-11 05:00:00+00:00,51.21,51.59,51.06,51.4,2315641.0,18909.0,51.344046
CPB,2016-01-12 05:00:00+00:00,51.87,53.54,51.65,53.48,3577068.0,29859.0,53.050139
CPB,2016-01-13 05:00:00+00:00,53.42,55.0,52.64,52.79,4063137.0,32618.0,53.803905
CPB,2016-01-14 05:00:00+00:00,52.85,53.835,52.69,53.49,1948367.0,16344.0,53.442872
CPB,2016-01-15 05:00:00+00:00,51.95,53.27,51.84,52.99,3966389.0,25591.0,52.801366
CPB,2016-01-19 05:00:00+00:00,54.04,54.52,53.73,54.33,2833502.0,22917.0,54.258803
CPB,2016-01-20 05:00:00+00:00,53.72,54.43,52.94,54.1,2714371.0,24331.0,53.742273
CPB,2016-01-21 05:00:00+00:00,54.11,54.55,53.49,54.09,2527556.0,21276.0,53.995002
CPB,2016-01-22 05:00:00+00:00,54.45,54.725,54.045,54.65,2044301.0,17674.0,54.413257
CPB,2016-01-25 05:00:00+00:00,54.71,55.04,54.39,54.61,2151332.0,14595.0,54.711214
CPB,2016-01-26 05:00:00+00:00,54.62,55.17,54.51,55.15,1703327.0,13748.0,55.001873
CPB,2016-01-27 05:00:00+00:00,55.18,55.58,54.73,55.0,1800653.0,13777.0,55.082455
CPB,2016-01-28 05:00:00+00:00,55.33,56.165,54.9009,55.73,1369412.0,11878.0,55.683143
CPB,2016-01-29 05:00:00+00:00,56.02,56.63,55.9099,56.41,2125120.0,17063.0,56.335961
CPB,2016-02-01 05:00:00+00:00,56.4,57.08,56.21,56.86,2050736.0,14204.0,56.740152
CPB,2016-02-02 05:00:00+00:00,56.5,56.85,56.17,56.31,1684624.0,14398.0,56.370719
CPB,2016-02-03 05:00:00+00:00,56.41,56.915,55.76,56.29,2296180.0,18361.0,56.245501
CPB,2016-02-04 05:00:00+00:00,56.11,56.31,54.9701,55.34,2074860.0,15950.0,55.369679
CPB,2016-02-05 05:00:00+00:00,55.43,55.88,55.19,55.84,2384416.0,13270.0,55.710079
CPB,2016-02-08 05:00:00+00:00,55.75,56.39,55.33,56.23,1943069.0,17466.0,55.89845
CPB,2016-02-09 05:00:00+00:00,55.75,57.33,55.75,57.21,2652224.0,20782.0,56.712725
CPB,2016-02-10 05:00:00+00:00,57.74,58.63,57.27,57.89,1813013.0,13950.0,57.97872
CPB,2016-02-11 05:00:00+00:00,57.07,57.61,56.25,57.33,3338114.0,24116.0,56.994102
