symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CRM,2016-01-04 05:00:00+00:00,77.14,77.21,75.64,76.71,5247147.0,35499.0,76.316128
CRM,2016-01-05 05:00:00+00:00,77.14,77.97,76.67,77.05,2958073.0,20836.0,77.205532
CRM,2016-01-06 05:00:00+00:00,75.72,77.33,75.63,76.29,3638464.0,27817.0,76.320228
CRM,2016-01-07 05:00:00+00:00,75.13,75.6,73.47,74.3,7282990.0,41554.0,74.635913
CRM,2016-01-08 05:00:00+00:00,74.78,75.26,72.9,73.23,3976317.0,31624.0,73.809983
CRM,2016-01-11 05:00:00+00:00,73.75,73.83,71.86,73.18,3953369.0,31001.0,73.038732
CRM,2016-01-12 05:00:00+00:00,73.97,75.28,73.05,74.46,4262436.0,32746.0,74.208025
CRM,2016-01-13 05:00:00+00:00,74.98,75.71,71.8,72.35,5386406.0,33154.0,73.297339
CRM,2016-01-14 05:00:00+00:00,72.5,73.62,70.87,73.07,5067345.0,39442.0,72.875236
CRM,2016-01-15 05:00:00+00:00,69.87,71.05,68.18,70.86,10404515.0,66541.0,69.928552
CRM,2016-01-19 05:00:00+00:00,71.86,72.19,69.9,70.8,7709275.0,53576.0,71.221072
CRM,2016-01-20 05:00:00+00:00,69.13,70.83,66.94,70.33,8560292.0,63913.0,68.910921
CRM,2016-01-21 05:00:00+00:00,70.5,70.64,69.14,69.51,4856262.0,40690.0,69.932191
CRM,2016-01-22 05:00:00+00:00,70.4,71.64,70.3,71.55,4626198.0,24908.0,71.25411
CRM,2016-01-25 05:00:00+00:00,71.23,71.4,69.8,69.92,2907763.0,24020.0,70.349854
CRM,2016-01-26 05:00:00+00:00,69.95,70.1,69.22,69.87,3099220.0,23402.0,69.804385
CRM,2016-01-27 05:00:00+00:00,69.33,69.85,67.03,67.43,6046906.0,43378.0,68.118364
CRM,2016-01-28 05:00:00+00:00,66.76,67.5,65.27,65.69,9393257.0,60818.0,65.88543
CRM,2016-01-29 05:00:00+00:00,66.49,68.1,66.12,68.06,6333755.0,38616.0,67.527056
CRM,2016-02-01 05:00:00+00:00,67.59,69.0902,67.07,68.44,4597115.0,36183.0,68.219833
CRM,2016-02-02 05:00:00+00:00,67.65,67.75,64.16,64.52,7760717.0,55276.0,65.036259
CRM,2016-02-03 05:00:00+00:00,65.65,66.5,63.24,65.34,8563083.0,54434.0,64.856455
CRM,2016-02-04 05:00:00+00:00,65.68,67.37,64.825,67.2,7904401.0,50290.0,66.646506
CRM,2016-02-05 05:00:00+00:00,63.1,63.27,57.75,58.51,19466005.0,118617.0,59.561789
CRM,2016-02-08 05:00:00+00:00,56.87,56.99,52.6,54.05,18608421.0,124240.0,54.281814
CRM,2016-02-09 05:00:00+00:00,53.61,58.58,52.79,57.33,16813039.0,110810.0,56.778596
CRM,2016-02-10 05:00:00+00:00,58.48,61.59,58.38,58.76,10175985.0,72341.0,59.903987
CRM,2016-02-11 05:00:00+00:00,57.19,59.85,56.58,59.24,8169578.0,59389.0,58.722246
CRM,2016-02-12 05:00:00+00:00,60.05,60.53,59.1,59.68,5222092.0,35532.0,59.778227
CRM,2016-02-16 05:00:00+00:00,60.68,60.98,58.46,59.72,5998922.0,40369.0,59.516866
CRM,2016-02-17 05:00:00+00:00,60.38,64.4199,59.89,63.49,10037287.0,68745.0,62.868535
CRM,2016-02-18 05:00:00+00:00,63.48,64.18,61.575,61.7,7083090.0,45090.0,62.391123
CRM,2016-02-19 05:00:00+00:00,61.75,62.36,60.66,62.14,5393664.0,35403.0,61.932776
CRM,2016-02-22 05:00:00+00:00,63.0,64.34,62.93,63.98,8239159.0,46786.0,63.782
CRM,2016-02-23 05:00:00+00:00,63.7,63.78,62.4399,62.9,5463146.0,41617.0,63.099258
CRM,2016-02-24 05:00:00+00:00,62.0,62.98,60.33,62.52,12389694.0,75439.0,61.835911
CRM,2016-02-25 05:00:00+00:00,70.5,70.84,67.14,69.42,18984968.0,107096.0,68.538202
CRM,2016-02-26 05:00:00+00:00,69.68,70.01,68.28,69.72,8659465.0,59932.0,69.298994
CRM,2016-02-29 05:00:00+00:00,69.13,69.16,67.65,67.75,9085280.0,51297.0,68.164848
CRM,2016-03-01 05:00:00+00:00,68.12,70.06,67.5,70.02,5423569.0,36837.0,69.061502
CRM,2016-03-02 05:00:00+00:00,69.68,70.55,69.52,70.43,5104643.0,38670.0,70.118731
CRM,2016-03-03 05:00:00+00:00,70.05,70.935,69.52,70.8,3399838.0,27073.0,70.295025
CRM,2016-03-04 05:00:00+00:00,71.18,72.18,70.63,71.06,4582885.0,32325.0,71.302519
CRM,2016-03-07 05:00:00+00:00,70.5,70.86,69.0,70.49,4998180.0,33623.0,70.105682
CRM,2016-03-08 05:00:00+00:00,69.79,70.9,69.17,69.82,4351300.0,31188.0,70.07667
CRM,2016-03-09 05:00:00+00:00,70.0,71.12,69.92,71.04,4777486.0,32718.0,70.806277
CRM,2016-03-10 05:00:00+00:00,71.49,72.32,69.79,70.7,5201325.0,38844.0,70.95168
CRM,2016-03-11 05:00:00+00:00,71.18,71.9,70.87,71.63,3774782.0,24066.0,71.483565
CRM,2016-03-14 04:00:00+00:00,71.31,72.49,71.17,72.22,4039207.0,32409.0,72.037583
CRM,2016-03-15 04:00:00+00:00,71.78,72.35,71.09,71.7,3346509.0,27649.0,71.66381
CRM,2016-03-16 04:00:00+00:00,71.27,72.92,71.11,72.73,3161305.0,28220.0,72.230558
CRM,2016-03-17 04:00:00+00:00,72.65,73.18,71.6,72.72,3610447.0,26546.0,72.607449
CRM,2016-03-18 04:00:00+00:00,73.06,73.54,72.19,72.65,7631739.0,32757.0,72.785775
CRM,2016-03-21 04:00:00+00:00,72.5,72.67,71.69,72.25,2994728.0,23231.0,72.228114
CRM,2016-03-22 04:00:00+00:00,72.26,73.28,71.7,72.85,3811621.0,22668.0,72.816172
CRM,2016-03-23 04:00:00+00:00,71.69,72.58,71.485,71.78,3203324.0,24214.0,71.983869
CRM,2016-03-24 04:00:00+00:00,71.41,72.45,71.06,72.44,2951972.0,24610.0,72.064387
CRM,2016-03-28 04:00:00+00:00,72.39,72.68,71.41,71.95,2928929.0,22388.0,71.997437
CRM,2016-03-29 04:00:00+00:00,71.54,72.69,70.71,72.3,4850870.0,35973.0,71.906043
CRM,2016-03-30 04:00:00+00:00,73.0,74.66,72.9625,74.3,5492042.0,37082.0,74.068612
CRM,2016-03-31 04:00:00+00:00,74.06,74.39,73.38,73.83,4555039.0,30752.0,73.903365
CRM,2016-04-01 04:00:00+00:00,73.38,75.95,73.11,75.73,4912476.0,35396.0,75.141099
CRM,2016-04-04 04:00:00+00:00,75.85,76.44,75.41,75.69,3154448.0,26056.0,75.833502
CRM,2016-04-05 04:00:00+00:00,74.88,75.51,74.36,74.58,2552697.0,21221.0,74.836383
CRM,2016-04-06 04:00:00+00:00,74.87,75.68,74.47,75.58,2136167.0,17699.0,75.284564
CRM,2016-04-07 04:00:00+00:00,74.91,75.46,74.68,75.32,4090740.0,32169.0,75.141301
CRM,2016-04-08 04:00:00+00:00,75.72,75.94,74.3,74.85,2516892.0,21941.0,74.952113
CRM,2016-04-11 04:00:00+00:00,75.47,75.5,74.13,74.16,2284786.0,18458.0,74.647969
CRM,2016-04-12 04:00:00+00:00,74.53,74.54,73.44,74.27,2352076.0,21188.0,74.118853
CRM,2016-04-13 04:00:00+00:00,74.77,76.19,74.45,75.95,3214842.0,24305.0,75.647465
CRM,2016-04-14 04:00:00+00:00,76.0,76.59,75.66,76.15,3071437.0,18609.0,76.096225
CRM,2016-04-15 04:00:00+00:00,76.25,76.54,75.88,76.31,2508888.0,15278.0,76.222278
CRM,2016-04-18 04:00:00+00:00,76.24,77.29,75.86,77.27,2037646.0,17000.0,76.964459
CRM,2016-04-19 04:00:00+00:00,77.59,77.59,75.53,76.19,2526655.0,19551.0,76.228901
CRM,2016-04-20 04:00:00+00:00,76.2,76.64,75.79,76.14,2162001.0,16975.0,76.261604
CRM,2016-04-21 04:00:00+00:00,76.66,77.82,76.5,77.15,3843229.0,22773.0,77.172147
