symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CTAS,2016-01-04 05:00:00+00:00,89.82,89.83,87.82,88.29,794268.0,6898.0,88.443895
CTAS,2016-01-05 05:00:00+00:00,88.58,89.24,88.09,88.43,830835.0,5154.0,88.494191
CTAS,2016-01-06 05:00:00+00:00,87.31,88.84,87.01,88.03,529922.0,5614.0,88.168929
CTAS,2016-01-07 05:00:00+00:00,86.82,87.74,86.21,86.88,934608.0,7996.0,86.967133
CTAS,2016-01-08 05:00:00+00:00,87.19,87.2,84.45,84.63,909345.0,8436.0,85.404085
CTAS,2016-01-11 05:00:00+00:00,84.92,85.56,84.38,85.31,764522.0,6949.0,85.09609
CTAS,2016-01-12 05:00:00+00:00,85.25,87.12,85.1586,86.85,728010.0,7935.0,86.367325
CTAS,2016-01-13 05:00:00+00:00,86.96,87.03,84.57,84.81,522278.0,6509.0,85.430089
CTAS,2016-01-14 05:00:00+00:00,85.37,86.15,84.7,85.54,587593.0,5843.0,85.404587
CTAS,2016-01-15 05:00:00+00:00,83.72,84.51,82.6,84.03,814093.0,8021.0,83.693543
CTAS,2016-01-19 05:00:00+00:00,84.68,85.1899,82.94,83.5,856062.0,6385.0,83.713162
CTAS,2016-01-20 05:00:00+00:00,82.27,83.34,80.27,82.34,812997.0,9402.0,81.827296
CTAS,2016-01-21 05:00:00+00:00,82.63,83.37,80.0,80.33,1627214.0,13850.0,80.867998
CTAS,2016-01-22 05:00:00+00:00,81.36,82.95,81.06,82.44,863118.0,8624.0,82.23641
CTAS,2016-01-25 05:00:00+00:00,82.27,82.67,81.69,81.85,647078.0,6661.0,82.105447
CTAS,2016-01-26 05:00:00+00:00,82.02,83.33,81.98,82.86,724329.0,6905.0,82.755072
CTAS,2016-01-27 05:00:00+00:00,82.92,83.69,82.445,82.76,797499.0,8273.0,83.03266
CTAS,2016-01-28 05:00:00+00:00,83.4,83.75,82.75,83.14,862548.0,8080.0,83.223964
CTAS,2016-01-29 05:00:00+00:00,83.57,85.98,82.785,85.92,1530448.0,8106.0,85.676347
CTAS,2016-02-01 05:00:00+00:00,85.42,86.725,84.6151,86.11,843482.0,7972.0,86.154974
CTAS,2016-02-02 05:00:00+00:00,85.59,86.39,84.875,85.24,1040210.0,9565.0,85.251858
CTAS,2016-02-03 05:00:00+00:00,86.52,87.0,83.89,84.75,958482.0,9070.0,84.782363
CTAS,2016-02-04 05:00:00+00:00,84.85,85.39,84.49,85.17,768609.0,7677.0,85.039154
CTAS,2016-02-05 05:00:00+00:00,85.0,85.29,82.9,83.32,825381.0,8782.0,83.516519
CTAS,2016-02-08 05:00:00+00:00,82.8,82.86,81.2,82.64,692996.0,7882.0,82.047745
CTAS,2016-02-09 05:00:00+00:00,81.99,84.24,81.88,83.49,674741.0,6986.0,83.346864
CTAS,2016-02-10 05:00:00+00:00,83.85,84.99,83.17,83.28,479147.0,5760.0,83.820074
CTAS,2016-02-11 05:00:00+00:00,82.0,82.9,80.2711,82.12,391827.0,4923.0,82.05516
CTAS,2016-02-12 05:00:00+00:00,83.12,83.55,81.86,83.01,662752.0,5500.0,82.844615
CTAS,2016-02-16 05:00:00+00:00,84.14,84.21,83.025,83.98,654668.0,5629.0,83.807986
CTAS,2016-02-17 05:00:00+00:00,80.3,83.65,80.22,83.6,1352282.0,12780.0,82.787574
CTAS,2016-02-18 05:00:00+00:00,83.86,84.09,81.91,83.08,579001.0,5367.0,83.241034
CTAS,2016-02-19 05:00:00+00:00,82.61,83.75,81.91,83.38,843807.0,6194.0,83.208094
CTAS,2016-02-22 05:00:00+00:00,84.09,84.87,83.98,84.64,745213.0,4396.0,84.540524
CTAS,2016-02-23 05:00:00+00:00,84.56,84.64,83.63,83.96,426161.0,4651.0,84.088046
CTAS,2016-02-24 05:00:00+00:00,83.33,84.33,82.84,84.21,504589.0,5249.0,83.808229
CTAS,2016-02-25 05:00:00+00:00,84.56,84.78,83.705,84.78,526029.0,4552.0,84.414984
CTAS,2016-02-26 05:00:00+00:00,85.0,85.0,84.28,84.86,425944.0,4251.0,84.702728
CTAS,2016-02-29 05:00:00+00:00,84.84,85.15,83.99,83.99,583277.0,4551.0,84.329648
CTAS,2016-03-01 05:00:00+00:00,84.64,86.05,84.315,85.96,434929.0,4916.0,85.70541
CTAS,2016-03-02 05:00:00+00:00,85.67,86.1,85.0832,86.07,514535.0,5382.0,85.787164
CTAS,2016-03-03 05:00:00+00:00,85.98,86.8,85.43,86.72,427493.0,4814.0,86.404185
CTAS,2016-03-04 05:00:00+00:00,86.75,87.55,86.47,87.0,896939.0,8222.0,87.024456
CTAS,2016-03-07 05:00:00+00:00,86.72,88.41,86.5,87.93,790356.0,7556.0,87.789968
CTAS,2016-03-08 05:00:00+00:00,87.43,88.33,86.79,87.65,483588.0,4734.0,87.671286
CTAS,2016-03-09 05:00:00+00:00,87.93,88.19,86.65,87.24,645814.0,6401.0,87.155647
CTAS,2016-03-10 05:00:00+00:00,87.75,88.5,87.05,87.74,492119.0,5175.0,87.615098
CTAS,2016-03-11 05:00:00+00:00,88.4,89.11,86.39,89.07,509440.0,4812.0,88.807576
CTAS,2016-03-14 04:00:00+00:00,88.89,89.73,88.36,89.5,619161.0,6323.0,89.24877
CTAS,2016-03-15 04:00:00+00:00,88.66,89.83,88.47,89.62,774042.0,5537.0,89.488939
CTAS,2016-03-16 04:00:00+00:00,89.49,90.16,88.86,89.83,599320.0,4699.0,89.74793
CTAS,2016-03-17 04:00:00+00:00,89.95,90.33,89.4101,90.01,837084.0,7853.0,89.976187
CTAS,2016-03-18 04:00:00+00:00,90.16,90.72,89.6,90.49,1024774.0,6084.0,90.368735
CTAS,2016-03-21 04:00:00+00:00,90.12,90.8889,89.51,90.18,879433.0,7092.0,89.995886
CTAS,2016-03-22 04:00:00+00:00,90.42,90.5,89.54,90.35,788511.0,7649.0,90.229967
CTAS,2016-03-23 04:00:00+00:00,91.0,91.3,85.86,86.28,2075469.0,20063.0,87.279659
CTAS,2016-03-24 04:00:00+00:00,86.25,87.95,85.94,87.52,1216112.0,11929.0,87.163165
CTAS,2016-03-28 04:00:00+00:00,87.76,89.13,86.9201,88.65,698201.0,6573.0,88.661737
CTAS,2016-03-29 04:00:00+00:00,88.37,89.87,88.37,89.65,613366.0,6782.0,89.342171
CTAS,2016-03-30 04:00:00+00:00,90.0,90.25,89.6,89.73,723545.0,7150.0,89.834586
CTAS,2016-03-31 04:00:00+00:00,89.33,89.9999,89.05,89.81,791799.0,6446.0,89.704858
CTAS,2016-04-01 04:00:00+00:00,89.19,90.17,89.04,90.07,611660.0,6237.0,89.858314
CTAS,2016-04-04 04:00:00+00:00,90.32,90.98,88.8,88.91,619314.0,5722.0,89.077008
CTAS,2016-04-05 04:00:00+00:00,87.27,89.18,87.27,88.34,733324.0,6417.0,88.500442
CTAS,2016-04-06 04:00:00+00:00,88.44,88.95,88.25,88.95,681477.0,5897.0,88.731037
CTAS,2016-04-07 04:00:00+00:00,88.51,89.0,88.1501,88.93,1033316.0,9641.0,88.707396
CTAS,2016-04-08 04:00:00+00:00,89.5,89.63,88.8,89.32,512522.0,5397.0,89.197553
CTAS,2016-04-11 04:00:00+00:00,89.68,90.0633,89.06,89.11,694132.0,6476.0,89.384648
CTAS,2016-04-12 04:00:00+00:00,89.35,89.96,88.955,89.83,553576.0,6428.0,89.652293
CTAS,2016-04-13 04:00:00+00:00,91.38,91.38,90.44,90.59,1040898.0,9840.0,90.682659
CTAS,2016-04-14 04:00:00+00:00,90.41,90.78,90.04,90.26,710485.0,6274.0,90.405102
CTAS,2016-04-15 04:00:00+00:00,90.4,90.5,89.73,90.01,472192.0,4877.0,90.09781
CTAS,2016-04-18 04:00:00+00:00,89.82,90.5,89.75,90.31,375099.0,4292.0,90.249581
CTAS,2016-04-19 04:00:00+00:00,90.5,90.6,89.99,90.47,671453.0,5788.0,90.429928
CTAS,2016-04-20 04:00:00+00:00,90.4,90.53,90.06,90.16,541641.0,5707.0,90.320642
CTAS,2016-04-21 04:00:00+00:00,90.0,90.0,89.08,89.16,609649.0,5697.0,89.322648
CTAS,2016-04-22 04:00:00+00:00,89.26,89.84,89.26,89.7,585598.0,5375.0,89.602803
CTAS,2016-04-25 04:00:00+00:00,89.65,89.77,89.09,89.46,627636.0,5781.0,89.417228
CTAS,2016-04-26 04:00:00+00:00,89.59,90.06,89.43,89.83,814863.0,6346.0,89.759039
CTAS,2016-04-27 04:00:00+00:00,89.95,90.4989,89.3,89.97,674796.0,5379.0,89.840106
CTAS,2016-04-28 04:00:00+00:00,89.73,90.42,89.12,89.28,1361006.0,5691.0,89.876517
CTAS,2016-04-29 04:00:00+00:00,89.01,89.83,88.51,89.78,910056.0,6621.0,89.528169
CTAS,2016-05-02 04:00:00+00:00,89.84,90.16,89.53,89.96,554854.0,4994.0,89.86818
CTAS,2016-05-03 04:00:00+00:00,89.58,89.77,89.31,89.61,593008.0,5988.0,89.545718
CTAS,2016-05-04 04:00:00+00:00,89.55,90.13,89.37,89.84,494191.0,6011.0,89.776447
CTAS,2016-05-05 04:00:00+00:00,90.18,90.39,89.8501,89.94,516558.0,5113.0,90.103314
CTAS,2016-05-06 04:00:00+00:00,89.8,91.12,89.61,91.0,849042.0,6820.0,90.719663
CTAS,2016-05-09 04:00:00+00:00,91.29,91.73,91.09,91.46,732877.0,6954.0,91.45189
CTAS,2016-05-10 04:00:00+00:00,91.75,91.98,91.5101,91.9,608243.0,6345.0,91.802738
CTAS,2016-05-11 04:00:00+00:00,91.69,91.96,91.4,91.44,519999.0,4800.0,91.581155
CTAS,2016-05-12 04:00:00+00:00,91.73,91.94,91.245,91.69,494236.0,5102.0,91.616151
CTAS,2016-05-13 04:00:00+00:00,91.66,92.17,91.305,91.52,748417.0,7877.0,91.722338
CTAS,2016-05-16 04:00:00+00:00,91.63,92.09,91.42,91.74,707996.0,6694.0,91.79321
CTAS,2016-05-17 04:00:00+00:00,91.72,91.91,91.19,91.27,708793.0,6534.0,91.454888
CTAS,2016-05-18 04:00:00+00:00,91.17,91.85,90.55,91.14,853917.0,8575.0,91.141754
CTAS,2016-05-19 04:00:00+00:00,90.95,91.72,90.64,91.42,626546.0,6161.0,91.291445
CTAS,2016-05-20 04:00:00+00:00,91.91,92.54,91.66,92.05,1111610.0,8120.0,92.078601
CTAS,2016-05-23 04:00:00+00:00,92.0,92.5,91.99,92.32,557341.0,6151.0,92.260582
CTAS,2016-05-24 04:00:00+00:00,92.54,94.16,92.46,94.09,1134600.0,9651.0,93.792515
CTAS,2016-05-25 04:00:00+00:00,94.37,94.37,93.44,93.82,856433.0,7635.0,93.783156
CTAS,2016-05-26 04:00:00+00:00,93.87,94.53,93.8,93.95,616477.0,6615.0,94.046791
CTAS,2016-05-27 04:00:00+00:00,93.96,95.1,93.64,95.09,857422.0,7473.0,94.69742
CTAS,2016-05-31 04:00:00+00:00,94.94,95.49,94.27,94.8,5093224.0,9548.0,94.794395
CTAS,2016-06-01 04:00:00+00:00,94.4,94.82,93.96,94.81,511585.0,6062.0,94.500986
CTAS,2016-06-02 04:00:00+00:00,94.78,95.49,94.46,95.47,865707.0,6233.0,95.301258
CTAS,2016-06-03 04:00:00+00:00,95.05,95.265,94.17,94.99,487298.0,5267.0,94.77613
CTAS,2016-06-06 04:00:00+00:00,94.99,95.539,94.4075,95.19,348353.0,4580.0,95.234963
CTAS,2016-06-07 04:00:00+00:00,95.17,95.49,93.47,94.92,799878.0,7874.0,95.064821
CTAS,2016-06-08 04:00:00+00:00,95.03,95.16,94.6,95.15,520863.0,6077.0,94.999307
CTAS,2016-06-09 04:00:00+00:00,95.14,95.57,94.64,95.54,576734.0,6345.0,95.317031
CTAS,2016-06-10 04:00:00+00:00,94.83,95.1,94.324,94.52,489018.0,5852.0,94.645701
CTAS,2016-06-13 04:00:00+00:00,93.8,94.79,93.6201,94.11,450933.0,5113.0,94.236337
CTAS,2016-06-14 04:00:00+00:00,94.1,94.28,93.58,94.13,417161.0,5004.0,94.032566
CTAS,2016-06-15 04:00:00+00:00,94.48,94.54,93.95,94.04,371728.0,4398.0,94.16093
CTAS,2016-06-16 04:00:00+00:00,93.95,94.68,93.03,94.58,396546.0,4803.0,94.221199
CTAS,2016-06-17 04:00:00+00:00,94.53,94.54,93.48,94.02,643834.0,3636.0,94.093002
CTAS,2016-06-20 04:00:00+00:00,94.84,94.95,94.1501,94.25,415651.0,5005.0,94.445909
CTAS,2016-06-21 04:00:00+00:00,94.66,94.78,94.05,94.5,371785.0,3189.0,94.495655
CTAS,2016-06-22 04:00:00+00:00,94.72,95.12,94.55,94.6,382913.0,3205.0,94.69527
CTAS,2016-06-23 04:00:00+00:00,95.13,95.69,94.9156,95.69,408515.0,4101.0,95.481491
CTAS,2016-06-24 04:00:00+00:00,93.12,94.3,93.0,93.33,1509219.0,9133.0,93.449518
CTAS,2016-06-27 04:00:00+00:00,92.96,93.14,91.24,91.63,935831.0,8645.0,91.735255
CTAS,2016-06-28 04:00:00+00:00,92.47,93.36,92.08,93.29,876860.0,7074.0,92.95829
CTAS,2016-06-29 04:00:00+00:00,94.09,95.89,93.87,95.65,750626.0,7522.0,95.282902
