symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CTRA,2016-01-04 05:00:00+00:00,17.67,17.94,17.305,17.59,8981958.0,49321.0,17.585235
CTRA,2016-01-05 05:00:00+00:00,17.66,17.87,17.07,17.57,12068628.0,56476.0,17.446602
CTRA,2016-01-06 05:00:00+00:00,17.02,17.03,15.885,16.02,10751272.0,53197.0,16.255792
CTRA,2016-01-07 05:00:00+00:00,15.73,16.705,15.68,16.58,9010668.0,53264.0,16.405667
CTRA,2016-01-08 05:00:00+00:00,16.79,17.335,16.535,17.2,10070367.0,53989.0,17.036984
CTRA,2016-01-11 05:00:00+00:00,17.08,17.16,15.78,16.0,13910284.0,77555.0,16.245428
CTRA,2016-01-12 05:00:00+00:00,16.32,16.33,14.88,15.48,11517123.0,64402.0,15.417394
CTRA,2016-01-13 05:00:00+00:00,15.93,16.24,15.245,15.7,11386999.0,68255.0,15.720168
CTRA,2016-01-14 05:00:00+00:00,15.85,16.445,15.65,16.31,10321185.0,59342.0,16.156682
CTRA,2016-01-15 05:00:00+00:00,15.47,16.43,15.39,16.41,9720083.0,54972.0,16.099638
CTRA,2016-01-19 05:00:00+00:00,16.52,16.775,16.15,16.43,12457415.0,60808.0,16.461623
CTRA,2016-01-20 05:00:00+00:00,16.05,17.37,15.82,17.15,13877667.0,87478.0,16.402232
CTRA,2016-01-21 05:00:00+00:00,16.91,18.96,16.87,18.65,14540852.0,86037.0,18.405614
CTRA,2016-01-22 05:00:00+00:00,19.36,19.56,18.6,19.54,12268609.0,89499.0,19.128741
CTRA,2016-01-25 05:00:00+00:00,18.94,19.78,18.38,18.4,12728584.0,82691.0,18.96115
CTRA,2016-01-26 05:00:00+00:00,18.81,19.5,18.58,19.43,6522512.0,43920.0,19.148943
CTRA,2016-01-27 05:00:00+00:00,19.27,20.45,19.01,19.52,9157144.0,66806.0,19.798483
CTRA,2016-01-28 05:00:00+00:00,20.4,20.47,19.315,19.39,13431676.0,87640.0,19.75033
CTRA,2016-01-29 05:00:00+00:00,19.68,20.8,19.6,20.75,9952572.0,61550.0,20.395758
CTRA,2016-02-01 05:00:00+00:00,20.24,20.87,19.78,20.56,9781963.0,71435.0,20.360488
CTRA,2016-02-02 05:00:00+00:00,20.17,21.0,19.79,20.39,15620219.0,71525.0,20.392575
CTRA,2016-02-03 05:00:00+00:00,20.81,21.21,19.88,21.17,9733893.0,70113.0,20.732458
CTRA,2016-02-04 05:00:00+00:00,21.1,21.48,20.2,20.9,11428097.0,84318.0,20.852556
CTRA,2016-02-05 05:00:00+00:00,20.79,21.12,20.07,20.66,8580379.0,63332.0,20.718436
CTRA,2016-02-08 05:00:00+00:00,20.31,22.25,20.01,20.92,13438167.0,91979.0,21.172227
CTRA,2016-02-09 05:00:00+00:00,20.42,20.77,18.96,19.59,13124403.0,78667.0,19.798366
CTRA,2016-02-10 05:00:00+00:00,19.73,20.0,18.8605,19.75,8504334.0,60514.0,19.535725
CTRA,2016-02-11 05:00:00+00:00,19.27,20.085,18.73,19.87,8652012.0,61071.0,19.471444
CTRA,2016-02-12 05:00:00+00:00,20.16,20.46,19.07,19.75,7542285.0,47615.0,19.722366
CTRA,2016-02-16 05:00:00+00:00,20.09,20.09,18.48,19.26,9342715.0,56545.0,19.073519
CTRA,2016-02-17 05:00:00+00:00,19.41,20.54,19.03,20.49,7001408.0,46508.0,20.133278
CTRA,2016-02-18 05:00:00+00:00,20.53,20.53,19.31,19.55,9537874.0,55785.0,19.780688
CTRA,2016-02-19 05:00:00+00:00,19.35,20.475,18.73,19.91,12170396.0,72911.0,19.810509
CTRA,2016-02-22 05:00:00+00:00,20.45,21.94,20.17,21.54,9568025.0,57559.0,21.323342
CTRA,2016-02-23 05:00:00+00:00,20.33,20.4,19.16,19.26,81084672.0,245494.0,19.783346
CTRA,2016-02-24 05:00:00+00:00,18.93,19.97,18.81,19.71,14949962.0,80022.0,19.569196
CTRA,2016-02-25 05:00:00+00:00,19.71,20.06,19.018,19.41,12740613.0,74441.0,19.50293
CTRA,2016-02-26 05:00:00+00:00,20.13,20.45,19.62,20.44,11825658.0,62891.0,20.135014
CTRA,2016-02-29 05:00:00+00:00,20.35,20.43,19.01,20.13,15199764.0,66751.0,19.859947
CTRA,2016-03-01 05:00:00+00:00,20.38,21.165,19.58,20.99,11808293.0,61464.0,20.621965
CTRA,2016-03-02 05:00:00+00:00,20.86,22.06,20.795,22.05,9876986.0,60968.0,21.494527
CTRA,2016-03-03 05:00:00+00:00,21.92,22.55,21.675,22.17,10788223.0,66717.0,22.139898
CTRA,2016-03-04 05:00:00+00:00,22.52,22.7,21.13,21.47,11272023.0,74223.0,21.834621
