symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOC,2016-01-04 05:00:00+00:00,37.6,38.26,37.37,38.23,4049013.0,27068.0,37.930349
DOC,2016-01-05 05:00:00+00:00,38.24,39.25,38.21,39.06,3129035.0,21311.0,39.000397
DOC,2016-01-06 05:00:00+00:00,38.06,38.53,37.19,37.49,11871723.0,62710.0,37.598007
DOC,2016-01-07 05:00:00+00:00,36.8,37.26,36.32,36.49,9681760.0,60161.0,36.787177
DOC,2016-01-08 05:00:00+00:00,36.6,37.0,36.32,36.39,3945246.0,24927.0,36.643045
DOC,2016-01-11 05:00:00+00:00,36.645,37.19,36.61,36.96,4487718.0,29160.0,36.949816
DOC,2016-01-12 05:00:00+00:00,36.72,37.0,36.29,36.85,4793075.0,30980.0,36.68535
DOC,2016-01-13 05:00:00+00:00,36.89,37.29,36.1537,36.2,3513987.0,25383.0,36.58705
DOC,2016-01-14 05:00:00+00:00,36.28,36.45,35.88,35.96,3993627.0,24208.0,36.033776
DOC,2016-01-15 05:00:00+00:00,35.17,36.315,35.13,36.24,3852573.0,22703.0,35.976507
DOC,2016-01-19 05:00:00+00:00,36.44,36.955,36.38,36.56,3609968.0,25600.0,36.646544
DOC,2016-01-20 05:00:00+00:00,36.3,36.55,34.54,34.97,6071582.0,32573.0,35.034746
DOC,2016-01-21 05:00:00+00:00,35.47,36.24,34.86,35.63,3555974.0,23403.0,35.648477
DOC,2016-01-22 05:00:00+00:00,36.13,37.21,36.03,36.96,3386103.0,21795.0,36.777231
DOC,2016-01-25 05:00:00+00:00,36.96,37.15,36.36,36.64,3819729.0,22581.0,36.664221
DOC,2016-01-26 05:00:00+00:00,36.7,37.345,36.56,37.05,4842035.0,27105.0,37.022436
DOC,2016-01-27 05:00:00+00:00,36.8,36.97,34.71,35.21,5680122.0,35128.0,35.437633
DOC,2016-01-28 05:00:00+00:00,35.52,35.52,34.91,35.0,3711411.0,24122.0,35.142847
DOC,2016-01-29 05:00:00+00:00,35.63,36.3205,35.0261,35.94,7559636.0,30626.0,35.854737
DOC,2016-02-01 05:00:00+00:00,35.7,36.57,35.42,36.23,3472303.0,24344.0,36.162616
DOC,2016-02-02 05:00:00+00:00,35.87,36.13,35.33,35.84,3396524.0,21265.0,35.722065
DOC,2016-02-03 05:00:00+00:00,36.11,36.8623,35.94,36.64,4583280.0,31026.0,36.517104
DOC,2016-02-04 05:00:00+00:00,36.24,36.35,35.3781,35.82,3197574.0,21952.0,35.868975
DOC,2016-02-05 05:00:00+00:00,35.89,35.89,35.22,35.6,4007480.0,24963.0,35.612674
DOC,2016-02-08 05:00:00+00:00,35.48,35.66,32.98,33.99,6632454.0,48745.0,33.717052
DOC,2016-02-09 05:00:00+00:00,32.15,32.16,27.3601,28.33,14962572.0,88831.0,28.974005
DOC,2016-02-10 05:00:00+00:00,28.34,28.43,26.56,27.21,11452639.0,67843.0,27.39557
DOC,2016-02-11 05:00:00+00:00,25.61,26.34,25.1104,26.13,11522066.0,60054.0,25.936173
DOC,2016-02-12 05:00:00+00:00,26.5,26.71,26.03,26.26,6273766.0,37553.0,26.214905
DOC,2016-02-16 05:00:00+00:00,26.58,27.17,26.05,26.92,10145882.0,36833.0,26.625088
DOC,2016-02-17 05:00:00+00:00,27.01,27.83,27.0,27.37,4953983.0,28580.0,27.446849
DOC,2016-02-18 05:00:00+00:00,27.5,28.335,27.19,28.08,5085512.0,31783.0,28.014307
DOC,2016-02-19 05:00:00+00:00,28.02,28.55,27.69,28.4,4510288.0,27748.0,28.355296
DOC,2016-02-22 05:00:00+00:00,28.77,29.24,28.7,28.97,4146538.0,23653.0,28.979895
DOC,2016-02-23 05:00:00+00:00,28.87,29.0,28.24,28.56,4347258.0,25561.0,28.60506
DOC,2016-02-24 05:00:00+00:00,28.48,29.07,28.05,28.89,4506212.0,27077.0,28.740721
DOC,2016-02-25 05:00:00+00:00,28.88,29.69,28.79,29.66,5039647.0,21197.0,29.472504
DOC,2016-02-26 05:00:00+00:00,29.67,30.36,29.62,29.9,4623564.0,26716.0,29.990974
DOC,2016-02-29 05:00:00+00:00,29.93,30.34,29.5,29.58,5527926.0,24885.0,29.726691
DOC,2016-03-01 05:00:00+00:00,29.83,30.75,29.79,30.74,3384679.0,21062.0,30.547655
