symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DTE,2016-01-04 05:00:00+00:00,79.5,79.67,78.42,79.14,1521611.0,14888.0,79.006616
DTE,2016-01-05 05:00:00+00:00,78.96,80.1,78.01,79.95,1316313.0,13078.0,79.482775
DTE,2016-01-06 05:00:00+00:00,79.37,80.07,79.13,79.59,2155909.0,16435.0,79.480802
DTE,2016-01-07 05:00:00+00:00,78.78,79.49,78.49,78.72,1501719.0,13098.0,78.908264
DTE,2016-01-08 05:00:00+00:00,78.72,79.16,78.25,78.38,1649546.0,14142.0,78.721501
DTE,2016-01-11 05:00:00+00:00,78.59,79.37,78.58,79.15,1916206.0,14628.0,79.01833
DTE,2016-01-12 05:00:00+00:00,79.77,79.77,78.46,79.6,1660728.0,15122.0,79.303104
DTE,2016-01-13 05:00:00+00:00,80.42,81.18,80.01,80.25,2086526.0,15656.0,80.51037
DTE,2016-01-14 05:00:00+00:00,80.19,81.8215,79.87,81.32,1241548.0,11992.0,81.082881
DTE,2016-01-15 05:00:00+00:00,80.29,81.2,79.815,80.54,1564413.0,13826.0,80.442944
DTE,2016-01-19 05:00:00+00:00,81.17,82.43,80.87,82.23,1777119.0,15472.0,81.903469
DTE,2016-01-20 05:00:00+00:00,81.71,82.39,79.53,80.19,2107414.0,19657.0,80.312852
DTE,2016-01-21 05:00:00+00:00,80.18,80.76,78.72,79.25,1539112.0,14520.0,79.452336
DTE,2016-01-22 05:00:00+00:00,79.9,81.42,79.38,81.33,1463943.0,14036.0,80.796348
DTE,2016-01-25 05:00:00+00:00,81.37,81.43,80.53,80.76,902700.0,9234.0,80.858045
DTE,2016-01-26 05:00:00+00:00,81.11,82.27,80.85,81.7,1007453.0,9833.0,81.681633
DTE,2016-01-27 05:00:00+00:00,81.26,82.54,81.04,82.0,1042008.0,9945.0,81.969899
DTE,2016-01-28 05:00:00+00:00,82.0,83.9,81.59,83.25,814504.0,7775.0,83.137683
DTE,2016-01-29 05:00:00+00:00,84.0,85.18,82.81,85.01,1758262.0,13890.0,84.837891
DTE,2016-02-01 05:00:00+00:00,84.51,85.84,84.29,85.31,1156714.0,12877.0,85.359809
DTE,2016-02-02 05:00:00+00:00,85.15,86.305,84.98,86.22,1285474.0,11680.0,85.627924
DTE,2016-02-03 05:00:00+00:00,86.67,87.84,86.1,87.09,1863041.0,19436.0,87.117485
DTE,2016-02-04 05:00:00+00:00,86.94,87.56,86.435,86.61,1477319.0,16620.0,86.816348
DTE,2016-02-05 05:00:00+00:00,86.18,86.86,85.035,86.45,1932211.0,20056.0,86.312483
DTE,2016-02-08 05:00:00+00:00,86.84,87.81,85.24,86.22,1826003.0,17352.0,85.987722
DTE,2016-02-09 05:00:00+00:00,86.03,87.12,85.79,86.85,1508508.0,16540.0,86.744177
DTE,2016-02-10 05:00:00+00:00,85.63,86.78,83.8,85.79,2331735.0,18698.0,85.284603
DTE,2016-02-11 05:00:00+00:00,85.93,86.45,84.03,84.08,1561424.0,15935.0,84.56523
DTE,2016-02-12 05:00:00+00:00,83.74,84.51,82.93,83.72,1082129.0,11014.0,83.605458
