symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DVA,2016-01-04 05:00:00+00:00,68.81,68.89,68.285,68.67,1931653.0,13355.0,68.533805
DVA,2016-01-05 05:00:00+00:00,68.72,69.54,68.72,69.12,1382554.0,10151.0,69.112605
DVA,2016-01-06 05:00:00+00:00,68.22,69.19,67.925,68.16,3589692.0,14361.0,68.294093
DVA,2016-01-07 05:00:00+00:00,67.36,68.1,67.3,67.62,2078442.0,15112.0,67.767908
DVA,2016-01-08 05:00:00+00:00,67.75,68.59,67.6,67.67,2092870.0,14840.0,68.121574
DVA,2016-01-11 05:00:00+00:00,67.72,68.3,66.67,67.23,2403169.0,15385.0,67.202753
DVA,2016-01-12 05:00:00+00:00,67.49,68.42,66.62,67.45,1206894.0,10107.0,67.300525
DVA,2016-01-13 05:00:00+00:00,67.4,67.73,65.95,66.13,1618727.0,12529.0,66.768239
DVA,2016-01-14 05:00:00+00:00,66.15,67.83,65.79,67.45,1860644.0,14667.0,67.259364
DVA,2016-01-15 05:00:00+00:00,66.29,66.87,65.69,66.47,1705869.0,14488.0,66.305078
DVA,2016-01-19 05:00:00+00:00,66.81,67.11,64.91,65.71,1523706.0,12848.0,65.82253
DVA,2016-01-20 05:00:00+00:00,64.98,65.89,63.38,65.41,1274727.0,12685.0,64.750427
DVA,2016-01-21 05:00:00+00:00,65.5,65.97,64.71,65.2,1014189.0,9673.0,65.356921
DVA,2016-01-22 05:00:00+00:00,65.82,67.05,65.66,66.89,1152341.0,9309.0,66.685318
DVA,2016-01-25 05:00:00+00:00,66.78,67.17,65.88,65.95,800673.0,8131.0,66.259561
DVA,2016-01-26 05:00:00+00:00,66.24,66.63,65.72,66.52,572296.0,5615.0,66.408628
DVA,2016-01-27 05:00:00+00:00,66.68,66.98,65.18,65.72,1240676.0,8468.0,65.902994
DVA,2016-01-28 05:00:00+00:00,66.11,66.51,64.32,64.45,1267327.0,9295.0,64.832329
DVA,2016-01-29 05:00:00+00:00,64.82,67.12,64.56,67.12,2447647.0,12639.0,66.26253
DVA,2016-02-01 05:00:00+00:00,66.73,67.5,66.45,67.41,941363.0,8521.0,67.145364
DVA,2016-02-02 05:00:00+00:00,66.95,67.13,65.9,66.26,1087671.0,8418.0,66.421118
DVA,2016-02-03 05:00:00+00:00,66.48,66.53,64.54,65.44,1615766.0,11867.0,65.535913
DVA,2016-02-04 05:00:00+00:00,65.05,65.83,64.78,65.45,1182196.0,10873.0,65.441562
DVA,2016-02-05 05:00:00+00:00,65.13,65.34,63.65,63.9,987428.0,9359.0,64.102853
DVA,2016-02-08 05:00:00+00:00,63.28,63.31,61.89,62.24,2333006.0,16184.0,62.457219
DVA,2016-02-09 05:00:00+00:00,61.83,62.83,61.75,62.25,1348360.0,11954.0,62.299508
DVA,2016-02-10 05:00:00+00:00,62.75,64.19,62.732,63.66,1321568.0,12141.0,63.635063
DVA,2016-02-11 05:00:00+00:00,62.5,63.43,62.44,62.57,2041824.0,17041.0,62.765427
DVA,2016-02-12 05:00:00+00:00,61.62,64.21,61.36,62.56,2513101.0,18473.0,62.680354
DVA,2016-02-16 05:00:00+00:00,62.74,62.74,61.92,62.64,2245180.0,16202.0,62.442453
DVA,2016-02-17 05:00:00+00:00,62.86,64.14,62.66,64.09,1335963.0,11682.0,63.650838
DVA,2016-02-18 05:00:00+00:00,64.45,64.98,63.93,64.5,1093718.0,9631.0,64.544151
DVA,2016-02-19 05:00:00+00:00,64.44,64.47,63.55,63.8,1786037.0,13350.0,63.897265
DVA,2016-02-22 05:00:00+00:00,64.23,64.91,64.0,64.85,846613.0,7320.0,64.680736
DVA,2016-02-23 05:00:00+00:00,64.59,64.9,64.15,64.28,1121109.0,9925.0,64.423075
DVA,2016-02-24 05:00:00+00:00,63.7,64.19,62.96,64.14,888122.0,8894.0,63.677852
DVA,2016-02-25 05:00:00+00:00,64.46,65.35,64.15,65.33,1003804.0,8741.0,65.037188
DVA,2016-02-26 05:00:00+00:00,65.67,66.89,65.27,66.46,1378184.0,12961.0,66.525623
DVA,2016-02-29 05:00:00+00:00,66.29,66.8,65.89,65.97,1889268.0,13787.0,66.257939
DVA,2016-03-01 05:00:00+00:00,66.55,68.21,66.3,68.21,1496222.0,12721.0,67.701593
DVA,2016-03-02 05:00:00+00:00,67.83,68.4599,67.1,68.18,1089955.0,11409.0,67.970758
DVA,2016-03-03 05:00:00+00:00,68.1,70.29,68.1,70.08,1951200.0,16287.0,69.862504
DVA,2016-03-04 05:00:00+00:00,70.18,70.89,69.56,70.51,1642142.0,13385.0,70.479085
DVA,2016-03-07 05:00:00+00:00,70.17,71.28,69.95,70.93,1031374.0,8938.0,70.840112
DVA,2016-03-08 05:00:00+00:00,70.65,71.085,69.62,69.75,1434675.0,11495.0,69.949198
DVA,2016-03-09 05:00:00+00:00,70.21,70.27,69.61,70.17,1083012.0,9815.0,70.049544
DVA,2016-03-10 05:00:00+00:00,70.46,71.08,69.3,69.84,674647.0,7532.0,69.880366
DVA,2016-03-11 05:00:00+00:00,70.52,71.16,70.165,71.05,847452.0,7542.0,70.932591
DVA,2016-03-14 04:00:00+00:00,70.96,71.9,70.61,70.92,1127233.0,10532.0,70.927479
DVA,2016-03-15 04:00:00+00:00,70.4,70.75,69.48,69.82,1599360.0,11649.0,69.915718
DVA,2016-03-16 04:00:00+00:00,69.59,70.53,69.27,70.16,1240712.0,10706.0,70.145872
DVA,2016-03-17 04:00:00+00:00,70.17,71.065,69.48,70.95,1442934.0,12639.0,70.589891
DVA,2016-03-18 04:00:00+00:00,71.24,73.16,71.06,72.74,1771161.0,12110.0,72.478623
