symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ECL,2016-01-04 05:00:00+00:00,112.9,113.145,111.0,112.49,1897588.0,18426.0,111.920356
ECL,2016-01-05 05:00:00+00:00,112.55,113.69,112.29,112.9,1282880.0,13922.0,113.028969
ECL,2016-01-06 05:00:00+00:00,109.82,110.85,106.55,108.07,3992126.0,32260.0,108.096095
ECL,2016-01-07 05:00:00+00:00,105.9,107.87,104.94,105.27,2062147.0,20001.0,106.029492
ECL,2016-01-08 05:00:00+00:00,105.49,105.78,104.08,104.35,1420390.0,14494.0,104.911395
ECL,2016-01-11 05:00:00+00:00,104.66,105.18,103.61,104.62,1577902.0,15799.0,104.570913
ECL,2016-01-12 05:00:00+00:00,105.72,106.25,104.61,105.72,1412189.0,14241.0,105.407611
ECL,2016-01-13 05:00:00+00:00,106.65,106.76,103.02,103.13,1470679.0,15312.0,104.237066
ECL,2016-01-14 05:00:00+00:00,103.48,105.4,102.48,104.82,1653112.0,13645.0,104.454846
ECL,2016-01-15 05:00:00+00:00,103.5,103.91,100.59,102.58,2325280.0,18836.0,102.181064
ECL,2016-01-19 05:00:00+00:00,103.99,104.08,101.49,102.37,1553564.0,15978.0,102.60158
ECL,2016-01-20 05:00:00+00:00,100.94,103.535,99.99,102.44,1824346.0,19037.0,101.405657
ECL,2016-01-21 05:00:00+00:00,102.11,102.74,100.59,101.85,1697611.0,17742.0,101.716215
ECL,2016-01-22 05:00:00+00:00,103.95,106.81,103.61,104.99,1627869.0,16295.0,104.901137
ECL,2016-01-25 05:00:00+00:00,104.48,104.89,103.08,103.26,1285003.0,13801.0,103.945697
ECL,2016-01-26 05:00:00+00:00,103.41,104.1588,103.12,104.13,1206057.0,11581.0,103.720145
ECL,2016-01-27 05:00:00+00:00,103.41,104.73,102.0601,102.78,1190654.0,13631.0,103.418369
ECL,2016-01-28 05:00:00+00:00,104.08,105.1991,103.38,104.0,1113591.0,11227.0,104.231203
ECL,2016-01-29 05:00:00+00:00,104.71,107.98,103.99,107.87,2425245.0,20231.0,106.901549
ECL,2016-02-01 05:00:00+00:00,106.56,107.65,105.48,107.42,1264516.0,13515.0,106.907691
ECL,2016-02-02 05:00:00+00:00,106.54,106.54,104.69,104.93,1458086.0,13686.0,105.208105
ECL,2016-02-03 05:00:00+00:00,106.98,107.9,104.15,107.28,1660597.0,18260.0,106.006673
ECL,2016-02-04 05:00:00+00:00,107.46,109.685,107.1256,109.17,1462901.0,17873.0,108.822592
ECL,2016-02-05 05:00:00+00:00,108.89,108.89,105.67,106.17,1436578.0,14741.0,106.623347
ECL,2016-02-08 05:00:00+00:00,105.04,105.72,102.44,103.62,1758003.0,18088.0,103.628105
ECL,2016-02-09 05:00:00+00:00,102.91,107.7,102.21,107.2,1864176.0,20038.0,106.143622
ECL,2016-02-10 05:00:00+00:00,107.62,109.65,106.07,106.21,1313167.0,14208.0,107.159689
ECL,2016-02-11 05:00:00+00:00,104.02,104.6,102.5487,103.3,1561463.0,16503.0,103.431131
ECL,2016-02-12 05:00:00+00:00,104.96,106.93,104.04,106.63,1323244.0,13685.0,106.252821
ECL,2016-02-16 05:00:00+00:00,108.23,108.88,106.3763,108.65,1351921.0,12914.0,108.174047
ECL,2016-02-17 05:00:00+00:00,109.96,110.5594,109.56,109.96,1417032.0,14820.0,110.067346
ECL,2016-02-18 05:00:00+00:00,109.73,110.0,108.335,108.76,1062001.0,12281.0,108.932926
ECL,2016-02-19 05:00:00+00:00,108.3,108.33,106.77,107.77,2811895.0,16713.0,107.73122
ECL,2016-02-22 05:00:00+00:00,109.27,109.466,106.85,108.09,2423126.0,21531.0,107.913952
ECL,2016-02-23 05:00:00+00:00,103.62,104.12,99.99,100.14,6438795.0,43743.0,101.212991
ECL,2016-02-24 05:00:00+00:00,99.41,102.31,98.62,102.13,3014221.0,26762.0,100.848585
ECL,2016-02-25 05:00:00+00:00,102.59,103.69,101.59,103.68,1338781.0,12836.0,102.781447
ECL,2016-02-26 05:00:00+00:00,104.45,106.56,104.22,106.28,1908607.0,16747.0,106.023784
ECL,2016-02-29 05:00:00+00:00,105.94,106.81,102.55,102.55,2249882.0,16215.0,103.731019
ECL,2016-03-01 05:00:00+00:00,103.55,106.135,102.685,105.86,1976032.0,18066.0,105.003117
ECL,2016-03-02 05:00:00+00:00,105.28,105.72,104.1,104.68,1467566.0,12899.0,104.706398
ECL,2016-03-03 05:00:00+00:00,104.73,105.48,104.46,105.24,1255360.0,12879.0,105.120803
ECL,2016-03-04 05:00:00+00:00,105.7,107.12,104.789,106.33,1382707.0,12411.0,106.306199
ECL,2016-03-07 05:00:00+00:00,105.7,106.67,105.27,105.96,1258562.0,12371.0,105.958192
