symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EFX,2016-01-04 05:00:00+00:00,109.92,110.24,108.345,109.45,1402851.0,12367.0,109.167808
EFX,2016-01-05 05:00:00+00:00,110.17,110.77,109.16,110.11,1149477.0,10031.0,109.932821
EFX,2016-01-06 05:00:00+00:00,108.42,109.68,108.24,109.23,610922.0,6475.0,109.165851
EFX,2016-01-07 05:00:00+00:00,107.22,108.44,105.14,105.29,1148902.0,11477.0,106.176211
EFX,2016-01-08 05:00:00+00:00,105.75,105.93,102.04,102.24,1478986.0,14085.0,103.750246
EFX,2016-01-11 05:00:00+00:00,103.02,103.12,100.75,101.83,1430406.0,13923.0,101.739098
EFX,2016-01-12 05:00:00+00:00,102.47,103.15,100.96,102.42,1340777.0,9583.0,102.102547
EFX,2016-01-13 05:00:00+00:00,102.84,103.73,100.63,101.04,1047053.0,10855.0,101.769347
EFX,2016-01-14 05:00:00+00:00,101.0,104.15,100.35,103.46,1321445.0,12201.0,102.624387
EFX,2016-01-15 05:00:00+00:00,100.68,103.3,100.51,102.86,1024374.0,10653.0,102.227487
EFX,2016-01-19 05:00:00+00:00,103.94,104.3,102.93,103.86,1111936.0,10669.0,103.732142
EFX,2016-01-20 05:00:00+00:00,102.2,102.82,98.4042,101.68,948059.0,10025.0,101.003529
EFX,2016-01-21 05:00:00+00:00,102.0,103.32,100.88,102.62,903393.0,10231.0,102.539191
EFX,2016-01-22 05:00:00+00:00,103.87,104.87,103.71,104.84,827143.0,6812.0,104.577827
EFX,2016-01-25 05:00:00+00:00,104.63,104.695,103.72,104.14,1160704.0,9536.0,104.092675
EFX,2016-01-26 05:00:00+00:00,104.31,105.38,104.01,104.85,727331.0,6963.0,104.866681
EFX,2016-01-27 05:00:00+00:00,104.71,105.18,102.47,102.98,866554.0,8669.0,103.919647
EFX,2016-01-28 05:00:00+00:00,103.56,103.68,101.65,101.77,977451.0,8965.0,102.221655
EFX,2016-01-29 05:00:00+00:00,102.76,105.86,102.22,105.8,1414531.0,10904.0,105.004511
EFX,2016-02-01 05:00:00+00:00,105.05,107.39,104.74,106.92,1043034.0,9127.0,106.527758
EFX,2016-02-02 05:00:00+00:00,106.01,106.51,103.29,103.75,926723.0,8732.0,104.161387
EFX,2016-02-03 05:00:00+00:00,104.49,104.84,100.87,103.17,795032.0,8914.0,102.254735
EFX,2016-02-04 05:00:00+00:00,103.12,104.16,102.6,103.67,612635.0,6859.0,103.530502
EFX,2016-02-05 05:00:00+00:00,103.27,103.76,99.53,99.88,1096327.0,11743.0,100.538397
EFX,2016-02-08 05:00:00+00:00,99.12,99.3,92.81,93.9,1737848.0,16989.0,94.384288
EFX,2016-02-09 05:00:00+00:00,92.65,94.22,92.26,93.22,1838570.0,17469.0,93.347426
EFX,2016-02-10 05:00:00+00:00,93.94,95.51,93.01,94.52,1602723.0,14306.0,94.410561
EFX,2016-02-11 05:00:00+00:00,93.96,96.63,91.7201,93.45,1685703.0,16123.0,93.918692
EFX,2016-02-12 05:00:00+00:00,95.3,99.14,95.3,97.47,1510952.0,13533.0,97.389676
EFX,2016-02-16 05:00:00+00:00,98.89,99.94,97.605,99.17,1564929.0,11277.0,98.89974
EFX,2016-02-17 05:00:00+00:00,100.09,101.96,99.4901,101.79,1128239.0,10687.0,101.397599
EFX,2016-02-18 05:00:00+00:00,102.22,102.55,100.41,100.89,816976.0,7900.0,101.30414
EFX,2016-02-19 05:00:00+00:00,100.44,101.14,99.79,100.99,2231807.0,8456.0,100.820818
EFX,2016-02-22 05:00:00+00:00,101.83,103.67,101.83,103.36,1021650.0,8340.0,103.155422
EFX,2016-02-23 05:00:00+00:00,103.26,103.8,102.075,103.14,655459.0,7087.0,103.101665
EFX,2016-02-24 05:00:00+00:00,102.45,104.54,101.29,104.44,818747.0,7779.0,103.52723
EFX,2016-02-25 05:00:00+00:00,103.8,106.58,103.8,106.53,980084.0,9471.0,105.582638
EFX,2016-02-26 05:00:00+00:00,106.73,107.084,105.93,106.37,666214.0,6840.0,106.439563
EFX,2016-02-29 05:00:00+00:00,106.03,106.53,104.78,104.88,768176.0,7012.0,105.374628
EFX,2016-03-01 05:00:00+00:00,105.59,107.09,105.18,106.49,690679.0,8034.0,106.345012
EFX,2016-03-02 05:00:00+00:00,105.99,107.04,105.41,107.0,627856.0,6252.0,106.424398
EFX,2016-03-03 05:00:00+00:00,106.7,107.17,105.92,107.13,572441.0,5447.0,106.664347
EFX,2016-03-04 05:00:00+00:00,107.0,108.6411,105.97,107.66,921053.0,7586.0,107.64367
EFX,2016-03-07 05:00:00+00:00,106.82,107.45,105.13,106.08,610808.0,6317.0,105.821995
EFX,2016-03-08 05:00:00+00:00,105.12,106.14,104.66,106.0,734518.0,6585.0,105.713931
EFX,2016-03-09 05:00:00+00:00,106.6,106.999,106.04,106.76,582851.0,5333.0,106.507737
EFX,2016-03-10 05:00:00+00:00,107.16,107.68,105.52,106.78,606405.0,5761.0,106.605593
EFX,2016-03-11 05:00:00+00:00,107.6,108.55,106.81,108.45,1360382.0,7513.0,107.730427
EFX,2016-03-14 04:00:00+00:00,108.06,110.0,107.52,109.71,772946.0,8258.0,109.352656
EFX,2016-03-15 04:00:00+00:00,109.0,110.24,108.63,109.5,682218.0,7073.0,109.631024
EFX,2016-03-16 04:00:00+00:00,108.82,110.4,108.65,110.13,604503.0,6343.0,109.574628
EFX,2016-03-17 04:00:00+00:00,109.92,111.54,109.83,111.31,607635.0,5833.0,110.973666
EFX,2016-03-18 04:00:00+00:00,111.86,113.03,111.18,112.51,1102576.0,7234.0,112.469701
EFX,2016-03-21 04:00:00+00:00,111.94,112.59,111.54,112.22,631618.0,5159.0,112.157151
EFX,2016-03-22 04:00:00+00:00,111.58,112.97,111.0901,112.51,468180.0,3600.0,112.534073
EFX,2016-03-23 04:00:00+00:00,112.09,112.66,111.27,111.54,1087164.0,8094.0,111.852796
EFX,2016-03-24 04:00:00+00:00,110.73,111.25,109.09,111.23,1016875.0,8349.0,110.260143
EFX,2016-03-28 04:00:00+00:00,111.66,112.31,110.92,111.95,456089.0,3513.0,111.869036
EFX,2016-03-29 04:00:00+00:00,111.55,112.94,111.065,112.85,340127.0,4085.0,112.379019
EFX,2016-03-30 04:00:00+00:00,113.57,114.18,112.88,113.9,434967.0,4688.0,113.707202
EFX,2016-03-31 04:00:00+00:00,114.01,114.67,113.4,114.29,664773.0,5180.0,114.228573
EFX,2016-04-01 04:00:00+00:00,113.84,116.8,113.57,116.59,805581.0,8174.0,115.849002
EFX,2016-04-04 04:00:00+00:00,116.59,116.7899,115.13,115.42,410501.0,4672.0,115.580656
EFX,2016-04-05 04:00:00+00:00,114.85,115.54,113.96,114.57,698027.0,6343.0,114.782663
EFX,2016-04-06 04:00:00+00:00,115.08,115.5,113.9301,115.45,550287.0,5397.0,114.924259
EFX,2016-04-07 04:00:00+00:00,114.45,114.78,113.17,113.78,481105.0,4951.0,113.753673
EFX,2016-04-08 04:00:00+00:00,115.44,115.59,114.13,115.02,818832.0,6662.0,114.901709
EFX,2016-04-11 04:00:00+00:00,115.34,115.47,113.65,113.69,499092.0,5052.0,114.226101
EFX,2016-04-12 04:00:00+00:00,114.09,114.09,113.09,113.48,481062.0,4907.0,113.505784
EFX,2016-04-13 04:00:00+00:00,114.28,115.02,113.5,114.95,431510.0,4992.0,114.53214
