symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EIX,2016-01-04 05:00:00+00:00,58.57,59.07,58.24,58.95,3199608.0,25962.0,58.692779
EIX,2016-01-05 05:00:00+00:00,59.08,59.21,58.01,58.97,2679950.0,20039.0,58.891517
EIX,2016-01-06 05:00:00+00:00,58.66,58.77,58.0,58.58,3505642.0,26350.0,58.459944
EIX,2016-01-07 05:00:00+00:00,58.03,58.63,57.97,58.29,3253997.0,22805.0,58.31758
EIX,2016-01-08 05:00:00+00:00,58.3,58.7,58.18,58.28,2469719.0,21572.0,58.363128
EIX,2016-01-11 05:00:00+00:00,58.56,59.36,58.27,59.2,4836302.0,29908.0,59.013826
EIX,2016-01-12 05:00:00+00:00,59.28,59.57,58.34,59.4,2373887.0,20824.0,59.215263
EIX,2016-01-13 05:00:00+00:00,59.9,60.2,59.24,59.38,2047981.0,16116.0,59.671547
EIX,2016-01-14 05:00:00+00:00,59.45,60.055,58.89,59.55,2272130.0,20493.0,59.574984
EIX,2016-01-15 05:00:00+00:00,58.7,59.48,58.59,59.12,3385790.0,24102.0,58.98972
EIX,2016-01-19 05:00:00+00:00,59.42,60.31,59.08,60.12,3397651.0,27852.0,59.920034
EIX,2016-01-20 05:00:00+00:00,59.77,60.18,58.24,59.01,3272833.0,26057.0,58.97983
EIX,2016-01-21 05:00:00+00:00,59.03,59.494,58.48,58.72,2179124.0,17636.0,58.941293
EIX,2016-01-22 05:00:00+00:00,58.45,59.88,58.45,59.73,2126241.0,17848.0,59.382796
EIX,2016-01-25 05:00:00+00:00,59.8,60.01,59.21,59.92,2247103.0,16352.0,59.8257
EIX,2016-01-26 05:00:00+00:00,60.3,61.31,60.23,60.7,3195666.0,21502.0,60.669016
EIX,2016-01-27 05:00:00+00:00,60.9,61.17,60.05,60.5,1498871.0,12550.0,60.652699
EIX,2016-01-28 05:00:00+00:00,60.33,62.11,60.01,61.56,1990044.0,17308.0,61.521809
EIX,2016-01-29 05:00:00+00:00,62.07,62.34,61.48,61.8,5269899.0,27465.0,61.918101
EIX,2016-02-01 05:00:00+00:00,61.81,62.47,61.49,62.23,3656466.0,26921.0,61.96929
EIX,2016-02-02 05:00:00+00:00,62.0,62.81,61.68,62.72,3638782.0,25466.0,62.449184
EIX,2016-02-03 05:00:00+00:00,62.91,64.48,62.77,64.07,4025766.0,35945.0,64.006609
EIX,2016-02-04 05:00:00+00:00,63.89,64.31,62.88,63.07,2623980.0,26070.0,63.433552
EIX,2016-02-05 05:00:00+00:00,63.19,63.68,62.17,63.29,2728701.0,23431.0,63.127961
EIX,2016-02-08 05:00:00+00:00,63.34,64.3,62.65,62.9,2317884.0,20066.0,63.0074
EIX,2016-02-09 05:00:00+00:00,63.0,63.75,62.72,63.4,2806509.0,23127.0,63.278321
EIX,2016-02-10 05:00:00+00:00,63.27,63.87,62.29,63.51,1563748.0,14987.0,63.29533
EIX,2016-02-11 05:00:00+00:00,63.19,63.61,62.32,62.35,2254893.0,20348.0,62.761374
EIX,2016-02-12 05:00:00+00:00,62.18,62.65,61.51,61.76,3505200.0,21560.0,61.791818
EIX,2016-02-16 05:00:00+00:00,61.93,62.47,61.5,62.38,2222459.0,17418.0,62.144128
EIX,2016-02-17 05:00:00+00:00,62.41,62.71,61.77,62.53,1960546.0,17535.0,62.456657
EIX,2016-02-18 05:00:00+00:00,62.48,64.01,62.37,63.7,1843902.0,17005.0,63.600294
EIX,2016-02-19 05:00:00+00:00,63.63,63.65,62.83,62.89,3723417.0,15959.0,62.98296
EIX,2016-02-22 05:00:00+00:00,63.24,64.25,62.98,64.24,2261628.0,17237.0,63.905686
EIX,2016-02-23 05:00:00+00:00,63.96,65.29,63.6,64.98,3264417.0,23088.0,64.845742
EIX,2016-02-24 05:00:00+00:00,66.75,68.37,66.55,67.83,6999564.0,42441.0,67.430012
EIX,2016-02-25 05:00:00+00:00,67.83,69.235,67.71,68.79,4150142.0,32084.0,68.563048
EIX,2016-02-26 05:00:00+00:00,68.63,68.78,67.06,67.26,3371050.0,25325.0,67.572526
EIX,2016-02-29 05:00:00+00:00,67.2,68.8,67.02,68.16,3181067.0,21959.0,68.245002
EIX,2016-03-01 05:00:00+00:00,68.75,68.88,66.51,66.88,3921232.0,28094.0,67.285753
EIX,2016-03-02 05:00:00+00:00,66.7,67.09,65.6,66.97,3043359.0,24385.0,66.576456
EIX,2016-03-03 05:00:00+00:00,67.1,67.46,66.38,67.42,2536603.0,21115.0,67.091552
EIX,2016-03-04 05:00:00+00:00,66.81,67.93,66.55,67.71,2139907.0,17998.0,67.59244
EIX,2016-03-07 05:00:00+00:00,67.84,68.73,67.395,68.56,2129288.0,18620.0,68.412339
EIX,2016-03-08 05:00:00+00:00,68.72,69.36,68.28,69.1,2932974.0,23888.0,69.087666
EIX,2016-03-09 05:00:00+00:00,69.07,69.99,68.845,69.75,2598225.0,24953.0,69.620818
EIX,2016-03-10 05:00:00+00:00,69.56,69.9,69.1,69.76,1957197.0,17281.0,69.576852
