symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EPAM,2016-01-04 05:00:00+00:00,77.97,78.04,73.88,75.13,513834.0,4865.0,75.045126
EPAM,2016-01-05 05:00:00+00:00,75.27,76.96,74.897,75.11,334740.0,3194.0,75.710835
EPAM,2016-01-06 05:00:00+00:00,74.01,75.0,73.42,74.32,366684.0,2942.0,74.13916
EPAM,2016-01-07 05:00:00+00:00,73.08,74.58,72.05,72.28,489944.0,4030.0,72.848878
EPAM,2016-01-08 05:00:00+00:00,73.02,73.59,70.26,70.49,811715.0,6467.0,71.404982
EPAM,2016-01-11 05:00:00+00:00,69.56,70.7,68.55,70.2,619884.0,5088.0,69.54905
EPAM,2016-01-12 05:00:00+00:00,70.87,71.86,69.92,70.47,480866.0,4046.0,70.497007
EPAM,2016-01-13 05:00:00+00:00,71.04,71.72,69.5,70.2,587057.0,4810.0,70.496237
EPAM,2016-01-14 05:00:00+00:00,70.5,73.15,68.9901,72.78,598567.0,4695.0,71.941802
EPAM,2016-01-15 05:00:00+00:00,71.19,71.32,68.26,69.06,655125.0,5077.0,69.358366
EPAM,2016-01-19 05:00:00+00:00,69.64,70.43,67.61,67.84,699356.0,4706.0,68.969826
EPAM,2016-01-20 05:00:00+00:00,66.58,69.07,64.82,68.77,594473.0,5390.0,67.353301
EPAM,2016-01-21 05:00:00+00:00,68.22,70.68,67.48,70.18,486467.0,4588.0,69.855659
EPAM,2016-01-22 05:00:00+00:00,71.32,72.45,70.87,72.12,407817.0,3249.0,71.882687
EPAM,2016-01-25 05:00:00+00:00,71.72,72.96,71.38,72.49,498843.0,3371.0,72.259857
EPAM,2016-01-26 05:00:00+00:00,72.42,72.76,70.61,70.99,335064.0,3062.0,71.489414
EPAM,2016-01-27 05:00:00+00:00,70.66,72.425,69.88,70.67,420975.0,3396.0,70.819657
EPAM,2016-01-28 05:00:00+00:00,71.63,72.62,70.57,71.5,290919.0,2903.0,71.591775
EPAM,2016-01-29 05:00:00+00:00,72.11,74.94,71.55,74.9,554828.0,4232.0,73.842527
EPAM,2016-02-01 05:00:00+00:00,74.36,76.77,73.95,75.86,516634.0,4443.0,75.636735
