symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EQR,2016-01-04 05:00:00+00:00,80.79,80.87,79.21,79.9,1960026.0,15707.0,79.941961
EQR,2016-01-05 05:00:00+00:00,80.15,81.76,80.0,81.5,1522788.0,13175.0,81.272563
EQR,2016-01-06 05:00:00+00:00,80.77,81.5,80.31,80.73,1514704.0,13560.0,80.746913
EQR,2016-01-07 05:00:00+00:00,79.56,80.95,79.56,80.48,1847739.0,16880.0,80.514758
EQR,2016-01-08 05:00:00+00:00,81.06,81.13,78.69,78.82,1721602.0,11889.0,79.377542
EQR,2016-01-11 05:00:00+00:00,79.15,80.15,78.82,79.78,1961677.0,14672.0,79.709398
EQR,2016-01-12 05:00:00+00:00,80.86,80.96,79.5,79.94,2245077.0,17040.0,79.9996
EQR,2016-01-13 05:00:00+00:00,80.08,81.07,79.08,79.17,1673230.0,15120.0,79.875198
EQR,2016-01-14 05:00:00+00:00,79.33,79.93,78.49,78.57,2431684.0,18113.0,78.964291
EQR,2016-01-15 05:00:00+00:00,77.14,78.81,76.64,78.58,2498421.0,18360.0,78.320222
EQR,2016-01-19 05:00:00+00:00,78.67,79.72,78.32,79.18,1865899.0,15220.0,79.070202
EQR,2016-01-20 05:00:00+00:00,78.43,78.67,75.41,76.4,2384473.0,20420.0,76.513736
EQR,2016-01-21 05:00:00+00:00,76.78,77.42,76.04,76.44,1795304.0,15899.0,76.583923
EQR,2016-01-22 05:00:00+00:00,77.37,78.05,76.77,77.72,2070848.0,17201.0,77.394115
EQR,2016-01-25 05:00:00+00:00,78.99,79.2,77.15,78.2,2017204.0,17920.0,78.346496
EQR,2016-01-26 05:00:00+00:00,78.13,79.9,78.1,79.74,1983753.0,15784.0,79.486836
EQR,2016-01-27 05:00:00+00:00,79.65,79.65,77.61,78.27,1742073.0,16572.0,78.446379
EQR,2016-01-28 05:00:00+00:00,78.31,78.38,75.67,75.79,2951734.0,22036.0,76.705163
EQR,2016-01-29 05:00:00+00:00,76.63,77.23,74.93,77.09,3580769.0,27409.0,76.374716
EQR,2016-02-01 05:00:00+00:00,76.19,77.8,75.79,76.73,2319753.0,20021.0,77.024016
EQR,2016-02-02 05:00:00+00:00,77.0,77.22,74.79,75.6,2929160.0,25368.0,75.552332
EQR,2016-02-03 05:00:00+00:00,75.8,75.92,73.4,75.68,3216611.0,28699.0,74.776724
EQR,2016-02-04 05:00:00+00:00,75.27,76.925,74.48,76.27,2377113.0,21248.0,76.012722
EQR,2016-02-05 05:00:00+00:00,76.06,76.15,73.31,73.59,2363229.0,21715.0,74.152704
EQR,2016-02-08 05:00:00+00:00,72.85,73.59,70.91,72.23,2924185.0,28404.0,71.789498
EQR,2016-02-09 05:00:00+00:00,71.95,72.44,71.2,71.34,2225479.0,22102.0,71.648849
EQR,2016-02-10 05:00:00+00:00,71.86,72.95,71.41,71.77,1357953.0,12359.0,72.17469
EQR,2016-02-11 05:00:00+00:00,70.71,71.13,69.87,70.72,2403498.0,17143.0,70.650508
EQR,2016-02-12 05:00:00+00:00,71.67,71.67,70.64,71.29,2075569.0,17844.0,71.181397
EQR,2016-02-16 05:00:00+00:00,72.03,72.31,71.15,72.18,1709045.0,12954.0,71.922546
EQR,2016-02-17 05:00:00+00:00,72.33,72.88,72.1,72.44,2471735.0,19448.0,72.47051
EQR,2016-02-18 05:00:00+00:00,72.22,73.19,71.89,72.97,1955058.0,17211.0,72.831468
EQR,2016-02-19 05:00:00+00:00,73.4,73.74,72.49,73.12,1644011.0,12661.0,73.172651
EQR,2016-02-22 05:00:00+00:00,73.68,74.62,73.63,74.2,1913151.0,16398.0,74.185965
EQR,2016-02-23 05:00:00+00:00,74.86,75.23,73.51,73.81,1954418.0,14578.0,74.022563
EQR,2016-02-24 05:00:00+00:00,73.51,74.06,72.16,73.23,2039527.0,17192.0,72.967027
EQR,2016-02-25 05:00:00+00:00,73.87,74.55,73.57,74.5,2263753.0,18317.0,74.08126
EQR,2016-02-26 05:00:00+00:00,74.49,74.9,73.54,74.55,3308404.0,25870.0,74.32871
EQR,2016-02-29 05:00:00+00:00,74.55,75.41,74.29,74.49,3873756.0,22923.0,74.598461
EQR,2016-03-01 05:00:00+00:00,67.16,68.67,66.62,68.62,3606393.0,24526.0,67.895947
EQR,2016-03-02 05:00:00+00:00,68.57,70.35,68.57,70.02,2819963.0,23118.0,69.942441
EQR,2016-03-03 05:00:00+00:00,70.03,71.0,69.79,70.97,2314307.0,20588.0,70.469411
EQR,2016-03-04 05:00:00+00:00,70.97,71.52,70.46,71.47,2274821.0,17130.0,71.296086
EQR,2016-03-07 05:00:00+00:00,70.99,71.83,70.66,71.66,1324978.0,12873.0,71.542673
EQR,2016-03-08 05:00:00+00:00,71.7,71.93,70.84,70.97,2176273.0,17283.0,71.292477
EQR,2016-03-09 05:00:00+00:00,71.0,72.1125,70.83,71.68,1778167.0,15818.0,71.605993
EQR,2016-03-10 05:00:00+00:00,72.39,72.72,70.7,71.06,3014410.0,24574.0,71.439383
EQR,2016-03-11 05:00:00+00:00,71.97,72.98,70.79,72.9,2859410.0,18590.0,72.339627
EQR,2016-03-14 04:00:00+00:00,72.71,73.2,72.185,72.59,1489211.0,12825.0,72.583702
EQR,2016-03-15 04:00:00+00:00,72.51,72.9,72.07,72.69,1421690.0,11225.0,72.609434
EQR,2016-03-16 04:00:00+00:00,72.62,73.6,72.14,73.36,1513972.0,13638.0,72.961012
EQR,2016-03-17 04:00:00+00:00,73.49,74.56,73.16,74.45,1899395.0,12966.0,74.148117
EQR,2016-03-18 04:00:00+00:00,74.68,75.39,74.21,74.26,4541694.0,15759.0,74.513562
