symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ES,2016-01-04 05:00:00+00:00,50.65,50.89,50.23,50.88,1764057.0,14518.0,50.612396
ES,2016-01-05 05:00:00+00:00,51.17,51.43,50.01,51.35,1152462.0,11464.0,50.937298
ES,2016-01-06 05:00:00+00:00,51.0,51.65,50.73,51.46,1347637.0,11844.0,51.348436
ES,2016-01-07 05:00:00+00:00,50.79,51.29,50.76,51.14,2371171.0,16190.0,51.097453
ES,2016-01-08 05:00:00+00:00,51.21,51.49,50.715,50.82,1431103.0,12923.0,51.051631
ES,2016-01-11 05:00:00+00:00,50.91,51.32,50.58,51.03,1176997.0,12099.0,51.062149
ES,2016-01-12 05:00:00+00:00,51.4,51.44,50.4,51.12,1721000.0,15258.0,50.973092
ES,2016-01-13 05:00:00+00:00,51.27,51.73,51.06,51.3,2347966.0,20848.0,51.359913
ES,2016-01-14 05:00:00+00:00,51.28,52.22,50.57,51.86,4312931.0,27327.0,51.599644
ES,2016-01-15 05:00:00+00:00,51.3,51.72,50.815,51.39,3499252.0,26403.0,51.284237
ES,2016-01-19 05:00:00+00:00,51.45,52.75,51.375,52.59,2889950.0,24393.0,52.370836
ES,2016-01-20 05:00:00+00:00,52.37,52.648,50.52,51.15,3544812.0,28333.0,51.230357
ES,2016-01-21 05:00:00+00:00,51.27,51.47,50.21,50.58,2432852.0,18768.0,50.744119
ES,2016-01-22 05:00:00+00:00,50.16,51.63,50.16,51.58,1937158.0,15546.0,51.163535
ES,2016-01-25 05:00:00+00:00,51.62,51.97,51.22,51.64,2038481.0,16154.0,51.611497
ES,2016-01-26 05:00:00+00:00,51.77,52.68,51.74,52.15,1622623.0,15105.0,52.154563
ES,2016-01-27 05:00:00+00:00,52.55,52.68,51.84,52.32,1820746.0,14134.0,52.29755
ES,2016-01-28 05:00:00+00:00,52.19,53.52,51.76,53.09,1960788.0,15907.0,52.971823
ES,2016-01-29 05:00:00+00:00,53.63,54.15,53.371,53.8,3424473.0,22630.0,53.799602
ES,2016-02-01 05:00:00+00:00,53.6,54.92,53.49,54.57,2888611.0,25554.0,54.5276
ES,2016-02-02 05:00:00+00:00,54.27,55.225,54.03,55.08,1898140.0,17646.0,54.780343
ES,2016-02-03 05:00:00+00:00,55.47,55.965,55.34,55.72,2020934.0,23058.0,55.664887
ES,2016-02-04 05:00:00+00:00,55.63,55.91,54.84,54.93,3476865.0,28716.0,55.248744
ES,2016-02-05 05:00:00+00:00,54.41,54.86,53.39,54.66,3275262.0,29070.0,54.315691
ES,2016-02-08 05:00:00+00:00,54.14,54.78,53.43,54.09,3383137.0,28324.0,53.956646
ES,2016-02-09 05:00:00+00:00,54.0,54.9,53.84,54.69,3134436.0,25624.0,54.566009
ES,2016-02-10 05:00:00+00:00,54.48,55.28,53.81,54.94,2113874.0,19216.0,54.844396
ES,2016-02-11 05:00:00+00:00,54.79,55.13,53.79,53.9,2288001.0,19888.0,54.105462
ES,2016-02-12 05:00:00+00:00,53.88,54.07,52.93,53.51,2444384.0,19045.0,53.440738
ES,2016-02-16 05:00:00+00:00,53.94,53.98,53.12,53.86,1861313.0,15753.0,53.666289
ES,2016-02-17 05:00:00+00:00,53.81,53.9,53.29,53.54,1438300.0,12286.0,53.522575
ES,2016-02-18 05:00:00+00:00,53.75,54.74,53.53,54.46,1898785.0,16459.0,54.349969
ES,2016-02-19 05:00:00+00:00,54.42,54.74,53.83,54.67,3114042.0,18094.0,54.577694
ES,2016-02-22 05:00:00+00:00,54.83,55.51,54.6601,55.34,1391084.0,11567.0,55.276376
ES,2016-02-23 05:00:00+00:00,55.02,56.0,55.02,55.84,1688494.0,14057.0,55.677494
ES,2016-02-24 05:00:00+00:00,55.54,56.49,55.54,56.23,1779995.0,16138.0,56.019303
ES,2016-02-25 05:00:00+00:00,56.45,56.92,56.25,56.66,1222195.0,9723.0,56.606796
ES,2016-02-26 05:00:00+00:00,56.42,56.47,54.75,54.77,1712072.0,15748.0,55.113445
ES,2016-02-29 05:00:00+00:00,53.93,54.84,53.93,54.3,2089422.0,14201.0,54.43303
ES,2016-03-01 05:00:00+00:00,54.5,54.87,53.8,54.23,2182502.0,19456.0,54.244106
ES,2016-03-02 05:00:00+00:00,54.23,54.38,52.62,54.34,1872865.0,16829.0,53.669955
ES,2016-03-03 05:00:00+00:00,54.44,54.655,53.593,54.63,1336969.0,12322.0,54.325881
ES,2016-03-04 05:00:00+00:00,54.33,55.69,54.13,55.54,1915332.0,17065.0,55.260434
ES,2016-03-07 05:00:00+00:00,55.32,56.27,55.32,56.11,2845241.0,21642.0,56.036429
ES,2016-03-08 05:00:00+00:00,56.35,57.03,55.89,56.69,2373898.0,13836.0,56.665949
ES,2016-03-09 05:00:00+00:00,56.59,57.16,56.4044,56.87,1853202.0,14671.0,56.811705
ES,2016-03-10 05:00:00+00:00,56.56,57.25,56.07,56.5,2241646.0,17913.0,56.537678
ES,2016-03-11 05:00:00+00:00,56.72,57.0,56.36,56.55,1769867.0,14349.0,56.583694
ES,2016-03-14 04:00:00+00:00,56.59,56.83,56.15,56.74,1701987.0,14064.0,56.601917
ES,2016-03-15 04:00:00+00:00,56.73,57.35,56.46,56.75,2048313.0,17621.0,56.78455
ES,2016-03-16 04:00:00+00:00,56.5,57.5789,56.0499,57.39,1484705.0,16032.0,56.961011
ES,2016-03-17 04:00:00+00:00,57.54,58.09,57.32,57.84,2866330.0,16878.0,57.82692
ES,2016-03-18 04:00:00+00:00,57.82,58.07,57.18,57.19,4506881.0,14132.0,57.483853
ES,2016-03-21 04:00:00+00:00,57.1,57.82,56.74,57.35,1870868.0,14080.0,57.381866
ES,2016-03-22 04:00:00+00:00,57.35,57.67,57.07,57.48,2399098.0,13708.0,57.398272
ES,2016-03-23 04:00:00+00:00,57.49,58.08,57.1301,57.93,1465676.0,11969.0,57.858786
ES,2016-03-24 04:00:00+00:00,57.74,58.29,57.65,57.83,1649929.0,9903.0,57.860249
ES,2016-03-28 04:00:00+00:00,58.1,58.42,57.63,57.77,760197.0,6412.0,57.806114
ES,2016-03-29 04:00:00+00:00,58.0,58.595,57.7,58.53,1739738.0,9916.0,58.398099
ES,2016-03-30 04:00:00+00:00,58.65,58.81,58.26,58.39,1344698.0,10667.0,58.482341
ES,2016-03-31 04:00:00+00:00,58.08,58.51,58.03,58.34,2727260.0,18609.0,58.319578
ES,2016-04-01 04:00:00+00:00,57.9,58.94,57.9,58.8,1717267.0,14645.0,58.598366
ES,2016-04-04 04:00:00+00:00,59.05,59.09,58.28,58.59,1379761.0,11964.0,58.552309
ES,2016-04-05 04:00:00+00:00,58.51,58.66,57.03,57.08,2523925.0,17650.0,57.300606
ES,2016-04-06 04:00:00+00:00,56.9813,57.17,56.54,56.89,2252175.0,14234.0,56.822731
ES,2016-04-07 04:00:00+00:00,56.76,57.33,56.54,56.8,1864958.0,15307.0,56.892085
ES,2016-04-08 04:00:00+00:00,57.06,57.595,56.95,57.05,1892882.0,14215.0,57.148503
ES,2016-04-11 04:00:00+00:00,57.06,57.43,56.61,56.63,1803681.0,13092.0,56.775766
ES,2016-04-12 04:00:00+00:00,56.67,56.8,56.43,56.67,1843897.0,14589.0,56.676361
ES,2016-04-13 04:00:00+00:00,56.84,56.86,55.95,56.07,1932356.0,13553.0,56.070353
ES,2016-04-14 04:00:00+00:00,55.98,56.22,55.84,56.1,1764367.0,14678.0,56.044738
ES,2016-04-15 04:00:00+00:00,56.06,56.96,55.95,56.72,2041372.0,15109.0,56.655158
ES,2016-04-18 04:00:00+00:00,56.63,57.13,56.5,57.12,1678730.0,12590.0,56.905244
ES,2016-04-19 04:00:00+00:00,57.23,57.33,56.7,57.04,1553686.0,11519.0,56.998266
ES,2016-04-20 04:00:00+00:00,57.14,57.33,55.56,55.64,1787576.0,15737.0,56.041109
ES,2016-04-21 04:00:00+00:00,55.52,55.61,54.51,55.02,3003574.0,23037.0,54.988461
ES,2016-04-22 04:00:00+00:00,55.19,55.52,55.17,55.4,1815324.0,13447.0,55.349402
ES,2016-04-25 04:00:00+00:00,55.18,55.58,55.06,55.5,1381681.0,9814.0,55.420506
ES,2016-04-26 04:00:00+00:00,55.57,55.81,55.15,55.36,1490326.0,10873.0,55.401911
ES,2016-04-27 04:00:00+00:00,55.46,56.27,55.14,56.05,1761811.0,15615.0,55.918108
ES,2016-04-28 04:00:00+00:00,55.42,56.33,55.3,56.06,1666138.0,12484.0,56.027974
ES,2016-04-29 04:00:00+00:00,55.87,56.56,55.39,56.44,1658499.0,10959.0,56.213842
ES,2016-05-02 04:00:00+00:00,56.77,57.32,56.49,57.07,1433535.0,12315.0,57.001515
ES,2016-05-03 04:00:00+00:00,57.08,57.25,56.625,56.97,1214235.0,10414.0,56.910646
ES,2016-05-04 04:00:00+00:00,57.0,58.06,56.83,57.51,1801276.0,14050.0,57.611428
ES,2016-05-05 04:00:00+00:00,56.83,58.26,55.64,57.4,2364987.0,18200.0,57.463675
ES,2016-05-06 04:00:00+00:00,57.41,57.42,56.48,57.16,2097303.0,17707.0,56.863652
ES,2016-05-09 04:00:00+00:00,57.21,57.68,56.92,57.58,1849050.0,8512.0,57.526013
ES,2016-05-10 04:00:00+00:00,57.8,57.86,57.32,57.54,1339594.0,11065.0,57.64445
ES,2016-05-11 04:00:00+00:00,57.605,57.84,56.985,57.36,2133090.0,17517.0,57.341392
ES,2016-05-12 04:00:00+00:00,57.3,58.07,57.1701,57.63,2744225.0,21585.0,57.760447
ES,2016-05-13 04:00:00+00:00,57.63,57.74,57.08,57.39,1436217.0,11317.0,57.395903
ES,2016-05-16 04:00:00+00:00,57.28,57.45,56.95,57.38,1487389.0,12017.0,57.261085
ES,2016-05-17 04:00:00+00:00,57.21,57.27,55.62,55.82,2878923.0,21422.0,56.063184
ES,2016-05-18 04:00:00+00:00,55.54,56.04,54.57,54.79,2672062.0,21716.0,55.262506
ES,2016-05-19 04:00:00+00:00,54.68,55.32,54.28,55.29,2011582.0,14307.0,55.008915
ES,2016-05-20 04:00:00+00:00,55.48,55.49,54.45,54.91,2900536.0,19646.0,54.831123
ES,2016-05-23 04:00:00+00:00,54.91,55.0,54.13,54.16,1891619.0,14923.0,54.413569
ES,2016-05-24 04:00:00+00:00,54.2,54.73,53.95,54.67,1847080.0,13850.0,54.449727
ES,2016-05-25 04:00:00+00:00,54.51,54.78,54.19,54.3,1575315.0,13726.0,54.379663
ES,2016-05-26 04:00:00+00:00,53.99,54.83,53.9,54.8,2944174.0,19612.0,54.465774
ES,2016-05-27 04:00:00+00:00,54.85,55.08,54.668,55.01,1411791.0,11973.0,54.926222
ES,2016-05-31 04:00:00+00:00,54.87,55.31,54.67,55.24,2612283.0,14582.0,55.132255
ES,2016-06-01 04:00:00+00:00,55.17,55.53,55.07,55.52,2507493.0,17273.0,55.297577
ES,2016-06-02 04:00:00+00:00,55.5,55.55,54.855,55.35,1978696.0,13080.0,55.244437
ES,2016-06-03 04:00:00+00:00,55.93,56.6,55.93,56.16,1402341.0,12024.0,56.272864
ES,2016-06-06 04:00:00+00:00,56.16,56.34,55.575,55.82,1566160.0,13319.0,55.868978
ES,2016-06-07 04:00:00+00:00,55.88,56.21,55.6,55.7,1226579.0,10325.0,55.851974
ES,2016-06-08 04:00:00+00:00,55.73,56.34,55.56,56.33,1645653.0,11146.0,56.131352
ES,2016-06-09 04:00:00+00:00,56.35,56.97,56.27,56.88,1329031.0,11117.0,56.673822
ES,2016-06-10 04:00:00+00:00,56.84,57.19,56.509,56.68,1073677.0,9169.0,56.697575
ES,2016-06-13 04:00:00+00:00,56.86,57.18,56.6601,56.92,1523032.0,12246.0,56.923909
ES,2016-06-14 04:00:00+00:00,56.92,57.29,56.49,57.29,1084593.0,9596.0,57.07858
ES,2016-06-15 04:00:00+00:00,57.3,57.36,56.39,56.52,1529211.0,12759.0,56.677041
ES,2016-06-16 04:00:00+00:00,56.51,57.0156,56.37,56.78,1268425.0,11710.0,56.760174
ES,2016-06-17 04:00:00+00:00,56.77,56.89,56.345,56.89,2242228.0,11575.0,56.770433
ES,2016-06-20 04:00:00+00:00,56.85,57.04,56.32,56.82,1689808.0,10283.0,56.804737
ES,2016-06-21 04:00:00+00:00,56.81,57.35,56.53,57.03,1287822.0,10630.0,57.111044
ES,2016-06-22 04:00:00+00:00,57.3,57.3,56.69,56.69,1266358.0,9492.0,56.803835
ES,2016-06-23 04:00:00+00:00,56.72,56.81,56.14,56.42,1870630.0,14704.0,56.359753
ES,2016-06-24 04:00:00+00:00,56.13,57.69,55.88,57.22,2642502.0,20559.0,57.234827
