symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ETN,2016-01-04 05:00:00+00:00,51.21,52.26,50.7775,52.22,4108564.0,29694.0,51.673128
ETN,2016-01-05 05:00:00+00:00,52.22,52.34,51.26,51.85,2220045.0,17507.0,51.694677
ETN,2016-01-06 05:00:00+00:00,50.81,51.29,50.36,50.92,3110804.0,21479.0,50.83801
ETN,2016-01-07 05:00:00+00:00,49.95,50.26,49.38,49.73,5105485.0,31405.0,49.770491
ETN,2016-01-08 05:00:00+00:00,50.05,50.41,49.06,49.17,3620556.0,26299.0,49.651337
ETN,2016-01-11 05:00:00+00:00,49.64,49.81,48.58,49.15,3342661.0,25523.0,49.001211
ETN,2016-01-12 05:00:00+00:00,49.73,50.09,48.85,49.95,3682503.0,26310.0,49.568258
ETN,2016-01-13 05:00:00+00:00,50.11,50.59,48.35,48.43,3791825.0,27812.0,49.137115
ETN,2016-01-14 05:00:00+00:00,48.71,48.71,47.15,48.32,4974934.0,33552.0,48.173959
ETN,2016-01-15 05:00:00+00:00,47.0,48.12,46.98,47.86,5108287.0,34212.0,47.589684
ETN,2016-01-19 05:00:00+00:00,48.6,48.74,47.45,48.09,3801372.0,26243.0,48.125314
ETN,2016-01-20 05:00:00+00:00,47.23,47.95,46.19,47.51,4279735.0,34665.0,47.041294
ETN,2016-01-21 05:00:00+00:00,47.57,48.686,46.78,47.78,3891280.0,31288.0,47.800886
ETN,2016-01-22 05:00:00+00:00,48.87,49.47,47.69,48.51,3651436.0,26879.0,48.407559
ETN,2016-01-25 05:00:00+00:00,48.23,48.56,47.15,47.27,2636820.0,20367.0,47.636129
ETN,2016-01-26 05:00:00+00:00,48.27,49.135,47.46,49.02,3599764.0,23720.0,48.745658
ETN,2016-01-27 05:00:00+00:00,48.99,50.71,48.32,49.44,4804553.0,38010.0,49.438016
ETN,2016-01-28 05:00:00+00:00,50.31,50.7,49.5,50.19,4009715.0,28603.0,50.101006
ETN,2016-01-29 05:00:00+00:00,48.45,50.51,47.75,50.51,9067074.0,49024.0,49.695885
ETN,2016-02-01 05:00:00+00:00,50.04,50.45,49.27,50.22,4056348.0,28274.0,49.8625
ETN,2016-02-02 05:00:00+00:00,49.61,50.08,48.61,49.0,5868610.0,42338.0,49.117143
ETN,2016-02-03 05:00:00+00:00,51.95,52.62,50.31,52.48,7629438.0,54218.0,51.692228
ETN,2016-02-04 05:00:00+00:00,52.47,55.26,52.47,54.36,6348067.0,48598.0,54.21142
ETN,2016-02-05 05:00:00+00:00,53.97,55.25,53.75,54.66,4441306.0,34461.0,54.719567
ETN,2016-02-08 05:00:00+00:00,54.0,55.3,53.144,55.11,6417433.0,46735.0,54.328007
ETN,2016-02-09 05:00:00+00:00,53.76,55.245,53.76,54.48,5380710.0,38969.0,54.659174
ETN,2016-02-10 05:00:00+00:00,54.72,54.96,53.64,53.7,3602998.0,26490.0,54.173819
ETN,2016-02-11 05:00:00+00:00,52.54,53.72,52.35,53.1,5177597.0,37803.0,52.977064
ETN,2016-02-12 05:00:00+00:00,53.91,54.51,53.045,54.2,4218304.0,31783.0,54.046304
