symbol,timestamp,open,high,low,close,volume,trade_count,vwap
EXPE,2016-01-04 05:00:00+00:00,121.26,122.0,119.06,120.8,3180136.0,28042.0,120.184543
EXPE,2016-01-05 05:00:00+00:00,121.25,122.13,118.39,119.93,3806342.0,27690.0,119.998051
EXPE,2016-01-06 05:00:00+00:00,117.56,120.16,116.51,119.04,2269353.0,19287.0,118.998241
EXPE,2016-01-07 05:00:00+00:00,117.01,117.78,114.0,114.81,2111128.0,21040.0,115.85562
EXPE,2016-01-08 05:00:00+00:00,116.06,116.5,111.25,111.41,2573710.0,24227.0,112.973446
EXPE,2016-01-11 05:00:00+00:00,112.11,112.78,109.25,111.2,2241892.0,22080.0,111.104278
EXPE,2016-01-12 05:00:00+00:00,112.05,113.12,110.15,111.9,1920938.0,18881.0,111.92771
EXPE,2016-01-13 05:00:00+00:00,112.44,112.91,105.33,106.37,3781469.0,31521.0,107.629098
EXPE,2016-01-14 05:00:00+00:00,106.74,109.49,102.87,107.67,2780878.0,25577.0,106.767232
EXPE,2016-01-15 05:00:00+00:00,103.56,104.02,99.56,102.76,4915147.0,43929.0,102.286839
EXPE,2016-01-19 05:00:00+00:00,104.81,106.77,104.08,105.32,3427808.0,31208.0,105.370545
EXPE,2016-01-20 05:00:00+00:00,103.75,107.88,100.07,106.28,3318061.0,32603.0,104.290441
EXPE,2016-01-21 05:00:00+00:00,106.39,107.62,105.19,106.4,2476319.0,22343.0,106.381721
EXPE,2016-01-22 05:00:00+00:00,108.0,109.24,106.04,107.12,1692772.0,17009.0,107.407558
EXPE,2016-01-25 05:00:00+00:00,106.88,107.86,104.98,105.21,1903662.0,19068.0,106.043941
EXPE,2016-01-26 05:00:00+00:00,104.66,105.93,102.36,104.93,2847255.0,18434.0,104.624621
EXPE,2016-01-27 05:00:00+00:00,102.91,104.0,99.0,99.53,3362791.0,30602.0,101.296262
EXPE,2016-01-28 05:00:00+00:00,101.29,101.49,97.22,98.69,2825463.0,24383.0,98.656858
EXPE,2016-01-29 05:00:00+00:00,99.22,101.27,98.13,101.04,2314612.0,16340.0,100.033814
EXPE,2016-02-01 05:00:00+00:00,100.16,102.93,98.71,102.15,2751177.0,25014.0,100.996325
EXPE,2016-02-02 05:00:00+00:00,101.44,101.79,97.35,98.71,2928922.0,28516.0,98.657825
EXPE,2016-02-03 05:00:00+00:00,98.85,99.075,92.41,96.3,3312776.0,30609.0,95.430473
EXPE,2016-02-04 05:00:00+00:00,95.97,100.21,94.5,99.9,2408257.0,24676.0,98.383698
EXPE,2016-02-05 05:00:00+00:00,99.07,99.11,91.91,93.54,6200731.0,51388.0,94.14443
EXPE,2016-02-08 05:00:00+00:00,91.37,92.27,88.4,91.53,4976319.0,44147.0,90.460278
EXPE,2016-02-09 05:00:00+00:00,90.25,94.4,89.24,92.64,4667758.0,41824.0,91.759765
