symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FIS,2016-01-04 05:00:00+00:00,59.52,59.97,58.99,59.91,2452771.0,16138.0,59.551567
FIS,2016-01-05 05:00:00+00:00,60.19,61.09,59.67,60.29,2432426.0,20402.0,60.559348
FIS,2016-01-06 05:00:00+00:00,59.36,59.73,58.9,59.18,1832006.0,12749.0,59.247185
FIS,2016-01-07 05:00:00+00:00,58.48,59.61,58.08,59.19,2372028.0,18812.0,59.219057
FIS,2016-01-08 05:00:00+00:00,59.52,59.66,58.04,58.13,2177895.0,15743.0,58.56874
FIS,2016-01-11 05:00:00+00:00,58.61,59.27,58.07,58.94,1815223.0,17533.0,58.654916
FIS,2016-01-12 05:00:00+00:00,60.04,60.19,58.94,59.99,3005877.0,21686.0,59.643111
FIS,2016-01-13 05:00:00+00:00,60.32,60.7,58.93,59.12,2657950.0,21496.0,59.606503
FIS,2016-01-14 05:00:00+00:00,59.41,60.62,58.93,60.3,3186186.0,23615.0,60.057434
FIS,2016-01-15 05:00:00+00:00,58.57,59.27,57.62,58.46,3284680.0,24392.0,58.47969
FIS,2016-01-19 05:00:00+00:00,59.15,59.34,58.3,58.71,1516090.0,13361.0,58.78667
FIS,2016-01-20 05:00:00+00:00,57.92,58.35,56.8,57.89,2533091.0,23196.0,57.835871
FIS,2016-01-21 05:00:00+00:00,58.14,58.94,57.67,58.05,2832283.0,24069.0,58.231182
FIS,2016-01-22 05:00:00+00:00,59.0,59.55,58.93,59.45,2092069.0,15244.0,59.27384
FIS,2016-01-25 05:00:00+00:00,59.17,59.65,58.76,58.85,1337676.0,9498.0,59.163238
FIS,2016-01-26 05:00:00+00:00,59.01,60.09,58.72,60.04,1366899.0,12142.0,59.771696
FIS,2016-01-27 05:00:00+00:00,59.87,60.385,58.45,58.81,2401996.0,15485.0,59.19159
FIS,2016-01-28 05:00:00+00:00,59.16,59.46,58.06,58.21,1733623.0,13744.0,58.398542
FIS,2016-01-29 05:00:00+00:00,58.6,59.755,58.31,59.73,2588872.0,16195.0,59.445678
FIS,2016-02-01 05:00:00+00:00,59.5,61.035,59.21,60.67,1899955.0,14773.0,60.475813
FIS,2016-02-02 05:00:00+00:00,59.91,60.12,59.3,59.52,2047795.0,9743.0,59.608149
FIS,2016-02-03 05:00:00+00:00,59.5,59.95,58.86,59.65,1659723.0,14138.0,59.446126
FIS,2016-02-04 05:00:00+00:00,59.46,60.26,59.46,60.15,1517141.0,13196.0,59.930379
FIS,2016-02-05 05:00:00+00:00,59.85,60.4,58.29,58.54,2008620.0,16754.0,58.793167
FIS,2016-02-08 05:00:00+00:00,57.74,57.74,55.105,56.04,4322428.0,39418.0,55.975544
FIS,2016-02-09 05:00:00+00:00,57.65,59.33,56.38,57.93,5725888.0,36493.0,57.989895
FIS,2016-02-10 05:00:00+00:00,57.89,58.68,57.32,57.4,3223301.0,23083.0,57.908542
FIS,2016-02-11 05:00:00+00:00,56.46,56.88,55.99,56.44,2182261.0,18357.0,56.42633
FIS,2016-02-12 05:00:00+00:00,57.1,57.63,56.83,57.57,1648120.0,13673.0,57.351211
FIS,2016-02-16 05:00:00+00:00,58.5,58.97,58.22,58.65,3045935.0,20210.0,58.578869
FIS,2016-02-17 05:00:00+00:00,59.11,59.55,58.83,59.54,3024931.0,16127.0,59.263596
FIS,2016-02-18 05:00:00+00:00,59.51,59.76,58.93,59.17,1303871.0,12163.0,59.234104
FIS,2016-02-19 05:00:00+00:00,59.17,59.75,58.66,59.71,1763368.0,14571.0,59.430758
FIS,2016-02-22 05:00:00+00:00,59.91,60.7,59.655,59.99,1942321.0,13225.0,60.027803
FIS,2016-02-23 05:00:00+00:00,59.67,59.99,58.8999,58.98,1838600.0,14266.0,59.230907
FIS,2016-02-24 05:00:00+00:00,58.51,59.23,57.8,59.18,1671828.0,14467.0,58.567331
FIS,2016-02-25 05:00:00+00:00,59.33,60.07,58.93,60.04,1620628.0,14104.0,59.502803
FIS,2016-02-26 05:00:00+00:00,60.18,60.61,59.395,59.49,1887731.0,14643.0,59.766861
FIS,2016-02-29 05:00:00+00:00,59.43,59.69,58.23,58.25,3077519.0,18171.0,58.597922
FIS,2016-03-01 05:00:00+00:00,58.81,60.01,58.7,60.0,2263175.0,19132.0,59.601745
FIS,2016-03-02 05:00:00+00:00,59.96,59.99,59.1287,59.92,1631987.0,14036.0,59.714768
FIS,2016-03-03 05:00:00+00:00,59.85,60.47,59.43,60.33,2328636.0,14711.0,60.190269
FIS,2016-03-04 05:00:00+00:00,60.33,60.84,59.95,60.81,3222115.0,17116.0,60.495114
FIS,2016-03-07 05:00:00+00:00,60.44,60.66,59.835,60.07,1965720.0,15153.0,60.14025
FIS,2016-03-08 05:00:00+00:00,59.53,59.76,59.13,59.18,1645957.0,12652.0,59.370766
FIS,2016-03-09 05:00:00+00:00,59.52,60.05,59.11,60.02,1952794.0,15106.0,59.736403
FIS,2016-03-10 05:00:00+00:00,60.24,61.75,60.07,61.56,4496208.0,31946.0,61.35695
FIS,2016-03-11 05:00:00+00:00,61.82,63.01,61.26,62.81,3986794.0,23327.0,62.469135
FIS,2016-03-14 04:00:00+00:00,62.74,62.92,62.17,62.8,2466094.0,19242.0,62.582493
FIS,2016-03-15 04:00:00+00:00,61.82,62.7,61.82,62.43,1463263.0,11664.0,62.363027
FIS,2016-03-16 04:00:00+00:00,62.32,63.0,62.21,62.76,1622387.0,13291.0,62.658105
FIS,2016-03-17 04:00:00+00:00,62.73,63.37,62.53,63.06,2688446.0,15502.0,63.06452
FIS,2016-03-18 04:00:00+00:00,61.93,62.84,61.25,62.54,10060916.0,40746.0,62.20757
FIS,2016-03-21 04:00:00+00:00,62.36,62.928,62.19,62.75,2351717.0,15509.0,62.651602
FIS,2016-03-22 04:00:00+00:00,62.5,62.75,62.37,62.45,1576982.0,10805.0,62.530042
FIS,2016-03-23 04:00:00+00:00,62.49,63.03,62.2,62.89,2439369.0,17195.0,62.814394
FIS,2016-03-24 04:00:00+00:00,62.67,62.72,61.95,62.62,1674909.0,12357.0,62.349068
FIS,2016-03-28 04:00:00+00:00,63.0,63.0,62.25,62.42,1205642.0,8193.0,62.458226
FIS,2016-03-29 04:00:00+00:00,62.23,62.95,62.05,62.92,1171249.0,10274.0,62.759287
FIS,2016-03-30 04:00:00+00:00,63.0,63.407,62.92,63.18,1515167.0,10542.0,63.123975
FIS,2016-03-31 04:00:00+00:00,63.03,63.74,62.84,63.31,1877723.0,10667.0,63.318178
FIS,2016-04-01 04:00:00+00:00,63.64,65.11,63.39,65.01,2979203.0,22103.0,64.805505
FIS,2016-04-04 04:00:00+00:00,65.11,65.35,64.25,64.34,1570063.0,13190.0,64.572172
FIS,2016-04-05 04:00:00+00:00,63.99,64.18,63.37,63.44,1316164.0,11646.0,63.663011
FIS,2016-04-06 04:00:00+00:00,63.34,64.58,63.3,64.5,1543844.0,12190.0,64.236321
FIS,2016-04-07 04:00:00+00:00,64.05,64.38,63.48,63.89,1567387.0,10969.0,63.897405
FIS,2016-04-08 04:00:00+00:00,64.4,64.435,63.75,63.98,1832538.0,12720.0,63.986879
FIS,2016-04-11 04:00:00+00:00,64.23,64.82,63.91,64.11,1857681.0,15245.0,64.321419
FIS,2016-04-12 04:00:00+00:00,64.1,64.39,63.74,64.03,1629952.0,11563.0,63.965834
FIS,2016-04-13 04:00:00+00:00,64.37,64.5062,63.77,64.28,1919719.0,15442.0,64.204337
FIS,2016-04-14 04:00:00+00:00,64.18,64.48,63.93,64.19,1249214.0,9863.0,64.215536
FIS,2016-04-15 04:00:00+00:00,64.25,64.57,63.995,64.06,2109761.0,10027.0,64.130114
FIS,2016-04-18 04:00:00+00:00,64.04,65.04,63.92,65.01,1154338.0,9516.0,64.764847
FIS,2016-04-19 04:00:00+00:00,65.23,65.84,65.0,65.49,1751389.0,13612.0,65.4584
FIS,2016-04-20 04:00:00+00:00,65.56,66.79,65.32,66.45,2947054.0,20027.0,66.320316
FIS,2016-04-21 04:00:00+00:00,66.22,66.68,64.99,65.24,2100746.0,17241.0,65.451629
FIS,2016-04-22 04:00:00+00:00,64.91,65.44,64.36,65.24,1524468.0,11944.0,65.033532
FIS,2016-04-25 04:00:00+00:00,64.96,65.86,64.69,65.7,1630558.0,13554.0,65.49164
FIS,2016-04-26 04:00:00+00:00,65.83,66.22,65.13,66.0,1468402.0,10922.0,65.840753
FIS,2016-04-27 04:00:00+00:00,65.41,66.625,65.41,66.4,1584673.0,12298.0,66.306143
FIS,2016-04-28 04:00:00+00:00,66.02,66.46,65.51,65.67,1712406.0,14010.0,65.943716
FIS,2016-04-29 04:00:00+00:00,65.29,66.11,64.84,65.8,3204730.0,21422.0,65.570778
FIS,2016-05-02 04:00:00+00:00,66.0,67.36,65.72,67.18,4125537.0,31836.0,66.687512
FIS,2016-05-03 04:00:00+00:00,69.57,72.23,69.52,71.29,8986314.0,52821.0,71.238608
FIS,2016-05-04 04:00:00+00:00,71.05,71.4,70.51,71.05,3988909.0,29625.0,70.959547
FIS,2016-05-05 04:00:00+00:00,70.89,71.5,69.93,70.39,3029513.0,25375.0,70.483365
FIS,2016-05-06 04:00:00+00:00,70.14,71.27,70.05,71.25,2371345.0,17413.0,70.873007
FIS,2016-05-09 04:00:00+00:00,71.83,72.98,71.54,71.72,2845301.0,22931.0,71.984848
FIS,2016-05-10 04:00:00+00:00,72.3,73.9,71.95,73.85,3882948.0,25365.0,73.484312
FIS,2016-05-11 04:00:00+00:00,74.13,74.19,73.19,73.43,2894511.0,21205.0,73.523173
FIS,2016-05-12 04:00:00+00:00,72.05,72.98,71.3,71.77,5137365.0,35182.0,72.06803
FIS,2016-05-13 04:00:00+00:00,71.82,73.03,71.8,72.31,7770525.0,46060.0,72.342369
FIS,2016-05-16 04:00:00+00:00,72.28,72.985,71.92,72.79,2739311.0,22131.0,72.553468
FIS,2016-05-17 04:00:00+00:00,72.67,73.0,71.91,72.13,2263411.0,16786.0,72.249077
FIS,2016-05-18 04:00:00+00:00,72.05,72.865,71.6,72.39,2529687.0,18040.0,72.258966
FIS,2016-05-19 04:00:00+00:00,72.05,72.74,71.73,72.61,1822206.0,15985.0,72.323989
