symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FSLR,2016-01-04 05:00:00+00:00,64.71,66.76,64.1,66.72,2271371.0,18520.0,65.939005
FSLR,2016-01-05 05:00:00+00:00,70.56,72.12,70.11,72.03,6565054.0,47595.0,71.398346
FSLR,2016-01-06 05:00:00+00:00,71.0,71.45,68.42,69.52,3091763.0,26549.0,69.836685
FSLR,2016-01-07 05:00:00+00:00,67.64,68.7,65.35,66.22,4216838.0,35824.0,66.899408
FSLR,2016-01-08 05:00:00+00:00,67.43,67.95,64.73,65.62,3297400.0,24168.0,66.040987
FSLR,2016-01-11 05:00:00+00:00,65.84,66.72,64.37,65.42,1838244.0,17322.0,65.476556
FSLR,2016-01-12 05:00:00+00:00,65.98,66.54,63.07,65.22,2373658.0,18786.0,64.571104
FSLR,2016-01-13 05:00:00+00:00,65.52,66.27,61.08,61.37,2659556.0,22713.0,63.020015
FSLR,2016-01-14 05:00:00+00:00,60.8,62.6,57.54,61.78,4004952.0,33072.0,60.419341
FSLR,2016-01-15 05:00:00+00:00,59.58,61.64,58.8,61.32,2491470.0,22574.0,60.412589
FSLR,2016-01-19 05:00:00+00:00,62.21,63.15,60.74,61.49,2352543.0,19034.0,61.905316
FSLR,2016-01-20 05:00:00+00:00,60.4,62.0,57.2,61.27,3393635.0,31176.0,59.355089
FSLR,2016-01-21 05:00:00+00:00,61.29,64.5316,60.86,63.23,2483136.0,24503.0,63.215721
FSLR,2016-01-22 05:00:00+00:00,65.1,66.94,64.29,66.44,3101226.0,28239.0,65.796595
FSLR,2016-01-25 05:00:00+00:00,66.56,66.59,63.93,64.14,1937809.0,18090.0,64.916263
FSLR,2016-01-26 05:00:00+00:00,64.76,67.6,64.44,67.4,2001076.0,18630.0,66.681016
FSLR,2016-01-27 05:00:00+00:00,66.93,67.73,65.22,65.64,1943137.0,18933.0,66.366474
FSLR,2016-01-28 05:00:00+00:00,66.85,67.4299,64.18,65.88,2279559.0,21360.0,65.433066
FSLR,2016-01-29 05:00:00+00:00,65.92,68.7,65.8,68.66,2455071.0,20771.0,67.642711
FSLR,2016-02-01 05:00:00+00:00,68.1,69.766,66.74,69.13,2055171.0,18820.0,68.457291
FSLR,2016-02-02 05:00:00+00:00,68.05,68.74,65.61,66.13,2017850.0,16707.0,66.617474
FSLR,2016-02-03 05:00:00+00:00,66.94,67.15,64.1,66.49,1822859.0,17068.0,65.830783
FSLR,2016-02-04 05:00:00+00:00,66.39,68.49,66.05,67.2,1725911.0,16495.0,67.265038
FSLR,2016-02-05 05:00:00+00:00,66.71,66.88,64.86,65.07,1724233.0,15931.0,65.593422
FSLR,2016-02-08 05:00:00+00:00,63.5,65.07,62.96,64.18,2213589.0,20232.0,63.756213
FSLR,2016-02-09 05:00:00+00:00,63.03,66.85,62.54,66.48,2458110.0,19690.0,65.654385
FSLR,2016-02-10 05:00:00+00:00,64.66,65.72,63.79,64.41,2464505.0,20176.0,64.607461
FSLR,2016-02-11 05:00:00+00:00,63.0,64.07,60.1,61.36,3149377.0,26852.0,61.78339
FSLR,2016-02-12 05:00:00+00:00,62.3,62.8,58.08,60.99,3013431.0,26731.0,60.149866
FSLR,2016-02-16 05:00:00+00:00,61.98,63.314,61.665,63.05,1782493.0,15763.0,62.625447
FSLR,2016-02-17 05:00:00+00:00,63.7,64.2,62.17,63.47,2261210.0,15852.0,63.212466
FSLR,2016-02-18 05:00:00+00:00,64.29,64.83,62.5,63.54,1868974.0,14734.0,63.447517
FSLR,2016-02-19 05:00:00+00:00,63.03,63.5,61.44,62.76,1824857.0,14834.0,62.429598
