symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GDDY,2016-01-04 05:00:00+00:00,31.71,33.23,31.32,32.81,640474.0,5141.0,32.71491
GDDY,2016-01-05 05:00:00+00:00,32.69,32.805,31.4,31.57,627043.0,5043.0,31.983858
GDDY,2016-01-06 05:00:00+00:00,31.25,32.33,31.01,31.73,449323.0,4188.0,31.749218
GDDY,2016-01-07 05:00:00+00:00,31.35,31.35,30.5,30.5,361627.0,3636.0,30.858617
GDDY,2016-01-08 05:00:00+00:00,30.76,30.95,29.9,29.97,377543.0,3381.0,30.235986
GDDY,2016-01-11 05:00:00+00:00,29.98,31.06,29.14,30.67,637178.0,5409.0,30.464867
GDDY,2016-01-12 05:00:00+00:00,30.78,31.26,29.61,30.25,383410.0,3260.0,30.273296
GDDY,2016-01-13 05:00:00+00:00,30.37,30.52,29.15,29.55,580575.0,4142.0,29.770305
GDDY,2016-01-14 05:00:00+00:00,29.66,29.91,28.61,29.56,422040.0,3760.0,29.382986
GDDY,2016-01-15 05:00:00+00:00,28.72,29.8,28.5,29.17,1245765.0,8662.0,29.209922
GDDY,2016-01-19 05:00:00+00:00,29.43,29.5,28.085,28.34,777563.0,6255.0,28.458773
GDDY,2016-01-20 05:00:00+00:00,28.0,28.52,27.23,28.23,613404.0,5725.0,27.883301
GDDY,2016-01-21 05:00:00+00:00,28.27,28.62,27.885,28.15,786212.0,5655.0,28.117743
GDDY,2016-01-22 05:00:00+00:00,28.59,29.54,28.45,29.17,713609.0,5263.0,29.211483
GDDY,2016-01-25 05:00:00+00:00,29.22,29.73,29.0,29.42,538233.0,4169.0,29.4503
GDDY,2016-01-26 05:00:00+00:00,29.57,29.67,28.74,29.32,357399.0,3224.0,29.267983
GDDY,2016-01-27 05:00:00+00:00,29.41,29.57,28.7,28.83,228764.0,2137.0,29.115494
GDDY,2016-01-28 05:00:00+00:00,28.98,29.56,28.98,29.47,327519.0,2637.0,29.312777
GDDY,2016-01-29 05:00:00+00:00,29.63,30.76,29.505,30.49,1062230.0,4793.0,30.426673
GDDY,2016-02-01 05:00:00+00:00,30.44,30.89,30.1,30.67,309145.0,2539.0,30.547623
GDDY,2016-02-02 05:00:00+00:00,30.4,30.81,29.84,30.13,371291.0,3114.0,30.126269
