symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GD,2016-01-04 05:00:00+00:00,135.5,136.1,134.81,136.07,1895290.0,14565.0,135.420194
GD,2016-01-05 05:00:00+00:00,136.1,137.35,135.53,136.64,1660037.0,13534.0,136.432952
GD,2016-01-06 05:00:00+00:00,135.0,136.13,134.08,135.26,1686303.0,14548.0,135.086766
GD,2016-01-07 05:00:00+00:00,133.86,133.97,130.42,130.8,2344528.0,21036.0,131.678943
GD,2016-01-08 05:00:00+00:00,130.94,132.21,129.87,130.19,2321483.0,20988.0,130.731794
GD,2016-01-11 05:00:00+00:00,131.4,132.175,130.15,131.29,2280463.0,20626.0,131.16537
GD,2016-01-12 05:00:00+00:00,132.44,132.8893,131.03,132.49,1610814.0,15071.0,132.018583
GD,2016-01-13 05:00:00+00:00,132.51,132.83,128.82,129.05,1471187.0,15505.0,130.26486
GD,2016-01-14 05:00:00+00:00,129.13,130.15,127.36,129.04,1864521.0,17987.0,129.127066
GD,2016-01-15 05:00:00+00:00,125.86,127.11,124.57,125.99,3160361.0,27798.0,125.939319
GD,2016-01-19 05:00:00+00:00,126.9,128.1,126.105,127.38,1792174.0,18769.0,127.070272
GD,2016-01-20 05:00:00+00:00,125.39,126.09,121.6065,124.18,2279027.0,22702.0,123.640817
GD,2016-01-21 05:00:00+00:00,124.38,125.61,123.69,124.32,1640528.0,17457.0,124.610178
GD,2016-01-22 05:00:00+00:00,125.5,126.492,124.76,126.37,1296460.0,12366.0,125.873314
GD,2016-01-25 05:00:00+00:00,126.01,126.33,124.43,124.6,1906843.0,18497.0,125.274138
GD,2016-01-26 05:00:00+00:00,124.29,127.81,123.93,127.38,1872056.0,18184.0,127.0529
GD,2016-01-27 05:00:00+00:00,124.11,135.34,122.67,129.0,6448861.0,48076.0,128.900139
GD,2016-01-28 05:00:00+00:00,128.85,130.04,127.36,128.65,2639638.0,23380.0,128.655722
GD,2016-01-29 05:00:00+00:00,129.15,134.23,129.15,133.77,4496620.0,24495.0,133.204011
GD,2016-02-01 05:00:00+00:00,132.32,134.38,130.83,133.62,2879005.0,23462.0,133.292914
GD,2016-02-02 05:00:00+00:00,132.68,133.94,131.99,133.53,2934216.0,23390.0,133.25615
GD,2016-02-03 05:00:00+00:00,134.09,134.41,131.46,133.79,2147029.0,21166.0,133.574549
GD,2016-02-04 05:00:00+00:00,133.76,136.09,133.1401,135.35,2673253.0,23246.0,135.21853
GD,2016-02-05 05:00:00+00:00,134.5,136.13,133.84,134.2,1868525.0,18613.0,134.712163
GD,2016-02-08 05:00:00+00:00,132.32,132.73,130.73,132.26,2051613.0,20279.0,131.93112
GD,2016-02-09 05:00:00+00:00,130.47,132.92,130.47,132.13,2268217.0,23756.0,131.791371
GD,2016-02-10 05:00:00+00:00,132.53,134.3704,132.5,133.07,1389441.0,13034.0,133.529646
GD,2016-02-11 05:00:00+00:00,130.86,131.17,125.74,128.58,2703161.0,25561.0,128.276551
GD,2016-02-12 05:00:00+00:00,129.64,130.55,127.68,130.18,1837484.0,16772.0,129.473484
GD,2016-02-16 05:00:00+00:00,131.48,132.59,130.25,131.51,1756893.0,13403.0,131.21347
GD,2016-02-17 05:00:00+00:00,132.24,135.4799,132.24,135.03,1669529.0,14051.0,134.532866
GD,2016-02-18 05:00:00+00:00,134.8,136.27,134.2,135.05,1421868.0,14922.0,135.219678
GD,2016-02-19 05:00:00+00:00,134.935,136.005,134.32,135.26,1457723.0,14002.0,135.286867
GD,2016-02-22 05:00:00+00:00,136.32,137.72,135.71,136.62,1336584.0,11257.0,136.697289
GD,2016-02-23 05:00:00+00:00,135.94,137.19,135.27,135.91,1288075.0,12829.0,135.975095
GD,2016-02-24 05:00:00+00:00,135.0,135.63,132.85,135.15,1526569.0,14164.0,134.360478
GD,2016-02-25 05:00:00+00:00,135.52,137.35,135.31,137.24,1143462.0,11095.0,136.591734
