symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GM,2016-01-04 05:00:00+00:00,33.45,33.54,32.84,33.31,16032888.0,73859.0,33.145163
GM,2016-01-05 05:00:00+00:00,33.33,33.41,32.18,32.43,22091194.0,84865.0,32.43879
GM,2016-01-06 05:00:00+00:00,31.95,31.98,31.01,31.27,28558972.0,103680.0,31.339187
GM,2016-01-07 05:00:00+00:00,30.27,30.82,29.825,29.99,22618373.0,105163.0,30.210404
GM,2016-01-08 05:00:00+00:00,30.46,30.7,29.42,29.53,17552715.0,75494.0,29.822044
GM,2016-01-11 05:00:00+00:00,30.4,30.48,29.68,30.25,17938259.0,86718.0,30.100475
GM,2016-01-12 05:00:00+00:00,30.63,30.745,29.8,30.3,14497255.0,72108.0,30.218375
GM,2016-01-13 05:00:00+00:00,31.81,31.9,30.09,30.49,33134170.0,156308.0,30.8011
GM,2016-01-14 05:00:00+00:00,30.8,30.89,29.45,30.3,28168084.0,141131.0,30.141368
GM,2016-01-15 05:00:00+00:00,29.46,29.68,28.8,29.57,28319074.0,113215.0,29.408749
GM,2016-01-19 05:00:00+00:00,29.93,30.0,28.91,29.4,19709205.0,83086.0,29.38424
GM,2016-01-20 05:00:00+00:00,28.86,29.9,28.32,29.42,22298944.0,117007.0,29.027478
GM,2016-01-21 05:00:00+00:00,29.46,30.135,29.07,29.55,17316171.0,86621.0,29.616124
GM,2016-01-22 05:00:00+00:00,30.16,30.29,29.03,29.28,20366499.0,90801.0,29.412717
GM,2016-01-25 05:00:00+00:00,29.33,29.59,29.015,29.23,34762512.0,67307.0,29.309298
GM,2016-01-26 05:00:00+00:00,29.41,29.75,29.04,29.65,12239465.0,63150.0,29.507366
GM,2016-01-27 05:00:00+00:00,29.72,29.9,29.0,29.21,14975594.0,63941.0,29.373505
GM,2016-01-28 05:00:00+00:00,29.48,29.48,28.4,29.02,17411069.0,92839.0,28.874166
GM,2016-01-29 05:00:00+00:00,29.17,29.64,29.02,29.64,15872869.0,61752.0,29.445681
GM,2016-02-01 05:00:00+00:00,29.47,30.24,29.1,30.11,14364807.0,73420.0,29.855325
GM,2016-02-02 05:00:00+00:00,29.99,30.19,28.87,29.65,25161789.0,118121.0,29.471695
GM,2016-02-03 05:00:00+00:00,30.1,30.25,28.18,28.92,30830865.0,148936.0,28.789394
GM,2016-02-04 05:00:00+00:00,28.94,29.21,28.1,28.64,23710849.0,104366.0,28.641896
GM,2016-02-05 05:00:00+00:00,28.67,29.2,28.415,28.54,14610593.0,81386.0,28.741536
GM,2016-02-08 05:00:00+00:00,28.28,28.839,28.05,28.68,19873318.0,103957.0,28.454095
GM,2016-02-09 05:00:00+00:00,28.13,28.87,27.77,27.87,22424517.0,110920.0,28.19512
GM,2016-02-10 05:00:00+00:00,28.12,28.64,27.69,27.71,15754414.0,83889.0,27.984664
GM,2016-02-11 05:00:00+00:00,27.48,28.09,26.69,26.9,27253659.0,118723.0,27.086355
GM,2016-02-12 05:00:00+00:00,27.2,27.74,27.05,27.71,11690485.0,56899.0,27.435119
GM,2016-02-16 05:00:00+00:00,28.0,28.59,27.76,28.58,16017887.0,61503.0,28.303085
GM,2016-02-17 05:00:00+00:00,28.86,29.35,28.7,29.27,13878778.0,63351.0,29.131107
GM,2016-02-18 05:00:00+00:00,29.45,29.546,28.915,29.03,12937383.0,62962.0,29.137486
GM,2016-02-19 05:00:00+00:00,28.88,28.98,28.38,28.78,13308173.0,57073.0,28.702032
GM,2016-02-22 05:00:00+00:00,29.18,29.64,29.03,29.63,13495155.0,58938.0,29.474469
GM,2016-02-23 05:00:00+00:00,29.41,29.82,29.28,29.38,10455550.0,51701.0,29.483968
GM,2016-02-24 05:00:00+00:00,28.72,28.9,27.81,28.84,22185231.0,95381.0,28.361331
GM,2016-02-25 05:00:00+00:00,28.83,29.51,28.55,29.5,12534459.0,56665.0,29.157542
GM,2016-02-26 05:00:00+00:00,29.73,29.96,29.535,29.63,16317987.0,70447.0,29.777795
GM,2016-02-29 05:00:00+00:00,29.37,29.8,29.29,29.44,11482607.0,46513.0,29.547088
GM,2016-03-01 05:00:00+00:00,30.02,30.23,28.92,30.01,21881555.0,103365.0,29.678751
GM,2016-03-02 05:00:00+00:00,29.92,30.32,29.84,30.15,12546065.0,53820.0,30.117787
GM,2016-03-03 05:00:00+00:00,30.26,31.22,30.2,31.07,19946295.0,76656.0,30.923705
GM,2016-03-04 05:00:00+00:00,31.22,31.74,31.06,31.37,16163838.0,56202.0,31.413058
GM,2016-03-07 05:00:00+00:00,31.3,31.78,31.19,31.59,12004317.0,53152.0,31.57864
GM,2016-03-08 05:00:00+00:00,31.4,31.4001,30.46,30.68,18053193.0,74858.0,30.724126
GM,2016-03-09 05:00:00+00:00,30.47,30.63,30.2,30.54,12751511.0,60531.0,30.447348
GM,2016-03-10 05:00:00+00:00,30.72,30.88,30.27,30.82,16549129.0,59173.0,30.650058
GM,2016-03-11 05:00:00+00:00,31.05,31.33,30.98,31.26,14408787.0,50416.0,31.187792
GM,2016-03-14 04:00:00+00:00,31.18,31.39,30.9,31.18,10161382.0,40888.0,31.203752
GM,2016-03-15 04:00:00+00:00,30.86,31.08,30.44,31.05,9938229.0,38526.0,30.872492
GM,2016-03-16 04:00:00+00:00,30.84,31.76,30.83,31.69,10789156.0,45889.0,31.519265
GM,2016-03-17 04:00:00+00:00,31.73,32.1,31.636,31.96,12213405.0,47671.0,31.928991
GM,2016-03-18 04:00:00+00:00,32.08,32.38,31.91,31.96,16592890.0,38620.0,32.042236
GM,2016-03-21 04:00:00+00:00,32.11,32.19,31.75,32.08,7806145.0,35839.0,31.985539
GM,2016-03-22 04:00:00+00:00,32.05,32.21,31.76,31.9,8741224.0,37280.0,31.977067
GM,2016-03-23 04:00:00+00:00,31.93,31.93,31.17,31.31,9611441.0,41942.0,31.463929
GM,2016-03-24 04:00:00+00:00,30.88,30.97,30.39,30.96,14703608.0,44185.0,30.812092
GM,2016-03-28 04:00:00+00:00,31.13,31.25,30.94,31.02,6907597.0,28540.0,31.084651
GM,2016-03-29 04:00:00+00:00,31.04,31.28,30.58,31.19,14172404.0,52312.0,30.933948
GM,2016-03-30 04:00:00+00:00,31.4,31.67,30.955,30.99,13752764.0,57717.0,31.176316
GM,2016-03-31 04:00:00+00:00,31.01,31.59,31.0,31.43,11045877.0,45250.0,31.34875
GM,2016-04-01 04:00:00+00:00,31.18,31.2,30.32,30.47,18971851.0,79548.0,30.546835
GM,2016-04-04 04:00:00+00:00,30.43,30.48,29.75,29.9,13008694.0,55491.0,29.96856
GM,2016-04-05 04:00:00+00:00,29.67,29.73,29.35,29.6,9862012.0,43985.0,29.57332
GM,2016-04-06 04:00:00+00:00,29.66,29.95,29.3,29.94,10351695.0,42383.0,29.700579
GM,2016-04-07 04:00:00+00:00,29.85,29.95,29.18,29.42,13545053.0,57653.0,29.465861
GM,2016-04-08 04:00:00+00:00,29.67,29.76,29.23,29.37,9751876.0,40308.0,29.436503
GM,2016-04-11 04:00:00+00:00,29.5,30.04,29.48,29.53,9869415.0,36789.0,29.675749
GM,2016-04-12 04:00:00+00:00,29.56,29.77,29.27,29.71,11664864.0,53296.0,29.556651
GM,2016-04-13 04:00:00+00:00,30.01,30.87,29.94,30.78,11728546.0,51379.0,30.668452
GM,2016-04-14 04:00:00+00:00,30.84,31.05,30.64,30.72,9138774.0,35807.0,30.791054
GM,2016-04-15 04:00:00+00:00,30.68,30.85,30.405,30.56,9948358.0,31699.0,30.567022
GM,2016-04-18 04:00:00+00:00,30.76,31.37,30.61,31.31,20115723.0,50836.0,31.224812
