symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GNRC,2016-01-04 05:00:00+00:00,29.28,29.51,28.43,28.91,892165.0,7160.0,28.996838
GNRC,2016-01-05 05:00:00+00:00,29.03,29.03,28.34,28.64,655260.0,3930.0,28.599082
GNRC,2016-01-06 05:00:00+00:00,28.2,28.89,28.13,28.58,683272.0,4974.0,28.580658
GNRC,2016-01-07 05:00:00+00:00,28.0,28.3,27.79,28.03,897846.0,5771.0,28.042283
GNRC,2016-01-08 05:00:00+00:00,28.25,28.5275,27.85,28.0,1185374.0,8564.0,28.115198
GNRC,2016-01-11 05:00:00+00:00,28.19,29.28,28.1,29.04,1478284.0,10936.0,28.695677
GNRC,2016-01-12 05:00:00+00:00,29.24,30.23,29.24,30.2,1776178.0,14121.0,29.93701
GNRC,2016-01-13 05:00:00+00:00,30.26,30.71,28.67,28.74,1022483.0,8440.0,29.394038
GNRC,2016-01-14 05:00:00+00:00,28.93,28.93,27.99,28.03,856273.0,7908.0,28.194513
GNRC,2016-01-15 05:00:00+00:00,27.25,27.8,26.89,27.35,1389541.0,10432.0,27.333246
GNRC,2016-01-19 05:00:00+00:00,27.71,27.74,26.78,27.27,1152257.0,7732.0,27.246166
GNRC,2016-01-20 05:00:00+00:00,26.8,28.68,26.29,28.56,1098669.0,8894.0,27.57173
GNRC,2016-01-21 05:00:00+00:00,28.74,29.6887,28.44,29.16,1091055.0,9498.0,29.255115
GNRC,2016-01-22 05:00:00+00:00,29.89,30.69,29.78,30.57,1767831.0,13971.0,30.229591
GNRC,2016-01-25 05:00:00+00:00,30.0,30.15,27.105,27.26,1577730.0,11112.0,27.979821
GNRC,2016-01-26 05:00:00+00:00,27.53,28.06,27.4801,27.89,839746.0,5842.0,27.82763
GNRC,2016-01-27 05:00:00+00:00,27.81,28.39,27.65,27.99,567711.0,5248.0,28.066018
GNRC,2016-01-28 05:00:00+00:00,28.42,28.56,27.635,27.75,731380.0,5916.0,27.925176
GNRC,2016-01-29 05:00:00+00:00,27.94,28.42,27.69,28.42,1077766.0,6297.0,28.22462
GNRC,2016-02-01 05:00:00+00:00,28.25,29.63,27.96,29.4,803340.0,5485.0,29.002706
GNRC,2016-02-02 05:00:00+00:00,28.92,29.045,28.16,28.26,477824.0,4171.0,28.416265
GNRC,2016-02-03 05:00:00+00:00,28.47,28.47,27.2789,28.41,387978.0,3227.0,28.133069
GNRC,2016-02-04 05:00:00+00:00,28.43,29.23,28.31,29.14,549717.0,4579.0,28.932908
GNRC,2016-02-05 05:00:00+00:00,28.96,29.13,28.52,28.75,855219.0,6054.0,28.787957
GNRC,2016-02-08 05:00:00+00:00,28.4,29.02,28.08,28.93,775314.0,5176.0,28.58958
GNRC,2016-02-09 05:00:00+00:00,28.46,28.51,27.8,27.92,769922.0,6431.0,28.033567
GNRC,2016-02-10 05:00:00+00:00,28.02,28.59,27.79,27.97,667181.0,5608.0,28.004125
GNRC,2016-02-11 05:00:00+00:00,27.31,28.45,27.14,28.28,566031.0,5216.0,28.086106
GNRC,2016-02-12 05:00:00+00:00,28.43,28.55,27.63,27.91,1174704.0,10275.0,27.975631
GNRC,2016-02-16 05:00:00+00:00,30.95,32.82,29.344,32.75,3392709.0,24833.0,31.777289
GNRC,2016-02-17 05:00:00+00:00,33.39,35.0,31.92,32.67,2342566.0,17309.0,32.975462
GNRC,2016-02-18 05:00:00+00:00,32.48,34.07,32.38,33.98,1162340.0,10253.0,33.248506
GNRC,2016-02-19 05:00:00+00:00,33.78,34.5,32.74,34.05,904859.0,7583.0,33.893072
GNRC,2016-02-22 05:00:00+00:00,34.42,34.88,33.9,34.12,871510.0,7337.0,34.336405
GNRC,2016-02-23 05:00:00+00:00,34.11,34.67,33.89,34.64,940174.0,7526.0,34.312164
GNRC,2016-02-24 05:00:00+00:00,34.23,34.68,33.72,34.62,846974.0,9028.0,34.272972
GNRC,2016-02-25 05:00:00+00:00,34.73,34.98,33.77,34.12,885634.0,7252.0,34.116914
GNRC,2016-02-26 05:00:00+00:00,34.22,34.95,34.11,34.83,766772.0,6463.0,34.597594
GNRC,2016-02-29 05:00:00+00:00,34.9,35.32,34.34,34.74,953766.0,6784.0,34.823124
GNRC,2016-03-01 05:00:00+00:00,35.08,35.48,34.53,34.99,691142.0,7029.0,35.086184
GNRC,2016-03-02 05:00:00+00:00,34.85,35.03,34.22,34.61,648401.0,5323.0,34.571758
GNRC,2016-03-03 05:00:00+00:00,34.68,35.42,34.361,35.34,609566.0,4810.0,34.895423
GNRC,2016-03-04 05:00:00+00:00,35.2,35.36,34.58,34.91,519416.0,4265.0,34.92826
GNRC,2016-03-07 05:00:00+00:00,34.74,35.99,34.74,35.96,841271.0,6874.0,35.653143
GNRC,2016-03-08 05:00:00+00:00,35.6,35.75,34.98,35.08,355436.0,2857.0,35.264495
GNRC,2016-03-09 05:00:00+00:00,35.17,35.67,34.81,34.92,440672.0,3950.0,35.125171
GNRC,2016-03-10 05:00:00+00:00,35.0,35.17,34.5,35.04,374294.0,3251.0,34.879336
GNRC,2016-03-11 05:00:00+00:00,35.33,35.82,35.2,35.63,316703.0,2601.0,35.575449
GNRC,2016-03-14 04:00:00+00:00,35.87,37.09,35.87,36.38,788386.0,5939.0,36.589796
GNRC,2016-03-15 04:00:00+00:00,36.01,36.62,35.8508,36.4,515796.0,4249.0,36.381529
GNRC,2016-03-16 04:00:00+00:00,36.29,36.79,36.03,36.68,589779.0,5312.0,36.61821
GNRC,2016-03-17 04:00:00+00:00,36.68,38.2,36.46,38.04,812259.0,6280.0,37.697011
GNRC,2016-03-18 04:00:00+00:00,38.25,38.62,37.79,38.51,1208447.0,7319.0,38.361049
GNRC,2016-03-21 04:00:00+00:00,38.29,38.48,37.72,37.77,355189.0,3062.0,37.886844
GNRC,2016-03-22 04:00:00+00:00,37.68,38.25,37.45,37.99,261691.0,2388.0,37.941165
GNRC,2016-03-23 04:00:00+00:00,37.78,37.814,37.12,37.12,551026.0,4433.0,37.380295
GNRC,2016-03-24 04:00:00+00:00,36.82,37.23,36.47,36.72,463440.0,3965.0,36.764888
GNRC,2016-03-28 04:00:00+00:00,36.79,36.87,35.8,35.93,1090699.0,7380.0,36.145794
GNRC,2016-03-29 04:00:00+00:00,35.83,36.99,35.7515,36.68,1316644.0,8398.0,36.530537
GNRC,2016-03-30 04:00:00+00:00,36.85,37.94,36.85,37.62,667286.0,5359.0,37.419274
GNRC,2016-03-31 04:00:00+00:00,37.59,37.805,37.13,37.24,432286.0,3298.0,37.40351
GNRC,2016-04-01 04:00:00+00:00,36.87,37.67,36.41,37.64,485487.0,4275.0,37.235255
GNRC,2016-04-04 04:00:00+00:00,37.59,37.73,36.69,36.76,432920.0,4007.0,36.93725
GNRC,2016-04-05 04:00:00+00:00,36.62,36.9,36.12,36.47,360804.0,3002.0,36.544088
GNRC,2016-04-06 04:00:00+00:00,36.45,36.7,35.95,36.41,307824.0,2661.0,36.409218
GNRC,2016-04-07 04:00:00+00:00,36.15,36.78,35.84,36.39,451688.0,3668.0,36.277544
GNRC,2016-04-08 04:00:00+00:00,36.74,37.77,36.48,36.61,326818.0,2866.0,37.091698
GNRC,2016-04-11 04:00:00+00:00,36.78,37.44,36.58,36.86,255962.0,2223.0,36.976443
GNRC,2016-04-12 04:00:00+00:00,36.96,37.31,36.494,37.04,311832.0,2460.0,36.959361
GNRC,2016-04-13 04:00:00+00:00,37.29,38.08,37.29,38.02,318070.0,2598.0,37.924959
GNRC,2016-04-14 04:00:00+00:00,38.0,38.28,37.71,38.04,389314.0,2755.0,37.962339
GNRC,2016-04-15 04:00:00+00:00,37.96,38.55,37.8415,38.22,279991.0,2262.0,38.224838
GNRC,2016-04-18 04:00:00+00:00,37.93,38.5,37.71,38.22,332849.0,2859.0,38.273271
GNRC,2016-04-19 04:00:00+00:00,38.43,38.67,38.22,38.49,293639.0,2537.0,38.469578
GNRC,2016-04-20 04:00:00+00:00,38.61,38.849,38.24,38.28,305688.0,2656.0,38.504316
GNRC,2016-04-21 04:00:00+00:00,38.41,38.566,37.9,38.18,378624.0,2913.0,38.13625
GNRC,2016-04-22 04:00:00+00:00,38.05,39.59,38.05,39.25,562834.0,4392.0,39.026011
GNRC,2016-04-25 04:00:00+00:00,39.05,39.14,37.65,37.86,391627.0,3628.0,38.219107
GNRC,2016-04-26 04:00:00+00:00,38.14,38.34,37.86,38.1,510215.0,4220.0,38.141269
GNRC,2016-04-27 04:00:00+00:00,38.17,38.93,38.16,38.74,352630.0,3314.0,38.693263
GNRC,2016-04-28 04:00:00+00:00,38.4,38.98,38.21,38.37,243434.0,1928.0,38.608984
GNRC,2016-04-29 04:00:00+00:00,38.3,38.53,37.6202,38.12,365474.0,3112.0,38.0256
GNRC,2016-05-02 04:00:00+00:00,38.41,38.46,37.7204,37.85,289533.0,2475.0,37.903572
GNRC,2016-05-03 04:00:00+00:00,37.72,37.92,37.21,37.43,729776.0,5232.0,37.534538
GNRC,2016-05-04 04:00:00+00:00,37.0,37.37,34.18,34.82,1518185.0,10257.0,35.36778
GNRC,2016-05-05 04:00:00+00:00,34.93,35.1799,33.78,34.66,565341.0,4342.0,34.493725
GNRC,2016-05-06 04:00:00+00:00,34.5,34.91,34.28,34.79,405130.0,3127.0,34.676571
GNRC,2016-05-09 04:00:00+00:00,34.68,35.01,34.41,34.82,351646.0,2744.0,34.783646
GNRC,2016-05-10 04:00:00+00:00,35.06,35.36,34.63,35.29,403952.0,3543.0,35.132433
GNRC,2016-05-11 04:00:00+00:00,35.24,35.43,34.68,34.95,625875.0,3530.0,34.990399
GNRC,2016-05-12 04:00:00+00:00,35.19,35.88,34.985,35.48,494140.0,4091.0,35.520781
GNRC,2016-05-13 04:00:00+00:00,35.32,35.75,35.105,35.27,629296.0,4342.0,35.379368
GNRC,2016-05-16 04:00:00+00:00,35.31,36.7,35.31,36.64,636151.0,5225.0,36.398102
GNRC,2016-05-17 04:00:00+00:00,36.54,37.08,35.16,35.39,831426.0,5925.0,36.098651
GNRC,2016-05-18 04:00:00+00:00,35.21,35.86,35.0326,35.42,300579.0,2597.0,35.424244
GNRC,2016-05-19 04:00:00+00:00,35.18,35.53,34.68,35.04,314462.0,2940.0,35.020244
GNRC,2016-05-20 04:00:00+00:00,35.13,36.02,34.98,36.01,447160.0,3244.0,35.803572
GNRC,2016-05-23 04:00:00+00:00,36.04,37.27,35.86,36.86,678292.0,5365.0,36.918199
GNRC,2016-05-24 04:00:00+00:00,36.86,37.88,36.86,37.79,507769.0,4351.0,37.567498
GNRC,2016-05-25 04:00:00+00:00,37.82,37.98,37.24,37.43,623526.0,4373.0,37.444376
GNRC,2016-05-26 04:00:00+00:00,37.45,37.79,37.38,37.58,330738.0,2600.0,37.5816
GNRC,2016-05-27 04:00:00+00:00,37.57,37.75,37.11,37.7,367928.0,2792.0,37.559773
GNRC,2016-05-31 04:00:00+00:00,37.71,38.13,37.25,37.91,445535.0,3430.0,37.850048
GNRC,2016-06-01 04:00:00+00:00,37.87,38.14,37.44,37.78,399734.0,3721.0,37.800806
GNRC,2016-06-02 04:00:00+00:00,37.56,37.715,37.245,37.58,421478.0,3040.0,37.485985
GNRC,2016-06-03 04:00:00+00:00,37.5,37.91,37.12,37.62,270580.0,2358.0,37.636641
GNRC,2016-06-06 04:00:00+00:00,37.84,38.46,37.52,38.37,396847.0,2940.0,38.077994
GNRC,2016-06-07 04:00:00+00:00,38.5,38.58,38.22,38.46,325598.0,2429.0,38.465535
GNRC,2016-06-08 04:00:00+00:00,38.4,39.11,38.2511,38.99,307577.0,2364.0,38.892026
GNRC,2016-06-09 04:00:00+00:00,38.44,38.64,38.24,38.52,285920.0,2102.0,38.494589
GNRC,2016-06-10 04:00:00+00:00,38.0,38.0,37.49,37.81,326094.0,2528.0,37.785282
GNRC,2016-06-13 04:00:00+00:00,37.38,38.09,37.26,37.59,357979.0,3337.0,37.663846
GNRC,2016-06-14 04:00:00+00:00,37.48,37.87,37.07,37.7,318760.0,2902.0,37.494056
GNRC,2016-06-15 04:00:00+00:00,37.95,38.23,37.55,37.59,225663.0,1907.0,37.866392
GNRC,2016-06-16 04:00:00+00:00,37.32,37.37,36.89,36.99,345562.0,2524.0,37.027893
GNRC,2016-06-17 04:00:00+00:00,37.0,37.31,36.8,37.04,797567.0,3803.0,37.036254
GNRC,2016-06-20 04:00:00+00:00,37.68,38.19,37.59,38.02,360859.0,3396.0,37.994637
GNRC,2016-06-21 04:00:00+00:00,38.15,38.15,36.31,36.5,423181.0,3268.0,36.624702
GNRC,2016-06-22 04:00:00+00:00,36.53,36.53,35.67,35.7,513438.0,4347.0,35.875927
GNRC,2016-06-23 04:00:00+00:00,36.25,36.65,36.17,36.31,325372.0,2604.0,36.309396
GNRC,2016-06-24 04:00:00+00:00,34.76,35.34,34.61,34.62,1269573.0,6036.0,34.776312
GNRC,2016-06-27 04:00:00+00:00,34.17,34.24,33.14,33.86,536164.0,4410.0,33.781705
GNRC,2016-06-28 04:00:00+00:00,34.21,34.42,33.91,33.93,392996.0,3029.0,34.073126
GNRC,2016-06-29 04:00:00+00:00,34.26,34.6,34.04,34.25,299096.0,2420.0,34.26815
GNRC,2016-06-30 04:00:00+00:00,34.33,34.98,34.07,34.96,447951.0,2620.0,34.738311
GNRC,2016-07-01 04:00:00+00:00,34.88,35.54,34.75,35.43,236661.0,2128.0,35.271812
GNRC,2016-07-05 04:00:00+00:00,35.16,35.37,34.25,34.47,203381.0,1881.0,34.45238
