symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GRMN,2016-01-04 05:00:00+00:00,36.58,36.89,36.27,36.8,2133660.0,14891.0,36.629656
GRMN,2016-01-05 05:00:00+00:00,37.0,37.34,36.785,36.94,1383231.0,11761.0,36.974163
GRMN,2016-01-06 05:00:00+00:00,36.42,36.57,35.8,35.93,3387029.0,16245.0,36.005868
GRMN,2016-01-07 05:00:00+00:00,35.4,35.59,34.8,34.9,1774366.0,14571.0,35.105581
GRMN,2016-01-08 05:00:00+00:00,35.14,35.33,33.48,33.55,2916570.0,16794.0,33.92735
GRMN,2016-01-11 05:00:00+00:00,33.89,33.98,32.85,33.2,2488612.0,19740.0,33.22996
GRMN,2016-01-12 05:00:00+00:00,33.65,33.71,32.715,33.15,1889222.0,14596.0,33.083809
GRMN,2016-01-13 05:00:00+00:00,33.28,33.47,32.37,32.46,1607091.0,13744.0,32.802161
GRMN,2016-01-14 05:00:00+00:00,32.66,33.44,32.08,33.17,2135769.0,15442.0,32.885808
GRMN,2016-01-15 05:00:00+00:00,32.08,32.75,32.02,32.52,2327531.0,19929.0,32.325081
GRMN,2016-01-19 05:00:00+00:00,32.97,33.0,31.78,32.29,1360777.0,12594.0,32.293261
GRMN,2016-01-20 05:00:00+00:00,31.81,32.65,30.93,32.35,1760475.0,16156.0,31.788987
GRMN,2016-01-21 05:00:00+00:00,32.47,33.885,32.36,33.13,1894027.0,17601.0,33.289433
GRMN,2016-01-22 05:00:00+00:00,33.64,34.2,33.46,33.84,1176076.0,10902.0,33.793452
GRMN,2016-01-25 05:00:00+00:00,33.75,33.83,33.15,33.2,1098601.0,10826.0,33.395825
GRMN,2016-01-26 05:00:00+00:00,33.43,34.14,33.31,33.84,791675.0,7236.0,33.819766
GRMN,2016-01-27 05:00:00+00:00,33.74,34.27,33.46,33.75,1064799.0,9820.0,33.833506
GRMN,2016-01-28 05:00:00+00:00,34.14,34.46,33.44,33.88,1080909.0,9661.0,33.782961
GRMN,2016-01-29 05:00:00+00:00,34.04,35.23,33.92,35.18,3343619.0,18205.0,34.976863
GRMN,2016-02-01 05:00:00+00:00,34.97,35.355,34.63,35.09,1123643.0,9887.0,35.037823
GRMN,2016-02-02 05:00:00+00:00,34.75,34.775,33.92,34.13,1010489.0,8944.0,34.175728
GRMN,2016-02-03 05:00:00+00:00,34.49,34.77,33.58,34.22,1591509.0,15361.0,34.033339
GRMN,2016-02-04 05:00:00+00:00,34.23,35.2,34.23,35.14,1464745.0,11839.0,34.939856
GRMN,2016-02-05 05:00:00+00:00,34.93,35.14,34.33,34.69,1478246.0,12275.0,34.710036
