symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HLT,2016-01-04 05:00:00+00:00,21.2,21.27,20.65,21.09,7410705.0,42186.0,20.960496
HLT,2016-01-05 05:00:00+00:00,21.1,21.35,20.92,21.1,4725165.0,27940.0,21.13394
HLT,2016-01-06 05:00:00+00:00,20.73,20.79,19.84,20.0,14421603.0,56687.0,20.14226
HLT,2016-01-07 05:00:00+00:00,19.62,19.83,19.14,19.25,26895881.0,75169.0,19.420692
HLT,2016-01-08 05:00:00+00:00,19.48,19.8,19.13,19.15,7189795.0,39433.0,19.343125
HLT,2016-01-11 05:00:00+00:00,19.26,19.64,19.0,19.24,9675352.0,46267.0,19.281348
HLT,2016-01-12 05:00:00+00:00,19.43,19.665,19.22,19.56,7355361.0,42355.0,19.457861
HLT,2016-01-13 05:00:00+00:00,19.48,19.59,18.49,18.54,11400006.0,53817.0,18.852736
HLT,2016-01-14 05:00:00+00:00,18.09,18.43,17.605,18.4,12429630.0,58749.0,18.140708
HLT,2016-01-15 05:00:00+00:00,17.81,17.9,17.32,17.75,12874522.0,51681.0,17.663588
HLT,2016-01-19 05:00:00+00:00,17.92,17.99,16.94,17.31,7478204.0,42723.0,17.390128
HLT,2016-01-20 05:00:00+00:00,17.02,18.05,16.16,17.74,17894588.0,86347.0,17.186087
HLT,2016-01-21 05:00:00+00:00,17.73,18.64,17.71,18.36,15911219.0,79018.0,18.294443
HLT,2016-01-22 05:00:00+00:00,18.66,18.87,17.995,18.27,9769050.0,38524.0,18.355846
HLT,2016-01-25 05:00:00+00:00,18.25,18.38,17.29,17.42,8804741.0,47959.0,17.62941
HLT,2016-01-26 05:00:00+00:00,17.59,18.53,17.48,18.49,9588025.0,48002.0,18.245904
HLT,2016-01-27 05:00:00+00:00,18.33,18.5,17.795,17.92,7394222.0,44545.0,18.078164
HLT,2016-01-28 05:00:00+00:00,18.16,18.17,17.12,17.18,9674697.0,48146.0,17.444445
HLT,2016-01-29 05:00:00+00:00,17.27,17.81,17.17,17.81,9223731.0,37742.0,17.585525
HLT,2016-02-01 05:00:00+00:00,17.77,18.055,17.52,17.96,6063018.0,34964.0,17.790915
HLT,2016-02-02 05:00:00+00:00,17.68,17.68,17.09,17.28,7070831.0,31652.0,17.265802
HLT,2016-02-03 05:00:00+00:00,17.39,17.51,16.59,17.41,6342418.0,33691.0,17.152338
HLT,2016-02-04 05:00:00+00:00,17.24,18.15,17.2,18.09,7333228.0,35974.0,17.767663
HLT,2016-02-05 05:00:00+00:00,18.03,18.11,17.45,17.6,7006626.0,36248.0,17.660537
HLT,2016-02-08 05:00:00+00:00,17.4,17.63,17.08,17.48,10549136.0,54090.0,17.386381
