symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HRL,2016-01-04 05:00:00+00:00,78.25,78.33,77.58,78.22,1664522.0,16820.0,78.046671
HRL,2016-01-05 05:00:00+00:00,78.55,79.89,78.2,79.81,2053128.0,17038.0,79.386855
HRL,2016-01-06 05:00:00+00:00,79.0,80.55,78.4499,80.08,3210512.0,19419.0,79.896679
HRL,2016-01-07 05:00:00+00:00,79.1,79.4,77.79,78.63,2705278.0,21504.0,78.559934
HRL,2016-01-08 05:00:00+00:00,78.95,79.83,78.02,78.17,1574054.0,12883.0,78.735261
HRL,2016-01-11 05:00:00+00:00,78.45,78.56,77.05,78.04,1935219.0,16700.0,77.754712
HRL,2016-01-12 05:00:00+00:00,78.76,79.74,78.42,79.51,1464654.0,13230.0,79.197604
HRL,2016-01-13 05:00:00+00:00,79.63,80.25,78.29,78.44,1328900.0,12838.0,79.00299
HRL,2016-01-14 05:00:00+00:00,78.49,79.33,78.14,78.84,1220200.0,11196.0,78.730151
HRL,2016-01-15 05:00:00+00:00,77.89,77.96,75.5,76.12,2879795.0,22367.0,76.33529
HRL,2016-01-19 05:00:00+00:00,77.21,77.77,76.26,76.9,2458864.0,19949.0,76.823013
HRL,2016-01-20 05:00:00+00:00,76.26,76.61,73.74,75.56,2550905.0,23062.0,74.945785
HRL,2016-01-21 05:00:00+00:00,75.8,76.36,73.95,74.48,2024793.0,19937.0,74.711459
HRL,2016-01-22 05:00:00+00:00,75.27,76.12,74.8901,75.98,1277552.0,12223.0,75.730663
HRL,2016-01-25 05:00:00+00:00,76.0,76.47,75.355,75.52,1597405.0,15438.0,75.929576
HRL,2016-01-26 05:00:00+00:00,75.66,77.46,75.52,76.83,1299387.0,12766.0,76.842209
HRL,2016-01-27 05:00:00+00:00,76.83,77.65,76.28,76.61,1214116.0,12282.0,76.973413
HRL,2016-01-28 05:00:00+00:00,77.26,79.0,76.81,78.33,2018614.0,17190.0,78.33357
HRL,2016-01-29 05:00:00+00:00,78.84,80.525,78.7,80.41,3457315.0,21968.0,80.204811
HRL,2016-02-01 05:00:00+00:00,80.58,82.36,80.1801,82.02,2053418.0,18537.0,81.846511
HRL,2016-02-02 05:00:00+00:00,81.87,81.87,81.0,81.33,2437917.0,20257.0,81.378899
HRL,2016-02-03 05:00:00+00:00,82.54,82.62,79.62,79.92,2273054.0,21365.0,80.470665
HRL,2016-02-04 05:00:00+00:00,79.8,79.8,78.23,78.43,1692674.0,17335.0,78.695047
HRL,2016-02-05 05:00:00+00:00,78.7,79.8,78.13,78.94,2045835.0,18664.0,78.719112
HRL,2016-02-08 05:00:00+00:00,78.89,81.74,78.51,81.4,2088885.0,20563.0,80.384543
