symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IBKR,2016-01-04 05:00:00+00:00,42.66,43.14,42.24,42.44,1013550.0,7624.0,42.505569
IBKR,2016-01-05 05:00:00+00:00,42.18,42.88,41.13,41.19,774749.0,6801.0,41.830435
IBKR,2016-01-06 05:00:00+00:00,40.52,40.975,39.13,39.73,1495565.0,10344.0,39.785445
IBKR,2016-01-07 05:00:00+00:00,39.0,39.17,37.21,37.55,1069925.0,9204.0,37.879627
IBKR,2016-01-08 05:00:00+00:00,38.23,38.4199,37.19,37.25,917920.0,7596.0,37.569081
IBKR,2016-01-11 05:00:00+00:00,36.8,37.535,36.07,36.49,921235.0,7980.0,36.583371
IBKR,2016-01-12 05:00:00+00:00,35.9,36.56,34.79,35.83,1590838.0,12893.0,35.454202
IBKR,2016-01-13 05:00:00+00:00,35.92,36.08,33.795,34.38,1057420.0,9336.0,34.790533
IBKR,2016-01-14 05:00:00+00:00,34.5,35.33,33.825,34.93,1093402.0,9464.0,34.708883
IBKR,2016-01-15 05:00:00+00:00,34.01,34.33,32.99,34.1,1569123.0,14104.0,33.790683
IBKR,2016-01-19 05:00:00+00:00,34.6,34.86,33.26,33.49,1294390.0,10762.0,33.858378
IBKR,2016-01-20 05:00:00+00:00,32.25,34.0,31.55,33.44,2700269.0,21676.0,32.691069
IBKR,2016-01-21 05:00:00+00:00,33.27,33.72,31.89,31.96,1375556.0,11833.0,32.766455
IBKR,2016-01-22 05:00:00+00:00,32.46,33.31,32.37,33.16,1097545.0,8778.0,32.914656
IBKR,2016-01-25 05:00:00+00:00,32.99,33.035,31.72,31.8,590003.0,4783.0,32.138577
IBKR,2016-01-26 05:00:00+00:00,31.85,32.24,31.44,31.67,1202046.0,9560.0,31.690236
IBKR,2016-01-27 05:00:00+00:00,31.5,32.47,31.35,31.97,1178126.0,8792.0,31.954734
IBKR,2016-01-28 05:00:00+00:00,32.19,32.4,31.37,31.46,995413.0,8455.0,31.664461
IBKR,2016-01-29 05:00:00+00:00,31.46,32.29,31.46,32.27,1056945.0,7204.0,32.054726
IBKR,2016-02-01 05:00:00+00:00,32.25,32.97,31.75,32.6,1428993.0,10115.0,32.589861
IBKR,2016-02-02 05:00:00+00:00,32.4,32.4389,31.46,31.84,1233728.0,9881.0,31.770645
IBKR,2016-02-03 05:00:00+00:00,31.82,31.97,30.89,31.78,1391088.0,10126.0,31.358711
IBKR,2016-02-04 05:00:00+00:00,31.92,32.92,31.49,31.64,688896.0,6060.0,31.753895
IBKR,2016-02-05 05:00:00+00:00,31.32,31.8,30.77,30.99,796762.0,6938.0,31.066559
IBKR,2016-02-08 05:00:00+00:00,30.43,30.66,29.77,30.08,837746.0,7534.0,30.066555
IBKR,2016-02-09 05:00:00+00:00,29.62,30.9,29.5,30.67,875829.0,7962.0,30.52548
IBKR,2016-02-10 05:00:00+00:00,31.18,31.56,30.905,30.96,930170.0,10183.0,31.099613
IBKR,2016-02-11 05:00:00+00:00,30.1,30.87,29.61,30.43,856327.0,8106.0,30.15857
IBKR,2016-02-12 05:00:00+00:00,31.29,31.45,30.24,30.8,935278.0,6988.0,30.846195
IBKR,2016-02-16 05:00:00+00:00,31.51,32.09,31.31,31.83,599500.0,4913.0,31.751177
IBKR,2016-02-17 05:00:00+00:00,32.13,33.246,32.02,33.02,1056301.0,8828.0,32.948088
IBKR,2016-02-18 05:00:00+00:00,33.25,33.48,32.68,32.87,710676.0,6632.0,32.931125
IBKR,2016-02-19 05:00:00+00:00,32.59,33.6,32.51,33.43,623042.0,6036.0,33.385963
IBKR,2016-02-22 05:00:00+00:00,33.7,34.19,33.57,33.95,490250.0,4694.0,33.831861
IBKR,2016-02-23 05:00:00+00:00,33.94,34.21,33.23,33.65,630957.0,5995.0,33.581199
IBKR,2016-02-24 05:00:00+00:00,33.07,33.58,32.4,33.45,562722.0,5722.0,33.141415
IBKR,2016-02-25 05:00:00+00:00,33.48,34.325,33.39,34.31,442902.0,4984.0,33.943658
IBKR,2016-02-26 05:00:00+00:00,34.5,35.185,34.46,34.95,681366.0,6884.0,34.858627
IBKR,2016-02-29 05:00:00+00:00,34.99,34.99,33.97,34.17,601486.0,5217.0,34.302914
IBKR,2016-03-01 05:00:00+00:00,34.15,35.66,34.128,35.66,1046438.0,7840.0,35.285262
IBKR,2016-03-02 05:00:00+00:00,35.35,35.71,35.14,35.62,650637.0,5753.0,35.531246
IBKR,2016-03-03 05:00:00+00:00,35.72,37.14,35.54,37.13,939239.0,7709.0,36.57386
IBKR,2016-03-04 05:00:00+00:00,37.57,38.89,37.3,37.96,1874850.0,14114.0,38.208357
IBKR,2016-03-07 05:00:00+00:00,37.69,38.87,37.31,38.79,887455.0,7124.0,38.358172
IBKR,2016-03-08 05:00:00+00:00,38.58,38.59,38.16,38.29,938307.0,8431.0,38.30194
IBKR,2016-03-09 05:00:00+00:00,38.51,38.527,37.68,37.83,898391.0,8792.0,38.023888
IBKR,2016-03-10 05:00:00+00:00,38.25,38.565,37.19,38.1,559641.0,5986.0,37.805194
IBKR,2016-03-11 05:00:00+00:00,38.49,39.06,38.31,39.05,618175.0,5917.0,38.72922
IBKR,2016-03-14 04:00:00+00:00,38.78,39.05,37.4,38.86,396778.0,3841.0,38.769637
IBKR,2016-03-15 04:00:00+00:00,38.6,38.6,37.21,37.99,563316.0,4961.0,37.795088
IBKR,2016-03-16 04:00:00+00:00,37.68,38.64,37.5484,37.9,391667.0,4035.0,38.012049
IBKR,2016-03-17 04:00:00+00:00,37.75,38.4799,37.17,38.16,548012.0,5139.0,37.934079
IBKR,2016-03-18 04:00:00+00:00,38.25,39.19,38.25,39.04,499152.0,3769.0,38.885545
IBKR,2016-03-21 04:00:00+00:00,38.98,39.4,38.17,38.7,647215.0,5115.0,38.67462
IBKR,2016-03-22 04:00:00+00:00,38.33,39.26,38.13,38.84,375547.0,3869.0,38.779625
IBKR,2016-03-23 04:00:00+00:00,38.74,38.99,37.79,38.14,445406.0,4224.0,38.129852
