symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IDXX,2016-01-04 05:00:00+00:00,72.35,72.66,70.6,71.12,828213.0,9970.0,71.443691
IDXX,2016-01-05 05:00:00+00:00,71.23,72.8199,70.95,71.83,573879.0,5977.0,71.934219
IDXX,2016-01-06 05:00:00+00:00,71.5,72.74,70.58,71.32,2253229.0,10133.0,71.300411
IDXX,2016-01-07 05:00:00+00:00,70.49,70.74,69.6,69.81,690037.0,6121.0,70.03911
IDXX,2016-01-08 05:00:00+00:00,70.35,70.95,69.05,69.1,701117.0,5717.0,69.667749
IDXX,2016-01-11 05:00:00+00:00,69.3,69.775,67.93,68.47,526642.0,5364.0,68.503111
IDXX,2016-01-12 05:00:00+00:00,68.95,69.78,68.65,69.26,483996.0,4738.0,69.085223
IDXX,2016-01-13 05:00:00+00:00,69.5,69.725,67.33,67.4,951057.0,5340.0,68.567241
IDXX,2016-01-14 05:00:00+00:00,67.48,68.36,66.7,68.1,968308.0,7267.0,67.718197
IDXX,2016-01-15 05:00:00+00:00,66.87,68.0,66.18,67.12,833784.0,7991.0,66.771199
IDXX,2016-01-19 05:00:00+00:00,67.67,68.375,66.42,66.95,913939.0,7852.0,67.380028
IDXX,2016-01-20 05:00:00+00:00,66.2,67.0,63.84,66.43,1169172.0,10455.0,65.445546
IDXX,2016-01-21 05:00:00+00:00,66.71,67.24,65.39,65.58,1035270.0,8637.0,66.12562
IDXX,2016-01-22 05:00:00+00:00,66.01,66.47,63.66,66.36,1635478.0,10961.0,65.957535
IDXX,2016-01-25 05:00:00+00:00,66.18,66.73,65.57,65.87,785343.0,7987.0,66.127911
IDXX,2016-01-26 05:00:00+00:00,66.04,66.49,65.26,65.79,783514.0,7507.0,65.77883
IDXX,2016-01-27 05:00:00+00:00,65.62,66.5375,64.84,65.19,902181.0,7490.0,65.764765
IDXX,2016-01-28 05:00:00+00:00,65.61,65.68,63.48,64.67,871861.0,8174.0,64.598193
IDXX,2016-01-29 05:00:00+00:00,67.7,70.44,67.5,70.14,2098892.0,15198.0,69.472186
IDXX,2016-02-01 05:00:00+00:00,69.85,71.89,68.56,71.4,1415982.0,12088.0,71.193686
IDXX,2016-02-02 05:00:00+00:00,70.29,71.93,70.29,71.44,1170425.0,10301.0,71.374067
IDXX,2016-02-03 05:00:00+00:00,71.68,71.95,70.42,71.46,1206713.0,11571.0,71.15371
IDXX,2016-02-04 05:00:00+00:00,71.59,72.3689,70.72,70.92,770571.0,7193.0,71.282305
IDXX,2016-02-05 05:00:00+00:00,70.76,71.825,69.7,71.04,1430709.0,11559.0,70.808106
IDXX,2016-02-08 05:00:00+00:00,70.27,70.46,68.44,69.58,2400979.0,14942.0,69.374845
IDXX,2016-02-09 05:00:00+00:00,67.74,70.07,67.22,68.49,970297.0,8012.0,68.695374
IDXX,2016-02-10 05:00:00+00:00,69.05,71.05,68.96,69.66,568915.0,6604.0,70.071058
IDXX,2016-02-11 05:00:00+00:00,68.66,69.55,67.0,67.27,713574.0,7014.0,67.864163
IDXX,2016-02-12 05:00:00+00:00,68.09,68.865,66.82,67.85,1073583.0,7972.0,67.457224
IDXX,2016-02-16 05:00:00+00:00,68.39,69.93,68.16,69.41,516001.0,5292.0,69.169089
IDXX,2016-02-17 05:00:00+00:00,69.7,71.6,69.5301,71.52,554796.0,5746.0,70.906248
IDXX,2016-02-18 05:00:00+00:00,71.52,71.52,70.03,70.63,468592.0,4667.0,70.623304
IDXX,2016-02-19 05:00:00+00:00,70.11,71.61,70.08,71.34,423553.0,4527.0,71.097285
IDXX,2016-02-22 05:00:00+00:00,71.84,72.49,71.0492,71.42,307160.0,3266.0,71.523301
IDXX,2016-02-23 05:00:00+00:00,71.17,71.97,70.43,71.7,461974.0,4628.0,71.374697
IDXX,2016-02-24 05:00:00+00:00,71.09,72.26,70.26,72.06,355049.0,4352.0,71.486039
IDXX,2016-02-25 05:00:00+00:00,71.73,73.21,71.58,73.16,492730.0,4871.0,72.523848
IDXX,2016-02-26 05:00:00+00:00,73.51,74.12,73.04,73.48,453634.0,4417.0,73.601754
IDXX,2016-02-29 05:00:00+00:00,73.31,74.4,72.82,73.16,518867.0,4349.0,73.322448
IDXX,2016-03-01 05:00:00+00:00,73.42,75.76,72.6,75.48,769083.0,6686.0,74.687645
IDXX,2016-03-02 05:00:00+00:00,75.23,75.94,74.715,75.59,561217.0,5579.0,75.446053
IDXX,2016-03-03 05:00:00+00:00,75.21,75.88,74.37,75.5,621469.0,4879.0,75.174106
IDXX,2016-03-04 05:00:00+00:00,75.7,76.6,75.235,76.43,817897.0,7232.0,76.246934
IDXX,2016-03-07 05:00:00+00:00,76.22,77.94,76.22,77.77,673311.0,6134.0,77.54004
IDXX,2016-03-08 05:00:00+00:00,77.8,77.82,76.19,77.18,573399.0,5576.0,76.954144
IDXX,2016-03-09 05:00:00+00:00,77.18,78.04,75.08,77.91,619480.0,6027.0,77.436162
IDXX,2016-03-10 05:00:00+00:00,78.38,78.38,76.66,77.41,558922.0,6246.0,77.344529
IDXX,2016-03-11 05:00:00+00:00,78.0,78.49,77.605,78.15,383011.0,3719.0,78.093979
IDXX,2016-03-14 04:00:00+00:00,78.13,78.38,76.84,78.18,338394.0,3887.0,77.7637
IDXX,2016-03-15 04:00:00+00:00,77.49,78.17,76.79,77.04,859423.0,6093.0,77.200333
IDXX,2016-03-16 04:00:00+00:00,76.26,76.41,72.88,74.36,1339762.0,10284.0,74.241775
IDXX,2016-03-17 04:00:00+00:00,74.1,74.87,72.29,74.62,669472.0,6372.0,73.460244
IDXX,2016-03-18 04:00:00+00:00,74.23,75.57,74.16,75.45,1232788.0,6377.0,75.164626
IDXX,2016-03-21 04:00:00+00:00,75.9,76.675,75.45,76.16,528638.0,5432.0,76.164234
IDXX,2016-03-22 04:00:00+00:00,75.67,76.91,75.67,76.6,566921.0,5432.0,76.453484
IDXX,2016-03-23 04:00:00+00:00,76.37,76.53,75.3,75.46,462548.0,4643.0,75.707634
IDXX,2016-03-24 04:00:00+00:00,75.4,75.74,74.48,75.59,445869.0,4333.0,75.304157
IDXX,2016-03-28 04:00:00+00:00,76.0,76.35,75.39,75.86,376870.0,4558.0,75.942745
IDXX,2016-03-29 04:00:00+00:00,75.71,78.34,75.55,78.13,556274.0,4778.0,77.654272
IDXX,2016-03-30 04:00:00+00:00,78.43,78.95,77.56,77.75,419886.0,4656.0,78.128347
IDXX,2016-03-31 04:00:00+00:00,77.5,79.0299,75.03,78.32,674979.0,5753.0,78.336207
IDXX,2016-04-01 04:00:00+00:00,77.53,79.43,76.55,79.37,727044.0,6561.0,78.680097
IDXX,2016-04-04 04:00:00+00:00,79.27,80.195,78.58,79.75,671223.0,6722.0,79.620199
IDXX,2016-04-05 04:00:00+00:00,79.23,79.84,78.82,79.19,1010710.0,7029.0,79.262165
IDXX,2016-04-06 04:00:00+00:00,79.08,80.23,76.98,80.16,475538.0,4223.0,79.857143
IDXX,2016-04-07 04:00:00+00:00,80.0,80.56,78.9,80.48,962699.0,8313.0,79.928593
