symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IEX,2016-01-04 05:00:00+00:00,75.74,75.86,74.75,75.74,492191.0,5329.0,75.516529
IEX,2016-01-05 05:00:00+00:00,75.35,76.05,74.19,75.0,537525.0,5344.0,74.838161
IEX,2016-01-06 05:00:00+00:00,74.12,74.72,73.69,74.17,521348.0,4264.0,74.241174
IEX,2016-01-07 05:00:00+00:00,73.01,73.42,72.19,72.61,558733.0,4935.0,72.825317
IEX,2016-01-08 05:00:00+00:00,72.92,72.92,71.59,71.64,393301.0,3868.0,72.282478
IEX,2016-01-11 05:00:00+00:00,71.8,72.03,70.97,71.39,315825.0,3709.0,71.360589
IEX,2016-01-12 05:00:00+00:00,71.91,72.3375,70.55,71.75,434468.0,4425.0,71.475654
IEX,2016-01-13 05:00:00+00:00,71.64,72.42,69.9,69.99,362618.0,4342.0,70.68549
IEX,2016-01-14 05:00:00+00:00,70.38,71.67,69.39,71.31,443552.0,4994.0,71.043172
IEX,2016-01-15 05:00:00+00:00,69.33,70.29,69.22,69.96,506067.0,4969.0,69.85302
IEX,2016-01-19 05:00:00+00:00,70.62,70.88,69.04,69.61,448061.0,4867.0,69.803635
IEX,2016-01-20 05:00:00+00:00,68.55,69.73,67.2,69.25,477572.0,4996.0,68.581798
IEX,2016-01-21 05:00:00+00:00,69.23,69.57,68.22,68.37,656699.0,6194.0,68.662117
IEX,2016-01-22 05:00:00+00:00,69.36,70.39,68.89,70.02,560127.0,4586.0,69.775275
IEX,2016-01-25 05:00:00+00:00,69.62,69.67,68.15,68.33,569364.0,5777.0,68.648876
IEX,2016-01-26 05:00:00+00:00,68.91,70.33,68.52,70.25,695944.0,5993.0,69.912479
IEX,2016-01-27 05:00:00+00:00,69.9,73.59,69.7,70.95,1096210.0,10102.0,71.235546
IEX,2016-01-28 05:00:00+00:00,70.95,72.52,68.4,69.5,1469110.0,11122.0,69.429321
IEX,2016-01-29 05:00:00+00:00,69.45,72.51,69.04,72.51,1035584.0,6439.0,72.014126
IEX,2016-02-01 05:00:00+00:00,72.19,72.24,71.23,71.45,498014.0,4751.0,71.651566
IEX,2016-02-02 05:00:00+00:00,70.33,71.39,70.01,70.49,520176.0,4922.0,70.604275
IEX,2016-02-03 05:00:00+00:00,71.21,71.89,69.69,71.84,375883.0,4026.0,71.32492
IEX,2016-02-04 05:00:00+00:00,71.43,73.94,71.43,73.09,424728.0,4339.0,73.087386
IEX,2016-02-05 05:00:00+00:00,72.91,73.658,72.39,72.76,702420.0,5616.0,72.846467
IEX,2016-02-08 05:00:00+00:00,72.04,72.25,71.05,72.04,447469.0,4087.0,71.831387
IEX,2016-02-09 05:00:00+00:00,71.29,72.13,70.26,71.47,827947.0,7915.0,71.43166
IEX,2016-02-10 05:00:00+00:00,71.71,72.32,70.78,71.25,608935.0,5874.0,71.496578
IEX,2016-02-11 05:00:00+00:00,70.09,71.45,69.91,70.87,545511.0,5034.0,70.732491
IEX,2016-02-12 05:00:00+00:00,71.23,72.565,71.14,71.76,1051075.0,7777.0,71.717787
IEX,2016-02-16 05:00:00+00:00,72.48,73.6,71.86,73.2,834279.0,7599.0,72.786307
IEX,2016-02-17 05:00:00+00:00,73.87,74.25,73.41,73.89,787253.0,6201.0,73.839694
IEX,2016-02-18 05:00:00+00:00,74.0,74.84,73.6023,74.65,337781.0,3133.0,74.472532
IEX,2016-02-19 05:00:00+00:00,74.09,74.8,73.5,74.74,299196.0,3179.0,74.541989
IEX,2016-02-22 05:00:00+00:00,75.5,76.83,75.32,75.79,422274.0,3605.0,75.805841
IEX,2016-02-23 05:00:00+00:00,75.55,76.11,74.7,74.82,334519.0,3244.0,75.199616
IEX,2016-02-24 05:00:00+00:00,74.11,75.34,73.47,74.96,495275.0,4892.0,74.734419
IEX,2016-02-25 05:00:00+00:00,75.02,75.58,74.13,74.99,320761.0,3136.0,74.824083
IEX,2016-02-26 05:00:00+00:00,75.56,76.04,75.06,75.72,275656.0,2514.0,75.61189
IEX,2016-02-29 05:00:00+00:00,75.73,76.18,75.13,75.16,275618.0,2537.0,75.436986
IEX,2016-03-01 05:00:00+00:00,75.86,77.05,75.135,76.8,327530.0,3458.0,76.48548
IEX,2016-03-02 05:00:00+00:00,76.55,77.05,76.21,77.01,187731.0,2204.0,76.763035
IEX,2016-03-03 05:00:00+00:00,77.04,77.84,76.99,77.78,276349.0,2874.0,77.598866
IEX,2016-03-04 05:00:00+00:00,77.69,78.465,77.56,78.16,657828.0,5288.0,78.108086
IEX,2016-03-07 05:00:00+00:00,77.88,78.64,77.52,78.42,735828.0,5325.0,78.250477
IEX,2016-03-08 05:00:00+00:00,78.1,78.1,77.08,77.27,340509.0,3519.0,77.368755
IEX,2016-03-09 05:00:00+00:00,77.56,77.7,77.04,77.38,296015.0,3132.0,77.444401
IEX,2016-03-10 05:00:00+00:00,77.59,77.59,76.455,77.2,214433.0,2700.0,77.164101
IEX,2016-03-11 05:00:00+00:00,77.64,78.27,77.59,78.13,219670.0,2032.0,77.975604
IEX,2016-03-14 04:00:00+00:00,77.63,78.34,77.58,77.96,442969.0,2521.0,77.983281
IEX,2016-03-15 04:00:00+00:00,77.3,78.34,77.14,78.13,324273.0,3013.0,77.922324
IEX,2016-03-16 04:00:00+00:00,78.09,79.6,78.08,79.32,348577.0,4252.0,78.950793
IEX,2016-03-17 04:00:00+00:00,79.66,81.06,79.42,80.87,415584.0,4064.0,80.613051
IEX,2016-03-18 04:00:00+00:00,80.62,81.83,80.62,81.51,862936.0,4011.0,81.409553
IEX,2016-03-21 04:00:00+00:00,81.5,82.545,80.97,82.46,610604.0,4568.0,82.221094
IEX,2016-03-22 04:00:00+00:00,82.37,83.1,81.86,82.92,508347.0,4516.0,82.796862
IEX,2016-03-23 04:00:00+00:00,82.7,82.735,81.79,81.87,446239.0,5859.0,82.082463
IEX,2016-03-24 04:00:00+00:00,81.54,82.2,81.26,82.17,281624.0,3464.0,81.845448
IEX,2016-03-28 04:00:00+00:00,82.19,82.61,81.65,82.36,250580.0,2810.0,82.238528
IEX,2016-03-29 04:00:00+00:00,82.11,83.67,81.38,83.63,392003.0,3590.0,83.261304
IEX,2016-03-30 04:00:00+00:00,84.0,84.05,83.25,83.41,261358.0,2662.0,83.519521
IEX,2016-03-31 04:00:00+00:00,83.35,83.66,82.62,82.88,614135.0,4664.0,82.90754
IEX,2016-04-01 04:00:00+00:00,82.57,84.09,81.72,84.01,503884.0,4541.0,83.280703
IEX,2016-04-04 04:00:00+00:00,83.61,83.76,81.78,82.0,725723.0,4632.0,82.282599
IEX,2016-04-05 04:00:00+00:00,81.12,81.54,80.81,81.04,479741.0,4687.0,81.102699
IEX,2016-04-06 04:00:00+00:00,80.98,81.275,80.28,81.18,236291.0,2444.0,81.024217
IEX,2016-04-07 04:00:00+00:00,80.97,81.17,80.33,80.81,282959.0,2779.0,80.801867
IEX,2016-04-08 04:00:00+00:00,81.49,82.18,81.06,81.4,184701.0,2131.0,81.537032
IEX,2016-04-11 04:00:00+00:00,81.58,82.42,81.29,81.57,203001.0,2162.0,81.790343
IEX,2016-04-12 04:00:00+00:00,81.78,82.65,81.78,82.26,366956.0,2665.0,82.257341
IEX,2016-04-13 04:00:00+00:00,82.87,84.22,82.69,83.89,548656.0,4601.0,83.543773
IEX,2016-04-14 04:00:00+00:00,83.57,83.78,82.4,83.41,370453.0,3731.0,83.273078
IEX,2016-04-15 04:00:00+00:00,83.45,83.71,83.18,83.47,558779.0,3859.0,83.45025
IEX,2016-04-18 04:00:00+00:00,83.29,84.5,83.29,84.25,404226.0,3818.0,84.057315
IEX,2016-04-19 04:00:00+00:00,85.28,86.54,83.89,84.12,877732.0,6841.0,84.426179
IEX,2016-04-20 04:00:00+00:00,84.39,84.58,83.58,83.62,466975.0,4459.0,83.839007
IEX,2016-04-21 04:00:00+00:00,83.66,83.96,83.15,83.29,438766.0,3920.0,83.463937
IEX,2016-04-22 04:00:00+00:00,83.0,83.85,82.91,83.48,402929.0,3434.0,83.397032
IEX,2016-04-25 04:00:00+00:00,83.13,83.74,82.63,82.67,248051.0,2532.0,82.76775
IEX,2016-04-26 04:00:00+00:00,83.36,84.17,82.74,84.13,342425.0,3456.0,83.839095
IEX,2016-04-27 04:00:00+00:00,84.28,84.63,83.36,83.8,311258.0,3029.0,83.773214
IEX,2016-04-28 04:00:00+00:00,83.53,83.59,82.18,82.38,270257.0,2751.0,82.815983
IEX,2016-04-29 04:00:00+00:00,82.36,82.593,81.445,81.9,292380.0,3096.0,81.900887
IEX,2016-05-02 04:00:00+00:00,81.96,82.64,81.33,82.47,360822.0,3157.0,82.321447
IEX,2016-05-03 04:00:00+00:00,82.03,82.115,81.1,81.51,241955.0,2694.0,81.502915
IEX,2016-05-04 04:00:00+00:00,81.19,81.61,80.16,80.79,502786.0,4593.0,80.804191
IEX,2016-05-05 04:00:00+00:00,81.03,81.6983,80.88,81.32,606025.0,5301.0,81.40681
IEX,2016-05-06 04:00:00+00:00,80.83,82.25,80.83,82.2,274277.0,2660.0,81.968807
IEX,2016-05-09 04:00:00+00:00,81.78,82.07,81.33,81.5,266789.0,2905.0,81.542813
IEX,2016-05-10 04:00:00+00:00,81.69,82.41,81.69,82.27,320076.0,3235.0,82.172877
IEX,2016-05-11 04:00:00+00:00,82.25,82.55,81.69,81.81,283038.0,2397.0,81.969108
IEX,2016-05-12 04:00:00+00:00,82.18,82.865,81.58,82.33,369862.0,3061.0,82.282553
IEX,2016-05-13 04:00:00+00:00,82.16,82.565,80.96,81.22,195901.0,2283.0,81.433642
IEX,2016-05-16 04:00:00+00:00,81.42,82.73,81.42,82.32,287477.0,2566.0,82.372314
IEX,2016-05-17 04:00:00+00:00,82.3,82.87,81.28,81.77,246846.0,2391.0,81.886841
IEX,2016-05-18 04:00:00+00:00,81.52,82.49,81.0,81.66,350997.0,3460.0,81.65981
IEX,2016-05-19 04:00:00+00:00,81.26,81.62,80.46,81.47,311270.0,3054.0,81.284894
IEX,2016-05-20 04:00:00+00:00,81.95,82.4,81.8,82.02,268509.0,1886.0,82.051165
IEX,2016-05-23 04:00:00+00:00,81.81,82.53,81.58,82.26,182967.0,1834.0,82.233463
IEX,2016-05-24 04:00:00+00:00,82.75,83.78,82.36,83.65,314342.0,3120.0,83.538546
IEX,2016-05-25 04:00:00+00:00,83.73,84.25,83.64,83.91,210493.0,1989.0,83.912641
IEX,2016-05-26 04:00:00+00:00,84.0,84.49,83.47,83.49,244974.0,1984.0,83.632281
IEX,2016-05-27 04:00:00+00:00,85.45,85.45,83.17,83.54,294711.0,2413.0,83.47931
IEX,2016-05-31 04:00:00+00:00,83.54,83.6,83.031,83.34,411568.0,3078.0,83.357713
IEX,2016-06-01 04:00:00+00:00,83.16,84.1,82.72,83.93,170327.0,2148.0,83.642385
IEX,2016-06-02 04:00:00+00:00,83.92,84.76,83.74,84.65,283124.0,2280.0,84.389485
IEX,2016-06-03 04:00:00+00:00,84.41,84.57,83.844,84.44,156777.0,1861.0,84.342401
