symbol,timestamp,open,high,low,close,volume,trade_count,vwap
INVH,2017-02-01 05:00:00+00:00,20.1,20.42,19.8,20.0,31091178.0,85138.0,20.158486
INVH,2017-02-02 05:00:00+00:00,20.04,20.41,20.04,20.23,4993027.0,20567.0,20.278701
INVH,2017-02-03 05:00:00+00:00,20.35,20.8,20.3,20.63,2651895.0,11841.0,20.462964
INVH,2017-02-06 05:00:00+00:00,21.14,21.14,20.55,20.73,1891360.0,9380.0,20.766603
INVH,2017-02-07 05:00:00+00:00,20.75,20.86,20.62,20.8,4236089.0,10639.0,20.775052
INVH,2017-02-08 05:00:00+00:00,20.8,20.92,20.73,20.84,992596.0,6468.0,20.834762
INVH,2017-02-09 05:00:00+00:00,20.89,20.97,20.83,20.88,1810247.0,6211.0,20.90109
INVH,2017-02-10 05:00:00+00:00,20.92,21.87,20.78,21.02,1579886.0,6477.0,21.010554
INVH,2017-02-13 05:00:00+00:00,21.14,21.19,20.955,21.0,916038.0,4941.0,21.053765
INVH,2017-02-14 05:00:00+00:00,20.89,21.05,20.75,21.03,1153998.0,4543.0,20.975132
INVH,2017-02-15 05:00:00+00:00,21.16,21.16,20.86,20.91,1082272.0,4424.0,20.984954
INVH,2017-02-16 05:00:00+00:00,20.8,21.05,20.78,20.96,747282.0,4032.0,20.969514
INVH,2017-02-17 05:00:00+00:00,20.94,21.215,20.76,21.15,683793.0,4006.0,21.084486
INVH,2017-02-21 05:00:00+00:00,21.3,21.5,21.28,21.47,837374.0,4827.0,21.384277
INVH,2017-02-22 05:00:00+00:00,21.45,21.65,21.4,21.57,682948.0,3901.0,21.517957
INVH,2017-02-23 05:00:00+00:00,21.68,21.81,21.37,21.58,659905.0,3745.0,21.532791
INVH,2017-02-24 05:00:00+00:00,21.52,21.71,21.5,21.6,781834.0,3521.0,21.586316
INVH,2017-02-27 05:00:00+00:00,21.58,21.99,21.55,21.81,1189421.0,7187.0,21.821303
INVH,2017-02-28 05:00:00+00:00,21.94,22.15,21.765,21.79,1634787.0,7846.0,21.889336
INVH,2017-03-01 05:00:00+00:00,22.14,22.146,21.17,21.53,1429365.0,6837.0,21.619029
INVH,2017-03-02 05:00:00+00:00,21.6,21.78,21.33,21.72,1158511.0,6325.0,21.574073
INVH,2017-03-03 05:00:00+00:00,21.56,21.95,21.26,21.81,1104993.0,7701.0,21.712978
INVH,2017-03-06 05:00:00+00:00,21.78,22.0,21.62,21.92,1348294.0,9320.0,21.843033
INVH,2017-03-07 05:00:00+00:00,21.8,21.98,21.5,21.81,723748.0,5461.0,21.702349
INVH,2017-03-08 05:00:00+00:00,21.78,21.82,21.52,21.55,811182.0,5282.0,21.668216
INVH,2017-03-09 05:00:00+00:00,21.6,21.74,21.04,21.24,1321853.0,7740.0,21.246207
INVH,2017-03-10 05:00:00+00:00,21.28,21.54,21.28,21.4,1205799.0,7643.0,21.451897
INVH,2017-03-13 04:00:00+00:00,21.39,21.84,21.06,21.38,1850681.0,11960.0,21.301958
INVH,2017-03-14 04:00:00+00:00,21.37,21.45,21.05,21.25,928440.0,5757.0,21.249425
INVH,2017-03-15 04:00:00+00:00,21.39,21.6,21.245,21.52,1546102.0,7456.0,21.477632
INVH,2017-03-16 04:00:00+00:00,21.6,21.68,21.25,21.48,1242541.0,7738.0,21.459078
INVH,2017-03-17 04:00:00+00:00,21.55,21.79,21.47,21.6,14542625.0,13608.0,21.599544
