symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IP,2016-01-04 05:00:00+00:00,37.16,37.67,36.86,37.67,4538732.0,30116.0,37.339775
IP,2016-01-05 05:00:00+00:00,37.76,38.0,37.42,37.99,3481728.0,25553.0,37.741054
IP,2016-01-06 05:00:00+00:00,37.47,37.58,37.1215,37.39,3731171.0,27901.0,37.37213
IP,2016-01-07 05:00:00+00:00,36.79,37.22,36.18,36.29,5210414.0,35361.0,36.624595
IP,2016-01-08 05:00:00+00:00,36.3,36.775,35.78,35.9,4961129.0,34962.0,36.215443
IP,2016-01-11 05:00:00+00:00,36.23,36.54,35.945,36.4,6013775.0,41588.0,36.259294
IP,2016-01-12 05:00:00+00:00,36.72,36.88,35.95,36.35,4102232.0,30927.0,36.340329
IP,2016-01-13 05:00:00+00:00,36.55,37.05,35.98,36.05,4142912.0,31683.0,36.430181
IP,2016-01-14 05:00:00+00:00,36.17,36.79,35.6852,36.54,4352617.0,29779.0,36.36463
IP,2016-01-15 05:00:00+00:00,35.49,36.8,35.49,36.42,5523538.0,36340.0,36.242315
IP,2016-01-19 05:00:00+00:00,36.76,36.825,35.02,35.64,4707529.0,30249.0,35.716409
IP,2016-01-20 05:00:00+00:00,35.02,35.61,34.03,35.29,4781362.0,37500.0,34.716806
IP,2016-01-21 05:00:00+00:00,35.45,35.9938,34.94,35.46,3557686.0,27097.0,35.511006
IP,2016-01-22 05:00:00+00:00,36.03,36.8,36.03,36.45,3860412.0,28354.0,36.371692
IP,2016-01-25 05:00:00+00:00,34.99,35.01,32.5,32.58,15039990.0,77591.0,33.471631
IP,2016-01-26 05:00:00+00:00,32.81,33.29,32.58,32.87,8646674.0,43607.0,32.955525
IP,2016-01-27 05:00:00+00:00,32.77,33.67,32.53,32.91,6959441.0,41762.0,33.070543
IP,2016-01-28 05:00:00+00:00,33.1,33.24,32.555,32.65,4391354.0,27900.0,32.808807
IP,2016-01-29 05:00:00+00:00,32.88,34.22,32.83,34.21,6970169.0,35816.0,33.786619
IP,2016-02-01 05:00:00+00:00,34.03,34.33,33.509,34.09,5776778.0,37566.0,33.94477
IP,2016-02-02 05:00:00+00:00,34.08,34.085,33.48,33.86,5487627.0,32881.0,33.793051
IP,2016-02-03 05:00:00+00:00,34.7,35.48,33.06,34.17,9121839.0,64832.0,34.064046
IP,2016-02-04 05:00:00+00:00,34.23,35.39,33.895,35.07,6780050.0,45944.0,34.797949
IP,2016-02-05 05:00:00+00:00,35.06,35.3599,34.811,34.97,6663851.0,41818.0,35.027383
IP,2016-02-08 05:00:00+00:00,34.5,34.61,33.72,34.36,4527906.0,32548.0,34.156686
IP,2016-02-09 05:00:00+00:00,34.01,35.2,33.75,35.13,6292839.0,44318.0,34.61221
IP,2016-02-10 05:00:00+00:00,35.18,36.12,34.7,34.78,7911130.0,52273.0,35.368656
IP,2016-02-11 05:00:00+00:00,33.85,34.13,32.8605,33.12,6079339.0,40117.0,33.267378
IP,2016-02-12 05:00:00+00:00,33.57,35.15,33.52,34.16,6581539.0,40338.0,34.338888
IP,2016-02-16 05:00:00+00:00,34.55,35.14,34.22,35.1,3838047.0,20560.0,34.816677
IP,2016-02-17 05:00:00+00:00,35.3,36.17,35.26,35.58,4603212.0,29300.0,35.673868
IP,2016-02-18 05:00:00+00:00,35.54,35.61,35.03,35.32,3134954.0,22258.0,35.304048
IP,2016-02-19 05:00:00+00:00,34.81,34.81,33.43,34.01,6503420.0,37939.0,34.00244
IP,2016-02-22 05:00:00+00:00,34.43,34.5,34.08,34.35,4276211.0,24785.0,34.33051
IP,2016-02-23 05:00:00+00:00,34.18,34.31,33.76,34.19,3916920.0,25643.0,34.143405
IP,2016-02-24 05:00:00+00:00,33.99,34.86,33.8,34.71,3774765.0,26756.0,34.440601
IP,2016-02-25 05:00:00+00:00,34.78,34.95,34.31,34.79,3245797.0,19580.0,34.662048
IP,2016-02-26 05:00:00+00:00,35.0,35.5,34.97,35.24,3483483.0,24586.0,35.264262
IP,2016-02-29 05:00:00+00:00,35.2,36.2,35.16,35.7,4714815.0,27248.0,35.795126
IP,2016-03-01 05:00:00+00:00,36.02,36.91,35.9268,36.64,4137850.0,27646.0,36.480238
IP,2016-03-02 05:00:00+00:00,36.45,37.05,36.42,36.78,3445089.0,22482.0,36.786603
IP,2016-03-03 05:00:00+00:00,36.8,38.37,36.78,38.31,5364555.0,31893.0,37.885472
IP,2016-03-04 05:00:00+00:00,38.23,39.175,38.13,38.73,4907503.0,32039.0,38.734311
IP,2016-03-07 05:00:00+00:00,38.65,39.09,38.55,38.92,2995942.0,20828.0,38.843857
IP,2016-03-08 05:00:00+00:00,38.85,38.9,37.77,37.83,3714217.0,26861.0,37.992299
IP,2016-03-09 05:00:00+00:00,38.09,38.62,37.88,38.55,4033961.0,24740.0,38.361442
IP,2016-03-10 05:00:00+00:00,38.78,39.36,38.46,39.25,5329383.0,39689.0,38.947253
IP,2016-03-11 05:00:00+00:00,39.8,40.05,39.71,39.9,4429347.0,28842.0,39.88451
IP,2016-03-14 04:00:00+00:00,39.98,40.43,39.86,40.01,5714478.0,33892.0,40.163553
IP,2016-03-15 04:00:00+00:00,39.82,39.94,39.13,39.47,5177430.0,36606.0,39.482821
IP,2016-03-16 04:00:00+00:00,39.31,40.57,39.29,40.39,5966377.0,38935.0,39.960877
IP,2016-03-17 04:00:00+00:00,40.31,41.7023,40.2399,41.27,5174628.0,34264.0,41.171115
IP,2016-03-18 04:00:00+00:00,41.91,41.91,40.51,40.94,14694156.0,33291.0,40.953027
IP,2016-03-21 04:00:00+00:00,40.95,42.087,40.95,41.46,4809689.0,30656.0,41.571869
IP,2016-03-22 04:00:00+00:00,41.22,41.8,40.9599,41.28,3706721.0,22149.0,41.365549
IP,2016-03-23 04:00:00+00:00,41.18,41.38,40.65,40.71,2748270.0,19911.0,40.919722
IP,2016-03-24 04:00:00+00:00,40.5,40.82,40.22,40.79,3209325.0,19370.0,40.656235
IP,2016-03-28 04:00:00+00:00,40.9,41.01,40.54,40.86,2265902.0,15965.0,40.786374
IP,2016-03-29 04:00:00+00:00,40.77,41.3601,40.34,41.34,3093028.0,22427.0,40.978467
IP,2016-03-30 04:00:00+00:00,41.55,41.55,40.865,41.0,3118350.0,22227.0,41.12361
IP,2016-03-31 04:00:00+00:00,41.0,41.16,40.61,41.04,4712229.0,26987.0,40.966328
IP,2016-04-01 04:00:00+00:00,40.75,41.02,40.38,40.97,4301459.0,29093.0,40.675148
IP,2016-04-04 04:00:00+00:00,41.02,41.12,40.5,40.56,3242305.0,23112.0,40.729401
IP,2016-04-05 04:00:00+00:00,40.09,40.33,39.63,39.87,5101263.0,30917.0,39.941802
IP,2016-04-06 04:00:00+00:00,39.95,40.24,39.35,40.2,3130383.0,21737.0,39.921393
IP,2016-04-07 04:00:00+00:00,39.85,40.145,39.37,39.6,2619997.0,17396.0,39.623421
IP,2016-04-08 04:00:00+00:00,39.93,40.47,39.9,40.22,2584657.0,16873.0,40.240153
IP,2016-04-11 04:00:00+00:00,40.41,40.695,40.11,40.18,3004189.0,20602.0,40.335593
IP,2016-04-12 04:00:00+00:00,40.35,40.6,39.99,40.52,2495869.0,18039.0,40.422198
IP,2016-04-13 04:00:00+00:00,40.86,41.37,40.8,41.32,2752512.0,17047.0,41.20131
IP,2016-04-14 04:00:00+00:00,41.4,41.45,40.72,40.99,2381123.0,16143.0,40.990067
IP,2016-04-15 04:00:00+00:00,40.9,41.79,40.86,41.72,3163727.0,18131.0,41.524227
IP,2016-04-18 04:00:00+00:00,41.58,42.09,41.4,42.02,2574649.0,15700.0,41.89189
IP,2016-04-19 04:00:00+00:00,42.08,43.46,42.05,42.92,5018347.0,29039.0,42.908997
IP,2016-04-20 04:00:00+00:00,42.96,43.09,42.51,42.55,2570249.0,17782.0,42.6953
IP,2016-04-21 04:00:00+00:00,42.92,43.5,42.52,42.57,3738868.0,23559.0,42.886363
IP,2016-04-22 04:00:00+00:00,42.73,43.49,42.7,43.36,3208769.0,18924.0,43.221286
IP,2016-04-25 04:00:00+00:00,42.86,43.04,42.35,42.85,3682093.0,23068.0,42.705103
IP,2016-04-26 04:00:00+00:00,42.95,43.48,42.93,43.37,3141252.0,21603.0,43.302269
IP,2016-04-27 04:00:00+00:00,44.06,44.598,43.5679,44.18,4235505.0,27596.0,44.025436
IP,2016-04-28 04:00:00+00:00,43.65,44.26,43.11,43.57,2797988.0,19967.0,43.760067
IP,2016-04-29 04:00:00+00:00,43.5,43.75,43.0,43.27,3466545.0,23447.0,43.297875
IP,2016-05-02 04:00:00+00:00,43.28,43.69,42.88,43.46,4193510.0,25827.0,43.412694
IP,2016-05-03 04:00:00+00:00,42.72,42.82,41.62,42.18,4608523.0,30018.0,42.052171
IP,2016-05-04 04:00:00+00:00,42.0,42.24,41.515,41.77,2659145.0,20638.0,41.800147
IP,2016-05-05 04:00:00+00:00,41.95,42.09,41.47,41.5,3014649.0,19606.0,41.62223
IP,2016-05-06 04:00:00+00:00,41.46,42.37,41.282,42.1,3080751.0,21721.0,42.006954
IP,2016-05-09 04:00:00+00:00,42.19,42.78,42.03,42.52,3384874.0,22163.0,42.483015
IP,2016-05-10 04:00:00+00:00,42.62,43.21,42.58,43.09,2451230.0,17303.0,42.974884
IP,2016-05-11 04:00:00+00:00,43.08,43.33,42.81,42.81,2050293.0,14768.0,42.962666
IP,2016-05-12 04:00:00+00:00,43.38,43.435,42.4,42.6,2281084.0,16643.0,42.700189
IP,2016-05-13 04:00:00+00:00,42.51,42.65,41.89,41.97,2955905.0,17213.0,42.164585
IP,2016-05-16 04:00:00+00:00,42.01,42.4,41.675,42.21,3113699.0,22361.0,42.07643
IP,2016-05-17 04:00:00+00:00,41.76,41.76,40.8,41.19,6127875.0,38730.0,41.169572
IP,2016-05-18 04:00:00+00:00,41.08,41.32,40.18,40.29,4749116.0,30234.0,40.635593
IP,2016-05-19 04:00:00+00:00,40.2,40.3,39.52,40.26,3890479.0,24575.0,39.906879
IP,2016-05-20 04:00:00+00:00,40.51,40.63,40.23,40.43,2781941.0,16893.0,40.427791
IP,2016-05-23 04:00:00+00:00,40.53,41.52,40.49,40.93,3380364.0,19189.0,41.118754
IP,2016-05-24 04:00:00+00:00,41.24,41.54,41.14,41.42,3197641.0,19090.0,41.373633
IP,2016-05-25 04:00:00+00:00,41.22,42.42,41.18,42.13,5139972.0,29206.0,42.074654
IP,2016-05-26 04:00:00+00:00,42.11,42.26,41.71,41.84,2601775.0,17808.0,41.888771
IP,2016-05-27 04:00:00+00:00,41.92,42.22,41.8,42.09,1741424.0,11919.0,42.085337
IP,2016-05-31 04:00:00+00:00,42.3,42.5,41.79,42.16,3240073.0,17357.0,42.114947
IP,2016-06-01 04:00:00+00:00,41.95,42.12,41.6965,42.11,2069276.0,14564.0,41.956329
IP,2016-06-02 04:00:00+00:00,42.15,43.09,42.07,42.9,3457282.0,21364.0,42.713211
IP,2016-06-03 04:00:00+00:00,42.9,42.98,42.4,42.93,3093028.0,17761.0,42.772747
IP,2016-06-06 04:00:00+00:00,43.0,43.25,42.93,43.12,2127588.0,14386.0,43.111353
IP,2016-06-07 04:00:00+00:00,43.29,44.105,43.2,43.91,4044638.0,24184.0,43.858376
IP,2016-06-08 04:00:00+00:00,43.92,44.18,43.87,44.11,3142832.0,19038.0,44.04246
IP,2016-06-09 04:00:00+00:00,43.9,43.99,43.36,43.59,1741061.0,12788.0,43.537177
IP,2016-06-10 04:00:00+00:00,43.35,43.39,42.9,43.18,2499449.0,16701.0,43.122694
IP,2016-06-13 04:00:00+00:00,42.92,43.04,41.93,41.98,3704507.0,23659.0,42.303199
IP,2016-06-14 04:00:00+00:00,41.76,41.94,41.31,41.73,3168312.0,21598.0,41.588278
IP,2016-06-15 04:00:00+00:00,42.22,42.26,41.55,41.59,2515407.0,17376.0,41.863315
IP,2016-06-16 04:00:00+00:00,41.37,41.76,40.89,41.73,2884989.0,19262.0,41.288676
IP,2016-06-17 04:00:00+00:00,41.67,42.04,41.45,41.96,3393219.0,15395.0,41.849845
IP,2016-06-20 04:00:00+00:00,42.45,43.11,42.4177,42.68,2366336.0,16155.0,42.838293
IP,2016-06-21 04:00:00+00:00,42.85,42.87,42.43,42.45,1846827.0,12242.0,42.564685
IP,2016-06-22 04:00:00+00:00,42.53,42.69,42.37,42.37,1739333.0,11436.0,42.495722
IP,2016-06-23 04:00:00+00:00,43.02,43.29,42.88,43.29,1739094.0,12555.0,43.128847
IP,2016-06-24 04:00:00+00:00,41.52,42.38,41.25,41.37,11290471.0,27485.0,41.498148
IP,2016-06-27 04:00:00+00:00,41.0,41.07,39.235,39.64,4235068.0,29492.0,39.748664
IP,2016-06-28 04:00:00+00:00,40.0,40.2654,39.51,40.26,3136393.0,21495.0,40.031748
IP,2016-06-29 04:00:00+00:00,40.83,41.34,40.63,41.17,2507068.0,17639.0,41.041491
IP,2016-06-30 04:00:00+00:00,41.31,42.38,40.995,42.38,3772574.0,18878.0,42.098903
IP,2016-07-01 04:00:00+00:00,42.7,42.82,42.19,42.71,2101087.0,15907.0,42.608197
IP,2016-07-05 04:00:00+00:00,42.3,42.42,41.525,41.76,2091147.0,13311.0,41.797928
IP,2016-07-06 04:00:00+00:00,41.69,42.0,41.08,41.96,3611285.0,27250.0,41.591593
IP,2016-07-07 04:00:00+00:00,41.95,42.48,41.67,41.9,2428483.0,17276.0,41.980466
IP,2016-07-08 04:00:00+00:00,42.27,42.86,42.195,42.75,2448086.0,16484.0,42.629234
IP,2016-07-11 04:00:00+00:00,42.72,43.1054,42.48,43.03,2085218.0,14532.0,42.904047
IP,2016-07-12 04:00:00+00:00,43.32,44.215,43.28,44.17,3021498.0,20109.0,43.977681
IP,2016-07-13 04:00:00+00:00,44.19,44.4,43.85,44.24,2984176.0,18744.0,44.119683
IP,2016-07-14 04:00:00+00:00,44.5,44.68,43.98,44.05,3201869.0,20444.0,44.13696
IP,2016-07-15 04:00:00+00:00,44.41,45.97,44.41,45.47,5848721.0,31242.0,45.465446
IP,2016-07-18 04:00:00+00:00,45.47,45.63,45.11,45.53,2314556.0,15893.0,45.439002
IP,2016-07-19 04:00:00+00:00,45.44,45.648,44.81,44.97,3073344.0,22440.0,45.066337
IP,2016-07-20 04:00:00+00:00,45.01,45.465,44.89,45.01,2503430.0,16393.0,45.143566
IP,2016-07-21 04:00:00+00:00,45.07,45.32,44.725,44.88,1872430.0,14002.0,44.957791
IP,2016-07-22 04:00:00+00:00,44.94,45.2199,44.75,45.12,1782224.0,10738.0,45.073628
IP,2016-07-25 04:00:00+00:00,45.04,45.131,44.7,45.12,1559100.0,10619.0,45.000992
IP,2016-07-26 04:00:00+00:00,45.19,45.705,45.045,45.68,1689787.0,12137.0,45.463921
IP,2016-07-27 04:00:00+00:00,45.68,45.86,45.1,45.59,2995147.0,23306.0,45.453734
IP,2016-07-28 04:00:00+00:00,45.5,46.28,44.93,45.73,3424251.0,23556.0,45.803342
IP,2016-07-29 04:00:00+00:00,45.57,45.89,45.28,45.81,2747184.0,15208.0,45.736439
IP,2016-08-01 04:00:00+00:00,45.76,45.88,45.17,45.5,2219224.0,15895.0,45.432355
IP,2016-08-02 04:00:00+00:00,45.39,45.65,45.22,45.39,2105539.0,14447.0,45.394171
IP,2016-08-03 04:00:00+00:00,45.38,45.82,45.165,45.74,1518210.0,11150.0,45.591924
IP,2016-08-04 04:00:00+00:00,45.85,46.38,45.725,45.82,2166669.0,15540.0,45.996437
IP,2016-08-05 04:00:00+00:00,46.13,46.47,45.89,45.98,1885709.0,13435.0,46.059489
IP,2016-08-08 04:00:00+00:00,45.93,46.34,45.84,46.18,2194573.0,16464.0,46.123757
IP,2016-08-09 04:00:00+00:00,46.2,46.495,46.015,46.06,1307643.0,8976.0,46.133105
IP,2016-08-10 04:00:00+00:00,46.07,47.39,46.07,46.79,4146407.0,27450.0,46.759231
IP,2016-08-11 04:00:00+00:00,46.46,47.02,46.46,46.93,2781944.0,18574.0,46.80597
IP,2016-08-12 04:00:00+00:00,46.9,47.02,46.3,46.5,2258167.0,16068.0,46.548313
IP,2016-08-15 04:00:00+00:00,46.5,46.88,46.32,46.32,2358579.0,13923.0,46.497072
IP,2016-08-16 04:00:00+00:00,46.45,47.48,46.43,46.66,3005469.0,20778.0,46.985473
IP,2016-08-17 04:00:00+00:00,46.76,47.33,46.72,47.31,2557227.0,19121.0,47.051782
IP,2016-08-18 04:00:00+00:00,47.29,47.7,47.25,47.61,2362468.0,17356.0,47.495033
IP,2016-08-19 04:00:00+00:00,47.33,47.58,46.86,47.46,1828540.0,12080.0,47.370494
IP,2016-08-22 04:00:00+00:00,47.14,47.14,46.08,46.56,3645761.0,23202.0,46.43352
