symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IT,2016-01-04 05:00:00+00:00,89.73,89.73,87.41,88.13,414800.0,3987.0,88.058513
IT,2016-01-05 05:00:00+00:00,88.05,89.23,87.82,89.04,488813.0,3401.0,88.64531
IT,2016-01-06 05:00:00+00:00,87.84,88.74,87.67,88.41,375063.0,3281.0,88.253329
IT,2016-01-07 05:00:00+00:00,86.92,87.58,85.94,86.25,365389.0,3311.0,86.499902
IT,2016-01-08 05:00:00+00:00,86.61,86.94,85.59,85.71,379802.0,3462.0,85.951571
IT,2016-01-11 05:00:00+00:00,85.93,86.28,84.98,85.72,311299.0,3180.0,85.62316
IT,2016-01-12 05:00:00+00:00,86.4,86.85,86.04,86.65,434863.0,3736.0,86.561203
IT,2016-01-13 05:00:00+00:00,87.47,87.47,84.0318,84.08,345151.0,3319.0,85.079758
IT,2016-01-14 05:00:00+00:00,84.23,85.89,83.33,85.41,392938.0,3791.0,84.867417
IT,2016-01-15 05:00:00+00:00,83.88,86.07,83.59,86.04,577016.0,4913.0,85.116592
IT,2016-01-19 05:00:00+00:00,86.86,86.86,83.76,84.73,331739.0,3476.0,85.060985
IT,2016-01-20 05:00:00+00:00,82.12,84.06,81.51,83.04,527159.0,5480.0,82.686434
IT,2016-01-21 05:00:00+00:00,83.02,84.03,82.23,82.58,455796.0,3677.0,82.942014
IT,2016-01-22 05:00:00+00:00,83.23,84.2,82.74,84.12,759306.0,7058.0,83.550481
IT,2016-01-25 05:00:00+00:00,84.68,85.94,83.06,83.28,475475.0,4425.0,83.579085
IT,2016-01-26 05:00:00+00:00,83.56,85.005,83.035,84.97,470035.0,3805.0,84.431152
IT,2016-01-27 05:00:00+00:00,84.58,85.13,83.4,83.59,509059.0,4938.0,84.273093
IT,2016-01-28 05:00:00+00:00,84.39,85.58,83.49,85.25,386647.0,3616.0,84.961767
IT,2016-01-29 05:00:00+00:00,85.48,87.9,85.16,87.89,806171.0,4578.0,87.382211
IT,2016-02-01 05:00:00+00:00,87.05,89.0983,86.6801,88.41,528876.0,5121.0,88.400362
IT,2016-02-02 05:00:00+00:00,87.81,87.81,85.87,86.26,250255.0,2576.0,86.531562
IT,2016-02-03 05:00:00+00:00,87.1,87.31,85.06,86.34,472896.0,4908.0,86.155656
IT,2016-02-04 05:00:00+00:00,83.0,85.034,80.0001,83.99,1088026.0,7502.0,83.695475
IT,2016-02-05 05:00:00+00:00,83.51,83.97,82.427,82.82,671005.0,6964.0,82.981844
IT,2016-02-08 05:00:00+00:00,81.71,82.08,77.8,80.06,973403.0,8516.0,79.073193
IT,2016-02-09 05:00:00+00:00,79.0,81.67,79.0,80.94,752779.0,5792.0,80.800354
IT,2016-02-10 05:00:00+00:00,81.33,83.0,80.91,81.13,474239.0,4864.0,81.810349
IT,2016-02-11 05:00:00+00:00,80.03,80.78,79.21,79.86,460452.0,4826.0,79.989546
IT,2016-02-12 05:00:00+00:00,80.87,80.87,79.18,80.0,604836.0,5878.0,79.993069
IT,2016-02-16 05:00:00+00:00,81.13,82.5888,80.8,81.5,553933.0,4980.0,81.780588
IT,2016-02-17 05:00:00+00:00,82.22,82.84,81.74,82.78,570900.0,4790.0,82.275754
IT,2016-02-18 05:00:00+00:00,82.72,83.33,81.625,81.8,360886.0,4105.0,81.937887
IT,2016-02-19 05:00:00+00:00,81.75,83.27,81.26,82.78,442847.0,5135.0,82.697759
IT,2016-02-22 05:00:00+00:00,83.5,84.11,82.33,82.82,555662.0,5247.0,82.79582
IT,2016-02-23 05:00:00+00:00,82.71,83.17,81.89,82.36,266655.0,3353.0,82.530805
IT,2016-02-24 05:00:00+00:00,81.65,81.83,80.82,81.27,508818.0,5044.0,81.267483
IT,2016-02-25 05:00:00+00:00,81.31,83.06,81.31,82.89,328692.0,3570.0,82.691419
IT,2016-02-26 05:00:00+00:00,83.21,83.326,82.14,82.7,318608.0,3045.0,82.672954
IT,2016-02-29 05:00:00+00:00,82.59,83.53,82.21,82.4,367292.0,2866.0,82.636493
IT,2016-03-01 05:00:00+00:00,83.25,84.07,83.0975,84.01,357841.0,3697.0,83.853261
IT,2016-03-02 05:00:00+00:00,83.99,84.06,83.21,83.99,213751.0,2520.0,83.698392
IT,2016-03-03 05:00:00+00:00,83.77,84.21,83.3,84.21,309612.0,2870.0,83.933133
IT,2016-03-04 05:00:00+00:00,84.41,85.68,83.97,85.57,397091.0,4112.0,85.291942
IT,2016-03-07 05:00:00+00:00,85.14,85.81,84.77,85.31,391819.0,3827.0,85.413537
IT,2016-03-08 05:00:00+00:00,84.75,84.8,84.06,84.15,271268.0,2977.0,84.343441
IT,2016-03-09 05:00:00+00:00,84.34,85.19,83.54,83.72,294932.0,3015.0,83.809217
IT,2016-03-10 05:00:00+00:00,84.08,84.26,82.2701,82.7,380510.0,3716.0,82.759095
IT,2016-03-11 05:00:00+00:00,83.52,83.72,82.92,83.68,627599.0,5303.0,83.283636
IT,2016-03-14 04:00:00+00:00,83.45,84.14,82.94,83.98,286302.0,3063.0,83.590398
IT,2016-03-15 04:00:00+00:00,83.48,84.16,83.48,83.72,237145.0,2491.0,83.861867
IT,2016-03-16 04:00:00+00:00,83.58,84.66,83.33,84.43,645150.0,3980.0,84.268085
IT,2016-03-17 04:00:00+00:00,84.66,85.61,83.83,85.16,290470.0,3060.0,85.103558
IT,2016-03-18 04:00:00+00:00,85.24,86.31,85.24,85.75,501636.0,2212.0,85.700032
IT,2016-03-21 04:00:00+00:00,85.42,86.62,85.2,86.56,334188.0,2560.0,86.301361
IT,2016-03-22 04:00:00+00:00,86.4,87.18,86.4,86.84,203273.0,2341.0,86.869386
IT,2016-03-23 04:00:00+00:00,86.63,86.81,86.0259,86.28,241654.0,2144.0,86.378987
IT,2016-03-24 04:00:00+00:00,85.75,86.2599,85.0609,86.17,168037.0,1792.0,85.805101
IT,2016-03-28 04:00:00+00:00,86.27,87.16,85.96,86.95,196253.0,2153.0,86.718259
IT,2016-03-29 04:00:00+00:00,87.02,88.16,87.02,87.9,506479.0,4662.0,87.876503
IT,2016-03-30 04:00:00+00:00,88.38,89.07,88.14,88.3,170807.0,2220.0,88.360973
IT,2016-03-31 04:00:00+00:00,88.1,89.59,87.055,89.35,357363.0,2423.0,89.204767
IT,2016-04-01 04:00:00+00:00,89.04,90.65,88.3,90.58,549014.0,4833.0,89.871926
IT,2016-04-04 04:00:00+00:00,90.64,90.97,90.14,90.41,287056.0,3146.0,90.469543
IT,2016-04-05 04:00:00+00:00,89.66,89.79,88.7,89.25,420559.0,3704.0,89.257538
IT,2016-04-06 04:00:00+00:00,89.14,89.63,88.355,88.93,553252.0,4345.0,88.779931
IT,2016-04-07 04:00:00+00:00,88.71,88.71,87.58,88.15,591509.0,3741.0,88.053214
IT,2016-04-08 04:00:00+00:00,88.66,88.66,87.45,87.9,211030.0,2458.0,87.939622
IT,2016-04-11 04:00:00+00:00,88.35,88.37,87.08,87.18,272614.0,2638.0,87.415884
IT,2016-04-12 04:00:00+00:00,87.26,87.6,86.5101,87.45,256174.0,2633.0,87.293309
IT,2016-04-13 04:00:00+00:00,87.88,88.3,87.39,88.16,342987.0,3144.0,87.931056
IT,2016-04-14 04:00:00+00:00,88.01,88.125,86.97,87.22,573298.0,4187.0,87.340032
IT,2016-04-15 04:00:00+00:00,87.22,88.51,87.0684,88.49,548896.0,4484.0,88.074937
