symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KKR,2016-01-04 05:00:00+00:00,15.3,15.875,15.21,15.78,2871571.0,13581.0,15.577872
KKR,2016-01-05 05:00:00+00:00,15.8,15.97,15.34,15.45,3603898.0,17552.0,15.543456
KKR,2016-01-06 05:00:00+00:00,15.1,15.395,14.9,15.14,4903281.0,21570.0,15.106411
KKR,2016-01-07 05:00:00+00:00,14.78,15.08,14.3839,14.49,3505980.0,18540.0,14.720108
KKR,2016-01-08 05:00:00+00:00,14.67,14.7155,14.13,14.16,3392045.0,15507.0,14.301113
KKR,2016-01-11 05:00:00+00:00,14.2,14.34,13.47,13.68,6160360.0,26474.0,13.671329
KKR,2016-01-12 05:00:00+00:00,13.8,13.98,13.15,13.54,5472509.0,25309.0,13.492199
KKR,2016-01-13 05:00:00+00:00,13.64,14.0,13.32,13.32,5382617.0,24539.0,13.609873
KKR,2016-01-14 05:00:00+00:00,13.38,14.2,12.71,13.95,7278061.0,32367.0,13.612175
KKR,2016-01-15 05:00:00+00:00,13.25,13.62,13.195,13.44,6973262.0,38177.0,13.336361
KKR,2016-01-19 05:00:00+00:00,13.5,13.815,13.17,13.17,7924538.0,27365.0,13.322422
KKR,2016-01-20 05:00:00+00:00,12.9,13.7411,12.69,13.62,8365883.0,32723.0,13.114939
KKR,2016-01-21 05:00:00+00:00,13.62,14.745,13.5901,14.37,7379481.0,25833.0,14.344052
KKR,2016-01-22 05:00:00+00:00,14.79,14.89,14.17,14.41,2769833.0,13062.0,14.490605
KKR,2016-01-25 05:00:00+00:00,14.37,14.43,13.34,13.4,5934384.0,9678.0,13.488209
KKR,2016-01-26 05:00:00+00:00,13.46,13.94,13.34,13.74,3378135.0,14635.0,13.653666
KKR,2016-01-27 05:00:00+00:00,13.64,13.745,13.02,13.39,5232477.0,21406.0,13.370153
KKR,2016-01-28 05:00:00+00:00,13.51,13.635,13.215,13.53,2477345.0,13447.0,13.467593
KKR,2016-01-29 05:00:00+00:00,13.57,13.85,13.43,13.63,2952465.0,10227.0,13.624882
KKR,2016-02-01 05:00:00+00:00,13.49,14.1,13.4,13.91,2877633.0,11347.0,13.692106
KKR,2016-02-02 05:00:00+00:00,13.69,13.69,13.32,13.38,3132381.0,15037.0,13.482835
KKR,2016-02-03 05:00:00+00:00,13.5,13.51,12.78,13.25,5555948.0,23669.0,13.149819
KKR,2016-02-04 05:00:00+00:00,13.2,13.7,13.16,13.64,3779942.0,20773.0,13.531368
KKR,2016-02-05 05:00:00+00:00,13.68,14.32,13.67,13.83,3462483.0,14862.0,13.942304
KKR,2016-02-08 05:00:00+00:00,13.61,13.63,12.72,12.93,4607916.0,20371.0,13.015942
KKR,2016-02-09 05:00:00+00:00,12.6,12.93,12.3,12.62,4824317.0,23986.0,12.543343
KKR,2016-02-10 05:00:00+00:00,12.78,12.8,11.67,11.71,7851698.0,29974.0,12.169501
KKR,2016-02-11 05:00:00+00:00,11.3,11.7,10.89,11.13,13982479.0,47279.0,11.2067
KKR,2016-02-12 05:00:00+00:00,11.23,11.96,11.1672,11.94,5795749.0,24773.0,11.644858
KKR,2016-02-16 05:00:00+00:00,12.12,12.505,11.995,12.48,5030675.0,19761.0,12.321237
KKR,2016-02-17 05:00:00+00:00,12.15,12.62,12.15,12.6,6745104.0,27606.0,12.473057
KKR,2016-02-18 05:00:00+00:00,12.64,12.87,12.35,12.81,4187597.0,20202.0,12.69073
KKR,2016-02-19 05:00:00+00:00,12.71,13.0389,12.585,12.82,2897397.0,13783.0,12.857743
KKR,2016-02-22 05:00:00+00:00,12.98,13.23,12.91,13.16,2576402.0,10853.0,13.137324
KKR,2016-02-23 05:00:00+00:00,13.03,13.19,12.79,13.01,2470021.0,12559.0,12.956119
KKR,2016-02-24 05:00:00+00:00,12.7,12.865,12.39,12.62,7502626.0,15624.0,12.64829
KKR,2016-02-25 05:00:00+00:00,12.6,12.71,11.94,12.26,9293285.0,25389.0,12.253964
KKR,2016-02-26 05:00:00+00:00,12.39,12.61,12.17,12.34,6604441.0,20072.0,12.359994
KKR,2016-02-29 05:00:00+00:00,12.4,12.88,12.4,12.84,3464957.0,15424.0,12.623583
KKR,2016-03-01 05:00:00+00:00,12.95,13.07,12.77,12.96,2025592.0,9583.0,12.951434
KKR,2016-03-02 05:00:00+00:00,12.96,13.1,12.7402,12.78,3222288.0,14260.0,12.863353
KKR,2016-03-03 05:00:00+00:00,12.7,13.01,12.65,12.98,7344409.0,17139.0,12.869558
