symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KLAC,2016-01-04 05:00:00+00:00,68.03,69.18,68.0,68.69,2328888.0,17851.0,68.51214
KLAC,2016-01-05 05:00:00+00:00,68.38,69.05,68.37,68.74,2167904.0,18486.0,68.75984
KLAC,2016-01-06 05:00:00+00:00,67.71,68.24,66.09,66.58,1674689.0,17148.0,66.647255
KLAC,2016-01-07 05:00:00+00:00,65.42,66.66,65.41,65.94,1947286.0,19454.0,66.020312
KLAC,2016-01-08 05:00:00+00:00,66.14,66.31,64.7,65.24,1833174.0,15694.0,65.307768
KLAC,2016-01-11 05:00:00+00:00,65.76,65.76,64.83,65.51,1410027.0,12740.0,65.401274
KLAC,2016-01-12 05:00:00+00:00,65.92,66.4564,65.15,65.75,803056.0,8543.0,65.652918
KLAC,2016-01-13 05:00:00+00:00,65.81,66.3,64.67,64.78,1339649.0,12447.0,65.276188
KLAC,2016-01-14 05:00:00+00:00,65.03,67.14,64.81,66.66,2582851.0,20169.0,66.389781
KLAC,2016-01-15 05:00:00+00:00,64.11,65.18,63.64,64.55,1982623.0,18106.0,64.368499
KLAC,2016-01-19 05:00:00+00:00,65.5,65.5,64.07,64.32,993115.0,11828.0,64.566869
KLAC,2016-01-20 05:00:00+00:00,64.21,65.57,63.98,65.06,3030450.0,24668.0,64.678078
KLAC,2016-01-21 05:00:00+00:00,65.3,65.32,64.35,64.63,1074211.0,10422.0,64.820943
KLAC,2016-01-22 05:00:00+00:00,65.64,65.87,64.67,65.09,1076506.0,11218.0,65.096746
KLAC,2016-01-25 05:00:00+00:00,65.02,65.26,64.56,64.65,1367971.0,12245.0,64.79703
KLAC,2016-01-26 05:00:00+00:00,64.64,65.31,64.46,65.14,1135245.0,11447.0,65.057793
KLAC,2016-01-27 05:00:00+00:00,65.22,65.4,64.31,64.43,1649257.0,14997.0,64.682061
KLAC,2016-01-28 05:00:00+00:00,64.38,66.34,64.38,65.45,1336861.0,13712.0,65.523112
KLAC,2016-01-29 05:00:00+00:00,66.28,66.99,66.01,66.99,2674121.0,23119.0,66.63177
KLAC,2016-02-01 05:00:00+00:00,66.4,67.61,66.35,67.12,2206438.0,18679.0,67.192152
