symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LOW,2016-01-04 05:00:00+00:00,74.69,75.57,74.5,75.28,7019426.0,48939.0,74.971671
LOW,2016-01-05 05:00:00+00:00,75.44,76.4699,74.91,75.44,5395063.0,45283.0,75.471086
LOW,2016-01-06 05:00:00+00:00,74.5,74.75,73.395,73.94,5563925.0,41042.0,74.077403
LOW,2016-01-07 05:00:00+00:00,72.84,73.88,71.75,72.07,6779050.0,50807.0,72.585313
LOW,2016-01-08 05:00:00+00:00,72.67,72.8,70.68,70.88,5632701.0,43389.0,71.640248
LOW,2016-01-11 05:00:00+00:00,71.45,73.09,71.29,72.68,5757838.0,48615.0,72.283638
LOW,2016-01-12 05:00:00+00:00,73.28,74.28,72.37,73.27,4877014.0,39584.0,73.118467
LOW,2016-01-13 05:00:00+00:00,73.64,73.73,69.535,69.9,8100961.0,52717.0,70.919238
LOW,2016-01-14 05:00:00+00:00,69.85,70.61,67.65,69.91,8802980.0,62116.0,69.48657
LOW,2016-01-15 05:00:00+00:00,67.75,70.36,67.74,68.99,8862505.0,57983.0,69.034495
LOW,2016-01-19 05:00:00+00:00,70.81,71.04,68.79,69.46,7200239.0,49626.0,69.607945
LOW,2016-01-20 05:00:00+00:00,68.87,69.52,66.93,68.07,10248430.0,71424.0,68.162036
LOW,2016-01-21 05:00:00+00:00,68.57,69.94,68.25,69.32,7935653.0,56771.0,69.407011
LOW,2016-01-22 05:00:00+00:00,70.36,70.9,70.19,70.5,6061583.0,38856.0,70.519
LOW,2016-01-25 05:00:00+00:00,70.66,71.0,69.8401,69.9,6209164.0,39048.0,70.338279
LOW,2016-01-26 05:00:00+00:00,70.67,70.69,69.6,70.0,4997654.0,32801.0,69.984551
LOW,2016-01-27 05:00:00+00:00,70.12,70.95,69.022,69.55,5975942.0,36633.0,70.026678
LOW,2016-01-28 05:00:00+00:00,69.89,70.0,68.915,69.23,5335522.0,40897.0,69.367395
LOW,2016-01-29 05:00:00+00:00,70.0,71.77,69.55,71.66,7457556.0,40087.0,71.234381
LOW,2016-02-01 05:00:00+00:00,70.54,72.89,70.54,72.66,5772535.0,39984.0,72.256539
LOW,2016-02-02 05:00:00+00:00,72.3,72.63,71.31,71.87,5507414.0,36980.0,71.780165
LOW,2016-02-03 05:00:00+00:00,71.38,71.38,65.06,67.42,18421551.0,125599.0,67.228333
LOW,2016-02-04 05:00:00+00:00,67.85,68.32,66.3,67.96,9342317.0,70125.0,67.706598
LOW,2016-02-05 05:00:00+00:00,68.08,68.52,65.52,65.84,7793166.0,60240.0,66.55655
LOW,2016-02-08 05:00:00+00:00,65.38,65.39,62.6201,63.55,8616426.0,68832.0,63.63103
LOW,2016-02-09 05:00:00+00:00,63.07,64.86,62.9003,64.15,6223619.0,50426.0,63.939639
LOW,2016-02-10 05:00:00+00:00,64.45,65.4,64.0,64.06,4433568.0,34563.0,64.534811
LOW,2016-02-11 05:00:00+00:00,63.08,63.97,62.68,63.4,5036608.0,37383.0,63.376317
LOW,2016-02-12 05:00:00+00:00,64.02,64.93,63.41,64.87,4582653.0,33901.0,64.43799
LOW,2016-02-16 05:00:00+00:00,66.99,67.695,65.55,67.43,8354579.0,55505.0,66.92767
LOW,2016-02-17 05:00:00+00:00,68.0,68.28,67.56,68.0,6434813.0,45687.0,67.920983
LOW,2016-02-18 05:00:00+00:00,68.28,68.33,66.94,67.72,6467124.0,45724.0,67.775548
LOW,2016-02-19 05:00:00+00:00,67.78,68.5725,66.84,68.52,5726815.0,37394.0,68.146192
LOW,2016-02-22 05:00:00+00:00,69.05,69.87,68.82,69.47,6625613.0,41437.0,69.353293
LOW,2016-02-23 05:00:00+00:00,71.48,71.48,67.84,67.9,11539888.0,73620.0,68.856377
LOW,2016-02-24 05:00:00+00:00,66.09,69.25,64.85,68.62,13119439.0,87864.0,67.197516
LOW,2016-02-25 05:00:00+00:00,68.62,69.63,67.9,68.7,6031378.0,48708.0,68.537237
LOW,2016-02-26 05:00:00+00:00,69.35,69.85,68.83,69.1,5524279.0,40631.0,69.289232
LOW,2016-02-29 05:00:00+00:00,68.8,69.75,67.47,67.53,7033983.0,40788.0,68.135054
LOW,2016-03-01 05:00:00+00:00,68.18,69.1266,66.92,69.04,5846875.0,40107.0,68.567468
LOW,2016-03-02 05:00:00+00:00,68.85,69.53,68.47,69.09,4670453.0,31174.0,68.978439
LOW,2016-03-03 05:00:00+00:00,68.59,69.97,68.5,69.93,4714078.0,30813.0,69.628457
LOW,2016-03-04 05:00:00+00:00,69.69,70.98,69.48,70.39,5303471.0,36023.0,70.32976
LOW,2016-03-07 05:00:00+00:00,69.85,71.2,69.83,70.77,4964757.0,36702.0,70.658735
LOW,2016-03-08 05:00:00+00:00,70.32,71.88,70.15,70.99,6046998.0,43580.0,71.335301
LOW,2016-03-09 05:00:00+00:00,71.09,71.66,70.5,70.85,3615105.0,27188.0,70.925015
LOW,2016-03-10 05:00:00+00:00,71.25,71.73,69.84,70.7,4131803.0,33615.0,70.667349
LOW,2016-03-11 05:00:00+00:00,71.36,72.245,71.22,72.12,4181374.0,29322.0,71.981151
LOW,2016-03-14 04:00:00+00:00,72.0,73.1,71.96,72.75,4345645.0,30895.0,72.734382
LOW,2016-03-15 04:00:00+00:00,72.3,74.32,72.22,73.1,5904795.0,42179.0,73.157767
