symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LRCX,2016-01-04 05:00:00+00:00,77.77,78.21,76.83,77.73,2999302.0,21167.0,77.55245
LRCX,2016-01-05 05:00:00+00:00,78.16,78.55,77.05,78.15,2048071.0,20518.0,78.025107
LRCX,2016-01-06 05:00:00+00:00,76.5,77.1,72.52,73.56,4754790.0,40712.0,73.737047
LRCX,2016-01-07 05:00:00+00:00,72.1,73.52,71.46,71.71,3639040.0,34764.0,72.276409
LRCX,2016-01-08 05:00:00+00:00,72.38,72.56,69.43,70.48,4970063.0,34171.0,70.70862
LRCX,2016-01-11 05:00:00+00:00,71.13,71.366,69.67,70.95,3542588.0,24269.0,70.750083
LRCX,2016-01-12 05:00:00+00:00,72.52,72.9499,70.324,71.44,2618444.0,21268.0,71.346713
LRCX,2016-01-13 05:00:00+00:00,71.61,72.3,68.805,69.08,3240247.0,30086.0,70.044457
LRCX,2016-01-14 05:00:00+00:00,69.78,72.84,68.88,71.95,4730128.0,36516.0,71.395662
LRCX,2016-01-15 05:00:00+00:00,69.25,69.25,66.135,67.96,6349128.0,50214.0,67.660935
LRCX,2016-01-19 05:00:00+00:00,69.07,69.6999,66.96,67.46,3072506.0,27453.0,67.961642
LRCX,2016-01-20 05:00:00+00:00,67.41,70.36,67.02,69.57,4575381.0,41434.0,68.541498
LRCX,2016-01-21 05:00:00+00:00,69.95,70.04,67.58,68.12,4033503.0,32535.0,68.816003
LRCX,2016-01-22 05:00:00+00:00,69.55,70.46,68.17,68.72,2460010.0,23189.0,68.845342
LRCX,2016-01-25 05:00:00+00:00,69.17,69.17,67.83,68.0,3073248.0,19771.0,68.245247
LRCX,2016-01-26 05:00:00+00:00,68.06,68.92,67.45,68.74,1889516.0,17716.0,68.479966
LRCX,2016-01-27 05:00:00+00:00,68.8,69.19,67.24,67.5,2467851.0,22701.0,67.856583
LRCX,2016-01-28 05:00:00+00:00,68.51,71.0,68.14,69.45,4344606.0,37976.0,69.597956
LRCX,2016-01-29 05:00:00+00:00,70.03,72.45,70.03,71.79,4241987.0,35018.0,71.520193
LRCX,2016-02-01 05:00:00+00:00,71.2,73.31,71.06,72.62,2851562.0,24078.0,72.595032
LRCX,2016-02-02 05:00:00+00:00,71.6,72.24,70.12,70.55,3517638.0,25455.0,70.700454
LRCX,2016-02-03 05:00:00+00:00,71.33,71.8,69.33,71.41,3514521.0,26611.0,70.776166
LRCX,2016-02-04 05:00:00+00:00,71.36,72.065,70.56,71.47,2386114.0,22191.0,71.416901
LRCX,2016-02-05 05:00:00+00:00,70.86,71.18,68.04,68.97,3098790.0,26987.0,68.930826
LRCX,2016-02-08 05:00:00+00:00,67.99,68.365,65.0,66.08,2637605.0,25805.0,66.13747
