symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MCHP,2016-01-04 05:00:00+00:00,45.66,46.09,45.26,45.98,2612888.0,20912.0,45.707931
MCHP,2016-01-05 05:00:00+00:00,45.98,46.31,45.44,45.64,1917154.0,16099.0,45.715956
MCHP,2016-01-06 05:00:00+00:00,44.76,45.34,44.5101,44.93,2008061.0,16530.0,44.950672
MCHP,2016-01-07 05:00:00+00:00,43.99,44.71,42.39,42.66,3536279.0,27909.0,43.276541
MCHP,2016-01-08 05:00:00+00:00,43.0,43.0,41.445,41.53,2994836.0,23124.0,42.064042
MCHP,2016-01-11 05:00:00+00:00,41.9,42.15,41.06,41.5,2764689.0,21857.0,41.467057
MCHP,2016-01-12 05:00:00+00:00,41.99,42.2,41.32,41.85,2227677.0,17288.0,41.710607
MCHP,2016-01-13 05:00:00+00:00,42.12,43.865,41.26,41.31,5151273.0,35765.0,42.655049
MCHP,2016-01-14 05:00:00+00:00,41.46,42.52,41.0,42.04,4401183.0,31962.0,41.943437
MCHP,2016-01-15 05:00:00+00:00,40.97,41.31,39.64,40.52,4629376.0,35008.0,40.499878
MCHP,2016-01-19 05:00:00+00:00,42.18,44.11,40.94,41.7,5253130.0,38532.0,41.68082
MCHP,2016-01-20 05:00:00+00:00,42.83,43.59,41.54,42.85,8994143.0,63978.0,42.634452
MCHP,2016-01-21 05:00:00+00:00,43.32,44.41,42.83,43.61,4729642.0,34100.0,43.701589
MCHP,2016-01-22 05:00:00+00:00,44.29,44.55,42.37,43.14,4352030.0,30716.0,43.120927
MCHP,2016-01-25 05:00:00+00:00,43.02,43.85,42.58,43.2,2873693.0,21205.0,43.320556
MCHP,2016-01-26 05:00:00+00:00,43.11,44.79,43.11,44.25,3964793.0,25258.0,44.205201
MCHP,2016-01-27 05:00:00+00:00,44.07,44.58,43.13,43.33,3118033.0,22274.0,43.761577
MCHP,2016-01-28 05:00:00+00:00,43.68,43.87,42.65,43.16,2482969.0,18725.0,43.154415
MCHP,2016-01-29 05:00:00+00:00,43.31,44.905,43.31,44.81,4707729.0,26660.0,44.51153
MCHP,2016-02-01 05:00:00+00:00,44.46,45.01,43.92,44.43,2699272.0,19044.0,44.47399
MCHP,2016-02-02 05:00:00+00:00,43.67,43.88,43.13,43.18,2480611.0,18648.0,43.38412
MCHP,2016-02-03 05:00:00+00:00,42.06,43.22,41.78,42.32,6154238.0,41038.0,42.291518
MCHP,2016-02-04 05:00:00+00:00,42.44,43.8,40.53,42.74,6224871.0,43765.0,42.360551
MCHP,2016-02-05 05:00:00+00:00,42.64,43.7,42.06,42.22,3554993.0,29140.0,42.398685
MCHP,2016-02-08 05:00:00+00:00,41.77,42.0,40.78,41.22,3696024.0,27136.0,41.231986
MCHP,2016-02-09 05:00:00+00:00,40.94,42.0499,40.82,41.26,2771529.0,18253.0,41.506714
MCHP,2016-02-10 05:00:00+00:00,41.33,41.75,40.24,40.27,3228670.0,25205.0,40.760334
MCHP,2016-02-11 05:00:00+00:00,39.68,39.99,39.01,39.65,3057784.0,23402.0,39.506171
MCHP,2016-02-12 05:00:00+00:00,40.0,40.5499,39.37,40.41,1872118.0,14616.0,40.186937
MCHP,2016-02-16 05:00:00+00:00,41.03,42.07,40.81,41.63,4289882.0,26330.0,41.634863
MCHP,2016-02-17 05:00:00+00:00,41.77,42.71,41.77,42.66,2379134.0,19319.0,42.466297
MCHP,2016-02-18 05:00:00+00:00,42.42,42.74,41.9001,41.975,2090976.0,17309.0,42.141068
MCHP,2016-02-19 05:00:00+00:00,41.95,42.605,41.7,42.37,2195938.0,17943.0,42.25459
MCHP,2016-02-22 05:00:00+00:00,42.68,43.41,42.58,43.07,2262240.0,15405.0,43.014563
MCHP,2016-02-23 05:00:00+00:00,42.79,43.31,42.19,42.26,1795160.0,13463.0,42.504087
MCHP,2016-02-24 05:00:00+00:00,41.55,44.01,41.53,43.68,4125894.0,28936.0,43.086675
MCHP,2016-02-25 05:00:00+00:00,43.87,43.92,43.08,43.81,1900246.0,15431.0,43.609607
MCHP,2016-02-26 05:00:00+00:00,44.04,44.95,43.86,44.88,2718082.0,21753.0,44.579438
MCHP,2016-02-29 05:00:00+00:00,44.68,45.18,44.2501,44.49,3168553.0,20114.0,44.642542
MCHP,2016-03-01 05:00:00+00:00,44.6,45.27,44.08,45.22,3127461.0,22290.0,44.84303
