symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MKC,2016-01-04 05:00:00+00:00,84.42,84.92,83.55,84.28,795861.0,9155.0,84.185922
MKC,2016-01-05 05:00:00+00:00,84.4,85.255,84.0,84.42,811886.0,8330.0,84.3872
MKC,2016-01-06 05:00:00+00:00,83.925,84.7,83.63,84.27,1565001.0,10492.0,84.236106
MKC,2016-01-07 05:00:00+00:00,83.75,84.31,83.11,83.69,852063.0,10140.0,83.746004
MKC,2016-01-08 05:00:00+00:00,83.97,84.38,83.46,83.63,1163872.0,10516.0,83.887517
MKC,2016-01-11 05:00:00+00:00,83.85,84.44,82.96,84.1,932911.0,10053.0,83.862996
MKC,2016-01-12 05:00:00+00:00,84.72,85.7,84.39,85.51,674670.0,7970.0,85.090153
MKC,2016-01-13 05:00:00+00:00,85.74,86.2,84.73,84.88,858049.0,9571.0,85.324026
MKC,2016-01-14 05:00:00+00:00,84.95,85.63,84.28,85.03,886657.0,9010.0,85.039529
MKC,2016-01-15 05:00:00+00:00,83.99,84.14,82.642,83.71,858033.0,9226.0,83.573818
MKC,2016-01-19 05:00:00+00:00,82.5,82.8,80.8017,81.28,1765951.0,17621.0,81.54825
MKC,2016-01-20 05:00:00+00:00,80.36,80.86,78.45,80.3,1426338.0,16627.0,79.751474
MKC,2016-01-21 05:00:00+00:00,80.3,80.69,78.55,79.78,1443533.0,13548.0,79.585564
MKC,2016-01-22 05:00:00+00:00,80.45,81.79,80.16,81.69,1171384.0,10426.0,80.991424
MKC,2016-01-25 05:00:00+00:00,81.66,81.855,80.56,80.94,899822.0,9577.0,80.962246
MKC,2016-01-26 05:00:00+00:00,81.05,82.91,81.05,82.77,850175.0,8740.0,82.455565
MKC,2016-01-27 05:00:00+00:00,82.78,83.0,81.875,82.19,1109867.0,11665.0,82.333002
MKC,2016-01-28 05:00:00+00:00,82.75,86.4,82.45,85.41,1816002.0,16386.0,85.213027
MKC,2016-01-29 05:00:00+00:00,86.12,88.81,86.11,87.97,2518933.0,19419.0,87.848232
MKC,2016-02-01 05:00:00+00:00,87.84,88.74,87.29,88.17,1087524.0,10987.0,88.304976
MKC,2016-02-02 05:00:00+00:00,88.11,88.6799,87.32,87.69,1030496.0,11927.0,87.979738
MKC,2016-02-03 05:00:00+00:00,87.89,88.39,85.95,86.98,879658.0,10178.0,86.962634
MKC,2016-02-04 05:00:00+00:00,86.9,87.4,85.275,85.83,888050.0,11258.0,86.170965
MKC,2016-02-05 05:00:00+00:00,85.92,86.67,85.2,85.89,883515.0,9304.0,85.932429
