symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MMC,2016-01-04 05:00:00+00:00,54.48,54.57,53.79,54.32,3252491.0,20600.0,54.126326
MMC,2016-01-05 05:00:00+00:00,54.26,55.03,54.16,54.77,2488845.0,18252.0,54.677156
MMC,2016-01-06 05:00:00+00:00,53.97,54.66,53.7,54.11,2732006.0,18217.0,54.069108
MMC,2016-01-07 05:00:00+00:00,53.13,53.83,53.04,53.7,5250051.0,32767.0,53.624878
MMC,2016-01-08 05:00:00+00:00,53.81,53.96,52.89,52.95,3457266.0,23633.0,53.363023
MMC,2016-01-11 05:00:00+00:00,52.44,53.16,51.77,52.18,4035512.0,30190.0,52.255005
MMC,2016-01-12 05:00:00+00:00,52.54,52.74,51.86,52.67,3369928.0,22549.0,52.342978
MMC,2016-01-13 05:00:00+00:00,53.49,53.56,52.08,52.23,2837755.0,22645.0,52.750489
MMC,2016-01-14 05:00:00+00:00,52.4,54.02,52.21,53.57,3449063.0,25493.0,53.422801
MMC,2016-01-15 05:00:00+00:00,52.01,53.04,51.84,52.21,4707868.0,31534.0,52.284731
MMC,2016-01-19 05:00:00+00:00,52.76,52.83,51.865,52.15,2881839.0,21606.0,52.295546
MMC,2016-01-20 05:00:00+00:00,51.02,52.07,50.81,51.54,3197675.0,25394.0,51.442109
MMC,2016-01-21 05:00:00+00:00,51.66,51.78,50.99,51.29,2801456.0,22198.0,51.334776
MMC,2016-01-22 05:00:00+00:00,52.03,52.48,51.86,52.29,1812728.0,12588.0,52.201477
MMC,2016-01-25 05:00:00+00:00,52.27,52.3,51.54,51.57,2385915.0,17453.0,51.799349
MMC,2016-01-26 05:00:00+00:00,51.87,52.33,51.76,51.93,1587956.0,10993.0,52.011622
MMC,2016-01-27 05:00:00+00:00,51.9,52.43,51.32,51.62,2272922.0,16734.0,51.815276
MMC,2016-01-28 05:00:00+00:00,51.94,52.06,51.45,51.8,2048950.0,14953.0,51.800674
MMC,2016-01-29 05:00:00+00:00,52.21,53.37,52.08,53.33,3028623.0,15081.0,53.081302
MMC,2016-02-01 05:00:00+00:00,53.21,53.48,52.82,53.27,1836448.0,13419.0,53.198878
MMC,2016-02-02 05:00:00+00:00,52.63,52.65,52.11,52.35,2173011.0,15072.0,52.370323
MMC,2016-02-03 05:00:00+00:00,52.58,52.91,51.25,52.84,3120969.0,25811.0,52.27497
MMC,2016-02-04 05:00:00+00:00,53.34,54.66,52.95,54.17,4538014.0,26186.0,53.965366
MMC,2016-02-05 05:00:00+00:00,54.17,54.73,54.11,54.65,4123554.0,24171.0,54.44439
MMC,2016-02-08 05:00:00+00:00,53.98,55.33,53.97,55.0,3773680.0,27220.0,54.730802
