symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MOS,2016-01-04 05:00:00+00:00,27.31,28.43,27.22,28.42,7834437.0,46594.0,27.972833
MOS,2016-01-05 05:00:00+00:00,28.65,28.67,27.87,28.3,5356842.0,33300.0,28.196744
MOS,2016-01-06 05:00:00+00:00,27.83,27.85,26.265,26.44,6304004.0,36803.0,26.687485
MOS,2016-01-07 05:00:00+00:00,26.02,26.34,25.34,25.53,5812450.0,38177.0,25.795347
MOS,2016-01-08 05:00:00+00:00,25.5,25.6,24.77,24.91,5719684.0,35500.0,25.025714
MOS,2016-01-11 05:00:00+00:00,25.0,25.07,23.52,23.8,8288249.0,45557.0,23.891089
MOS,2016-01-12 05:00:00+00:00,24.3,24.765,23.65,24.56,9631443.0,47812.0,24.321479
MOS,2016-01-13 05:00:00+00:00,24.75,25.1699,24.03,24.14,6867601.0,37763.0,24.349503
MOS,2016-01-14 05:00:00+00:00,24.08,25.38,23.76,25.06,7830842.0,44178.0,24.861865
MOS,2016-01-15 05:00:00+00:00,24.44,25.675,24.23,25.47,9968990.0,58355.0,25.088263
MOS,2016-01-19 05:00:00+00:00,25.76,25.95,24.2507,24.83,8182438.0,51553.0,24.959845
MOS,2016-01-20 05:00:00+00:00,24.37,24.4,22.689,23.93,9097860.0,62965.0,23.44645
MOS,2016-01-21 05:00:00+00:00,24.11,24.97,23.79,24.62,6127608.0,43855.0,24.603041
MOS,2016-01-22 05:00:00+00:00,25.25,26.23,23.365,23.85,9541505.0,58657.0,24.107934
MOS,2016-01-25 05:00:00+00:00,23.22,23.22,22.16,22.4,8030044.0,52092.0,22.539321
MOS,2016-01-26 05:00:00+00:00,22.43,23.09,22.4,22.85,5223676.0,32437.0,22.81913
MOS,2016-01-27 05:00:00+00:00,22.81,23.2,22.16,22.57,6048786.0,38478.0,22.633266
MOS,2016-01-28 05:00:00+00:00,22.49,23.18,22.05,23.0,5625684.0,36398.0,22.751224
MOS,2016-01-29 05:00:00+00:00,23.45,24.1,22.79,24.1,9097936.0,37650.0,23.780761
MOS,2016-02-01 05:00:00+00:00,23.95,24.07,23.015,23.92,6066833.0,36041.0,23.74243
MOS,2016-02-02 05:00:00+00:00,23.63,23.63,22.02,22.1,6601650.0,38900.0,22.351959
MOS,2016-02-03 05:00:00+00:00,22.43,23.94,22.43,23.93,6015269.0,42880.0,23.398978
MOS,2016-02-04 05:00:00+00:00,23.96,25.37,23.96,24.8,8753687.0,60257.0,24.67076
MOS,2016-02-05 05:00:00+00:00,24.66,25.46,24.21,24.86,4827902.0,34797.0,24.797315
MOS,2016-02-08 05:00:00+00:00,24.5,24.59,23.06,23.58,6294534.0,43073.0,23.591902
MOS,2016-02-09 05:00:00+00:00,23.09,24.06,22.58,23.86,6541027.0,43923.0,23.379679
MOS,2016-02-10 05:00:00+00:00,24.19,24.5,23.34,23.42,5249146.0,38957.0,23.699918
MOS,2016-02-11 05:00:00+00:00,23.17,25.77,22.37,24.75,11610006.0,70558.0,24.700604
MOS,2016-02-12 05:00:00+00:00,24.68,24.91,22.51,22.91,12649736.0,71840.0,23.083188
MOS,2016-02-16 05:00:00+00:00,22.82,23.62,22.2,23.54,8103186.0,47540.0,23.27179
MOS,2016-02-17 05:00:00+00:00,23.79,25.51,23.68,25.3,7725978.0,48682.0,24.999544
MOS,2016-02-18 05:00:00+00:00,25.43,25.89,24.755,25.72,6497399.0,43201.0,25.503097
MOS,2016-02-19 05:00:00+00:00,25.59,25.6,24.1,24.4,7276737.0,40682.0,24.516502
MOS,2016-02-22 05:00:00+00:00,24.69,25.22,24.67,25.16,3892574.0,24178.0,25.044762
MOS,2016-02-23 05:00:00+00:00,25.06,25.069,24.12,24.38,5190010.0,33842.0,24.448753
MOS,2016-02-24 05:00:00+00:00,24.08,25.075,23.1077,24.97,6761936.0,45496.0,24.20055
MOS,2016-02-25 05:00:00+00:00,24.95,25.675,24.5,25.42,4818477.0,31620.0,25.14993
MOS,2016-02-26 05:00:00+00:00,25.73,27.07,25.62,26.82,8434409.0,51513.0,26.587503
MOS,2016-02-29 05:00:00+00:00,26.6,27.2,26.33,26.65,8090752.0,50680.0,26.762774
MOS,2016-03-01 05:00:00+00:00,26.56,27.35,26.48,27.1,6305968.0,38357.0,26.96301
MOS,2016-03-02 05:00:00+00:00,26.69,28.42,26.63,28.15,6853199.0,47747.0,27.920104
MOS,2016-03-03 05:00:00+00:00,28.19,28.615,27.89,28.49,4618576.0,32328.0,28.345187
MOS,2016-03-04 05:00:00+00:00,28.56,29.82,28.5,29.61,9499186.0,60837.0,29.434806
MOS,2016-03-07 05:00:00+00:00,29.65,31.1,29.59,30.37,9960400.0,57666.0,30.483018
MOS,2016-03-08 05:00:00+00:00,30.04,30.37,29.095,29.13,6375177.0,40985.0,29.404672
MOS,2016-03-09 05:00:00+00:00,29.35,30.16,29.04,30.13,6090606.0,38076.0,29.82671
MOS,2016-03-10 05:00:00+00:00,30.19,30.35,28.92,29.46,7015572.0,53293.0,29.390236
MOS,2016-03-11 05:00:00+00:00,29.5,29.8,28.5,28.7,8133594.0,51983.0,28.985871
MOS,2016-03-14 04:00:00+00:00,28.6,29.905,28.32,29.46,5430264.0,41852.0,29.441094
MOS,2016-03-15 04:00:00+00:00,29.03,29.19,28.27,28.54,4729316.0,33592.0,28.626047
MOS,2016-03-16 04:00:00+00:00,28.08,29.23,28.04,29.1,4889378.0,34865.0,28.872008
MOS,2016-03-17 04:00:00+00:00,29.51,30.25,29.29,29.87,5772897.0,43523.0,29.898961
MOS,2016-03-18 04:00:00+00:00,30.07,30.3,29.34,29.72,23062893.0,43563.0,29.717586
MOS,2016-03-21 04:00:00+00:00,29.52,30.21,29.505,29.72,3784052.0,23491.0,29.718386
MOS,2016-03-22 04:00:00+00:00,29.57,29.7,28.92,29.15,4171171.0,25634.0,29.285019
MOS,2016-03-23 04:00:00+00:00,28.7,28.83,27.89,28.02,5874597.0,35782.0,28.157393
MOS,2016-03-24 04:00:00+00:00,27.75,27.75,26.8635,27.26,6692152.0,38458.0,27.159416
MOS,2016-03-28 04:00:00+00:00,27.51,28.06,26.82,27.96,4916251.0,32395.0,27.689191
MOS,2016-03-29 04:00:00+00:00,27.64,28.055,26.95,27.97,4221616.0,28093.0,27.594854
