symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MTCH,2016-01-04 05:00:00+00:00,13.43,13.49,13.04,13.36,1778784.0,8780.0,13.239644
MTCH,2016-01-05 05:00:00+00:00,13.44,13.98,13.36,13.67,1317591.0,5965.0,13.632695
MTCH,2016-01-06 05:00:00+00:00,13.6,14.25,13.58,13.92,1703040.0,7826.0,13.955633
MTCH,2016-01-07 05:00:00+00:00,13.62,13.911,13.16,13.51,1223626.0,7027.0,13.468085
MTCH,2016-01-08 05:00:00+00:00,13.55,13.85,13.55,13.59,520248.0,2704.0,13.701706
MTCH,2016-01-11 05:00:00+00:00,13.6,14.13,13.49,13.73,608472.0,3370.0,13.659333
MTCH,2016-01-12 05:00:00+00:00,13.84,14.14,13.25,13.56,853088.0,4472.0,13.562918
MTCH,2016-01-13 05:00:00+00:00,13.78,13.83,13.0,13.295,1000291.0,5159.0,13.279906
MTCH,2016-01-14 05:00:00+00:00,13.49,13.6,12.75,13.06,1813782.0,7343.0,13.033571
MTCH,2016-01-15 05:00:00+00:00,12.75,13.09,12.13,12.96,1597065.0,6877.0,12.608682
MTCH,2016-01-19 05:00:00+00:00,13.0,13.33,12.11,12.51,1466502.0,8208.0,12.463941
MTCH,2016-01-20 05:00:00+00:00,12.21,12.25,11.45,11.95,1535482.0,7267.0,11.88279
MTCH,2016-01-21 05:00:00+00:00,12.06,12.2499,11.64,11.94,607968.0,4765.0,11.938604
MTCH,2016-01-22 05:00:00+00:00,12.46,12.46,11.88,12.22,1144198.0,6367.0,12.116345
MTCH,2016-01-25 05:00:00+00:00,12.57,12.77,11.83,11.97,565621.0,3766.0,12.036175
MTCH,2016-01-26 05:00:00+00:00,11.99,12.47,11.81,12.14,502482.0,3578.0,12.112901
MTCH,2016-01-27 05:00:00+00:00,12.27,12.5,11.83,11.96,476090.0,3315.0,12.067402
MTCH,2016-01-28 05:00:00+00:00,11.87,12.61,11.5,12.47,1073079.0,5644.0,11.95076
MTCH,2016-01-29 05:00:00+00:00,12.28,12.69,12.11,12.55,980388.0,4409.0,12.433175
MTCH,2016-02-01 05:00:00+00:00,12.11,12.95,12.03,12.79,1112867.0,6727.0,12.394806
MTCH,2016-02-02 05:00:00+00:00,12.72,12.825,12.0,12.19,2025121.0,12341.0,12.197043
MTCH,2016-02-03 05:00:00+00:00,9.98,10.82,9.17,10.66,6657422.0,20679.0,10.330918
MTCH,2016-02-04 05:00:00+00:00,10.22,10.55,8.75,9.76,5544149.0,32100.0,9.42843
MTCH,2016-02-05 05:00:00+00:00,9.78,9.99,9.29,9.3,1451659.0,8288.0,9.594146
MTCH,2016-02-08 05:00:00+00:00,9.03,9.75,9.0,9.19,914585.0,4872.0,9.317766
MTCH,2016-02-09 05:00:00+00:00,9.0,9.26,8.41,9.12,1889089.0,9208.0,9.025822
MTCH,2016-02-10 05:00:00+00:00,9.1,9.47,8.84,9.4,667620.0,3307.0,9.318689
MTCH,2016-02-11 05:00:00+00:00,9.21,9.95,9.0501,9.7,1266248.0,4562.0,9.446716
MTCH,2016-02-12 05:00:00+00:00,9.6,10.0,9.44,9.82,1082239.0,4076.0,9.772062
MTCH,2016-02-16 05:00:00+00:00,10.11,10.5,9.85,10.19,1063180.0,5953.0,10.144353
MTCH,2016-02-17 05:00:00+00:00,10.18,10.71,10.06,10.11,1281017.0,8069.0,10.411349
MTCH,2016-02-18 05:00:00+00:00,10.18,10.77,9.93,10.44,979873.0,7520.0,10.413619
MTCH,2016-02-19 05:00:00+00:00,10.42,10.62,10.17,10.5,696737.0,4182.0,10.439171
MTCH,2016-02-22 05:00:00+00:00,10.49,10.73,10.38,10.47,782756.0,4197.0,10.466336
MTCH,2016-02-23 05:00:00+00:00,10.26,10.69,10.26,10.35,774842.0,3409.0,10.415529
MTCH,2016-02-24 05:00:00+00:00,10.49,10.65,10.115,10.58,570980.0,3936.0,10.509526
MTCH,2016-02-25 05:00:00+00:00,10.63,10.75,10.51,10.64,381245.0,2699.0,10.623159
MTCH,2016-02-26 05:00:00+00:00,10.65,10.7,10.5,10.61,415108.0,2436.0,10.62174
MTCH,2016-02-29 05:00:00+00:00,10.74,11.07,10.56,10.89,1053830.0,6021.0,10.842328
MTCH,2016-03-01 05:00:00+00:00,11.06,11.66,10.81,11.39,1105831.0,7540.0,11.276125
MTCH,2016-03-02 05:00:00+00:00,11.63,11.97,11.39,11.74,947210.0,6630.0,11.646862
MTCH,2016-03-03 05:00:00+00:00,11.81,12.3,11.72,11.97,1118092.0,6173.0,12.009193
MTCH,2016-03-04 05:00:00+00:00,12.15,12.18,11.49,11.52,633172.0,5076.0,11.779381
MTCH,2016-03-07 05:00:00+00:00,11.55,12.0,11.5,12.0,975972.0,7112.0,11.855658
MTCH,2016-03-08 05:00:00+00:00,11.93,12.05,11.38,11.53,874928.0,6959.0,11.625803
MTCH,2016-03-09 05:00:00+00:00,11.58,11.72,10.81,11.45,835043.0,6415.0,11.337544
MTCH,2016-03-10 05:00:00+00:00,11.54,11.71,11.185,11.29,418542.0,3563.0,11.358756
MTCH,2016-03-11 05:00:00+00:00,11.43,11.62,11.21,11.43,564037.0,5075.0,11.361785
MTCH,2016-03-14 04:00:00+00:00,11.45,11.68,11.18,11.24,1065080.0,9626.0,11.383011
MTCH,2016-03-15 04:00:00+00:00,11.14,11.31,10.7401,11.16,650094.0,5613.0,11.110657
MTCH,2016-03-16 04:00:00+00:00,11.12,11.38,10.92,11.34,659613.0,6065.0,11.24564
MTCH,2016-03-17 04:00:00+00:00,11.33,11.48,11.01,11.2,1151770.0,9437.0,11.216025
MTCH,2016-03-18 04:00:00+00:00,11.29,11.4,10.48,10.66,5603780.0,9023.0,10.691468
MTCH,2016-03-21 04:00:00+00:00,10.69,10.92,10.537,10.9,783591.0,5825.0,10.792836
MTCH,2016-03-22 04:00:00+00:00,10.82,11.07,10.57,10.94,569750.0,4407.0,10.876715
MTCH,2016-03-23 04:00:00+00:00,10.9,11.0,10.56,10.72,458678.0,4066.0,10.728059
MTCH,2016-03-24 04:00:00+00:00,10.76,11.15,10.64,11.03,926247.0,6670.0,10.988
MTCH,2016-03-28 04:00:00+00:00,11.13,11.18,10.75,10.87,556633.0,3928.0,10.890964
MTCH,2016-03-29 04:00:00+00:00,10.82,10.93,10.58,10.86,425788.0,3773.0,10.835029
MTCH,2016-03-30 04:00:00+00:00,11.0,11.22,10.81,10.93,762467.0,5494.0,10.962792
MTCH,2016-03-31 04:00:00+00:00,10.94,11.38,10.81,11.06,726794.0,4601.0,11.104758
MTCH,2016-04-01 04:00:00+00:00,11.02,11.64,10.84,11.58,1660413.0,8045.0,11.337794
MTCH,2016-04-04 04:00:00+00:00,11.52,11.7,11.06,11.35,1015915.0,7970.0,11.315245
MTCH,2016-04-05 04:00:00+00:00,11.29,11.33,11.04,11.16,1346354.0,9274.0,11.144593
MTCH,2016-04-06 04:00:00+00:00,11.2,11.44,11.0832,11.39,818886.0,7491.0,11.259108
MTCH,2016-04-07 04:00:00+00:00,11.35,11.38,10.91,10.97,991457.0,6491.0,11.073757
