symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NEE,2016-01-04 05:00:00+00:00,102.87,103.65,102.34,103.57,2151934.0,20636.0,103.098639
NEE,2016-01-05 05:00:00+00:00,103.6,104.935,102.2,104.58,2375784.0,22535.0,104.00016
NEE,2016-01-06 05:00:00+00:00,103.81,104.67,103.5,104.24,1839070.0,18564.0,104.171678
NEE,2016-01-07 05:00:00+00:00,103.03,105.06,103.03,104.7,3391891.0,27716.0,104.47422
NEE,2016-01-08 05:00:00+00:00,104.87,105.9,104.75,105.17,3822790.0,26186.0,105.211752
NEE,2016-01-11 05:00:00+00:00,105.44,106.6,105.11,105.58,4910819.0,28395.0,105.750145
NEE,2016-01-12 05:00:00+00:00,105.71,106.08,104.34,105.38,2335045.0,19910.0,105.177147
NEE,2016-01-13 05:00:00+00:00,105.68,105.89,103.74,104.62,2682215.0,24703.0,104.759218
NEE,2016-01-14 05:00:00+00:00,105.0,106.77,104.375,105.69,2703249.0,23258.0,105.671568
NEE,2016-01-15 05:00:00+00:00,105.44,105.89,104.08,105.26,4350697.0,32189.0,104.927314
NEE,2016-01-19 05:00:00+00:00,105.46,108.24,105.13,107.81,4391820.0,30726.0,107.206754
NEE,2016-01-20 05:00:00+00:00,107.54,107.54,103.35,105.31,3594791.0,30820.0,105.259597
NEE,2016-01-21 05:00:00+00:00,105.43,105.78,103.86,105.04,2350521.0,23361.0,104.881586
NEE,2016-01-22 05:00:00+00:00,105.8,106.68,105.01,106.6,2546238.0,22160.0,106.096522
NEE,2016-01-25 05:00:00+00:00,106.72,107.025,105.47,106.42,2228511.0,19949.0,106.424721
NEE,2016-01-26 05:00:00+00:00,106.42,107.73,105.86,106.56,3279714.0,24804.0,106.511126
NEE,2016-01-27 05:00:00+00:00,106.88,107.8,106.21,106.73,2851087.0,25096.0,106.980594
NEE,2016-01-28 05:00:00+00:00,105.755,108.77,105.53,108.3,3818915.0,29544.0,107.812843
NEE,2016-01-29 05:00:00+00:00,109.39,111.86,108.8,111.71,7943008.0,39096.0,111.255937
NEE,2016-02-01 05:00:00+00:00,111.23,113.44,110.79,112.98,3918460.0,35354.0,112.571111
NEE,2016-02-02 05:00:00+00:00,112.05,114.07,112.0,113.91,2813234.0,24791.0,113.344985
NEE,2016-02-03 05:00:00+00:00,114.18,115.51,113.68,114.75,3603534.0,36964.0,114.638332
NEE,2016-02-04 05:00:00+00:00,113.92,114.96,112.5501,113.52,3099614.0,33497.0,113.442173
NEE,2016-02-05 05:00:00+00:00,113.3,114.135,112.22,113.61,2908669.0,29933.0,113.221528
NEE,2016-02-08 05:00:00+00:00,113.64,114.61,112.795,114.17,2723957.0,26907.0,113.648493
NEE,2016-02-09 05:00:00+00:00,114.01,115.95,113.65,115.35,3585306.0,34290.0,115.298616
NEE,2016-02-10 05:00:00+00:00,112.62,114.12,111.41,113.74,3638567.0,31073.0,113.085148
NEE,2016-02-11 05:00:00+00:00,113.03,113.9599,111.88,111.9,3824800.0,27893.0,112.235087
NEE,2016-02-12 05:00:00+00:00,112.12,112.33,110.6,111.67,3059727.0,23420.0,111.393876
NEE,2016-02-16 05:00:00+00:00,112.45,112.96,111.21,112.35,2589905.0,19301.0,112.260454
NEE,2016-02-17 05:00:00+00:00,112.26,112.27,111.265,111.43,2874984.0,21415.0,111.619214
NEE,2016-02-18 05:00:00+00:00,111.84,114.78,111.69,114.33,3497773.0,30630.0,113.98047
NEE,2016-02-19 05:00:00+00:00,114.5,115.45,113.6,114.75,3941316.0,26384.0,114.76757
NEE,2016-02-22 05:00:00+00:00,115.1,116.53,114.75,115.7,2744404.0,22593.0,115.615805
NEE,2016-02-23 05:00:00+00:00,115.33,116.54,114.85,116.12,2484661.0,21475.0,116.026493
NEE,2016-02-24 05:00:00+00:00,114.66,116.11,114.46,116.0,3633170.0,25346.0,115.476595
NEE,2016-02-25 05:00:00+00:00,115.84,116.98,115.12,115.84,2391415.0,18610.0,115.795091
NEE,2016-02-26 05:00:00+00:00,115.3,115.81,112.19,112.52,2607146.0,27290.0,112.999313
NEE,2016-02-29 05:00:00+00:00,112.37,113.94,112.05,112.82,3071556.0,19856.0,113.055219
NEE,2016-03-01 05:00:00+00:00,113.43,113.718,111.96,112.6,2679423.0,23543.0,112.62034
NEE,2016-03-02 05:00:00+00:00,112.0,112.86,109.34,112.36,2872106.0,28285.0,111.601545
NEE,2016-03-03 05:00:00+00:00,112.32,112.54,109.96,111.62,3750429.0,31360.0,111.269123
NEE,2016-03-04 05:00:00+00:00,111.21,114.54,110.65,114.29,3065319.0,27330.0,113.509383
NEE,2016-03-07 05:00:00+00:00,114.25,114.73,113.485,114.45,2258867.0,22365.0,114.30514
NEE,2016-03-08 05:00:00+00:00,114.5,115.7,114.17,115.45,2322956.0,20088.0,115.285442
NEE,2016-03-09 05:00:00+00:00,115.34,116.41,115.34,116.26,2302983.0,17457.0,116.127175
NEE,2016-03-10 05:00:00+00:00,116.9,116.97,114.53,115.69,1707289.0,17510.0,115.6441
NEE,2016-03-11 05:00:00+00:00,116.28,116.38,115.37,115.82,1712793.0,16122.0,115.812092
NEE,2016-03-14 04:00:00+00:00,116.23,116.77,115.28,115.84,1616522.0,16988.0,115.840909
NEE,2016-03-15 04:00:00+00:00,115.85,116.6699,115.295,115.6,2659049.0,22648.0,115.679367
NEE,2016-03-16 04:00:00+00:00,115.54,117.521,114.441,117.12,2006404.0,24345.0,116.336831
NEE,2016-03-17 04:00:00+00:00,117.18,118.55,116.51,118.33,2247897.0,18625.0,118.079602
NEE,2016-03-18 04:00:00+00:00,118.74,118.88,117.57,118.5,7874444.0,25785.0,118.465443
NEE,2016-03-21 04:00:00+00:00,117.88,118.39,116.61,117.57,1757112.0,15732.0,117.563031
NEE,2016-03-22 04:00:00+00:00,117.41,118.16,116.72,117.04,1663973.0,14817.0,117.27994
NEE,2016-03-23 04:00:00+00:00,117.04,118.1,116.42,117.69,1822126.0,16101.0,117.516133
NEE,2016-03-24 04:00:00+00:00,117.49,118.62,117.28,118.48,2934842.0,21055.0,118.281163
NEE,2016-03-28 04:00:00+00:00,118.35,118.9,117.36,117.58,1615974.0,17058.0,117.701423
NEE,2016-03-29 04:00:00+00:00,117.95,119.13,117.18,119.01,1573040.0,14029.0,118.417407
