symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NEM,2016-01-04 05:00:00+00:00,18.44,18.75,18.16,18.44,7086844.0,37492.0,18.438271
NEM,2016-01-05 05:00:00+00:00,18.5,18.57,18.13,18.42,5532386.0,32575.0,18.338458
NEM,2016-01-06 05:00:00+00:00,18.7,19.05,18.53,18.56,6636549.0,34675.0,18.711577
NEM,2016-01-07 05:00:00+00:00,18.8,19.11,18.22,18.86,13022248.0,62360.0,18.656247
NEM,2016-01-08 05:00:00+00:00,18.51,18.78,17.9,18.01,9639574.0,43247.0,18.235517
NEM,2016-01-11 05:00:00+00:00,18.08,18.24,16.655,17.01,8964356.0,47534.0,17.140513
NEM,2016-01-12 05:00:00+00:00,17.12,17.18,16.38,17.01,14887050.0,69490.0,16.773277
NEM,2016-01-13 05:00:00+00:00,17.07,17.61,17.04,17.48,8453549.0,47043.0,17.396607
NEM,2016-01-14 05:00:00+00:00,17.17,17.6,16.93,17.27,8204061.0,42695.0,17.247806
NEM,2016-01-15 05:00:00+00:00,17.65,17.8699,17.45,17.7,11188492.0,51326.0,17.653706
NEM,2016-01-19 05:00:00+00:00,17.81,17.85,16.06,16.31,12413857.0,57696.0,16.532202
NEM,2016-01-20 05:00:00+00:00,16.61,16.72,16.08,16.56,10520832.0,56123.0,16.427401
NEM,2016-01-21 05:00:00+00:00,16.47,16.77,16.05,16.69,7176320.0,35765.0,16.486325
NEM,2016-01-22 05:00:00+00:00,16.43,16.93,16.27,16.68,5980588.0,34167.0,16.615931
NEM,2016-01-25 05:00:00+00:00,16.94,17.799,16.87,17.67,10878834.0,48500.0,17.464406
NEM,2016-01-26 05:00:00+00:00,17.84,18.8,17.76,18.5,9469170.0,50178.0,18.473848
NEM,2016-01-27 05:00:00+00:00,18.54,19.48,18.1842,19.44,15239238.0,72906.0,19.155714
NEM,2016-01-28 05:00:00+00:00,19.25,19.75,18.72,19.53,10461108.0,60661.0,19.405952
NEM,2016-01-29 05:00:00+00:00,19.41,20.07,19.32,19.96,9892599.0,47661.0,19.844552
NEM,2016-02-01 05:00:00+00:00,20.03,20.645,20.02,20.55,9597361.0,48353.0,20.426469
NEM,2016-02-02 05:00:00+00:00,20.25,20.41,19.6,20.07,7123584.0,36775.0,19.999551
NEM,2016-02-03 05:00:00+00:00,20.31,22.395,20.3,22.34,16761711.0,90689.0,21.683749
NEM,2016-02-04 05:00:00+00:00,22.89,24.15,22.78,23.38,20883218.0,105635.0,23.571768
NEM,2016-02-05 05:00:00+00:00,22.61,24.5,22.31,24.41,17423093.0,89613.0,23.586406
NEM,2016-02-08 05:00:00+00:00,25.02,25.94,24.89,25.19,21564328.0,129174.0,25.318525
NEM,2016-02-09 05:00:00+00:00,25.56,26.015,23.96,24.3,26223990.0,135817.0,25.037889
NEM,2016-02-10 05:00:00+00:00,23.81,24.38,22.7,24.31,17168498.0,100265.0,23.551319
NEM,2016-02-11 05:00:00+00:00,26.0,26.1,24.82,25.04,20980493.0,115640.0,25.257426
NEM,2016-02-12 05:00:00+00:00,24.8,25.95,24.56,25.78,13933133.0,81789.0,25.513928
NEM,2016-02-16 05:00:00+00:00,24.67,25.45,24.35,24.56,15261799.0,79031.0,24.757994
NEM,2016-02-17 05:00:00+00:00,24.79,25.15,24.1,24.84,11915574.0,71787.0,24.727845
NEM,2016-02-18 05:00:00+00:00,24.21,25.33,23.12,25.07,15138952.0,89711.0,24.496135
NEM,2016-02-19 05:00:00+00:00,24.92,25.6,24.73,24.84,9768359.0,49049.0,24.989892
NEM,2016-02-22 05:00:00+00:00,24.08,25.49,24.08,25.12,11976548.0,57801.0,25.067793
NEM,2016-02-23 05:00:00+00:00,25.5,25.85,25.08,25.39,7909881.0,45928.0,25.430301
NEM,2016-02-24 05:00:00+00:00,25.93,26.4,25.29,25.58,13940166.0,67780.0,25.888841
NEM,2016-02-25 05:00:00+00:00,25.31,25.945,25.03,25.85,10996776.0,53627.0,25.637873
NEM,2016-02-26 05:00:00+00:00,25.11,26.245,25.11,25.35,12135471.0,67235.0,25.550173
NEM,2016-02-29 05:00:00+00:00,25.71,26.385,25.635,25.83,12350563.0,55708.0,25.958794
NEM,2016-03-01 05:00:00+00:00,26.28,26.46,25.0789,25.39,11700497.0,59753.0,25.476294
NEM,2016-03-02 05:00:00+00:00,25.51,26.41,25.31,26.24,7295155.0,43172.0,26.075488
NEM,2016-03-03 05:00:00+00:00,26.26,27.13,26.16,26.82,9359659.0,50030.0,26.790879
NEM,2016-03-04 05:00:00+00:00,27.03,27.98,26.07,26.11,13825968.0,74020.0,26.838834
NEM,2016-03-07 05:00:00+00:00,26.48,27.0931,26.02,26.53,9530134.0,58150.0,26.555475
NEM,2016-03-08 05:00:00+00:00,26.79,26.94,25.37,25.89,8500784.0,57625.0,25.85296
NEM,2016-03-09 05:00:00+00:00,25.4,26.27,24.88,26.14,11119462.0,57024.0,25.879108
NEM,2016-03-10 05:00:00+00:00,26.15,27.62,25.99,27.35,12490926.0,67126.0,27.018601
NEM,2016-03-11 05:00:00+00:00,27.15,27.49,26.38,26.68,10114013.0,54870.0,26.841105
NEM,2016-03-14 04:00:00+00:00,26.88,27.13,26.08,26.13,6932998.0,42734.0,26.361946
NEM,2016-03-15 04:00:00+00:00,25.87,26.48,25.84,26.37,6957856.0,43034.0,26.239449
NEM,2016-03-16 04:00:00+00:00,26.2,27.65,25.465,27.55,15100367.0,84825.0,26.526144
NEM,2016-03-17 04:00:00+00:00,27.84,28.3935,27.405,27.46,10479999.0,60559.0,27.852597
NEM,2016-03-18 04:00:00+00:00,27.46,28.28,27.42,27.79,15233529.0,57218.0,27.867816
NEM,2016-03-21 04:00:00+00:00,27.62,28.09,27.4,27.79,6458980.0,35953.0,27.766391
NEM,2016-03-22 04:00:00+00:00,28.14,28.2905,27.08,27.39,6380690.0,37569.0,27.531546
NEM,2016-03-23 04:00:00+00:00,26.55,26.56,24.96,24.98,13928774.0,73500.0,25.388768
NEM,2016-03-24 04:00:00+00:00,25.14,25.49,24.59,25.4,10434152.0,46601.0,25.196821
NEM,2016-03-28 04:00:00+00:00,25.69,25.77,25.325,25.7,4981539.0,30644.0,25.580258
NEM,2016-03-29 04:00:00+00:00,25.78,27.03,25.51,26.95,9009373.0,48732.0,26.408485
NEM,2016-03-30 04:00:00+00:00,26.73,26.9,26.19,26.75,8857895.0,55182.0,26.600484
NEM,2016-03-31 04:00:00+00:00,26.97,27.1,26.42,26.58,5779521.0,31408.0,26.644643
NEM,2016-04-01 04:00:00+00:00,26.0,26.66,25.63,26.62,6782730.0,44801.0,26.166095
NEM,2016-04-04 04:00:00+00:00,26.6,26.61,26.12,26.3,4409861.0,26588.0,26.315553
NEM,2016-04-05 04:00:00+00:00,26.83,27.33,26.495,27.3,6800452.0,35482.0,27.100632
NEM,2016-04-06 04:00:00+00:00,27.01,27.75,27.0,27.74,5655376.0,36518.0,27.481927
NEM,2016-04-07 04:00:00+00:00,28.12,28.55,27.93,27.96,9459992.0,45135.0,28.167884
NEM,2016-04-08 04:00:00+00:00,28.12,29.36,28.11,29.1,8554145.0,48204.0,28.967129
NEM,2016-04-11 04:00:00+00:00,29.56,31.15,29.35,31.11,13080070.0,62888.0,30.606768
NEM,2016-04-12 04:00:00+00:00,31.23,31.25,30.0,30.63,10137044.0,56494.0,30.689715
NEM,2016-04-13 04:00:00+00:00,30.41,30.47,29.35,29.48,10334873.0,58249.0,29.731437
NEM,2016-04-14 04:00:00+00:00,29.52,29.64,28.255,28.68,9190004.0,51238.0,28.754241
NEM,2016-04-15 04:00:00+00:00,28.91,29.47,28.51,29.37,7414488.0,40198.0,29.194253
NEM,2016-04-18 04:00:00+00:00,29.28,29.53,28.8099,29.46,6343844.0,39576.0,29.265932
NEM,2016-04-19 04:00:00+00:00,30.28,31.11,30.09,30.91,8971602.0,52550.0,30.770212
NEM,2016-04-20 04:00:00+00:00,30.77,31.75,30.22,30.45,10798453.0,58237.0,30.968715
NEM,2016-04-21 04:00:00+00:00,30.96,32.58,30.96,32.19,13294651.0,69780.0,31.884526
NEM,2016-04-22 04:00:00+00:00,31.85,32.3499,30.67,31.23,8496730.0,46189.0,31.31827
NEM,2016-04-25 04:00:00+00:00,31.34,31.59,30.85,31.11,5966372.0,38171.0,31.166499
NEM,2016-04-26 04:00:00+00:00,31.68,32.1031,31.19,31.97,8236580.0,40234.0,31.80694
NEM,2016-04-27 04:00:00+00:00,32.12,32.335,31.25,32.1,9143199.0,50493.0,32.037213
NEM,2016-04-28 04:00:00+00:00,32.18,33.6,32.17,32.99,8971756.0,52659.0,32.915408
NEM,2016-04-29 04:00:00+00:00,33.32,34.99,33.31,34.97,12436396.0,65408.0,34.390811
NEM,2016-05-02 04:00:00+00:00,35.06,35.2,33.93,34.34,8969740.0,52808.0,34.392047
NEM,2016-05-03 04:00:00+00:00,34.5,34.5924,33.39,33.83,7794849.0,52709.0,33.868365
NEM,2016-05-04 04:00:00+00:00,33.38,33.84,32.04,32.35,8207079.0,50446.0,32.6347
NEM,2016-05-05 04:00:00+00:00,32.75,33.3,32.37,32.86,6352988.0,41383.0,32.800191
NEM,2016-05-06 04:00:00+00:00,33.27,34.62,33.27,34.13,7507731.0,47172.0,34.142422
NEM,2016-05-09 04:00:00+00:00,32.88,32.89,31.8,31.83,9449574.0,60064.0,32.057497
NEM,2016-05-10 04:00:00+00:00,31.93,33.17,31.73,33.03,8401664.0,55674.0,32.526959
NEM,2016-05-11 04:00:00+00:00,33.85,34.7,32.74,33.88,10275931.0,61656.0,33.761208
NEM,2016-05-12 04:00:00+00:00,34.04,34.23,33.03,33.21,7002577.0,44912.0,33.475407
NEM,2016-05-13 04:00:00+00:00,33.41,34.235,33.16,34.07,8850946.0,52975.0,33.959001
NEM,2016-05-16 04:00:00+00:00,34.7,35.54,34.65,35.42,12458658.0,78646.0,35.253339
NEM,2016-05-17 04:00:00+00:00,35.17,35.75,34.72,35.55,9837849.0,63806.0,35.388013
NEM,2016-05-18 04:00:00+00:00,34.96,35.66,33.41,33.52,12627340.0,83814.0,34.471001
NEM,2016-05-19 04:00:00+00:00,32.53,34.354,32.37,34.14,10682611.0,67540.0,33.809926
NEM,2016-05-20 04:00:00+00:00,34.38,34.58,32.88,33.73,10860564.0,62936.0,33.587234
NEM,2016-05-23 04:00:00+00:00,33.06,34.3,32.8,33.83,8025930.0,48234.0,33.735243
NEM,2016-05-24 04:00:00+00:00,33.07,33.23,31.7,31.74,12057646.0,69060.0,32.28225
NEM,2016-05-25 04:00:00+00:00,31.58,32.6599,30.86,32.38,10764440.0,67650.0,31.957574
NEM,2016-05-26 04:00:00+00:00,32.79,33.08,32.075,32.45,8112298.0,49085.0,32.436402
NEM,2016-05-27 04:00:00+00:00,32.25,32.95,31.69,31.96,9017741.0,54362.0,32.094623
NEM,2016-05-31 04:00:00+00:00,31.83,33.06,31.62,32.41,24543022.0,60354.0,32.471259
NEM,2016-06-01 04:00:00+00:00,32.52,32.97,32.06,32.66,8448328.0,53609.0,32.489984
NEM,2016-06-02 04:00:00+00:00,32.27,32.69,31.68,32.35,7763174.0,51210.0,32.255195
NEM,2016-06-03 04:00:00+00:00,33.87,35.46,33.74,35.4,12050148.0,73435.0,35.091942
NEM,2016-06-06 04:00:00+00:00,35.3,35.6797,34.76,35.43,10066885.0,68040.0,35.18933
NEM,2016-06-07 04:00:00+00:00,35.07,35.37,34.8,34.95,6844319.0,45617.0,35.057844
NEM,2016-06-08 04:00:00+00:00,36.11,36.41,35.28,35.38,8945718.0,53932.0,35.748541
NEM,2016-06-09 04:00:00+00:00,35.48,35.965,35.3,35.9,6523073.0,41942.0,35.735285
NEM,2016-06-10 04:00:00+00:00,35.99,36.815,35.41,35.79,8114641.0,54671.0,35.980461
NEM,2016-06-13 04:00:00+00:00,36.83,37.0,35.53,35.89,7717064.0,50462.0,36.104837
NEM,2016-06-14 04:00:00+00:00,36.03,36.06,34.77,35.15,7557965.0,50428.0,35.21117
NEM,2016-06-15 04:00:00+00:00,35.21,36.71,35.09,36.24,8572655.0,57846.0,35.93454
NEM,2016-06-16 04:00:00+00:00,37.33,37.39,35.355,35.61,10178992.0,64530.0,36.318775
NEM,2016-06-17 04:00:00+00:00,36.11,36.29,35.14,35.65,21180532.0,59468.0,35.678692
NEM,2016-06-20 04:00:00+00:00,34.69,35.49,34.54,35.33,8394263.0,55923.0,35.058245
NEM,2016-06-21 04:00:00+00:00,34.58,35.2199,34.29,34.83,6988137.0,36462.0,34.888971
NEM,2016-06-22 04:00:00+00:00,34.76,35.82,34.49,35.72,7091149.0,41770.0,35.175942
NEM,2016-06-23 04:00:00+00:00,35.41,35.87,35.09,35.39,5544176.0,34797.0,35.507599
NEM,2016-06-24 04:00:00+00:00,38.5,38.68,36.64,37.19,14592166.0,85029.0,37.333049
NEM,2016-06-27 04:00:00+00:00,37.69,38.45,36.85,37.69,10695507.0,75900.0,37.574513
NEM,2016-06-28 04:00:00+00:00,36.92,37.77,36.78,37.17,8400244.0,55754.0,37.220745
NEM,2016-06-29 04:00:00+00:00,37.65,37.96,37.5,37.69,8642640.0,49172.0,37.745301
NEM,2016-06-30 04:00:00+00:00,38.23,39.245,37.765,39.12,9390281.0,57642.0,38.706162
NEM,2016-07-01 04:00:00+00:00,39.86,40.49,39.47,40.34,10652566.0,61323.0,40.031473
NEM,2016-07-05 04:00:00+00:00,40.98,40.99,39.54,40.38,8738581.0,54739.0,40.243009
NEM,2016-07-06 04:00:00+00:00,41.02,41.46,40.52,41.42,11428882.0,67691.0,41.118084
NEM,2016-07-07 04:00:00+00:00,40.79,41.27,40.24,40.96,10039914.0,59079.0,40.680722
NEM,2016-07-08 04:00:00+00:00,40.72,41.3899,40.205,41.14,11472571.0,63721.0,40.781777
NEM,2016-07-11 04:00:00+00:00,40.65,41.09,40.37,41.06,7292725.0,41625.0,40.794114
NEM,2016-07-12 04:00:00+00:00,40.67,40.95,39.91,39.96,9763753.0,63974.0,40.40126
NEM,2016-07-13 04:00:00+00:00,40.64,41.27,40.57,40.88,9010115.0,51159.0,40.92305
NEM,2016-07-14 04:00:00+00:00,40.16,41.68,39.93,41.62,7605039.0,43691.0,40.988426
NEM,2016-07-15 04:00:00+00:00,41.24,41.57,41.04,41.33,5802121.0,37417.0,41.288082
NEM,2016-07-18 04:00:00+00:00,41.42,41.63,40.93,41.63,4756716.0,29991.0,41.287462
NEM,2016-07-19 04:00:00+00:00,41.42,41.56,41.0003,41.39,5899746.0,34884.0,41.337021
NEM,2016-07-20 04:00:00+00:00,40.68,40.69,39.05,39.29,9806159.0,61659.0,39.598628
NEM,2016-07-21 04:00:00+00:00,40.29,40.869,39.76,40.52,9981144.0,59566.0,40.392238
NEM,2016-07-22 04:00:00+00:00,40.36,41.485,40.23,41.27,6778101.0,42724.0,41.05553
NEM,2016-07-25 04:00:00+00:00,41.05,41.05,39.66,40.13,6292721.0,37922.0,40.142377
NEM,2016-07-26 04:00:00+00:00,40.39,41.285,40.17,41.13,5871399.0,36449.0,40.853662
NEM,2016-07-27 04:00:00+00:00,41.37,42.59,40.65,42.32,10157883.0,58609.0,41.897313
NEM,2016-07-28 04:00:00+00:00,42.45,42.81,41.77,42.67,6278985.0,42221.0,42.399743
NEM,2016-07-29 04:00:00+00:00,43.04,44.17,42.66,44.0,10137404.0,56040.0,43.601111
NEM,2016-08-01 04:00:00+00:00,43.78,44.24,42.95,44.16,6652026.0,36975.0,43.84662
NEM,2016-08-02 04:00:00+00:00,44.88,45.91,44.57,45.86,10773096.0,64565.0,45.498858
NEM,2016-08-03 04:00:00+00:00,45.68,45.68,44.71,45.02,7328644.0,48282.0,45.020508
NEM,2016-08-04 04:00:00+00:00,45.09,45.44,44.835,44.91,5766116.0,37712.0,45.044356
NEM,2016-08-05 04:00:00+00:00,43.79,44.49,43.59,44.43,7720416.0,45881.0,44.225887
NEM,2016-08-08 04:00:00+00:00,44.13,45.09,44.13,44.65,5467538.0,34885.0,44.699867
NEM,2016-08-09 04:00:00+00:00,44.77,45.47,44.48,45.0,5674928.0,38650.0,45.030442
NEM,2016-08-10 04:00:00+00:00,45.76,46.02,44.87,45.57,6612368.0,46793.0,45.525017
NEM,2016-08-11 04:00:00+00:00,45.69,45.91,45.2,45.43,5173310.0,35152.0,45.548557
NEM,2016-08-12 04:00:00+00:00,45.98,46.07,44.97,45.17,4357576.0,32270.0,45.413387
NEM,2016-08-15 04:00:00+00:00,45.16,45.45,44.79,44.92,3753472.0,27267.0,45.05755
