symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NI,2016-01-04 05:00:00+00:00,19.41,19.66,19.3113,19.52,2941515.0,17869.0,19.488723
NI,2016-01-05 05:00:00+00:00,19.5,19.935,19.28,19.83,3472849.0,18260.0,19.73823
NI,2016-01-06 05:00:00+00:00,19.7,20.0,19.59,19.94,3990411.0,18838.0,19.882229
NI,2016-01-07 05:00:00+00:00,19.72,19.835,19.4,19.5,3227888.0,18623.0,19.604741
NI,2016-01-08 05:00:00+00:00,19.52,19.785,19.42,19.47,3590509.0,17449.0,19.539736
NI,2016-01-11 05:00:00+00:00,19.5,19.85,19.5,19.79,2340296.0,15646.0,19.746072
NI,2016-01-12 05:00:00+00:00,19.82,19.9,19.46,19.54,2713661.0,16337.0,19.570026
NI,2016-01-13 05:00:00+00:00,19.52,19.66,19.34,19.47,2245109.0,15445.0,19.503102
NI,2016-01-14 05:00:00+00:00,19.48,20.15,19.48,20.0,2556643.0,17766.0,19.921026
NI,2016-01-15 05:00:00+00:00,19.68,19.91,19.53,19.74,2149392.0,14808.0,19.71089
NI,2016-01-19 05:00:00+00:00,19.86,20.11,19.78,20.04,2513398.0,15689.0,19.979672
NI,2016-01-20 05:00:00+00:00,19.9,20.015,19.05,19.46,3306822.0,24184.0,19.394485
NI,2016-01-21 05:00:00+00:00,19.5,19.8,19.33,19.53,2922038.0,17863.0,19.553306
NI,2016-01-22 05:00:00+00:00,19.73,20.335,19.54,20.28,2890289.0,16822.0,20.131413
NI,2016-01-25 05:00:00+00:00,20.24,20.43,20.13,20.38,3623833.0,19603.0,20.300602
NI,2016-01-26 05:00:00+00:00,20.4,20.6725,20.29,20.31,2565679.0,16263.0,20.431212
NI,2016-01-27 05:00:00+00:00,20.31,20.38,19.985,20.14,3890697.0,22120.0,20.200516
NI,2016-01-28 05:00:00+00:00,20.27,20.85,20.195,20.75,4263471.0,21897.0,20.595755
NI,2016-01-29 05:00:00+00:00,21.01,21.1276,20.855,21.01,5845609.0,23638.0,21.000631
NI,2016-02-01 05:00:00+00:00,21.02,21.32,20.85,21.3,4459337.0,26626.0,21.086419
NI,2016-02-02 05:00:00+00:00,21.23,21.53,21.065,21.26,5658267.0,28239.0,21.246801
NI,2016-02-03 05:00:00+00:00,21.38,21.66,21.31,21.48,4278253.0,28881.0,21.472139
NI,2016-02-04 05:00:00+00:00,21.45,21.53,21.06,21.16,3780817.0,25786.0,21.232165
NI,2016-02-05 05:00:00+00:00,21.07,21.14,20.675,20.98,4041850.0,24020.0,20.932006
NI,2016-02-08 05:00:00+00:00,21.04,21.24,20.715,20.91,2101195.0,14745.0,20.877696
NI,2016-02-09 05:00:00+00:00,20.8,21.375,20.76,21.24,3067423.0,18098.0,21.181711
NI,2016-02-10 05:00:00+00:00,21.2,21.65,21.055,21.48,5140582.0,24096.0,21.437866
NI,2016-02-11 05:00:00+00:00,21.35,21.42,20.94,21.1,4414085.0,22494.0,21.084494
NI,2016-02-12 05:00:00+00:00,21.38,21.39,21.02,21.28,3454563.0,18653.0,21.196343
NI,2016-02-16 05:00:00+00:00,21.41,21.56,20.96,21.11,2813924.0,16490.0,21.124863
NI,2016-02-17 05:00:00+00:00,21.17,21.49,20.88,21.35,4560992.0,23605.0,21.287411
NI,2016-02-18 05:00:00+00:00,21.25,22.1,21.15,21.87,4316562.0,26657.0,21.82893
NI,2016-02-19 05:00:00+00:00,21.73,22.14,21.52,21.87,3386013.0,22704.0,21.936531
NI,2016-02-22 05:00:00+00:00,22.04,22.07,21.68,21.91,2701608.0,14651.0,21.848809
NI,2016-02-23 05:00:00+00:00,21.88,22.02,21.75,21.8,3223767.0,17000.0,21.836573
NI,2016-02-24 05:00:00+00:00,21.65,21.91,21.62,21.75,2728651.0,14676.0,21.744923
NI,2016-02-25 05:00:00+00:00,21.86,22.06,21.74,22.03,2106309.0,12413.0,21.95706
NI,2016-02-26 05:00:00+00:00,21.92,21.9999,21.445,21.51,2825546.0,17019.0,21.565334
NI,2016-02-29 05:00:00+00:00,21.52,21.73,21.47,21.48,2570093.0,14004.0,21.540319
NI,2016-03-01 05:00:00+00:00,21.57,21.72,21.44,21.5,2652813.0,17084.0,21.552958
NI,2016-03-02 05:00:00+00:00,21.41,22.1,20.94,22.07,3187997.0,20881.0,21.837913
NI,2016-03-03 05:00:00+00:00,22.08,22.36,21.865,22.34,2782677.0,16232.0,22.205788
NI,2016-03-04 05:00:00+00:00,22.23,22.51,22.09,22.4,2146063.0,14618.0,22.373226
NI,2016-03-07 05:00:00+00:00,22.24,22.55,22.16,22.36,3521184.0,16316.0,22.376394
NI,2016-03-08 05:00:00+00:00,22.41,22.6575,22.295,22.48,2239821.0,13501.0,22.487607
NI,2016-03-09 05:00:00+00:00,22.51,22.79,22.48,22.62,1306965.0,11070.0,22.628525
NI,2016-03-10 05:00:00+00:00,22.5,22.82,22.41,22.77,2235975.0,14315.0,22.672644
NI,2016-03-11 05:00:00+00:00,22.84,22.99,22.67,22.74,1961330.0,14126.0,22.803421
NI,2016-03-14 04:00:00+00:00,22.66,22.9,22.66,22.78,1681497.0,12672.0,22.775207
NI,2016-03-15 04:00:00+00:00,22.74,22.96,22.57,22.67,2994145.0,18827.0,22.69889
NI,2016-03-16 04:00:00+00:00,22.65,23.15,22.49,23.1,2074604.0,15269.0,22.863513
NI,2016-03-17 04:00:00+00:00,23.2,23.42,23.11,23.33,2302083.0,16374.0,23.302938
NI,2016-03-18 04:00:00+00:00,23.35,23.35,22.79,22.8,5427981.0,18845.0,23.006997
NI,2016-03-21 04:00:00+00:00,22.83,22.94,22.6,22.89,2353162.0,15008.0,22.855042
NI,2016-03-22 04:00:00+00:00,22.92,23.0,22.75,22.8,1446375.0,10109.0,22.833655
NI,2016-03-23 04:00:00+00:00,22.84,23.14,22.7299,23.02,1780492.0,11058.0,23.001963
NI,2016-03-24 04:00:00+00:00,22.98,23.15,22.855,23.03,2513963.0,15408.0,23.012446
NI,2016-03-28 04:00:00+00:00,22.99,23.21,22.84,22.92,1976495.0,12772.0,22.933127
NI,2016-03-29 04:00:00+00:00,22.7,23.17,22.53,23.17,2562764.0,14437.0,23.018961
NI,2016-03-30 04:00:00+00:00,23.21,23.555,23.185,23.39,2371944.0,15970.0,23.413231
NI,2016-03-31 04:00:00+00:00,23.41,23.735,23.37,23.56,3336791.0,17154.0,23.566697
