symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NRG,2016-01-04 05:00:00+00:00,11.57,11.88,11.24,11.53,6524442.0,36889.0,11.535268
NRG,2016-01-05 05:00:00+00:00,11.57,12.035,11.12,11.97,7702386.0,35200.0,11.769068
NRG,2016-01-06 05:00:00+00:00,11.72,11.79,10.94,11.03,8590978.0,42127.0,11.15503
NRG,2016-01-07 05:00:00+00:00,10.83,11.66,10.73,11.26,6856422.0,39235.0,11.287268
NRG,2016-01-08 05:00:00+00:00,11.36,11.735,11.055,11.34,7539830.0,38693.0,11.394616
NRG,2016-01-11 05:00:00+00:00,11.33,11.37,10.18,10.23,10457506.0,43697.0,10.460652
NRG,2016-01-12 05:00:00+00:00,10.31,10.66,9.79,9.9,9714973.0,49718.0,9.99703
NRG,2016-01-13 05:00:00+00:00,10.04,10.27,9.58,9.82,8650834.0,49409.0,9.856346
NRG,2016-01-14 05:00:00+00:00,9.87,10.6,9.64,10.48,8802969.0,48997.0,10.308534
NRG,2016-01-15 05:00:00+00:00,10.14,10.24,9.52,10.11,7632839.0,39182.0,9.96272
NRG,2016-01-19 05:00:00+00:00,10.22,10.4,9.86,10.03,7300975.0,37538.0,10.086996
NRG,2016-01-20 05:00:00+00:00,9.71,9.79,8.92,9.58,9656276.0,51099.0,9.335586
NRG,2016-01-21 05:00:00+00:00,9.6,10.48,9.57,9.89,9283802.0,47554.0,9.998016
NRG,2016-01-22 05:00:00+00:00,10.04,10.24,9.73,9.93,8446363.0,47807.0,9.933576
NRG,2016-01-25 05:00:00+00:00,9.68,9.76,8.93,8.98,7834730.0,41265.0,9.20643
NRG,2016-01-26 05:00:00+00:00,9.14,9.73,8.96,9.67,5460505.0,28975.0,9.548684
NRG,2016-01-27 05:00:00+00:00,9.66,10.29,9.46,9.89,7694456.0,41223.0,9.965966
NRG,2016-01-28 05:00:00+00:00,9.82,10.15,9.645,10.1,6744679.0,39450.0,9.995046
NRG,2016-01-29 05:00:00+00:00,10.3,10.79,10.3,10.64,8765620.0,40537.0,10.605438
NRG,2016-02-01 05:00:00+00:00,10.69,10.76,10.11,10.67,6616033.0,38343.0,10.538908
NRG,2016-02-02 05:00:00+00:00,10.57,10.75,10.2,10.71,5288715.0,31109.0,10.569907
NRG,2016-02-03 05:00:00+00:00,10.84,11.68,10.82,11.38,9048005.0,56176.0,11.252491
NRG,2016-02-04 05:00:00+00:00,11.24,12.14,11.19,11.68,12262697.0,69285.0,11.759927
NRG,2016-02-05 05:00:00+00:00,11.6,11.81,11.16,11.57,13161231.0,54393.0,11.588446
NRG,2016-02-08 05:00:00+00:00,11.42,11.9199,10.95,11.14,9599174.0,46114.0,11.434527
NRG,2016-02-09 05:00:00+00:00,10.9,11.01,10.595,10.84,5604287.0,29715.0,10.830917
NRG,2016-02-10 05:00:00+00:00,10.77,10.97,10.17,10.7,5300348.0,35361.0,10.63779
NRG,2016-02-11 05:00:00+00:00,10.44,10.57,9.53,9.59,6286903.0,33871.0,9.838306
NRG,2016-02-12 05:00:00+00:00,9.7,9.73,9.03,9.58,6717199.0,35825.0,9.342509
NRG,2016-02-16 05:00:00+00:00,9.57,9.8,9.5,9.7,4384655.0,22399.0,9.646434
NRG,2016-02-17 05:00:00+00:00,9.83,10.75,9.78,10.2,7032175.0,36579.0,10.379155
NRG,2016-02-18 05:00:00+00:00,10.2,10.53,10.06,10.43,7688194.0,30773.0,10.324987
NRG,2016-02-19 05:00:00+00:00,10.28,10.29,9.76,10.01,6030122.0,31625.0,9.984047
NRG,2016-02-22 05:00:00+00:00,10.1201,10.58,10.12,10.57,6632742.0,26114.0,10.341424
NRG,2016-02-23 05:00:00+00:00,10.45,10.55,10.14,10.32,4523529.0,23904.0,10.303109
NRG,2016-02-24 05:00:00+00:00,10.18,10.95,9.97,10.83,7695779.0,27786.0,10.716182
NRG,2016-02-25 05:00:00+00:00,10.85,11.37,10.66,10.9,4055668.0,21934.0,10.851354
NRG,2016-02-26 05:00:00+00:00,10.965,11.32,10.93,11.08,5499973.0,29394.0,11.123214
NRG,2016-02-29 05:00:00+00:00,10.35,10.98,10.111,10.78,11407861.0,46084.0,10.73952
NRG,2016-03-01 05:00:00+00:00,10.87,11.275,10.66,11.26,7045764.0,39108.0,11.038849
NRG,2016-03-02 05:00:00+00:00,11.13,12.19,11.05,12.16,6088241.0,36170.0,11.724363
NRG,2016-03-03 05:00:00+00:00,12.07,12.77,12.07,12.52,7709057.0,39559.0,12.48095
NRG,2016-03-04 05:00:00+00:00,12.49,13.3,12.44,13.07,8298761.0,39579.0,13.050569
NRG,2016-03-07 05:00:00+00:00,13.03,14.16,13.03,13.64,10422670.0,44871.0,13.767206
NRG,2016-03-08 05:00:00+00:00,13.59,13.65,12.45,12.51,9634979.0,44316.0,12.679913
NRG,2016-03-09 05:00:00+00:00,12.57,12.835,12.0,12.36,15840938.0,54465.0,12.42601
NRG,2016-03-10 05:00:00+00:00,12.44,13.01,12.25,12.89,7998426.0,44516.0,12.690625
NRG,2016-03-11 05:00:00+00:00,13.13,13.87,13.12,13.74,9213869.0,38913.0,13.634771
NRG,2016-03-14 04:00:00+00:00,13.73,13.94,13.51,13.67,6472991.0,37128.0,13.709912
NRG,2016-03-15 04:00:00+00:00,13.54,13.5725,12.84,13.3,5519700.0,33595.0,13.222286
NRG,2016-03-16 04:00:00+00:00,13.35,13.9,13.245,13.85,5465432.0,33778.0,13.690703
NRG,2016-03-17 04:00:00+00:00,14.06,14.37,13.59,13.96,5367824.0,29667.0,14.04139
NRG,2016-03-18 04:00:00+00:00,13.97,14.47,13.64,13.7,10438008.0,33556.0,13.83271
NRG,2016-03-21 04:00:00+00:00,13.67,14.0,13.49,13.56,4785350.0,30043.0,13.671336
NRG,2016-03-22 04:00:00+00:00,13.5,13.92,13.38,13.77,4129853.0,22011.0,13.734857
NRG,2016-03-23 04:00:00+00:00,13.69,13.72,12.98,12.99,4422373.0,24837.0,13.165433
NRG,2016-03-24 04:00:00+00:00,12.86,13.18,12.35,13.14,6062044.0,33768.0,12.830532
NRG,2016-03-28 04:00:00+00:00,13.2,13.245,12.665,12.89,3250723.0,20918.0,12.896924
NRG,2016-03-29 04:00:00+00:00,12.78,13.23,12.095,13.22,7388075.0,34698.0,12.853374
NRG,2016-03-30 04:00:00+00:00,13.35,13.56,12.93,12.94,5747919.0,30428.0,13.184056
NRG,2016-03-31 04:00:00+00:00,12.94,13.2,12.82,13.01,5822686.0,24594.0,13.008964
NRG,2016-04-01 04:00:00+00:00,12.98,12.99,12.33,12.77,7311187.0,37959.0,12.615341
NRG,2016-04-04 04:00:00+00:00,12.77,13.27,12.62,12.81,6746584.0,41078.0,12.897888
NRG,2016-04-05 04:00:00+00:00,12.7,12.75,12.2,12.21,17620417.0,35791.0,12.276993
NRG,2016-04-06 04:00:00+00:00,12.29,12.35,11.69,12.03,10678355.0,48368.0,11.922037
NRG,2016-04-07 04:00:00+00:00,12.02,12.49,11.97,12.24,9362150.0,33320.0,12.226537
NRG,2016-04-08 04:00:00+00:00,12.47,13.0,12.47,12.67,6427228.0,27240.0,12.727895
NRG,2016-04-11 04:00:00+00:00,12.77,13.36,12.7,13.11,5764026.0,27548.0,13.128822
NRG,2016-04-12 04:00:00+00:00,13.14,13.38,12.84,13.28,4994139.0,25832.0,13.243574
NRG,2016-04-13 04:00:00+00:00,13.31,13.6461,13.07,13.43,4306500.0,24761.0,13.450394
NRG,2016-04-14 04:00:00+00:00,13.43,13.55,13.24,13.31,3750030.0,19752.0,13.404114
NRG,2016-04-15 04:00:00+00:00,13.22,13.8,13.15,13.65,4671474.0,22098.0,13.546459
NRG,2016-04-18 04:00:00+00:00,13.29,13.92,13.12,13.78,5580165.0,26415.0,13.723796
NRG,2016-04-19 04:00:00+00:00,13.91,14.33,13.73,14.31,7914756.0,36176.0,14.089319
NRG,2016-04-20 04:00:00+00:00,14.21,14.3,13.9,14.08,6354052.0,31674.0,14.104938
NRG,2016-04-21 04:00:00+00:00,14.09,14.37,13.85,13.99,6440831.0,31586.0,14.053204
NRG,2016-04-22 04:00:00+00:00,14.08,14.57,14.01,14.2,6007606.0,27629.0,14.291639
NRG,2016-04-25 04:00:00+00:00,14.1,14.32,13.97,14.18,5367152.0,25758.0,14.142177
NRG,2016-04-26 04:00:00+00:00,14.21,14.56,14.2,14.55,5816268.0,24752.0,14.446906
NRG,2016-04-27 04:00:00+00:00,14.64,15.26,14.62,14.98,8746228.0,38190.0,14.968715
NRG,2016-04-28 04:00:00+00:00,14.85,15.33,14.67,15.0,6501035.0,34616.0,15.07462
NRG,2016-04-29 04:00:00+00:00,15.1,15.25,14.85,15.1,5957322.0,29799.0,15.014492
NRG,2016-05-02 04:00:00+00:00,15.01,15.08,14.76,14.9,8270579.0,33966.0,14.866399
NRG,2016-05-03 04:00:00+00:00,14.75,14.78,13.92,14.03,6084054.0,31979.0,14.098553
NRG,2016-05-04 04:00:00+00:00,14.13,14.69,14.11,14.62,7763741.0,40253.0,14.506274
NRG,2016-05-05 04:00:00+00:00,14.92,15.68,14.7675,14.86,7881082.0,40004.0,15.019681
NRG,2016-05-06 04:00:00+00:00,14.88,15.59,14.84,15.52,6249327.0,36071.0,15.398767
NRG,2016-05-09 04:00:00+00:00,15.66,15.77,15.2477,15.65,6269346.0,28410.0,15.610697
