symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ON,2016-01-04 05:00:00+00:00,9.65,9.8399,9.5,9.7,4163776.0,21552.0,9.618187
ON,2016-01-05 05:00:00+00:00,9.82,9.82,9.63,9.68,5964718.0,21530.0,9.709697
ON,2016-01-06 05:00:00+00:00,9.56,9.625,9.01,9.19,7512145.0,34983.0,9.218929
ON,2016-01-07 05:00:00+00:00,9.11,9.11,8.55,8.64,9694082.0,45015.0,8.74394
ON,2016-01-08 05:00:00+00:00,8.6,8.86,8.51,8.53,5233038.0,26184.0,8.634147
ON,2016-01-11 05:00:00+00:00,8.62,8.715,8.38,8.57,5549516.0,25192.0,8.541539
ON,2016-01-12 05:00:00+00:00,8.69,8.7,8.375,8.55,4018696.0,20743.0,8.53481
ON,2016-01-13 05:00:00+00:00,8.55,8.65,8.165,8.3,6251222.0,26871.0,8.334902
ON,2016-01-14 05:00:00+00:00,8.3,8.65,8.12,8.5,6620689.0,33421.0,8.405258
ON,2016-01-15 05:00:00+00:00,8.2,8.2899,8.01,8.22,6866689.0,26616.0,8.174617
ON,2016-01-19 05:00:00+00:00,8.34,8.47,7.96,8.07,4637853.0,21238.0,8.123535
ON,2016-01-20 05:00:00+00:00,7.98,8.36,7.83,8.27,6167055.0,33137.0,8.102815
ON,2016-01-21 05:00:00+00:00,8.33,8.595,8.25,8.39,8514964.0,35151.0,8.448862
ON,2016-01-22 05:00:00+00:00,8.5,8.63,8.275,8.34,5501091.0,24981.0,8.38985
ON,2016-01-25 05:00:00+00:00,8.32,8.49,8.22,8.25,4620692.0,19418.0,8.313708
ON,2016-01-26 05:00:00+00:00,8.31,8.43,8.26,8.4,4028548.0,19568.0,8.367654
ON,2016-01-27 05:00:00+00:00,7.86,8.44,7.86,8.25,2753150.0,14285.0,8.29223
ON,2016-01-28 05:00:00+00:00,8.36,8.44,8.075,8.11,3583589.0,18442.0,8.157281
ON,2016-01-29 05:00:00+00:00,8.32,8.575,8.26,8.56,7154006.0,24601.0,8.485182
ON,2016-02-01 05:00:00+00:00,8.5,8.71,8.4,8.67,3340689.0,17759.0,8.603242
