symbol,timestamp,open,high,low,close,volume,trade_count,vwap
OTIS,2020-04-03 04:00:00+00:00,43.75,49.3,41.8,47.32,31108757.0,69778.0,46.729661
OTIS,2020-04-06 04:00:00+00:00,47.0,47.85,44.7,45.94,10756796.0,65964.0,46.967134
OTIS,2020-04-07 04:00:00+00:00,45.15,46.99,42.93,44.28,12364028.0,95231.0,44.664218
OTIS,2020-04-08 04:00:00+00:00,42.21,45.2,41.26,44.09,23049483.0,116180.0,43.268161
OTIS,2020-04-09 04:00:00+00:00,44.05,50.25,44.0,49.14,18120263.0,99729.0,46.972545
OTIS,2020-04-13 04:00:00+00:00,48.56,48.67,45.72,46.0,8757698.0,61402.0,46.676889
OTIS,2020-04-14 04:00:00+00:00,45.91,46.3,43.97,45.89,10842422.0,69228.0,45.419604
OTIS,2020-04-15 04:00:00+00:00,44.19,44.85,42.8,44.55,8296930.0,62206.0,43.938515
OTIS,2020-04-16 04:00:00+00:00,44.08,46.4067,43.55,45.62,9284489.0,56269.0,45.169514
OTIS,2020-04-17 04:00:00+00:00,47.0,48.56,45.92,46.15,8313220.0,58059.0,46.942153
OTIS,2020-04-20 04:00:00+00:00,45.0,46.98,44.9,45.39,5687115.0,37968.0,45.694389
OTIS,2020-04-21 04:00:00+00:00,44.5,47.2,44.5,45.9,7597630.0,45410.0,46.07477
OTIS,2020-04-22 04:00:00+00:00,47.31,49.55,46.0,47.05,7378358.0,49006.0,47.55403
OTIS,2020-04-23 04:00:00+00:00,47.44,48.04,46.48,47.47,5453438.0,35400.0,47.47941
OTIS,2020-04-24 04:00:00+00:00,48.02,48.5,46.31,47.85,7063869.0,43510.0,47.510425
OTIS,2020-04-27 04:00:00+00:00,48.08,48.6,47.61,48.22,5701074.0,36241.0,48.068147
OTIS,2020-04-28 04:00:00+00:00,48.98,50.95,48.65,49.86,5636042.0,35280.0,49.480437
OTIS,2020-04-29 04:00:00+00:00,50.77,51.73,49.71,51.15,4609784.0,35612.0,51.005809
OTIS,2020-04-30 04:00:00+00:00,50.97,51.6,50.5,50.91,8405159.0,27938.0,50.91743
OTIS,2020-05-01 04:00:00+00:00,50.25,50.53,48.31,49.71,3381019.0,21572.0,49.703521
OTIS,2020-05-04 04:00:00+00:00,48.85,49.67,47.51,49.53,6767675.0,24870.0,49.114992
OTIS,2020-05-05 04:00:00+00:00,49.53,50.64,47.96,48.09,4299210.0,32712.0,48.816477
OTIS,2020-05-06 04:00:00+00:00,48.61,49.0,47.89,48.31,3246445.0,22879.0,48.448172
OTIS,2020-05-07 04:00:00+00:00,49.02,53.29,48.99,51.81,5024263.0,40205.0,51.74952
OTIS,2020-05-08 04:00:00+00:00,52.12,54.17,52.11,52.95,4579582.0,31238.0,53.154894
OTIS,2020-05-11 04:00:00+00:00,52.0,52.4,51.06,51.81,3378376.0,25735.0,51.862277
OTIS,2020-05-12 04:00:00+00:00,52.19,52.29,49.69,49.72,3245811.0,26644.0,50.775459
OTIS,2020-05-13 04:00:00+00:00,49.0,50.3,47.885,48.21,4717653.0,29702.0,48.604727
OTIS,2020-05-14 04:00:00+00:00,47.51,48.4,47.2304,48.0,5225315.0,33655.0,47.677469
OTIS,2020-05-15 04:00:00+00:00,47.23,49.22,47.2,48.89,3220208.0,22107.0,48.408357
OTIS,2020-05-18 04:00:00+00:00,50.12,52.34,50.12,52.13,4965461.0,33645.0,51.710549
OTIS,2020-05-19 04:00:00+00:00,51.68,52.9275,51.055,52.31,2194580.0,21383.0,52.170681
OTIS,2020-05-20 04:00:00+00:00,52.55,54.7,52.475,53.18,5010078.0,39034.0,53.499185
OTIS,2020-05-21 04:00:00+00:00,52.36,53.55,51.87,52.03,4191015.0,27200.0,52.579669
OTIS,2020-05-22 04:00:00+00:00,52.46,52.72,50.9201,51.71,2312004.0,19991.0,51.655751
OTIS,2020-05-26 04:00:00+00:00,53.03,53.99,50.7,50.89,6861643.0,46238.0,52.012381
OTIS,2020-05-27 04:00:00+00:00,51.59,52.65,50.77,52.38,5379685.0,41286.0,51.818045
OTIS,2020-05-28 04:00:00+00:00,52.93,52.95,50.93,50.96,4504834.0,38387.0,51.74666
OTIS,2020-05-29 04:00:00+00:00,50.44,52.87,50.18,52.65,9125591.0,43777.0,51.900227
OTIS,2020-06-01 04:00:00+00:00,52.45,54.44,52.11,54.08,3295576.0,26664.0,53.838243
OTIS,2020-06-02 04:00:00+00:00,54.16,54.75,53.29,54.15,2903741.0,22640.0,54.042593
OTIS,2020-06-03 04:00:00+00:00,55.0,55.58,54.55,55.47,4838012.0,24239.0,55.301352
OTIS,2020-06-04 04:00:00+00:00,55.3,56.66,54.69,55.4,3632519.0,30498.0,55.549857
OTIS,2020-06-05 04:00:00+00:00,57.83,58.7094,56.0,58.57,5102503.0,42527.0,57.91685
OTIS,2020-06-08 04:00:00+00:00,58.69,61.32,58.36,61.26,6771430.0,42993.0,60.804761
OTIS,2020-06-09 04:00:00+00:00,60.4,61.46,59.24,60.65,5461239.0,33867.0,60.35061
OTIS,2020-06-10 04:00:00+00:00,60.61,60.96,59.02,59.03,2869683.0,23950.0,59.584022
OTIS,2020-06-11 04:00:00+00:00,56.0,58.07,55.7048,56.25,3553858.0,33156.0,56.687354
OTIS,2020-06-12 04:00:00+00:00,57.73,58.98,55.1,56.04,4543015.0,27730.0,56.502013
OTIS,2020-06-15 04:00:00+00:00,54.51,57.8,53.83,57.67,4842313.0,32455.0,56.871615
OTIS,2020-06-16 04:00:00+00:00,59.5,59.8,57.375,57.85,3867383.0,33174.0,58.464541
OTIS,2020-06-17 04:00:00+00:00,58.12,58.19,56.46,56.74,2700903.0,23165.0,57.118566
OTIS,2020-06-18 04:00:00+00:00,56.44,57.68,56.24,57.49,2441611.0,22284.0,57.275379
OTIS,2020-06-19 04:00:00+00:00,58.96,58.96,55.95,57.0,10484542.0,32902.0,57.138445
OTIS,2020-06-22 04:00:00+00:00,56.88,58.18,56.64,57.06,2244891.0,20152.0,57.313631
OTIS,2020-06-23 04:00:00+00:00,57.69,57.87,56.59,56.8,2762790.0,21062.0,56.950037
OTIS,2020-06-24 04:00:00+00:00,56.15,56.97,55.25,55.54,3257367.0,29574.0,55.820899
OTIS,2020-06-25 04:00:00+00:00,55.05,56.5,54.76,56.2,3114157.0,25648.0,55.932209
OTIS,2020-06-26 04:00:00+00:00,56.23,56.48,54.442,55.79,9608721.0,26182.0,55.67597
OTIS,2020-06-29 04:00:00+00:00,55.89,56.8,55.33,56.57,2443157.0,23990.0,56.277385
