symbol,timestamp,open,high,low,close,volume,trade_count,vwap
O,2016-01-04 05:00:00+00:00,51.14,51.42,50.47,51.18,2247156.0,19436.0,50.918422
O,2016-01-05 05:00:00+00:00,51.27,52.43,51.21,52.29,2020993.0,18634.0,52.103064
O,2016-01-06 05:00:00+00:00,51.86,52.6,51.86,52.6,1881263.0,17346.0,52.302631
O,2016-01-07 05:00:00+00:00,51.68,52.49,50.64,51.69,2276604.0,20793.0,51.967438
O,2016-01-08 05:00:00+00:00,51.75,52.13,51.1,51.17,1700717.0,15611.0,51.5116
O,2016-01-11 05:00:00+00:00,51.39,52.54,51.3,52.27,2382163.0,19206.0,52.177241
O,2016-01-12 05:00:00+00:00,52.52,52.59,51.76,52.43,3005919.0,22295.0,52.359682
O,2016-01-13 05:00:00+00:00,52.48,53.165,51.7,51.84,2710427.0,23303.0,52.302151
O,2016-01-14 05:00:00+00:00,51.96,52.78,51.65,52.25,2895356.0,21632.0,52.284847
O,2016-01-15 05:00:00+00:00,51.68,52.29,51.09,52.19,3774702.0,26097.0,51.815661
O,2016-01-19 05:00:00+00:00,52.51,53.28,52.3,53.01,2093195.0,19243.0,52.965177
O,2016-01-20 05:00:00+00:00,52.63,52.8429,50.96,51.87,2979948.0,23298.0,51.624871
O,2016-01-21 05:00:00+00:00,52.29,53.3,51.7188,52.52,1991498.0,16499.0,52.541453
O,2016-01-22 05:00:00+00:00,52.99,54.2,52.88,54.04,1927922.0,16507.0,53.812754
O,2016-01-25 05:00:00+00:00,54.12,54.72,53.612,53.89,2123990.0,18287.0,54.050027
O,2016-01-26 05:00:00+00:00,54.05,55.36,54.05,55.2,2785863.0,22377.0,55.052335
O,2016-01-27 05:00:00+00:00,54.95,55.74,54.43,55.08,2537149.0,19728.0,55.131698
O,2016-01-28 05:00:00+00:00,54.85,55.52,54.62,54.87,3428567.0,21000.0,55.145397
O,2016-01-29 05:00:00+00:00,55.3,55.88,55.01,55.79,6726551.0,25962.0,55.686755
O,2016-02-01 05:00:00+00:00,55.56,57.2,55.1918,56.65,3407584.0,28429.0,56.706762
O,2016-02-02 05:00:00+00:00,56.73,57.42,56.32,57.22,2313425.0,16514.0,57.042106
O,2016-02-03 05:00:00+00:00,57.41,58.18,57.14,57.35,3150516.0,24036.0,57.601623
O,2016-02-04 05:00:00+00:00,57.21,57.9,56.86,57.48,3041619.0,24774.0,57.420204
O,2016-02-05 05:00:00+00:00,57.05,57.245,55.51,55.89,3317657.0,27742.0,56.065655
O,2016-02-08 05:00:00+00:00,55.71,56.3,54.82,56.17,2835615.0,21200.0,55.535264
O,2016-02-09 05:00:00+00:00,56.0,56.75,55.63,56.36,3017688.0,25559.0,56.120001
O,2016-02-10 05:00:00+00:00,56.5,57.5,56.48,56.78,2547187.0,23670.0,57.067951
O,2016-02-11 05:00:00+00:00,56.71,60.22,56.6887,60.12,6520953.0,38124.0,59.329488
O,2016-02-12 05:00:00+00:00,59.94,61.26,59.65,60.48,5774634.0,42278.0,60.483677
O,2016-02-16 05:00:00+00:00,60.33,60.41,58.76,59.82,3924283.0,27486.0,59.591423
O,2016-02-17 05:00:00+00:00,59.87,60.57,59.36,59.81,2955355.0,21957.0,59.869723
O,2016-02-18 05:00:00+00:00,59.8,60.7076,59.52,60.45,2288253.0,19882.0,60.363828
O,2016-02-19 05:00:00+00:00,60.26,61.34,60.045,60.22,3487976.0,21559.0,60.461657
O,2016-02-22 05:00:00+00:00,60.34,60.69,59.47,59.72,2526333.0,19246.0,59.773765
O,2016-02-23 05:00:00+00:00,59.78,60.08,59.11,59.71,2190609.0,17843.0,59.57562
O,2016-02-24 05:00:00+00:00,59.53,60.26,59.27,59.53,1700363.0,14139.0,59.581154
O,2016-02-25 05:00:00+00:00,59.76,60.63,59.66,60.12,2026950.0,16543.0,60.191541
O,2016-02-26 05:00:00+00:00,59.86,59.86,58.51,58.63,2756908.0,18943.0,58.758763
O,2016-02-29 05:00:00+00:00,58.51,59.22,58.152,58.54,5196860.0,19586.0,58.568991
