symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PAYX,2016-01-04 05:00:00+00:00,52.0,52.11,51.031,51.55,3296052.0,24254.0,51.464385
PAYX,2016-01-05 05:00:00+00:00,51.88,52.02,51.25,51.51,3293567.0,22783.0,51.534142
PAYX,2016-01-06 05:00:00+00:00,50.89,51.175,50.69,50.78,2856525.0,20257.0,50.867007
PAYX,2016-01-07 05:00:00+00:00,48.44,49.36,47.77,48.43,8093092.0,55555.0,48.710306
PAYX,2016-01-08 05:00:00+00:00,48.52,48.77,47.45,47.56,5877492.0,42687.0,47.992045
PAYX,2016-01-11 05:00:00+00:00,47.86,47.92,46.93,47.42,5580464.0,40147.0,47.354604
PAYX,2016-01-12 05:00:00+00:00,47.66,47.67,46.79,47.46,5420673.0,41261.0,47.293494
PAYX,2016-01-13 05:00:00+00:00,47.73,47.74,46.34,46.38,4183362.0,32925.0,46.982031
PAYX,2016-01-14 05:00:00+00:00,46.66,47.6795,46.48,47.32,3100627.0,23960.0,47.209794
PAYX,2016-01-15 05:00:00+00:00,46.07,46.81,46.055,46.7,3878783.0,26850.0,46.493162
PAYX,2016-01-19 05:00:00+00:00,47.39,47.64,46.98,47.5,4246599.0,35525.0,47.31318
PAYX,2016-01-20 05:00:00+00:00,46.88,47.23,45.76,46.65,4375630.0,38316.0,46.49245
PAYX,2016-01-21 05:00:00+00:00,46.94,47.81,46.24,47.39,4651732.0,37960.0,47.351041
PAYX,2016-01-22 05:00:00+00:00,48.19,48.835,47.86,48.19,4269863.0,29328.0,48.344072
PAYX,2016-01-25 05:00:00+00:00,48.04,48.15,47.3,47.41,2198987.0,19099.0,47.754277
PAYX,2016-01-26 05:00:00+00:00,47.73,48.005,47.43,47.71,2130651.0,18509.0,47.699378
PAYX,2016-01-27 05:00:00+00:00,47.71,48.01,46.775,47.01,2763973.0,22507.0,47.313137
PAYX,2016-01-28 05:00:00+00:00,47.19,47.19,46.2,46.425,3096990.0,24810.0,46.492697
PAYX,2016-01-29 05:00:00+00:00,46.82,47.86,46.66,47.86,4987922.0,27961.0,47.465804
PAYX,2016-02-01 05:00:00+00:00,47.73,48.45,47.41,48.35,3974016.0,23391.0,48.197011
PAYX,2016-02-02 05:00:00+00:00,47.79,48.37,47.3,48.35,7396060.0,49692.0,47.944441
PAYX,2016-02-03 05:00:00+00:00,48.48,48.665,47.395,48.1,5084321.0,43721.0,47.845991
PAYX,2016-02-04 05:00:00+00:00,47.77,48.4999,47.35,47.94,3135664.0,28149.0,47.763594
PAYX,2016-02-05 05:00:00+00:00,47.97,48.166,46.73,47.04,4026458.0,29086.0,47.087489
PAYX,2016-02-08 05:00:00+00:00,46.33,46.94,45.83,46.81,4160055.0,33089.0,46.408903
PAYX,2016-02-09 05:00:00+00:00,46.38,47.13,46.35,46.66,3389504.0,27287.0,46.736575
PAYX,2016-02-10 05:00:00+00:00,47.24,47.79,46.825,46.97,2833650.0,22338.0,47.290291
PAYX,2016-02-11 05:00:00+00:00,46.09,48.14,46.08,47.74,5472996.0,42144.0,47.400577
PAYX,2016-02-12 05:00:00+00:00,48.33,49.135,47.92,48.94,3406903.0,24998.0,48.797851
PAYX,2016-02-16 05:00:00+00:00,48.63,50.0672,48.63,49.99,3156126.0,21506.0,49.824574
PAYX,2016-02-17 05:00:00+00:00,50.05,50.75,50.05,50.61,2757873.0,19892.0,50.493255
PAYX,2016-02-18 05:00:00+00:00,50.36,51.02,50.25,50.85,2808407.0,20708.0,50.826
PAYX,2016-02-19 05:00:00+00:00,50.67,51.3,50.45,51.25,2796581.0,16984.0,51.061431
PAYX,2016-02-22 05:00:00+00:00,51.56,51.94,51.429,51.92,2343865.0,14688.0,51.780273
PAYX,2016-02-23 05:00:00+00:00,51.52,52.06,51.36,51.42,1990404.0,13809.0,51.594717
PAYX,2016-02-24 05:00:00+00:00,51.0,51.67,50.661,51.63,1724489.0,15142.0,51.233189
PAYX,2016-02-25 05:00:00+00:00,51.7,52.16,51.39,52.14,1556904.0,13379.0,51.821181
PAYX,2016-02-26 05:00:00+00:00,52.49,52.4989,51.555,51.68,1844013.0,13795.0,51.822814
PAYX,2016-02-29 05:00:00+00:00,51.64,52.08,51.37,51.39,2613772.0,13202.0,51.545094
PAYX,2016-03-01 05:00:00+00:00,51.9,52.61,51.66,52.61,2102299.0,16751.0,52.34081
PAYX,2016-03-02 05:00:00+00:00,52.41,52.47,51.925,52.21,2475870.0,18151.0,52.150801
PAYX,2016-03-03 05:00:00+00:00,52.15,52.48,51.82,52.45,2306803.0,15413.0,52.294236
