symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PCG,2016-01-04 05:00:00+00:00,52.85,53.04,52.46,52.94,2429628.0,19667.0,52.79877
PCG,2016-01-05 05:00:00+00:00,52.95,53.28,51.91,53.02,2435398.0,18031.0,52.864859
PCG,2016-01-06 05:00:00+00:00,52.55,52.96,52.49,52.72,2714232.0,19676.0,52.765213
PCG,2016-01-07 05:00:00+00:00,52.19,52.7,52.14,52.46,2518765.0,20850.0,52.493808
PCG,2016-01-08 05:00:00+00:00,52.5,52.67,51.97,52.06,3868787.0,21616.0,52.238518
PCG,2016-01-11 05:00:00+00:00,52.2,52.54,51.91,52.23,3771256.0,28415.0,52.247922
PCG,2016-01-12 05:00:00+00:00,52.51,52.65,51.52,52.56,3783957.0,24864.0,52.278361
PCG,2016-01-13 05:00:00+00:00,52.67,52.97,52.2,52.29,3063069.0,23535.0,52.588522
PCG,2016-01-14 05:00:00+00:00,52.49,53.68,52.28,53.41,3643844.0,28085.0,53.185074
PCG,2016-01-15 05:00:00+00:00,52.36,53.2,51.88,52.47,4818713.0,29528.0,52.513251
PCG,2016-01-19 05:00:00+00:00,52.71,53.37,52.44,52.98,5085891.0,33548.0,52.816398
PCG,2016-01-20 05:00:00+00:00,52.7,53.01,50.65,51.29,4244389.0,31224.0,51.483759
PCG,2016-01-21 05:00:00+00:00,51.55,51.96,50.8,51.48,3740253.0,28255.0,51.517137
PCG,2016-01-22 05:00:00+00:00,51.98,52.39,51.5,52.36,4068682.0,25653.0,52.116636
PCG,2016-01-25 05:00:00+00:00,52.45,52.45,51.44,51.61,2258005.0,17831.0,51.712327
PCG,2016-01-26 05:00:00+00:00,52.12,52.81,51.85,52.14,3655266.0,24572.0,52.318994
PCG,2016-01-27 05:00:00+00:00,52.27,52.76,52.12,52.73,4005594.0,27219.0,52.547196
PCG,2016-01-28 05:00:00+00:00,52.73,54.16,52.35,53.76,2381037.0,17593.0,53.66149
PCG,2016-01-29 05:00:00+00:00,54.14,55.11,53.93,54.91,4347706.0,26235.0,54.780102
PCG,2016-02-01 05:00:00+00:00,54.91,55.53,54.61,55.46,3260721.0,24199.0,55.329171
PCG,2016-02-02 05:00:00+00:00,55.08,56.725,55.0701,56.67,6354533.0,33397.0,56.126267
PCG,2016-02-03 05:00:00+00:00,56.91,57.725,56.7,57.46,4149026.0,36005.0,57.244952
PCG,2016-02-04 05:00:00+00:00,57.27,57.43,56.23,56.33,4341596.0,33243.0,56.594144
PCG,2016-02-05 05:00:00+00:00,55.85,56.47,55.12,56.24,3858716.0,32926.0,56.136074
PCG,2016-02-08 05:00:00+00:00,56.24,57.115,55.73,56.3,4229296.0,26178.0,56.232583
PCG,2016-02-09 05:00:00+00:00,56.07,56.61,55.68,55.92,6240033.0,41740.0,55.944326
PCG,2016-02-10 05:00:00+00:00,55.8,56.5625,55.2,56.17,4299915.0,30027.0,55.990586
PCG,2016-02-11 05:00:00+00:00,55.99,56.48,55.08,55.16,4057957.0,27447.0,55.363184
PCG,2016-02-12 05:00:00+00:00,55.26,55.59,54.45,55.21,3095303.0,21101.0,55.050907
PCG,2016-02-16 05:00:00+00:00,55.8,55.97,55.24,55.75,3133675.0,23542.0,55.668355
PCG,2016-02-17 05:00:00+00:00,56.06,56.52,55.38,55.81,4495888.0,26992.0,55.828469
PCG,2016-02-18 05:00:00+00:00,55.6,56.38,54.95,56.0,4322717.0,33005.0,55.947796
PCG,2016-02-19 05:00:00+00:00,56.08,56.13,55.31,55.89,5381438.0,26855.0,55.845476
PCG,2016-02-22 05:00:00+00:00,56.0,56.51,55.63,56.48,3156088.0,23239.0,56.272365
PCG,2016-02-23 05:00:00+00:00,56.3,57.35,56.19,57.22,2767407.0,23362.0,57.054928
PCG,2016-02-24 05:00:00+00:00,56.87,57.55,56.485,57.46,3026775.0,23810.0,57.123919
PCG,2016-02-25 05:00:00+00:00,57.65,58.46,57.29,58.34,3120773.0,21461.0,58.190677
PCG,2016-02-26 05:00:00+00:00,58.07,58.39,56.4,56.43,2755465.0,24297.0,56.837336
PCG,2016-02-29 05:00:00+00:00,56.34,57.17,56.33,56.73,3721825.0,23158.0,56.836587
PCG,2016-03-01 05:00:00+00:00,57.1,57.24,55.92,56.21,3009916.0,25681.0,56.396894
PCG,2016-03-02 05:00:00+00:00,56.01,56.34,54.71,56.23,2765301.0,23805.0,55.870636
PCG,2016-03-03 05:00:00+00:00,56.34,56.4,55.61,56.29,2460747.0,18788.0,56.109679
PCG,2016-03-04 05:00:00+00:00,56.09,56.58,55.71,56.5,3772341.0,26194.0,56.388715
PCG,2016-03-07 05:00:00+00:00,56.37,56.86,56.2,56.47,4087951.0,24488.0,56.55944
