symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PG,2016-01-04 05:00:00+00:00,78.36,78.5,77.54,78.37,13282511.0,73563.0,78.103754
PG,2016-01-05 05:00:00+00:00,78.43,78.96,78.21,78.62,9102771.0,50494.0,78.564197
PG,2016-01-06 05:00:00+00:00,77.67,78.285,77.12,77.86,10742069.0,62320.0,77.825105
PG,2016-01-07 05:00:00+00:00,76.84,77.6,76.07,77.18,14239058.0,76249.0,77.105304
PG,2016-01-08 05:00:00+00:00,77.33,77.48,75.671,75.97,10820062.0,65581.0,76.387122
PG,2016-01-11 05:00:00+00:00,76.17,77.04,75.6,76.67,11011301.0,78552.0,76.326058
PG,2016-01-12 05:00:00+00:00,77.0,77.02,75.75,76.51,9541628.0,66686.0,76.296523
PG,2016-01-13 05:00:00+00:00,76.97,76.99,75.79,75.85,10230711.0,69070.0,76.275753
PG,2016-01-14 05:00:00+00:00,76.1,76.9495,75.88,76.15,14072954.0,83437.0,76.224019
PG,2016-01-15 05:00:00+00:00,74.5,75.68,74.47,74.98,21106908.0,100728.0,74.98808
PG,2016-01-19 05:00:00+00:00,75.76,76.91,75.72,76.73,14756694.0,89883.0,76.376575
PG,2016-01-20 05:00:00+00:00,75.29,76.09,74.46,75.83,18906036.0,124902.0,75.414401
PG,2016-01-21 05:00:00+00:00,76.02,77.18,75.41,76.72,13479223.0,87460.0,76.490402
PG,2016-01-22 05:00:00+00:00,77.4,77.97,76.55,77.36,10261727.0,66136.0,77.493132
PG,2016-01-25 05:00:00+00:00,77.2,77.36,76.5571,76.85,10836219.0,67215.0,76.971068
PG,2016-01-26 05:00:00+00:00,77.99,79.58,77.54,78.81,17626252.0,95217.0,78.838866
PG,2016-01-27 05:00:00+00:00,78.53,79.85,78.15,78.8,11483092.0,74539.0,79.023868
PG,2016-01-28 05:00:00+00:00,79.4,80.0,78.61,79.82,10572927.0,70893.0,79.553198
PG,2016-01-29 05:00:00+00:00,80.0,82.0,79.83,81.69,22961556.0,100037.0,81.369901
PG,2016-02-01 05:00:00+00:00,81.21,81.4,80.53,81.12,10631178.0,65985.0,81.095963
PG,2016-02-02 05:00:00+00:00,80.23,80.54,79.81,80.22,9884152.0,62214.0,80.200731
PG,2016-02-03 05:00:00+00:00,80.48,81.24,80.02,81.1,10765648.0,77625.0,80.707798
PG,2016-02-04 05:00:00+00:00,80.85,81.1,80.33,80.7,8871327.0,60806.0,80.705914
PG,2016-02-05 05:00:00+00:00,80.58,81.2,80.57,81.2,10776118.0,66452.0,80.936393
PG,2016-02-08 05:00:00+00:00,80.29,82.72,80.29,82.62,17348092.0,95500.0,81.705457
PG,2016-02-09 05:00:00+00:00,81.8,83.0,81.021,82.64,14964430.0,99380.0,82.264689
PG,2016-02-10 05:00:00+00:00,82.91,83.0,81.46,81.62,11354196.0,70117.0,82.181907
PG,2016-02-11 05:00:00+00:00,80.39,80.99,79.63,79.9,13076293.0,86240.0,80.094227
PG,2016-02-12 05:00:00+00:00,80.36,81.02,79.79,80.99,10392454.0,54109.0,80.580151
PG,2016-02-16 05:00:00+00:00,81.99,81.99,80.84,81.47,10464808.0,60912.0,81.356593
PG,2016-02-17 05:00:00+00:00,81.65,82.83,81.51,82.45,11681482.0,78436.0,82.28068
PG,2016-02-18 05:00:00+00:00,82.23,82.32,81.21,81.98,8471152.0,52582.0,81.786476
PG,2016-02-19 05:00:00+00:00,81.96,82.26,81.4,81.79,9444540.0,46656.0,81.824579
PG,2016-02-22 05:00:00+00:00,82.07,82.67,81.71,82.13,7623414.0,44016.0,82.239592
PG,2016-02-23 05:00:00+00:00,82.0,82.46,81.615,81.81,6209356.0,39568.0,81.896391
PG,2016-02-24 05:00:00+00:00,81.26,81.64,80.66,81.56,7447375.0,45892.0,81.19221
PG,2016-02-25 05:00:00+00:00,81.7,82.34,81.47,82.34,7369104.0,43169.0,82.023686
PG,2016-02-26 05:00:00+00:00,82.52,82.65,80.95,81.1,10181716.0,61513.0,81.508996
PG,2016-02-29 05:00:00+00:00,81.1,81.35,80.21,80.29,12612306.0,53560.0,80.599872
PG,2016-03-01 05:00:00+00:00,80.54,81.365,80.53,81.23,10213941.0,64863.0,81.085995
